00-00	[missing]
00-01	Imijaniere awana ono elotulo bwo arrijoro iko ahode hode ono awoyo waati inyi asas ono ahurriya iko narrijoro ihosiere ganun etteti namuno otofau.
00-02	Bwo ve ebasana iko etabalacahio ahode hode tulo iyak aati ehanita hun omijito iko elongojita tajia waati bwo ve atuna afau onowon amuno, ekiana, eruk, abiangan bangi iko awahan anakaf to aati dang ahide.
00-03	Ara adi bebe, alabengi orrosoni atulo to nagolon iwattari iko ataji ihaniere ihwa ecungi hanio ifwo allwara adi jyo emiri ano atulo abotye onorroho to bwo ve ittigemio aati, ongida aganun onobis to isio jyo atulo ahode hode honyi.
00-04	Ara nyiikafiere abolori riaha misihi huto fau dang.
00-05	Arai aati huno elulung ono amisihi huto fau (UN) to nagar neruk hosi (UN Charter). inyahi isi idas neruk hosi to nahode hode tulo iko arrijoro ahode hode lee iko angote bwo ve awahi (attahi) ikafiere elulung waati iko akafiere manya to abiangan etik analat to.
00-06	Bwo ve elulung ono amisihi huto fau iruhi to awatek hosi irumaniere iko ikafieri abangi (aningio), iruhoriniere ahode hode tulo iko awoyo hurriyat honyi.
00-07	Ara bu ve amijana ono ahode hode iko abiangan itik, inyi agolon onobolo to bebe to neruk ana.
00-08	lhwania aati hadufa (elulung) huno amisihi huto fau dang ojori jo ekiana ana ara ewojit arabotye ano aati iko amisik huto fau dang itacunguniere attil ababo kuya bwo ve elulugi. ihumaniere ekiana ana lihosi, ihanie adi to netiyenio ikafiere abangi hode hode lo nekotia huto miji iko huto ilulung misihi dang irumaniere eruk jyo aati misihi to awatek hosi hama iko jyo aati hul owoni to lifau misi hul otongotie (ikumie) isi.
01-00	ARTICLE 1
01-01	lsiuni aati dang iko ahodc hade ihaniere erre boo ve isi orrijori dang to nelotulo. Owoni isi iko negigilita bwo ve iko ataja. Ongida isi ihanie awatek hosi ihwo elarak.
02-00	ARTICLE 2
02-01	Owoni aati abotye abotye iko ahode hode dango Obengi omuk etihita hun owoni lo jyo ekiana ana. Obeng ebubwanya to elotulo, alufari belelio, elongorwo iko eloliawa, alufaji kenita iko emojiti Hollum, emanyiti imiri iko egigilita, amiji kuya bwo ve elulung hisii, elobolok (abara), essio kuyya bwo ve erre omuk hun erari atulo.
02-02	Bwo ve obeng adi inyak obo ebubwanya to ehanita, ebubwanya to ekori fau kuyya bwo ve to amisihi hun etongori.Ongida emiri obo obeng ikum amiji lobo.
03-00	ARTICLE 3
