00-00	jierenquanxuanyan
00-01	jianyuduirenleijiatingsuoyouchengyuangeziranzunyanjiqipingdenggetongnyigequanligechengren, xishijieziyou, zhengyitonghepinggeqiangjiao, 
00-02	jianyuduirenquangenzhitongqifuyifazhanweicimanbaoxing, zhexiebaoxingdianwulerenleigehaoxintian, er1gerenrenxiangyouyanluntongxinyangziyoubingmianyukongjutongkuifageshijiegelailin, yibeixuanbuweiputongrenmingezuigaoyisi, 
00-03	jianyuweishirenleinzhidaonhaondingerzouxianduibaozhengtongqifujinxingfanpan, aishirenquanshoufazhigebaohu, 
00-04	jianyuaicujingeguozhijianzhijiguanxigefazhan, 
00-05	jianyugelianheguoguojiagerenminyizailianheguoxianzhangzhineizhongshenqudingrenduijibenrenquan, rengezunyantongjiazhiyijinannupingdengquanligexinnian, bingjuexincuchengjiaodaziyouzhineigeshehuijinbutongshenghuoshuipinggegaishan, 
00-06	jianyugehuiyuanguoyeyishiyuantonglianheguohezuoyicujinduirenquantongjibenziyougepubianzunzhongtongzunxing, 
00-07	jianyuduizhexiequanlitongziyougezhitouzhiweiduiyuzhegeshiyuangechongfenshixianjuyousidagezhongyaoxing, 
00-08	yincixianzai, 
00-09	dahui, 
00-10	fabuzhe1shijierenquanxuanyan, zuoweisuoyourenmintongsuoyouguojianulishixiangegongtongbiaozhun, zhiwangmei1gerentongshehuijigoushibushijidenglaibenxuanyan, nuliliyongjiaohuitongjiaoyucujinduiquanlitongziyougezunzhong, bingliyongguojiagetongguojigejianjincuoshi, shizhexiequanlitongziyouzaigehuiyuanguobenshenrenminjizaiqiguanxiaxialingtugerenminzhineidedaopubiantongyouxiaogechengrentongzunxing;
01-00	di1tiao
01-01	renrenshengerziyou, zaizunyantongquanlishang1lupingdeng. qudingrenfuyoulixingtonghaoxintian, bingyingyixiongdiguanxigejingshenxiangduidai. 
02-00	di2tiao
02-01	renrenyouzigexiangyoubenxuanyansuojiluge1qiequanlitongziyou, nfenzhongzu, fuse, xingbie, yuyan, zongjiao, zhengzhihuoqitajianjie, guojihuoshehuichushen, caichan, chushenghuoqitashenfendengmaigequbie. 
02-02	bingqienhaoyin1rensuoshugeguojiahuolingtugezhengzhige, xingzhenggehuozheguojigedeweizhibutongeryousuoqubie, nguangailingtuxidulilingtu, tuoguanlingtu, feizizhilingtuhuozhechuyuqitamaigezhuquanshouxianzhigeqixiangzhixia. 
03-00	di3tiao
03-01	renrenyouquanxiangyoushengming, ziyoutongrenshenanquan. .
04-00	di4tiao
04-01	maigerendounhaoshiweinulihuonuyi;1qiexingshigenulizhidutongnulimaimai, junyingyuyijinzhi. 
05-00	di5tiao
05-01	maigerendounhaojiayikuxing, huoshiyicanrenge, nrendaogehuowuruxinggedaiyuhuoxingfa. 
06-00	di6tiao
06-01	renrenzaimaigedefangdouyouquanbeichengrenzaifaluqiangerenge. 
07-00	di7tiao
07-01	faluzhiqianrenrenpingdeng, bingyouquanxiangshoufalugepingdengbaohu, nshoumaigeqishi. renrenyouquanxiangshoupingdengbaohu, yimianshouweifanbenxuanyangemaigeqishixingweitongshandongzhezhongqishigemaigexingweizhihai. 
08-00	di8tiao
08-01	maigerendangxianfahuofalusuofuyuqugejibenquanlizaoshouqinhaishi, douyouquanyouhegegeguojiafatingduizhezhongqinhaixingweizuoyouxiaogebujiu. 
09-00	di9tiao
09-01	maigerendounhaorenyizhua, guanhuofangzhu. 
10-00	di10tiao
10-01	renrenwanquanpingdengdeyouquanyou1gedulierwupianyigefatingjinxinggongzhenggetonggongkaigechawen, yiquedingqugequanlitongyiwubingpandingduiqutichugemaigexingshizhikong. 
11-00	di11tiao
11-00	fanshouxingshikonggaozhe, bifangweihuodebianhushangsuoxuge1qiebaozhenggegongkaichaweneryifazhengshiyouzui, youquanbeishiweiwuzui. 
11-01	maigerengemaigexingweihuonxingwei, bifangzaiqufashengshiyiguojiafahuoguojifajunngouchengxingshizui, dounhaobeipanweifanyouxingshizui. xingfanhaozhongyufanzuishishiyonggefaluguiding. 
12-00	di12tiao
12-01	maigerengesishi, jiating, zhuzhaitongtongxindounhaorenyiganshe, qugerongyutongmingyunhaojiayigongji. renrenyouquanxiangshoufalubaohu, yimianshouzhezhongganshehuogongji. 
13-00	di13tiao
13-00	renzaigeguolibeiyouquanziyouqianxitongjuliu. 
13-01	gerendouyouquanchuguo, baokuoquzijiageguojiazainei, bingyouquanzhuanlaiqugeguojia. 
14-00	di14tiao
14-00	renrenyouquanzaiqitaguojialibeixuntongshoubihuyibimianpohai. 
14-01	zaizhenzhengyouyufeizhengzhixinggezuixinghuoweibeilianheguogezongzhitongyuanzegexingweierbeiqishigeqixiangxia, nhaoyuanyongcizhongquanli. 
15-00	di15tiao
15-00	renrenyouquanshouguoji. 
15-01	maigerengeguojidounhaorenyiboduo, yinhaofourenqugaibianguojigequanli. 
16-00	di16tiao
16-00	chengniannannu, nshouzhongzu, guojihuozongjiaogexianzhiyouquanbanxishitongchenglijiating. qudingrenzaihunyinfangmian, zaibanxishiqijiantongzaijiechuhunyueshi, yingyoupingdenggequanli. 
16-01	zhiyoujingnannushuangfanggeziyoutongwanquangetongyi, cainengbanxishi. .
16-02	jiatingxitianrangetongjibengeshehuidanyuan, bingyingshoushehuitongguojiagebaohu. 
17-00	di17tiao
17-00	renrendeyoudandugecaichansuoyouquanyijitongtarenheyougesuoyouquan. 
17-01	maigerengecaichandounhaorenyiboduo. 
18-00	di18tiao
18-01	renrenyousixiang, haoxintiantongzongjiaoziyougequanli;cixiangquanlibaokuogaibianqugezongjiaohuoxinyanggeziyou, tongdanduhuojiti, gongkaihuomimideyijiaoyi, shijian, libaitongjielubiaoshiqugezongjiaohuoxinyanggeziyou. 
19-00	di19tiao
19-01	renrenyouquanxiangyouzhuzhangtongfabiaoyijiangeziyou;cixiangquanlibaokuochiyouyijianernshouganshegeziyou, tongliyongnguanmaigemeijietongnguanguojiexun, shoutongchuandixiaoxitongsixianggeziyou. 
20-00	di20tiao
20-00	renrenyouquanxiangyouhepingjihuitongqihuirgeziyou. 
20-01	maigerendounhaoposhilishuyumou1tuanti. 
21-00	di21tiao
21-00	renrenyouzhijiehuoliyongziyouxuanzegedaibiaocanyuzhilibenguogequanli. 
21-01	renrenyoupingdengjihuicanjiabenguogongwugequanli. 
21-02	renmingeyizhixizhengfuquanligejichu;zhe1yizhiyingyidingqigetongzhenzhenggexuanjuyuyibiaoxian, erxuanjuyingyijupubiantongpingdenggetoupiaoquan, bingliyongnjimingtoupiaohuoxiangdanggeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuige1yuan, youquanxiangshoushehuifuchi, bingyouquanxiangshouqugegerenzunyantongrengegeziyoufazhansuobixugejingji, shehuitongwenhuafangmiangezhongquanligeshixian, zhezhongshixianxiliyongguojianulitongguojihezuobingyizhaogeguogezuzhitongziyuanqixiang. 
23-00	di23tiao
23-00	renrenyouquandagong, ziyouxuanzezhiye, xiangshougongzhengtongheshigedagongtiaojianbingxiangshoumianyushiyegefuchi. 
23-01	renrenyoutonggongtongchougequanli, nshoumaigeqishi. 
23-02	mei1gedagonggeren, youquanxiangshougongzhengtongheshigebaochou, baozhengshiquzijiatongzijiazishuyou1gefuherengezunyangeshenghuotiaojian, aigeshihoubingfuyiqitafangshigeshehuifuchi. 
23-03	renrenyouweiweihuqiliyierzuzhitongcanjiagonghuigequanli. 
24-00	di24tiao
24-01	renrenyouxiangyouxiuxitongxianxiagequanli, baokuogongzuoshijianyouhelixianzhitongdingqigeixinxiujiagequanli. 
25-00	di25tiao
25-00	renrenyouquanxiangshouweiweichiquzijiatongzijiazishugejiankangtongfulisuoxugeshenghuoshuizhun, baokuoshiwu, yizhe, zhufang, yiliaotongaigeshehuifuwu;zaizaodaoshiye, qibing, feirenr, shougua, shuailaohuozaiqitannengkongzhigeqixiangxiasangshimoushengnenglishi, youquanxiangshoufuchi. 
25-01	muqintongxiguiryouquanxiangshoutebiedalitongfuchi. 1qiexiguir, nguanhunshenghuofeihunsheng, douyingxiangshoutongyanggeshehuibaohu. 
26-00	di26tiao
26-00	renrendouyoushoujiaoyugequanli, jiaoyuyingdangnaishifei, zhishaozaichujitongjibenjieduanyingruci. chujijiaoyuyingshuyiwuxingzhi. jishutongzhiyejiaoyuyingpubiansheli. gaodengjiaoyuyinggenjuchengjierdui1qierenpingdengkaifang. 
26-01	jiaoyugemudezaiyuchongfenfazhanrengegexingbingjiaqiangduirenquantongjibenziyougezunzhong. jiaoyuyingcujingeguo, gezhongzuhuogezongjiaojituanjiangezhitouzhiwei, rongrentongyouyi, bingyingcujinlianheguoweihuhepinggegexianghuodong. 
26-02	fumuduiqizinusuoyingshougejiaoyugezhonglei, youyouxianxuanzegequanli. 
27-00	di27tiao
27-00	renrenyouquanziyoucanjiashehuigewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbujiqichanshenggefuli. 
27-01	renrenduiyouyuqusuochuangzuogemaigekexue, wenxuehuomeishuzuopinerchanshenggejingshengetongwuzhigeliyi, douyouxiangshoubaohugequanli. 
28-00	di28tiao
28-01	renrenyouquanai1zhongshehuigetongguojigezhixu, zaizhezhongzhixuzhinei, benxuanyansuojilugequanlitongziyounenghuodechongfenshixian. 
29-00	di29tiao
29-00	renrenduishehuifuyouyiwu, yinweizhiyouzaishehuizhineiqugegexingcaikenengdedaoziyoutongchongfengefazhan. 
29-01	renrenzaixingshiqugequanlitongziyoushi, zhishoufalusuoquedinggexianzhi, quedingcizhongxianzhigewei1mudezaiyubaozhengduipangrengequanlitongziyougeiyuyingyougechengrentongzunzhong, bingzai1geminzhugeshehuizhineishiyingdaode, gonggongzhixutongpubianfuligezhengdanggeai. 
29-02	zhexiequanlitongziyougexingshi, nguanzaimaigeqixiangxiadounhaoweibeilianheguogezongzhitongyuanze. 
30-00	di30tiao
30-01	benxuanyangemaigetiaowen, dounhaojieshiweimoxunguanmaigeguojia, jituanhuogerenyouquanjinxingmaigezhizaipohuaibenxuanyansuojilugenguanmaigequanlitongziyougehuodonghuoxingwei. 
