00-00	maanavii adhikaaraacaa jaagatik jaahiiranaamaa
00-01	jyaa arthii maanav kuttumvaatiil sarva vyaktiimcii svaabhaavik pratisstthaa va tyaamce samaan va aharanniiya adhikaar yaamnaa maanyataa denne haa jagaamta svaatamtrya, nyaaya va shaamtataa yaamcyaa prasthaapanevaa paayaa hoya,
00-02	jyaa arthii, maanavii adhikaaraamcii abahelanaa va apratisstthaa jhaalyaane amaanuss krtye ghadduun aalii aanni tyaayoge maanavajaatiicyaa sadsadvivekabuddhiivar bhayamkar aaghaat jhaalaa aahe, aanni mhannuun maanavaamnaa bhaassann-svaatamtryaacaa va shraddhaasvaatamtryaacaa upabhog ghetaa yeiil va bhiitavii garaj yaampaasuun tyaamcii muktataa hoiil ashaa jagaacii ubhaarannii karanne hii saamaanya lokaamcii sarvocca aakaamkssaa mhannuun ghossit karannyaat aalii aahe,
00-03	jyaa arthii, juluum va daddapashaahii yaamviruuddha akheracaa upaaya mhannuun maanavaalaa bamdda karanne bhaag padduu naye yaasaatthii maanavii adhikaamraace samrakssann kaayadyaane karanne atyaavashyak aahe,
00-04	jyaa arthii, raassttra raassttraammadhye mitrasvaace sambamdha brddhimgat karannyaacyaa kaaryaas caalanaa denne atyaavashyak aahe,
00-05	jyaa arthii, samyukta raassttrasamghattanetiil sadasya-raassttraamnii sanadet muulabhuut maanavii adhikaar maanavaacii pratisstthaa va mahatva striipurussaamce samaan adhikaar yaamvariil aapavii shraddhaa nishyapuurvak punhaa vyakta kelii aahe aanni adhikaadhik svaatamtryaacyaa vaataavarannaat saamaajik pragatii ghaddavuun aannannyaacaa va jiivanamaan sudhaarannyaacaa nirdhaar kelaa aahe,
00-06	jyaa arthii, sadasyaa raassttraamnii, samyukta raassttrasamghattanecyaa sahakaaryaamne, maanavii adhikaaraamnaa va muulabhuut svaatamtryaas jaagatik pratisstthaa praapta karuun dennyaace aanni tyaamce paalan karannyaace dhyeya saadhya karannyaacii pratijnyaa kelii aahe,
00-07	jyaaarthii, yaa pratijnyecyaa paripuurtiisaatthii, ukta adhikaar va saarvatrik sarva prakaarace svaatamtrya yaamcyaabaabat jaanniiv honne atyamta mahattvaace aahe, tyaa arthii aataa
00-08	hii saadhaarann sabhaa
00-09	haa maanavii adhikaaraamcaa jaagatik jaahiiranaamaa
00-10	sarva lokaamsaatthii dhyeyasiddhiicaa ek samaan aadarsha mhannuun udghossit karate va tyaasaatthii pratyek vyaktiine va samaajaatiil pratyek ghattakaane haa jaahiiranaamaa satat ddoll yaapuddhe tthebuun adhyaapan va shikssann yaamcyaa dvaare yaa adhikaaraamcaa va svaatamtryaacaa maan raakhalaa jaannyaasaatthii aanni raassttriiya va aamtararaassttriiya ashaa praagatik svaruupaacyaa upaayayojanaamcyaa dvaare, sadasya raassttraamcyaa lokaammadhye va tyaamcyaa kssetraadhikaaraakhaaliil pradeshaamtiil lokaammadhye tyaamnaa jaagatik maanyataa millavuun dennyaasaatthii va tyaamce parinnaamakaarak paalan kele jaannyaasaatthii prayatna kelaa paahije.
01-00	kalam 1 :
01-01	sarva maanavii vyakti janmatahca svatamtra aahet va tyaamnaa samaan pratisstthaa va samaan adhikaar aahet. tyaamnaa vicaarashakti va sadasavidvekabuddhi laabhalelii aahe. va tyaamnii ekamekaamshii bamdhutyaacyaa bhaavanene aacarann karaave.
02-00	kalam 2 :
02-01	yaa jaahiiranaamyaat namuud kelele sarva adhikaar va sarva prakaarace svaatamtrya pratyekaas aahe va tyaa baabatiit vamsha, varnna, striipurussabhed, bhaassaa, dharma, raajakiiya kimvaa itar mataprannaalii raassttriiya kimvaa saamaajik muulasthaan sampatti, janma kimvaa itar darjaa yaasaarakhaa konnataahi bhedabhaav kelaa jaataa kaamaa naye.
02-02	aannakhii ase kii, ekhaadii vyaktii jyaa deshaamcii kimvaa pradeshaacii rahivaasii asel tyaa deshaacyaa kimvaa pradeshaacyaa, mag to desh kimvaa pradesh svatamtra aso, vishvasta vyavasthekhaaliil aso, svaayatta shaasan nasalelaa aso kimvaa konnatyaahi prakaaracyaa saarvabhaumatvaakhaaliil aso, raajakiiya, kssetraadhikaaraatmak kimvaa aamtararaassttriiya darjaacyaa kaarannaastav konnataahi bhedabhaav karataa kaamaa naye.
03-00	kalam 3 :
03-01	pratyekaas jagannyaacaa, svaatamtrya upabhogannyaacaa va surakssit asannyaacaa adhikaar aahe.
04-00	kalam 4 :
04-01	konnaalaahi gulaamagiriit kimvaa daasyaat tthevataa kaamaa naye; sarva prakaaracyaa gulaamagiriis va gulaamaamcyaa vyaapaaraas manaaii-karannyaat aalii paahije.
05-00	kalam 5 :
05-01	konnaacaahi chall karataa kaamaa naye kimvaa tyaas kruur, amaanuss kimvaa kamiipannaa aannannaarii baagannuuk kimvaa shikssaa detaa kaamaa naye.
06-00	kalam 6 :
06-01	pratyekaalaa sarvatra kaayadyaacyaa drssttiine maannuus mhannuun maanyataa millannyaacaa adhikaar aahe.
07-00	kalam 7 :
07-01	sarva lok kaayadyaacyaa drssttiine samaan aahet va konnataahi bhedabhaav na karataa kaayadyaace samaan samrakssann millannyaacaa tyaamnaa hakka aahe. yaa jaahiiranaamyaace ullamghan karuun konnatyaahi prakaaracaa bhedabhaav jhaalyaacyaa baabatiit va asaa bhedabhaav karannyaas cithaavannii dennyaat aalyaacyaa baabatiit sarvaanaa samaan samrakssann millannyaacaa hakka aahe.
08-00	kalam 8 :
08-01	ghattanene kimvaa kaayadyaane dilelyaa muulabhuut hakkaamcaa bhamga karannyaaryaa krtyaamcyaa baabatiit sakssam raassttriiya adhikaarannaa maarphat parinnaam-kaarak upaayayojanaa karannyaacaa pratyekaas adhikaar aahe.
09-00	kalam 9 :
09-01	konnaalaahi svacchamdatah attak, sthaanabaddha kimvaa haddapaar karataa kaamaa naye.
10-00	kalam 10 :
10-01	pratyekaalaa samaan bhuumikevaruun tyaace adhikaar va javaabadaaryaa nishcit karannyaacyaa sambamdhaat kimvaa tyaacyaavariil konnatyaahi damddaniiya aaropaacaa nyaayanirnnaya karannyaacyaa sambamdhaat svatamtra va nihpakssapaatii adhikarannaamaarphat nyaayya va jaahiir sunaavannii kelii jaannyaacaa hakka aahe.
11-00	kalam 11 :
11-01	damddaniiya aparaadhaacaa aarop jyaavar tthevannyaat aalaa aahe ashaa pratyek isamaas jaahiir nyaaya caukashiit to dossii asalyaace siddha hoiiparyamta, to niraparaadh aahe ase grhiit dharale jaannyaacaa adhikaar aahe. ashaa nyaayya caukashiit tyaacaa bacaavaasaatthii aavashyak asalelii sarva prakaaracii hamii tyaas dennyaat aalelii asalii paahije.
11-02	je konnatehi krtya kimvaa bartan jyaa vellii ghaddale tyaa vellii jar te raassttriiya kimvaa aamtararaassttriiya kaayadyaane damddaniiya aparaadh ttharat nasel taratyaa krtyaadhyaa kimvaa vartanaacyaam sambamdhaat konnaalaahi konnatyaahi damddaniiya aparaadhaacaa dossii mhannuun samajataa kaamaa naye. tyaacapramaanne damddaniiya aparaadh ghaddalaa asel tyaa vellii tyaabaddal jii shikssaa karannyaajaagii asel tyaa shikssepekssaa adhik kaddak shikssaa tyaas detaa kaamaa naye.
12-00	kalam 12 :
