00-00	IKEDE KARIAYE FUN ETO OMONIYAN
00-01	Bi o ti je pe sise akiyesi iyi to je abimo fun eda ati idogba eto ti ko see mu kuro ti eda kookan ni, ni okuta ipile fun ominira, idajo ododo ati alaafia lagbaaye,
00-02	Bi o ti je pe aika awon eto omoniyan si ati ikegan awon eto wonyi ti se okunfa fun awon iwa buburu kan, to mu eri-okan eda gbogbe, to si je pe ibere igbe aye titun, ninu eyi ti awon eniyan yoo ti ni ominira oro siso ati ominira lati gba ohun to ba wu won gbo, ominira lowo eru ati ominira lowo aini, ni a ti ka si aniyan to ga ju lo lokan awon omo-eniyan,
00-03	Bi o ti je pe o se pataki ki a daabo bo awon eto omoniyan labe ofin, bi a ko ba fe ti awon eniyan lati koju ija si ijoba ipa ati ti amunisin, nigba ti ko ba si ona abayo miiran fun won lati beere eto won,
00-04	Bi o ti je pe o se pataki ki idagbasoke ibasepo ti ore-si-ore wa laarin awon orile-ede,
00-05	Bi o ti je pe gbogbo omo Ajo-isokan orile-ede agbaye tun ti tenu mo ipinnu ti won ti se tele ninu iwe adehun won, pe awon ni igbagbo ninu eto omoniyan to je ko-see-ma-nii, igbagbo ninu iyi ati eye eda eniyan, ati igbagbo ninu idogba eto laarin okunrin ati obinrin, to si je pe won tun ti pinnu lati se igbelaruge itesiwaju awujo ninu eyi ti ominira eto igbe-aye rere eda ti le gbooro si i,
00-06	Bi o ti je pe awon omo egbe Ajo-isokan orile-ede agbaye ti jejee lati fowosowo po pelu Ajo naa, ki won le jo se aseyege nipa amuse awon eto omoniyan ati ominira eda to je ko-see-ma-nii ati lati ri i pe a n bowo fun awon eto naa kariaye,
00-07	Bi o ti je pe afi ti awon eto ati ominira wonyi ba ye eniyan nikan ni a fi le ni amuse eje yii ni kikun,
00-08	Ni bayii,
00-09	Apapo igbimo Ajo-isokan orile-ede agbaye se ikede kariaye ti eto omoniyan, gege bi ohun afojusun ti gbogbo eda ati orile-ede jo n lepa lona to je pe eni kookan ati eka kookan lawujo yoo fi ikede yii sokan, ti won yoo si ri i pe awon lo eto-ikoni ati eto-eko lati se igbelaruge ibowo fun eto ati ominira wonyi. Bakan naa, a gbodo ri awon igbese ti o le mu ilosiwaju ba orile-ede kan soso tabi awon orile-ede si ara won, ki a si ri i pe a fi owo to joju wo awon ofin wonyi, ki amulo won si je kariaye laarin awon eniyan orile-ede to je omo Ajo-isokan agbaye funra won ati laarin awon eniyan orile-ede miiran to wa labe ase won.
01-00	Abala kiini.
