00-00	Chikalata Cha Mgwirizano Chofotokoza Za Ufulu Wa Chibadwidwe Wa Munthu Aliyense
00-01	Popeza kuzindikira kuti kudzilemekeza ndi kufanana kwa anthu pa chibadwidwe ndiwo maziko aufulu, chilungamo ndi mtendere pa dziko lapansi,
00-02	Popeza kusalabadira ndi kunyoza ufulu wa munthu kwachititsa mchitidwe wa nkhaza womwe wakhumudwitsa chikumbumtima cha anthu, ndipo kukhazikitsa kwa dziko m'mene anthu adzasangalale ndi kulankhula za kukhosi ndiponso kukhulupilira mopanda mantha ndi kusowa kwalengezedwa ngati chinthu cha mtengo wapatali chimene anthu wamba amalakalaka.
00-03	Popeza nkofunikira ngati munthu saumilizidwa kutero, ngati chinthu chamapeto, kugaukira ulamuliro wankhanza ndi kuponderezedwa, kuti ufulu wa munthu utetezedwe ndi malamulo,
00-04	Popeza nkofunikira kupititsa mtsogolo ubale wa pakati pa maiko,
00-05	Popeza anthu a mu bungwe la mgwirizano wa maiko (United Nations) m'chikalata chawo (Charter of United Nations) anatsikimikizira chikhulupiliro chawo mu ufulu wa munthu ndi kusasiyanitsa pakati pa mwamuna ndi mkazi ndiponso atsimikiza kupititsa mtsogolo chikhalidwe cha anthu ndi umoyo wao,
00-06	Popeza maiko mgwirizano alonjeza kukwaniritsa mogwirizana ndi bungwe la mgwirizano wa maiko (United Nations) kupititsa mtsogolo kulemekeza ndi kutsatira malamulo a ufulu wa munthu,
00-07	Popeza kumvetsetsa ufulu umenewu nkofunika kwambiri kuti lonjezo limeneli likwaniritsidwe,
00-08	Choncho, tsopano,
00-09	Msonkhano, Waukulu,
00-10	ukulengeza malamulo omwe ali m'chikalata cha mgwirizano chofotokoza za ufulu wa chibadwidwe wa munthu aliyense ngati muyeso wa chikwaniritso kwa anthu onse ndi maiko onse, pachifukwa ichi aliyense ndi bungwe lililonse m'dziko, poganizira za chikalatchi, lidzayesetsa pophunzitsa, maphunziro ndi njira zina zotsogola kupititsa mtsogolo kulemekeza ufulu wachibadwidwe ndi ufulu wina m'dziko kudzanso pakati pa maiko, poonetsetsa kuti mfundozi zikuzindikiridwa ndiponso kutsatidwa pakati pa anthu ndi maiko a mu mgwirizano ndi anthu a m'madera amene maikowo akulamulira.
01-00	Ndime 1
01-01	Anthu onse amabadwa aufulu ndiponso ofanana mu ulemu ndi ufulu wao. Iwowa ndi wodalitsidwa ndi mphamvu zoganiza ndi chikumbumtima ndipo achitirane wina ndi mnzake mwaubale.
02-00	Ndime 2
02-01	Aliyense ali ndi ufulu wa chibadwidwe ndi ufulu wina omwe walembedwa m'chikalata chino, mosasiyanitsa m'mjira iliyonse monga mtundu, maonekedwe a khungu, mwamuna kapena mkazi, chiyankhulo, chipembedzo, ndale kapena maganizo ena, dziko lochokera kapena chikhalidwe, katundu ndi chuma, kubadwa kapena m'mene munthu alili.
02-02	Poonjezerapo pasakhale kusiyanitsa poganizira ndale, malamulo kapena m'mene dziko kapena dera lomwe munthu akuchokera lilili, kaya ndi loima palokha, lodalira ena, losadzidalira, kapena lomwe likupingidwa m'njira zina.
03-00	Ndime 3
03-01	Aliyense ali ndi ufulu kukhala ndi moyo, mtendere ndi chitetezo chathupi.
04-00	Ndime 4
04-01	Palibe munthu amene adzasungidwe mu ukapolo kapena mwaukapolo; ukapolo ndi malonda a akapolo adzathetsedwa m'njira zonse.
05-00	Ndime 5
05-01	Palibe amene adzachitiridwe nkhaza kapena kuzunzidwa kapena kupatsidwa chilango monyozedwa.
06-00	Ndime 6
06-01	Aliyense ali ndi ufulu kuzindikiridwa ngati munthu kulikonse pamaso pa lumulo.
07-00	Ndime 7
07-01	Aliyense ndi ofanana pamaso pa lamulo ndipo ali oyenera kutetezedwa mosasiyanitsa ndi lamulo. Aliyense ali oyenera kutetezedwa ku tsankho la mtundu uliwonse lomwe likututsa chikalata chino kudzanso kuyambitsa tsankho lililonse la mtundu wotere.
08-00	Ndime 8
08-01	Aliyense ali ndi ufulu wolandira chithanzizo chokwanira ndi bwalo la milandu lodalirika pa zochita zophwanya ufulu wa munthu womwe waperekedwa kwa iye ndi malamulo a dziko.
09-00	Ndime 9
09-01	Palibe amene adzamangidwe, kusungidwa osazengedwa mlandu kapena kuumirizidwa kuchoka m'dziko lake mosatsatira lamulo.
10-00	Ndime 10
10-01	Aliyense ali ndi ufulu womveredwa mosasiyanitsa ndi bwalo la milandu loyima palokha ndipo losakondera, poganizira ufulu wa munthu ndi udindo wake ndiponso mlandu uliwonse womukhudza.
11-00	Ndime 11
11-01	Aliyense wozengedwa mlandu asaganiziridwe kuti ndi wolankwira lamulo ndipo asam'zenge mlandu potsatira malamulo ena amene ali ovomerezeka m'dzikomo kapena pakati pa maiko, koma omwe pa nthawi yolakwirayo sanali ovomerezeka.
11-02	Chimodzimodzinso chilango chokhwima kuposa chomwe chidalipo panthawi yolakwira lamuloyo chisaperekedwe.
12-00	Ndime 12
12-01	Palibe amene adzasokonezedwe chinsinsi chake, banja lake, kwawo, kapena makalata ake, kapena zochitika zina zoyenera pa ulemu ndi mbiri yake. Aliyense ali ndi ufulu kutetezedwa ndi lamulo ngati zoterezi zichitika.
13-00	Ndime 13
13-01	Aliyense ali ndi ufulu kuyenda ndi kukhala m'kati mwamalire a dziko lililonse.
13-02	Aliyense ali ndi ufulu kuchoka m'dziko lililonse kuonjezerapo lake, ndiponso kubwerera ku dziko lake.
14-00	Ndime 14
14-01	Aliyense ali ndi ufulu kupeza mpumulo ndi kusangalala m'maiko ena m'mene angatetezedwe ku nkhaza.
14-02	Ufuluwu sungagwiritsidwe ntchito pa mlandu umene sukukhudza ndale, kapena mchitidwe omwe sugwirizana ndi zolinga ndi mfundo za bungwe la mgwirizano wa maiko (United Nations).
15-00	Ndime 15
15-01	Aliyense ali ndi ufulu kukhala ndi mtundu.
