00-00	xuanyanquanshijierenquanlianheguo
00-01	renshiliang: 
00-02	yichengrenrenpinben, gequanpingdengbakongtizemeichengyuanjiatingrenleiluojichuzhuziyou, gongpingbahepingshijie, 
00-03	shiqinfanbaguichangrenquanyiyinrengxingdongcanbaoqinfanliangxinrenlei, bayishijiedeziyouyanlunbaxinyang, kongqunpeineihaibaqiongjideguiluoyuanwanggaoge1lei, 
00-04	renquanpeidefalubaoweidimeikongpeisuiluanruluobanfaqiongdilonglizhiduqiangquanbayabi, 
00-05	qinpeiquanjiyifazhanguanxipengyougeminzu, 
00-06	renmingeruochengyuanlianheguobenxianzhangyilinbankendingnianxinrengquanjiben, renpin, jiazhimei, quanpingdengnannu, bayijuexincujinbushehuigongrugetiaojianxin, ziyouxin. 
00-07	geruochengyuanyiganjie, gongzuzhilianheguo, fendoucumeizunzhongbashixiangequangongrurengziyoujiben.        renshitong1rengquanbaziyouluoyaosuguanzhong1zhuyishixianzhaganjiene. 
00-08	, dahuitonglianheguoxuanbu: 
00-09	banxuanyanquanshijierenquanneluodouzhongzhubigegeruobabigegeminzudajiayishixianmubiaomeigerenbameizuzhishehui, jichukunjibanxuanyanne, fendoucushizunzhonggequanbaziyoujibentongguochuanbobajiaoyu, gongrufendoudanbaozhu meimin, wuzhenggeruochengyuanlianheguobawugelingtushuquanguanli, gongrenbashixianrengquanbaziyougexiaoguotongguorengbanfajiji, fanweiguojiahaiguoji. 
01-00	tiao1: 
01-01	bigemeishengdiaodeziyoubapingdengrenpinbaquan. meidiaodezaohuabanzhulizhibaliangxinbaqinpeiduichuxiaoqingpengyou. 
02-00	tiao2: 
02-01	meidiaodexiangbigerengquanbaziyoubiaobanxuanyanne, kongfenbiezhongzu, na, jiexing, yanyu, zongjiao, guandianzhengzhihaigeguandianke, yuanjiguojiahaishehui, caichan, chengfenchushenhaideweishehui. 
02-02	wai, gongkongbujushifenbiemiandeweizhengzhi, faquanhaiguojiguojiahailingtuchushen, zhuguojiahailingtudeduli, detazhiduweizhi, ziguanhaizhuquanxianzhi. 
03-00	tiao3: 
03-01	meidiaoquan, ziyoubaanquangeren. 
04-00	tiao4: 
04-01	kongaipeizhaonulihaibeiqiangbizhaoyirunuli;meixingshinulibanulidiaobeihenjin. 
05-00	tiao5: 
05-01	kongaibeichaxunhaibeiduichu, chufagecanbao, wuyindaohaixiarenpin. 
06-00	tiao6: 
06-01	meidiaoquandechengrenzigeluofaluwumeini. 
07-00	tiao7: 
07-01	bigemeidiaopingdengfalubadefalubaoweiruraokongbujushifenbiemian. bigemeidiaodebaoweiruraolimeixingshifenbieduichuweifanbenxuanyannegongrulimeixingweiqufenbieduichurupi. 
08-00	tiao8: 
08-01	meidiaoquandegezuoanguojiashenquanbingyuraofalurengxingweiweifangequanjibenyouxianfahailufaguiding. 
09-00	tiao9: 
09-01	kongaibeiba, jianninghainikegeduduan. 
10-00	tiao10: 
10-01	mei, zigepingdengmeifangmian, diaoquandezuoandulibawusifenchugongpingbagongkaidiquedingquan, yiwuhuobujuzuimiandui. 
11-00	tiao11: 
11-01	mei, beiguizuixingshi, diaoquandeluowuzuizhuqizuoangongkai, niyidebigerengdanbaoqinqiedipaozhu, zhengmingdezuizhuangyujichulufa. 
11-02	kongaibeijiezuixingshiweixingweihaishisaizekongbeiluozuixingshiraoguidinglufaguojiahaiguojishidian. gongrukongzhufayayongxingshichufaduizuixingshixinchouguidinglufabeizhudufanzuijutirupi. 
12-00	tiao12: 
12-01	kongaibeiganshegeduduanduijushengsi, jiating, niwuhaishuxingerengongrukongbeiqinfanmingyubaweixin. meidiaodefalubaoweilirengxingweiganshehuoqinfanrupi. 
13-00	tiao13: 
13-01	meidiaoquanziyoulibajuzhufanweilingtumeiguojia. 
13-02	meidiaoquankuaibujuruomian, jigeruo, gongruquanruo. 
14-00	tiao14: 
14-01	meidiaoquanxunjianbadenanwurengruokeqibeinuedai. 
14-02	quannekongdeyayongchanghedangshibeizhuisuweirengzuikongxingzhizhengzhihaiweirengxingweinuelimubiaobayuanzelianheguo. 
15-00	tiao15: 
15-01	meidiaoquanruguojiruomiandu. 
15-02	kongaibeixueduoguojihaibeiqueciquandeguojigeduduan. 
16-00	tiao16: 
16-01	nanhainusuichengniandiaoquanjiehunbajiatingkongbujuxianzhimianzhongzu, guojihaizongjiao. quanpingdengyijiehun, jushengfubalihun. 
16-02	yijiehunzhidejinxingqishitongyiwanquanbaziyuangebian. 
