00-00	UANDAKUA JURHIMBEKUECHERI K'UIRIPUECHERI PARHAKPENI ANAPU
00-01	Mitiparini eski janguarhikua, jurhimbekua ka no jupiperakua parhakpeni jimbo jupikuarhisindi jeioperakua jurhimbitku jangueri ka no ambe atarantskueri iamindu majku anapuecheri,
00-02	Mitiparini eski no eiangperakua ka isku eekua k'uiripuecheri jurhimbekua isi jimbosi xani no sesi kamerangajti; ka uandangajti, eski sanderu k'eri ambe ukua k'uiripuecheri, erokakua materu jaso irekakueri engakso k'uiripuecha, jurhajkutini ia chekua ka komu jaangua, sesi marhuataakaksi uandakua ka mamaru jarhati jakajkukuechani,
00-03	Mitiparini sesimindu eski k'uiripuecheri jurhimbikuecha kuajpengaaka K'eri jurhimbikua jimbo, jimbokakso iso k'uiripuecha uatiksi no ambe jupikuarhini ka jauarani no sesi kamberakua jimbo,
00-04	Mitiparini istu eski uetarisinga etsekuni ka k'uiriperani iretecheri sesi pajperakua,
00-05	Mitiparini eski iretecha, Iretecheri kunguarhikua sesi jimbomendu uandajti ia imecheri jakajkua K'eri karakatarhu k'uiripuecheri jupikuarhikua jurhimbekueri, k'uiripueri k'uratsekua ka ts'iuekua ka majku jasi jukaparhperakua ts'iueriticheri ka uarhecheri; ka uandastiksi ia eskaksi uaka ambakiti ambe ireskuni ka irekakua ambe sesi uaxastani eratsiparini eskaksi usinga janguarhikuarhini,
00-06	Mitiparini eskiksi K'erhati Irechekuecha eiakurhistiksi sesi, jarhaujpeni indeni kunguarhikua Organisasioni de las Nasionesi Unidasi jingoni, iamendu jangangarperani ka urauani jurhimbekuechani ka janguarhikuechani k'uiripuecheri, ka
00-07	Mitiparini eski sesi mitiakaksi iamendu ieni jasi jurhimbekuechani ka janguarhikuechani sanderu jukaparhakuesti ka inde eiakurhikuani uni isi ukuarhini,
00-08	K'ERI TANGUARHIKUA uandasindi
00-09	I K'eri Uandakua K'uiripuecheri Jurhimbikuecha Parhakpeni Anapu iamenduchani majku jasi eraaparini eskiksi iamendu iretecha janguarhentaakaksi, eskaksi xani k'uiripuecha eski k'umanchikua juramukuecha imani exeparini mititpeakaksi jorhentpeparini ka kaxomperakua jimbo, ini ambe jangangarhini, uaxastaatikso, sangani arhipani iapurhu iso, jiokurhingaati ka sesi urangaati, xani iretecha engakso kurhpitini jaka ka engaksojtu iretecha jima jupindakuarhitini jaka.
01-00	Arhujtakua 1
01-01	Iamendu k'uiripuecha janguarhiparini ka majku jarhati ka jurhimbekuecha jingoni kueraangasondikso ka, juajtakuarhisindiksi ambakiti eratsekua ka kaxumbikua, jatsistiksi eskaksi sesi arhijperaaka.
02-00	Arhujtakua 2
