00-00	MUKAMBIZHO MUKATAMPE PA NSAMBU YAFWAINWA MUNTU
00-01	Byo kyayukanyikwa mba buneme ne kwesakena pamo kwa bonse bantu mubisemi byabo, kokuleta kukasuluka, bololoke ne mutende pano pa ntanda;
00-02	Byo kyaykanyikwa mba kubula kushingika muntu kileta byubilo byatama byalula milanguluko yanji ne ya ntanda yonse moekala kasa asangalala;
00-03	Byokiji mba kyanema, kubula kukanjikizna muntu kuba kyatama, kubula kusatukila butangi, kyawama kumona mba nsambu iji na muntu yavimbilwa,
00-04	Byokiji mba kyanema kuleta lumvwanano pakachi ka bantu ne mitundu,
00-05	Byokiji mba bisaka bya bantu mu kije kya United Nations byaitabuzhanya mba muntu wafwainwa kwikala na nsambu ya kwikala wakasuluka, waesakena pamo na bantu bakwabo wingijila pamo na bakwabo bantu,
00-06	Byokiji mba byalo byaswisha limvwanano kupichila mkije kya United Nations ne kumona mba byalama munemw wa kunemeka bantu,
00-07	Byokiji mba kolondela ino milaye ne mikambizho kyanema,
00-08	Kine, nanchi kije kya General Assembly kyaitaba mba Uno mukambizho mukatampe wapana nsambu ku muntu kwikala wakasuluka, ekale ke wakuyulula mikoka yonse ya bantu kikupu amba yense muntu nangwa kije kyonse kilondela uno mukamizho, kikekala ke kya kumwenako
00-09	MUKAMBIZHO MWINE PA MAMBO A KUKASULUKA KWA MUNTU MBWIKALO
01-00	Kinembelo 1
01-01	Bonse bantu basemwa bakasuluka kabiji baesakena pamo mubuneme. Baji na maana a kulanguluka kabiji bobila bantu bakwabo byubilo bakwibasekesha.
02-00	Kinembelo 2
02-01	Yense muntu uji na nsambu kabiji wakasuluka mwaila mukambizho, kwakubula kutala pa mutundu, mukoka, lwitabilo lwanij mu bya ntanda, bya Lesa, nangwa milanguluko yanji, kana wa mulume nangwa wa mukazhi, bunonshi nangwa bwikalo, kifulo kyanji ne bikwabotu bintu.
02-02	Kikwabo, kechi pakekala lupusano pa byabumulwila ntanda nangwa lwa kyalo mwikala yeo muntu ne nangwa kyalo kyatambula bwana bwakyo, nangwa bekilama, nangwa bakikiwila.
03-00	Kinembelo 3
03-01	Yense muntu uji na nsambu ya kwikala na bumi, wakasuluka kabiji wavimbilwa.
04-00	Kinembelo 4
04-01	Kafwako nangwa umo ukekala muzha nangwa wa kwingijila mukwabo muntu kwakubula malipilo; buzha kechi bukekalako ine.
05-00	Kinembelo 5
05-01	Kafwako nangwa umo ukamanyikwanga nangwa kumuyan jishane.
06-00	Kinembelo 6
06-01	Yense wafwainwa kulangulukila amba muntu mwaila mizhilo.
07-00	Kinembelo 7
07-01	Bonse bantu baesakena pamo mwaila mizhilo kabiji kechi bafwainwa kwibasalulula mwaila mizhilone. Bonse bafwainwa kuvimbilwa.
08-00	Kinembelo 8
08-01	Yense muntu mwaila mizhilo wavimbilwa ku mikambizho yatama ya kyalo yabula kuilamo.
09-00	Kinembelo 9
09-01	Kafwako nangwa umo ye bakakasa nangwa kumupanga mukyalo kwa kubula mambo ne.
10-00	Kinembelo 10
10-01	Yense muntu uji na nsambu ya kumumvwina mambo o ejizhanya.
11-00	Kinembelo 11
