00-00	Vseobshchaya deklaratsiya prav cheloveka
00-01	Prinimaya vo vnimanie, chto priznanie dostoinstva, prisushchego vsem chlenam chelovecheskoi semi, i ravnykh i neotemlemykh prav ikh yavlyaetsya osnovoi svobody, spravedlivosti i vseobshchego mira; i
00-02	prinimaya vo vnimanie, chto prenebrezhenie i prezrenie k pravam cheloveka priveli k varvarskim aktam, kotorye vozmushchayut sovest chelovechestva, i chto sozdanie takogo mira, v kotorom lyudi budut imet svobodu slova i ubezhdeny i budut svobodny ot strakha i nuzhdy, provozglasheno kak vysokoe stremlenie lyudei; i
00-03	prinimaya vo vnimanie, chto neobkhodimo, chtoby prava cheloveka okhranyalis vlastyu zakona v tselyakh obespecheniya togo, chtoby chelovek ne byl vynuzhden pribegat, v kachestve poslednego sredstva, k vosstaniyu protiv tiranii i ugneteniya; i
00-04	prinimaya vo vnimanie, chto neobkhodimo sodeistvovat razvitiyu druzhestvennykh otnosheny mezhdu narodami; i
00-05	prinimaya vo vnimanie, chto narody Obedinennykh Natsy podtverdili v Ustave svoyu veru v osnovnye prava cheloveka, v dostoinstvo i tsennost chelovecheskoi lichnosti i v ravnopravie muzhchin i zhenshchin i reshili sodeistvovat sotsialnomu progressu i uluchsheniyu uslovy zhizni pri bolshei svobode; i
00-06	prinimaya vo vnimanie, chto gosudarstva-chleny obyazalis sodeistvovat, v sotrudnichestve s Organizatsiei Obedinennykh Natsy, vseobshchemu uvazheniyu i soblyudeniyu prav cheloveka i osnovnykh svobod; i
00-07	prinimaya vo vnimanie, chto vseobshchee ponimanie kharaktera etikh prav i svobod imeet ogromnoe znachenie dlya polnogo vypolneniya etogo obyazatelstva,
00-08	Generalnaya Assambleya,
00-09	provozglashaet nastoyashchuyu Vseobshchuyu deklaratsiyu prav cheloveka v kachestve zadachi, k vypolneniyu kotoroi dolzhny stremitsya vse narody i gosudarstva s tem, chtoby kazhdyi chelovek i kazhdyi organ obshchestva, postoyanno imeya v vidu nastoyashchuyu Deklaratsiyu, stremilis putem prosveshcheniya i obrazovaniya sodeistvovat uvazheniyu etikh prav i svobod i obespecheniyu, putem natsionalnykh i mezhdunarodnykh progressivnykh meropriyaty, vseobshchego i effektivnogo priznaniya i osushchestvleniya ikh kak sredi narodov gosudarstv-chlenov Organizatsii, tak i sredi narodov territory, nakhodyashchikhsya pod ikh yurisdiktsiei.
01-00	Statya 1
01-01	Vse lyudi rozhdayutsya svobodnymi i ravnymi v svoem dostoinstve i pravakh. Oni nadeleny razumom i sovestyu i dolzhny postupat v otnoshenii drug druga v dukhe bratstva.
02-00	Statya 2
02-01	Kazhdyi chelovek dolzhen obladat vsemi pravami i vsemi svobodami, provozglashennymi nastoyashchei Deklaratsiei, bez kakogo by to ni bylo razlichiya, kak-to v otnoshenii rasy, tsveta kozhi, pola, yazyka, religii, politicheskikh ili inykh ubezhdeny, natsionalnogo ili sotsialnogo proiskhozhdeniya, imushchestvennogo, soslovnogo ili inogo polozheniya.
02-02	Krome togo, ne dolzhno provoditsya nikakogo razlichiya na osnove politicheskogo, pravovogo ili mezhdunarodnogo statusa strany ili territorii, k kotoroi chelovek prinadlezhit, nezavisimo ot togo, yavlyaetsya li eta territoriya nezavisimoi, podopechnoi, nesamoupravlyayushcheisya ili kak-libo inache ogranichennoi v svoem suverenitete.
03-00	Statya 3
03-01	Kazhdyi chelovek imeet pravo na zhizn, na svobodu i na lichnuyu neprikosnovennost.
04-00	Statya 4
04-01	Nikto ne dolzhen soderzhatsya v rabstve ili v podnevolnom sostoyanii; rabstvo i rabotorgovlya zapreshchayutsya vo vsekh ikh vidakh.
05-00	Statya 5
05-01	Nikto ne dolzhen podvergatsya pytkam ili zhestokim, beschelovechnym ili unizhayushchim ego dostoinstvo obrashcheniyu i nakazaniyu.
06-00	Statya 6
06-01	Kazhdyi chelovek, gde by on ni nakhodilsya, imeet pravo na priznanie ego pravosubektnosti.
07-00	Statya 7
07-01	Vse lyudi ravny pered zakonom i imeyut pravo, bez vsyakogo razlichiya, na ravnuyu zashchitu zakona. Vse lyudi imeyut pravo na ravnuyu zashchitu ot kakoi by to ni bylo diskriminatsii, narushayushchei nastoyashchuyu Deklaratsiyu, i ot kakogo by to ni bylo podstrekatelstva k takoi diskriminatsii.
08-00	Statya 8
08-01	Kazhdyi chelovek imeet pravo na effektivnoe vosstanovlenie v pravakh kompetentnymi natsionalnymi sudami v sluchayakh narusheniya ego osnovnykh prav, predostavlennykh emu konstitutsiei ili zakonom.
09-00	Statya 9
09-01	Nikto ne mozhet byt podvergnut proizvolnomu arestu, zaderzhaniyu ili izgnaniyu.
10-00	Statya 10
10-01	Kazhdyi chelovek, dlya opredeleniya ego prav i obyazannostei i dlya ustanovleniya obosnovannosti predyavlennogo emu ugolovnogo obvineniya, imeet pravo, na osnove polnogo ravenstva, na to, chtoby ego delo bylo rassmotreno glasno i s soblyudeniem vsekh trebovany spravedlivosti nezavisimym i bespristrastnym sudom.
11-00	Statya 11
