00-00	ptiyyaasaaklwaadwysittimnusychn
00-01	doytiikaarymrabnabtueekeiiyrtisakdiprachamtaw laeasittiteaateiiymkanlaeaonmidaikongbrrdaa smaachik tang hlaayhaengkrobkraw mnusypeonhlakmuulhetuhaengisrpaap kwaamyutitrrm laeasantipaapnailok
00-02	doytiikaarmainampaalaeakaarheyiiydhyaamtosittimnusychn yangplhaimiikaarhratamanpaateueen siingpeonkaarlameidmnotrrmkongmnusychaatiyaangraayraeng laeatai[dai]miikaarprakaaswaa pnitaansuungsudkongsaamaychndaikaekwaamtongkaarhaimnusymiichiiwityuunailokdwyisrpaapnaikaarpuud laeakwaamcheueetuee laeaisrpaappnchaakkwaamhwaadklawlaeakwaamtongkaar
00-03	doytiipeonkaarchampeonyaangyingtiisittimnusychnkwrdairabkwaamkumkrongdoyhlakbangkabkongkdhmaay  taamaiprasngkchahaikntkyuunaibangkabhaihankeaahaakaarkbtkadkueentotrraachlaeakaarkdkiipeonwitiitaangsudtaay
00-04	doytiiprachaakrhaengshprachaachaatidaiyueenyanwainaikdbatrtuengkwaamcheueemannaisittimnusychnanpeonhlakmuul naikeiiyrtisakdilaeakunkaakongmnusylaeanaisittiteaateiiymkankongbrrdaachaaylaeahying laeadaitklngchaitiichasngserimkwaamkaawhnaataangsangkm laeamaatrtaanhaengchiiwittiidiikuendwynaiisrpaap ankwaangkwaangyingkuen
00-05	doytiiratsmaachiktaangpdiyaanchahaibrrlutuengsuengkaarsngserimkaarkeaarplaeakaarpdibatitaamtawsaakltosittimnusychnlaeaisrpaaphlakmuul doyrwmmueekabshprachaachaati
00-06	doytiikwaamkeaachairwmkannaisitti laeaisrpaaphelaaniipeonsingsamkayyaangying peueehaiptiyaanniisamreochplteombribuurn.
00-07	chanan badnii smachchaachuengprakaaswaa
00-08	ptiyyaasaaklwaadwysittimnusychnnii peonmaatrtaanrwmkanhaengkwaamsamreochsamhrabbrrdaaprachaakrlaeaprachaachaatitanghlaay peueechudhmaayplaaytaangtiiwaa ekchntukknlaeangkkaarchongsangkmtukongkkaar doykaarramluektuengptiyyaaniipeonneueengnich chabaakbanpyaayaamdwykaarsonlaeasueksaa naiantiichasngserimkaarkeaarpsittilaeaisrpaaphelaanii laeadwymaatrkaarankaawhnaatangnaiprateslaearahwaangprates naiantiichahaimiikaarymrabnabtuee laeakaarptibatitaamdoysaakllaeayaangpeonplchringchang tangnaibrrdaaprachaachnkongratsmaachikdwykaneng laeanaibrrdaaprachaachnkongdindaentiiyuutaiaamnaachkongratnan ²
01-00	k 1
01-01	mnusytanghlaaykeidmaamiiisralaeasemopaakkannaikeiiyrtisakd[keiiyrtisakdi]laeasitti taangmiihetupllaeamnotrrm laeakwrptibatitokandwychetnaarmnhaengpraadrpaap
02-00	k 2
02-01	tukknymmiisittilaeaisrpaapbrrdaatiikamhndwainaiptiyyaanii doypraaschaakkwaamtaektaangmaiwaachniddai ² dangchen cheueechaati piw pes paasaa saasnaa kwaamkidheontaangkaarmeueenghrueetaangueen peaapantuhaengchaati hrueesangkm trapysin kamneid hrueestaanaueen ²
02-02	nuengchamaimiikwaamtaektaangdai ² taammuultaanhaengstaanataangkaarmeueeng taangkaarsaal hrueetaangkaarrahwaangprateskongprateshrueedindaentiibukklsangkad maiwaadindaenniichapeonekraach yuunaikwaampitaksmidaipkkrongtneng hrueeoyuupaaytaikaarchamkadotiptaiydai ² tangsin
03-00	k 3
03-01	kntukknmiisittinaikaardamrngchiiwit seriipaap laeakwaammanknghaengtawtn
04-00	k 4
04-01	bukkldai ² chatuukyuedpeontaas hrueetongpaarachamymmaidaikwaampeontaas laeakaarkaataaspeonhaamkaadtukruup
05-00	k 5
05-01	bukkldai ² chatuuktrmaanhrueedairabplptibati hrueekaarlngtostiihodraaypidmnusytrrmhrueetamchaamaidai
06-00	k 6
06-01	tukknmiisittitiichadairabkaarymrabnabtueewaa peonbukkltaamkthmaaytukhaenghn
07-00	k 7
07-01	tukknsemokantaamkthmaaylaeamiisittitiichadairabkwaamkumkrongkongkthmaayteaatiiymkan doypraaschaakkaarleueekptibatidai ² tukknmiisittitiichadairabkwaamkumkrongteaateiiymkanchaakkaarleueekptibatidai ² anpeonkaarlwnglameidptiyyaa laeachaakkaaryuynghaikeidkaarleueekptibatidangklaaw
08-00	k 8
08-01	tukknmiisittitiichadairabbambadanpeonplchringchangchaaksaaltiimiiamnaachhaengchaatitokaarkratamanlameidsittihlakmuul suengtndairabtaamrattrrmnuuyhrueekthmaay
09-00	k 9
09-01	bukkldaichatuukchabkum kakkang hrueenertespaitaangtindoyplkaarmaidai
10-00	k 10
10-01	tukknmiisittidoysemopaakteomtiinaiantiichadairabkaarpichaarnaatiipeontrrmlaeapeidpeychaaksaaltiiisralaeateiiyngtrrmnaikaarkamhndsittilaeahnaatiikongtnlaeakaarkratampidaachyaadai ² tiitntuukklaawhaa
11-00	k 11
11-01	tukkntiituukklaawhaawaakratampidtaangaachyaa miisittitiichadairabkaarsannistaanwaikonwaabrisuttichnkwaachapisuuchndaiwaamiipidtaamkthmaaynaikaarpichaarnaapeidpey suengtndairabhlakprakanbrrdaatiichampeonsamhrabkaartosuukdii
