00-00	Mannrettindayfirlysing Sameinutho THjothanna.
00-01	THath ber ath vithurkenna, ath hver mathur se jafnborinn til virthingar og rettinda, er eigi verthi af honum tekin, og er thetta undirstatha frelsis, rettlaetis og frithar i heiminum.
00-02	Hafi mannrettindi verith fyrir borth borin og litilsvirt, hefur slikt haft i foer meth ser sithlausar athafnir, er ofbothith hafa samvizku mannkynsins, enda hefur thvi verith yfir lyst, ath aethsta markmith almennings um heim allan se ath skapa veroeld, thar sem menn fai notith malfrelsis , trufrelsis og ottaleysis um einkalif afkomu.
00-03	Mannrettindi a ath vernda meth loegum. Ath oethrum kosti hljota menn ath gripa til thess oerthrifaraths ath risa upp gegn kugun og ofbeldi.
00-04	THath er mikilsvert ath efla vinsamleg samskipti thjotha i milli.
00-05	I stofnskra sinni hafa Sameinuthu thjothdirnar lyst yfir tru sinni a grundvallaratrithi mannrettinda, a goefgi og gildi mannsins og jafnretti karla og kvernna, enda munu thaer beita ser fyrir felagslegum framfoerum og betri lifsafkomu meth auknu frelsi manna.
00-06	Athildarrikin hafa bundizt samtoekum um ath efla almenna virthingu fyrir og gaezlu hinna mikilsverthustu mannrettinda i samrathi vith Sameinuthu thjothirnar.
00-07	Til thess ath slik samtoek megi sem best takast, er thath akaflega mikilvaegt, ath almennur skilningur verthi vakinn a ethli slikra rettinda og frjalsraethis.
00-08	Fyrir thvi hefur allsherjarthing Sameinuthu thjothanna fallizt a mannrettindayfirlysingu tha, sem her meth er birt oellum thjothum og rikjum til fyrirmyndar. Skulu einstaklingar og yfirvoeld jafnan hafa yfirlysingu thessa i huga og kappkosta meth fraethslu og uppeldi ath efla virthingu fyrir rettindum THeim og frjalstraeTHi, sem her er ath stefnt. Ber og hverjum einum ath stuthla THeim framfoerum, innan rikis og rikja i milli, er ath markmithum yfirlysingarinnar stefna, tryggja almenna og virka vithurkenningu a grundvallaratrithum hennar og sja um, ath THau verthi i heithri hoefo, baethi methal THjotha athildarrikjanna sjalfra og methal THjotha a landsvaethum THeim, er hlita loegsoegu athildarrikja.
01-00	1. grein.
01-01	Hver mathur er borinn frjals og jafn oethrum ath virthingu og rettindum. Menn eru gaeddir vitsmunum og samvizku, og ber theim ath breyta brothurlega hverjum vith annan.
02-00	2. grein.
02-01	Hver mathur skal eiga kroefu a rettindum theim og thvi frjalsraethi, sem folgin eru i yfirlysingu thessari, og skal thar engan greinarmun gera vegna kynthattar, litarhattar, kynferthis, tungu, truar, stjornmalaskothana etha annarra skothana, thjothernis, uppruna, eigna, aetternis etha annarra athstaethna.
