00-00	Chipalinnesal deklarasijachi nari dorolboni
00-01	Morondzi boddoumari nari narre esini boldzitta chipalinnesaldu nari numiduni omottommo evvuri tanandda dorochi tari buni gevu tekkeni, tede tekkeni, emi valle bivvuri tekkeni;
00-02	morondzi boddoumari tari nari dorroni boldzittauri baldzurini valikhkha tari gossullini nari irkani, andupuri tamache bivvurre, khamachedu gurusel keselu olichi, bilichi emeri nelle, emeri sunedzdze chava doldappula nari gugdama moroninechi;
00-03	morondzi boddoumari nari dorroni etteumi tovvuri ge kusudzini kairambudzdzi, nari dzobomi paulimi ebuddoni valimachche boldzidzesaltai;
00-04	morondzi boddoumari tari belechimi ovvuri gurusal andailnachi bibuddochi;
00-05	morondzi boddoumari tari Obedinonneja Nasija gurulni nurikhachi Ustavidu mene aktarivari nari daji doromboni, nari mangani samari chomi toichi belechibuddori sosialinei progressitei bikkochi ulingaulinga opomi daji gevudzi bimeri;
00-06	morondzi boddoumari tari goi bosal chlenuchi toktoumachikhachi belechibuddori Organisasijando Obedinonnei Nasijando gese uilemeri nari dorroni gebubuddori, nari dorronnu, nari dajima gevvonnu itechimeri orro;
00-07	morondzi boddoumari tari chipalinnesal sarivachi doro morombonnu, gevu morombonnu tari aktavvurre dzin ulinga khodzidala andumi.
00-08	Generalina Assambleja
00-09	doldandzini esipchi Chipalinnesal Deklarasijachi nari dorolboni sadachanudzdzi dapagachchi chava andumi mutteitemi chipalinne gurusel, bosol chomi gedadda nari, gedadda khupa organuni gegdeke aktamari esipchi Deklarassijja, kaksilol allaupuri daruni, tattuchchuri daruni tari dorolb , tari gevulbe gebubuddochi belechchilol. Chope nasionalinejju mestunarodnejju progressivnejju meroprijatijel daruchi anduitami pergelol chipalinnepa ulingadzi savvombonda, khodzidala anduponda cha sadachalba bo guruni dodunnu, khupa chlenuni dodunnu, na guruni dodunnu khamache jurisduksijedu noni buni.
01-00	Statija 1
01-01	Chipali gurunne baldzichi gevume, omotto mene morondzi, mene dorondzi. Nochi idelu, irkalu, mene mendzi nadaktanachi buchi.
02-00	Statija 2
02-01	Khamachedda chipali nari nadassichi chipali dorolbo, chipali gevulbe esipchi deklarasijadu doldappulalba khaivadda khonidda epule kadachche: goi khaladda bidzini, kherekteni sillanidda goi bidzini, khusennedde-ektenneddobidzini, kesenidde goi bidzini, religijanidda goi bidzini, politicheskidde goidde tedeni, gurumadda sosialineidde tekkeni bidzini, abdulusaldda, bajandzisaldda sunedzdziseldde bidzini.
02-02	Tamachchu evvuri to khamachedda chipali kadakko politicheskeidde doromomoddo guru-gurumama tekkello bo statusseni, na statusseni, khamachedu nari buni, bidzini tari na sisa bu, nuide kikhandzi bu, mene esi dzangerra bu kamalichipula suverinitetuludde bu.
03-00	Statija 3
03-01	Khamachedda chipali nari nadassichi chipali doroni buni bivvvuritei, gevutei, mene-mendzi sisa bivvuritei.
04-00	Statija 4
04-01	Nuidde elini be boldzitadu, boldzittauri dorondu; boldzitadda, bolumba khudasurredda kheressuri khamachedda khonidda bidzini.
05-00	Statija 5
05-01	Nuidde nuivedde edzili pachche, dzin katudzi, naridzi khanasai edzili bulmechche noni moromboni sengeremmu kesulemmu.
06-00	Statija 6
06-01	Khamachedda chipali nari, khaidudda bimi doroni buni noni pravosubeknoseni sabuddochi.
07-00	Statija 7
07-01	Chipali gurusal gedu omotto dorolchi bini nuidde bidzini omotto ge aksachchuritaini. Chipali gurusal dorochi buni omotto aksachchuritai khamachedda chipali boldzitadu, boldzitta imochchuridu esipchi deklarasijja kamalichchitai.
08-00	Statija 8
08-01	Khamachedda chipali nari doroni buni noni daji dorolboni konstitusijja. Gekke bukhembeni kamalichikhanduchi kompetentnei guruma suduselbe ulingamanudzi anduttombumi.
09-00	Statija 9
09-01	Nuivedde edzilil bai aristovaira, edzilil dappa, edzilil khasasi.
10-00	Statija 10
10-01	Khamachedda chipali nari noni dorronni noni uilekkonni sabuddochi, noni ugolovnei baitani teddeni nottoini uchchimbechi sabuddochi, doroni buni omotto bivvuri tekkenduni noni baittani kesedzi erobuddochi mene sisa bu bespristrasnei sududu ne dzerudarra tedde gelemi.
11-00	Statija 11
11-00	Khamachedda chipali nari, nuive baitallechi, doroni buni mepi baitala ana opomi sudu baittani bavvotallani gemdzdzi kesedzdzu baittani eromi, telidde notoini bumi khaivadda chipali aksachchuridu.
