00-00	Khalakh pravisen pietiemieshle deklaratsiyie
00-01	Euem pravisen Pieuiemieshle Deklaratsiyie, Grazhdansen uaua poliuika pravisen Khalakhsen khfshshinchi Kilieshievie uaua Ekonomika, sotsialla pfrnatpa kflufra pravisen Khalakhsem khfshshinchi Kilieshievie / pfrie pierle Euem pravisen Pieuiem uiencheri Khariuiyie yaupa pierleshiense uarakansem/pieuiemieshline uaua viesene pfr tierue khiseplemelle,
00-02	pfrnatlamalla pflnine shfua ilse,
00-03	khalakhsen firam pfranma iriek pfrrine shfua ilsen ue, pfr paushalakh ua euem pravisene pakhanmannine kfrsa uaua Euem pravisen Pieuiem uiencheri Kharuiyie khaliekhe pfrue fsa kfrmalla pflsa uamannine shfua ilse,
00-04	firam tynsen uaua khalakhsen kflufra, natsiliekh, chielkhe uaua eunika uielieshiepe pier pek pflma iriek pfrrine iyshansan kana euem pravisene pfrnata kierume mai pfrrine shfua ilse, pier vakhaurakh uierlie khalakhsem pfranni kana pfr kflufrana, chielkhene, as-khakal iali-iierkine sykhlasa khavarmalli uaua aualanuarmalli channipekh kirlie larf-uarf pflnine shfua ilse,
00-05	khalakhsem, kflufrasem, chielkhesem uaua as-khakal iali-iierki uierlieren pflni euem pfrnatien chan-chan pfyanlakhie uaua tfu tanualak uiesiesen nfmai enliekhie Sier tinchi pfrnata uasma mai pani pekekh euemliekh malashne pfranassin uaua aualanassin anatlakhie fnran kilnine shfua ilse,
00-06	yalan uenie pekekh, khalakhsen iemierie euemliekh isuoriyienche paushalakhsenninchen varamrakh pflnine shfua ilse,
00-07	euemien uaua khalakhsen pieuiemieshle pravisen pieuiem uiencheri pravan firalmi paiie pflnine PNOna kiemen khalakhsen organizatsiyien Generalnai Assambleii tiriepleueu uaua takna chyslan pieluereu / Khalakhsen pravisen Pieuiemieshle Deklaratsine/:
01-00	1 statya
01-01	Pfr khalakh ua firam pfranma pier uan pravalla. Sak pravapa fsa kfrsa viesem khaisen poliuika suaufsne irieklien ufsa khfrattie, ekonomika, obshchesuvo uaua kflufra eniepe irieklien aualanattie. Paushalakhsen tak pravana khiseplemelle, uerriuori pier pieuiemliekhien printsipie fnpa fsa kfrma pier enlien charsa uarakan charmav pflmalla mar.
02-00	2 statya
02-01	Pfr khalakh ua uivietlie uaua khisepre pfranma pier uan pravalla.
02-02	Pfr paushalakhan ua fnua pfranakan khalakhsene pier uan uaua uieries pakhmalla.
03-00	3 statya
03-01	Pfr khalakhan ua khai iemieruenpe pfranna uerriuorire pfranma iriek pfr, fnua viesem khaisem uiellien pfranmalli pravapa fsa kfrma pfluarattie. Khalakh khai e kfnui uerriuori inueresiesem viesene ue pyrsa uiveken khalakhsem kilieshmesen, ana nikam ua khaiien uerriuoriyienchen khavalasa kalarsa yaoaimasu, tak uerriuorie pieuiemieshle e paian-paian uyusa ileimesu, mienle ue pflin maipa flashuaraimasu.
04-00	4 statya
04-01	Pfr khalakhan ua khai iemieruenpe pfranna uerriuorie uavranma iriek pfr / enchen ue viesene fnuan khavalasa yana e viesen uerriuorine 3 suauyana passa vaina uyusa ilnie pflsan/.
05-00	5 statya
05-01	Pfr khalakhan ua khaiien tfu tanualak pfyanlakhiepe uaua resfrsiesempe nikama ua pakhanmasar fsa kfrma iriek pfr. Savan pekekh pfr khalakhan ua as-uan khaparlakhiepe fsa kfrma iriek pfr. Viesen yuui pfr khalakhan tfu tanualak pfyanlakhiepe uaua resfrsiesempe fsa kfrmalli tavan pek pravine khisepleme uivietlie.
06-00	6 statya
06-01	Pfr khalakhan ua khaine iierkelenme uaua sakkfnla predsuaviueliesen organiesene ufsa khfma iriek pfr. Unua viesem, kamal pflsan, khaisen diasporine ue kierume pfluarattie.
07-00	7 statya
07-01	Uiram pfranmalli pravapa fsa kfrna mai, khalakhsem, kamal ufsan, khaisene khaisem uyusa uama uaua khaisen uerriuoriyienche uivietlie khai uyuamlakh organiesem ufsa khfma pfluarattie.
08-00	8 statya
08-01	Uiram pfranmalli pravapa nikama pakhanman paushalakh ufsa khfmasar mai kilmen chfkhne val khaiien shfune nikama ua pakhanman paushalakh ufsa khfmalli irieke ue kierueu.
09-00	9 statya
09-01	Pfr khalakhan ua khaine sykhlasa khavarma uaua tfu uienchere pfranma iriek pfr. Sakhal iyshla khalakhsem sienlie demografi poliuikin irieklie obekchie pflma pfluaraimattie, viesene vaipa kftarsa kaima uaua acha tfrauassine khyua uierieslese uama yuramasu.
10-00	10 statya
10-01	Pfr khalakhan ua mirlie pfranma iriek pfr. Paushalakhan khaiien firam pfranmalli iriekpe lapkan fsa kfrakan khalakhsene uapanmalla mar. Khalakhsem, enchen ue viesene khiriet vaipa fsa kfrsan, khaisene khuuieleme irieklie.
11-00	11 statya
11-01	Pfr khalakhan ua kharfshlakhsar pfranma uaua uiencheri yuui khalakhsen khuuuipe fsa kfrma iriek pfr.
11-02	Viesene genotsidran, viesene khiriet sakkfna passa vaipa fsa kfrassinchen, val shfura uerrorizmran ua, sykhlamalla.
12-00	12 statya
12-01	Pfr khalakhan ua ekologi eniepe kharfshlakhsar pfranma uaua pfranakan uavralakha fprasa khavarma iriek pfr.
13-00	13 statya
