00-00	maanava adhikaaronii vishvavyaapii ghossannaa
00-01	kema ke maanavakuttumbanaa dareka sabhyanii paramparaa-praapta pratisstthaane ane samaana ane asamkaamya adhikaarone maanyataa aapavii e jagatanii svatamtrataa, nyaaya ane shaamtino paayaa che,
00-02	kema ke maanava adhikaaronii upekssaa ane apamaana karavaathii evaam jamgalii katyo parinnamyaam che ke jenne maanavajaatanaa amtgujarati sign visargakarannamaam ballavo jagavyo che ane saamaanya lokonii uumcaamaam uumcii mahattvaakaamkssaa tariike evii duniyaanaa aagamananii jaaheraata karavaamaam aavii che, jemaam maanavo vaannii ane vicaaranii svatamtrataa bhogavashe ane bhaya tathaa achatamaamthii mukita mellavashe,
00-03	kema ke jo maannasane aakharii upaaya tariike julama ane atyaacaara saame ballavo pokaaravaano aashraya levaanum dabaanna karaavavum na hoya to kaayadaanii sattaa dvaaraa maanava adhikaarone rakssanna aapavum joie,
00-04	kema ke raassttro vacce maitriisambamdhono vikaasa baddhaavavaanum jaruurii che,
00-05	kema ke samyukata raassttronaa lokoe khatapatramaam muullabhuuta maanava adhikaaromaam maanaviinii pratisstthaa ane muulyamaam ane sriipurussonaa samaana adhikaaromaam temanii shraddhaa pungujarati sign visarga sthaapita karii che ane vishaallatara svaatamtryamaam saamaajika pragati ane ucca jiivanadhoranna baddhaavavaano nishcaya karyo che,
00-06	kema ke sabhya raajyoe samyukata raassttronaa sahakaaramaam maanava adhikaaronaa ane muullabhuuta svatamtrataaonaa vishvavyaapii maanamaam vrddhi karavaanii ane tenum paalana karavaanii pratijnyaa liidhii che,
00-07	kema ke aa pratijnyaanii sampuurnna siddhi maatte aavaa adhikaaro ane svatamtrataaonii saamaanya samajanna hovii e khuuba ja mahattvanum che,
00-08	ettale have,
00-09	saamaanya sabhaa
00-10	sarva bhoko ane raassttro maatte siddhinaa saamaanya dhoranna tariike maanava adhikaaronii aa vishvavyaapii ghossannaanii evaa hetuthii jaaheraata kare che, ke dareka vyakti ane samaajanum dareka amga, aa ghossannaane satata dhyaanamaam raakhiine upadesha ane shikssanna dvaaraa aa adhikaaro ane svatamtrataao maatte maananii laagannii pragattgujarati sign visargavavaa ane raassttriiya ane aamtararaassttriiya pragatishiila upaayo dvaaraa, sabhya raajyonaa lokomaam temaja temanii hakumata hetthallanaa pradeshomaamnaa lokomaam teno sarvasaamaanya ane asarakaaraka sviikaara ane paalana karaavavaa maatte prayatna karashe.
01-00	anuccheda 1:
01-01	pratisstthaa ane adhikaaronii drssttie sarva maanavo janmathii svatamtra ane samaana hoya che. temanaamaam vicaarashakti ane amtgujarati sign visargakaranna hoya che ane temanne paraspara bamdhutvanii bhaavanaathii vartavum joie.
02-00	anuccheda 2:
02-01	dareka vyaktine jaati, ramga, limga, bhaassaa, dharme, raajakiiya athavaa biijaa abhipraaya, raassttriiya athavaa saamaajika udbhavasthaana, milakata, janma athavaa mobhaa jevaa koipanna jaatanaa bhedabhaava vagara aa dhossannaamaam rajuu karavaamaam aavelaa sadhallaa adhikaaro ane svatamtrataa bhogavavaano hakka che.
02-02	vadhumaam koipanna vyakti te svatamtra, ttrastta hetthallanaa svashaasana hetthalla na hoya tevaa athavaa saarvabhaamatvanii biijii koipanna maryaadaa hetthalla aavelaa desha athavaa pradeshanii hoya to panna raajakiiya, haphamavavissayaka athavaa aamtararaassttriiya mobhaanaa dhoranne tenii saathe koipanna bhedabhaava raakhavaamaam aavashe nahi.
03-00	anuccheda 3:
03-01	dareka vyaktine jiivavaano, svatamtrataano ane svarakssannano adhikaara che.
04-00	anuccheda 4:
04-01	koine panna gulaamii athavaa paraadhiina dashaamaam raakhavaamaam aavashe nahi; dareka prakaaranii gulaamii ane gulaamonaa vepaara para pratibamdha mrkavaamaam aavashe.
05-00	anuccheda 5:
05-01	koipanna vyaktinii upara julama gujaaravaamaam aavashe nahi athavaa tenii saathe dhaatakii, amaanussii athavaa halakaa prakaarano vartaava raakhavaamaam aavashe nahi athavaa tevaa prakaaranii shikssaa karavaamaam aavashe nahi.
06-00	anuccheda 6:
06-01	dareka vyaktine dareka hekaanne kaayadaanii samakssa maanava tariike sviikaara karaavavaano adhikaara che.
07-00	anuccheda 7:
07-01	kaayadaa samakssa sarva maannaso samaana che ane koipanna jaatanaa bhedabhaava vagara kaayadaanum rakssanna samaana dhoranne mellavavaane hakkadaara che. aa dhossannaano bhamgakariine koipanna jaatanaa bhedabhaava saame ane aavaa bhedabhaava jagaavavaamaam, koipanna jaatanii ushkerannii karavaa saame samaana rakssanna mellavavaano sarvane hakka che.
08-00	anuccheda 8:
08-01	dareka vyaktine samvidhaana athavaa kaayadaa dvaaraa tene mallelaa muullabhuuta adhikaarono bhamga karataa krtyo maatte sakssama raassttriiya nyaayaadhikaranna dvaaraa asarakaaraka upaayo levaano hakka che.
09-00	anuccheda 9:
09-01	koipanna vyaktine aapakhuda riite giraphataara karavaamaam, attakgujarati sign visargayatamaam raakhavaamaam athavaa deshanikaala karavaamaam aavashe nahi.
10-00	anuccheda 10:
10-01	dareka vyaktine potaanaa adhikaaro ane bamdhanonaa ane tenii viruddha koipanna phojadaarii aaropanaa nirnnayamaam koi svatamtra ane nisspakssa nyaayaadhikaranna dvaaraa vyaajabii ane jaahera sunaavannii karaavavaano sampuurnna samaana dhoranne adhikaara che.
11-00	anuccheda 11:
11-01	jenii upara phojadaarii gunaano aaropa muukavaamaam aavyo hoya tevii dareka vyaktine gunaanii jaahera tapaasannii vakhate tenaa bacaava maatte sadhallii jaruurii baamyadhariio aapavaamaam aavii hoya che. kaayadaa pramaanne gunegaara saabiita thaaya tyaam sumdhii potaane nirdossa maanavaano adhikaara che.
11-02	koipanna vyakti, koipanna krtya athavaa kasuura je vakhate karii hoya athavaa thai hoya te vakhate raassttriiya athavaa aamtararaassttriiya kaayadaa hetthalla te krtya athavaa kasuura phojadaarii guno gannaato na hoya to te kaaranne koipanna phojadaarii gunaa maatte te gunegaara gannaashe nahi temaja tene te phojhadaarii guno thayo hoya te vakhate laagu paddatii hoya tevii shikssaa karataam vadhu bhaare shikssaa panna karavaamaam aavashe nahi.
12-00	anuccheda 12:
12-01	koipanna vyaktinaa ekaanta, kuttumba, ghara athavaa patravyavahaaramaam aapakhudiipanne dakhalagiirii karavaamaam aavashe nahi temaja tenaa maana ane pratisstthaa para aakramanna karavaa devaamaam aavashe nahi. aavii dakhalagiirii athavaa aakramanna saame kaayadaanum rakssanna maagavaano darekane adhikaara che.
13-00	anuccheda 13:
13-01	dareka vyaktine dareka raajyanii hadanii amdara svatamtra riite haravaapharavaa ane vasavaano adhikaara che.
13-02	dareka vyaktine potaano temaja biijo koi panna desha choddii javaano ane potaanaa deshamaam paachaa pharavaano adhikaara che.
14-00	anuccheda 14:
14-01	dareka vyaktine julmamaamthii chattakiine biijaa deshomaam aashraya levaano, bhogavavaano adhikaara che.
14-02	paramtu biinaraajakiiya gunaaomaamthii athavaa samyukata raassttronaa hetuo ane siddhaantonii viruddha hoya tevaam krtyomaamthii kharekhara upasthita thataa daavaaonaa kissaamaam aavaa adhikaaranii maamgannii karavii nahi.
15-00	anuccheda 15:
15-01	dareka vyaktine raassttriiyataano adhikaara che.
15-02	koipanna vyakti paasethii aapakhudii riite tenii raassttriiyataano hakka jhuumttavii levaamaam aavashe nahi athavaa tenii raassttriiyataamaam pheraphaara karavaanaa hakkathii tene vamcita raakhavaamaam aavashe nahi.
16-00	anuccheda 16:
16-01	jaati, raassttriiyataa ke dharmane lagatii koipanna maryaadaa vinaa pukhta vayanaa striipurussone lagna karavaano ane kuttumba racavaano adhikaara che. lagna vishe, lagna daramiyaana ane judaa paddatii vakhate teo samaana hakkanaa adhikaarii che.
16-02	lagna karavaanii icchaa raakhataa varavahunii svatamtra ane sampuurnna sammatithii ja lagna karavaamaam aavashe.
16-03	kuttumba e samaajanum svaabhaavika ane muullabhuuta samuuha ekama che ane samaaja temaja raajya dvaaraa rakssannanum adhikaarii che.
17-00	anuccheda 17:
17-01	dareka vyaktine ekalaa temaja biijaanii saathe milakata raakhavaano adhikaara che.
17-02	koipanna vyakti paasethii tenii milakata aapakhudii riite jhuumttavii levaamaam aavashe nahi.
18-00	anuccheda 18:
18-01	dareka vyaktine vicaara, amtgujarati sign visarga karannu ane dharmanii svatamtrataano adhikaara che. aa adhikaaramaam tenaam dharma athavaa mgujarati sign visarganyataamaam pheraphaara karavaanii svatamtrataa ane potaanaa dharma athavaa maanyataane shikssanna, vyavahaara, bhakti ane paalana dvaaraa ekalaam athavaa biijaaonii saathe ane jaaheramaam athavaa khaanagiimaam pragatta karavaanii svatamtrataano panna samaavesha thaaya che.
19-00	anuccheda 19:
19-01	dareka vyaktine abhipraaya ane uccaarannanii svatamtrataano adhikaara che. aa adhikaaramaam dakhalagiirii vinaa abhipraayo dharaavavaanii svatamtrataa ane koipanna maadhyama ane sarahadothii para maahitii ane vicaaronii shodha karavaanii, tene praapta karavaanii ane aaghana karavaanii svatamtrataano samaavesha thaaya che.
20-00	anuccheda 20:
20-01	dareka vyaktine shaanta sabhaa ane mamddallii racavaanii svatamtrataano adhikaara che.
20-02	koipanna vyakti para amuka mamddalliinaa sabhya yavaanii pharaja paaddii shakaaya nahi.
21-00	anuccheda 21:
21-01	dareka vyaktine siidhii riite athavaa to svatamtra riite cuumttelaa pratinidhio dvaaraa potaanaa deshaanii sarakaaramaam bhaagalevaano adhikaara che.
21-02	dareka vyaktine potaanaa deshaanii jaahera nokariiomaam samaana praveshano adhikaara che.
21-03	janataanii icchaa e sarakaaranii sattaanii bhuumikaa raheshe. aa icchaa sarvamaanya ane samaana mataadhikaara ane gupta matadaana athavaa evii samaana svatamtra matadaana paddhatio vadde karavaamaam aavatii niyatakaalika ane shuddha nyuumttanniio dvaaraa vyakata yashe.
22-00	anuccheda 22:
22-01	samaajanaa dareka sabhya tariike dareka vyaktine saamaajika salaamatiino adhikaara che ane potaanii pratisstthaa ane potaanaa vyaktitvanaa svatamtra vikaasane maatte anivaarya evaa aarthika, saamaajika ane saamskrtika adhikaaro, raassttriiya parishrama ane aamtararaassttriiya sahakaara dvaaraa ane dareka raajyanaa samcaalana ane samrddhi anusaara praapta karavaanii te adhikaarii che.
23-00	anuccheda 23:
23-01	dareka vyaktine kaama karavaano, nokariinii svatamtra pasamdagiino, kaamanii nyaayii ane phaayadaakaaraka sharato ane bekaariinii saame rakssanna mellavavaano adhikaara che.
23-02	dareka vyaktine koipanna prakaaranaa bhedabhaava vinaa samaana kaarya maatte samaana pagaara mellavavaano adhikaara che.
23-03	kaama karanaara dareka vyaktine tenaa potaanaa ane tenaa kuttumbanaa maanava pratisstthaane laayaka astitvanii khaatarii aapato nyaayii ane phaayadaakaaraka badalo mellavavaano ane jaruura jannaaya to saamaajika rakssannanaa biijaam saadhano mellavavaano adhikaara che.
23-04	dareka vyaktine potaanaa hitonaa rakssannane maatte ttredda yuniyano racavaano ke tamaa joddaavaano adhikaara che.
24-00	anuccheda 24:
24-01	dareka vyaktine kaamanaa kalaakonii vyaajabii maryaadaa ane pagaara saathenii saamayika rajaao sahita aaraama ane kurasadano adhikaara che.
25-00	anuccheda 25:
25-01	dareka vyaktine tenaa potaanaa ane tenaa kuttumbanii tamdurastii ane sukhane maatte aavashyaka khoraaka, kapaddaamlattaa, makaana ane daakatarii sambhaalla ane jaruurii saamaajika sevaao sahita jiivanadhorannano adhikaara che ane bekaarii, maamdagii, ashakita, vidhavaavasthaa, vrddhaavasthaa athavaa tenaa kaakhuu bahaarataa samjegomaam aajiivikaanaa abhaava prasage tene salaamatii mellavavaano adhikaara che.
25-02	maatrtva ane baallapanna khaasa sambhaalla ane madadanaa adhikaarii che. lagna ke lagnanii bahaara janmelaam badhaam baallako ekaja prakaaranum saamaajika rakssanna mogavashe.
26-00	anuccheda 26:
26-01	dareka vyaktine shikssannano adhikaara che. ochaamaam ochum praathamika ane paayaanaa tabakkaaomaam shikssanna maphata raheshe. praathamika shikssanna pharajiyaata raheshe. vishessa vighaavissayaka ane vyavasaayii shikssanna saamaanyatgujarati sign visarga upalabdha raheshe ane yogyataanaa dhoranna para ucca shikssanna praapta karavaano sarvane samaana adhikaara raheshe.
26-02	maanavavyaktitvanaa sampuurnna vikaasa ane maanavahakko ane muullabhuuta svatamtrataao pratyenaa maanane daddhibhuuta karavaa tarapha shikssannanum lakssa raakhavaamaam aavashe. badhaam raassttro, jaati athavaa dhaarmika samuuho vacce te samaja, sahissnnutaa ane maitrii baddhaavashe ane shaamtinii jaallavannii maattenii samyukata raassttronii pravrttione aagalla dhapaavashe.
