00-00	ZAGALNA DEKLARATSIYa PRAV LYuDINI
00-01	Beruchi do uvagi, shcho viznannya gidnosti, yaka vlastiva vsim chlenam lyudskoyi sim'yi, i rivnikh ta nevid'iemnikh yikh prav ie osnovoyu svobodi, spravedlivosti ta zagalnogo miru; i
00-02	beruchi do uvagi, shcho znevazhannya i nekhtuvannya pravami lyudini prizveli do varvarskikh aktiv, yaki oburyuyut sovist lyudstva, i shcho stvorennya takogo svitu, v yakomu lyudi budut mati svobodu slova i perekonan i budut vilni vid strakhu i nuzhdi, progolosheno yak visoke pragnennya lyudei; i
00-03	beruchi do uvagi, shcho neobkhidno, shchob prava lyudini okhoronyalisya siloyu zakonu z metoyu zabezpechennya togo, shchob lyudina ne bula zmushena vdavatisya yak do ostannogo zasobu do povstannya proti tiraniyi i gnoblennya; i
00-04	beruchi do uvagi, shcho neobkhidno spriyati rozvitkovi druzhnikh vidnosin mizh narodami; i
00-05	beruchi do uvagi, shcho narodi Ob'iednanikh Natsii pidtverdili v Statuti svoyu viru v osnovni prava lyudini, v gidnist i tsinnist lyudskoyi osobi i v rivnopravnist cholovikiv i zhinok ta virishili spriyati sotsialnomu progresovi i polipshennyu umov zhittya pri bilshii svobodi; i
00-06	beruchi do uvagi. shcho derzhavi-chleni zobov'yazalis spriyati u spivrobitnitstvi z Organizatsiieyu Ob'iednanikh Natsii zagalnii povazi i doderzhannyu prav lyudini i osnovnikh svobod; i
00-07	beruchi do uvagi, shcho zagalne rozuminnya kharakteru tsikh prav i svobod maie velichezne znachennya dlya povnogo vikonannya tsogo zobov'yazannya,
00-08	GENERALNA ASAMBLEYa
00-09	progoloshuie tsyu Zagalnu Deklaratsiyu Prav Lyudini yak zavdannya, do vikonannya yakogo povinni pragnuti vsi narodi i vsi derzhavi z tim, shchob kozhna lyudina i kozhny organ suspilstva, zavzhdi mayuchi na uvazi tsyu Deklaratsiyu, pragnuli shlyakhom osviti spriyati povazhannyu tsikh prav i svobod i zabezpechennyu, shlyakhom natsionalnikh i mizhnarodnikh progresivnikh zakhodiv, zagalnogo i efektivnogo viznannya i zdiisnennya yikh yak sered narodiv derzhav - chleniv Organizatsiyi, tak i sered narodiv teritorii, shcho perebuvayut pid yikh yurisdiktsiieyu.
01-00	Stattya 1.
01-01	Vsi lyudi narodzhuyutsya vilnimi i rivnimi u svoyii gidnosti ta pravakh. Voni nadileni rozumom i sovistyu i povinni diyati u vidnoshenni odin do odnogo v dusi braterstva.
02-00	Stattya 2.
02-01	Kozhna lyudina povinna mati vsi prava i vsi svobodi, progolosheni tsiieyu Deklaratsiieyu, nezalezhno vid rasi, koloru shkiri, stati, movi, religiyi, politichnikh abo inshikh perekonan, natsionalnogo chi sotsialnogo pokhodzhennya, mainovogo, stanovogo abo inshogo stanovishcha.
02-02	Krim togo, ne povinno provoditisya niyakogo rozriznennya na osnovi politichnogo, pravovogo abo mizhnarodnogo statusu krayini abo teritoriyi, do yakoyi lyudina nalezhit, nezalezhno vid togo, chi ie tsya teritoriya nezalezhnoyu, pidopichnoyu, nesamovryadovanoyu abo yak-nebud inakshe obmezhenoyu u svoiemu suvereniteti.
03-00	tattya 3.
03-01	Kozhna lyudina maie pravo na zhittya, na svobodu i na osobistu nedotorkannist.
04-00	Stattya 4.
04-01	Nikhto ne povinen buti v rabstvi abo u pidnevilnomu stani; rabstvo i rabotorgivlya zaboronyayutsya v usikh yikh vidakh.
05-00	Stattya 5.
