00-00	NA NQATAXACPI NA YOTTA'A'T SHIYAXAUAPI MAYI NETALEC ANA 'ALHUA
00-01	Cha'ayi qayayateeta de'eda huesochiguii nataxac, qataq da huo'o ca qai'ot yayamaqchiguii, qataq da nlagaxayic mayi huetalec ana 'alhua, chigoqchigui, qataq da 'eetec da qaica da huo'o ca napacalec ca lya, huo'otaq da qayacona ca lalamaxat i 'oonolec 'enauac na shiyaxauasat.
00-02	Qataq qayayateeta da souaxat ca saqayayateelec lataxac, qataq da qayI'ina 'I da lataxac ca shiyaxaua, da nachida da chigoqchigui da qai'otec ca qauem qataq da saqaiyacnapec na yale, yoqo'oyi namayipi sa ishit da pal da lavilyaxac, qataq souaxat da qanasachigui nagui da qalapaxai da qayauotaique no'on llic na shiyaxauasat, qataq naua aq naidauo na'axa'te mayi heutoiguilo da 'enauac na shiyaxauapi yataqta huesochiguii qanqoyin, imeuo da lcolanaxa qataq da lachoxoyic, qataq sa ishit da qoyinapega souaxat ca l'aqtac qataq souaxat ca l'amqaanataxanaxac.
00-03	Qataq iuen da ne'ena maichi lataxac na shiyaxauapi yataqta qanpaxatalec qataq qai'ot ca llic, yaqto' ca shiyaxaua sa ishit da I'ot ca sa lhuennataxa, huaa nachi ishit da dataya 'aguet cam sa ishit da dechoxonnataxan huo'otaq ca huetaiya' naq'en ca lya.
00-04	Qataq iuen da qalapaxai da qai'ot ca llic da yaqto' nhuoteeta't 'enauac na netalguete naua yotta 'a't 'ale'u.
00-05	Cha'ayi ne'ena yotta 'a't shiyaxauapi mayi hueto'ot na huaxaya't nta'alpi, na mayipi mashi sogote da nasachigui da yirei da l'aqtac da 'enapec yataqa pi'iya'a ne'ena l'atchiguii maichi lataxacpi na shiyaxauapi, qataq da maichi l'amaqchic i 'oonolec, qataq da lta'adaic naigui i 'oonolec, qataq da 'eetec na mavipi da qaica da huo'o ca napacalec ca lya, na yale qataq ana 'alo, qataq na mayipi I'axateec de'eda l'aqtac da yaqto' qai'ot ca llic da yayamaxai qanqoyin na shiyaxauapi qaica ca iueetac, yaqto' ca shiyaxaua yataqta huesochiguii.
00-06	Qataq ne'ena nta'alpi mayi yalectau'a de'eda qai'ot, na mayipi yan da l'aqtac da 'enapec itauan da l'onataxanaxac nam huaxaya 't nta'alpi, da yaqto' yataqta qantela'a de'eda maichi lataxac nam netalguete naua yotta 'a't 'ale'u, qataq huesochiguii da I'ottac ca maichi layaanataxanaxac na shiyaxauasat, qataq.
00-07	Qayayateeta da 'enauac ne'ena 'eeta'a't nhuennataxacpi qata ne'ena maichi lataxac na shiyaxauapi, qataq da 'eetec da huesochiguii na mayipi, yataqta huo'o ca lta'araic naigui da yataqta qaipacchigui qai'ot, cha'avi maichi n'aqtac.
00-08	De'eda ima'a't ltaxayaxac na Nta'alpi
00-09	Lapaxai ne'ena n'aqtacpi mayi mashi qanasachigui da yaqto' mpaxatalec da maichi lataxac ma yotta't shiyaxauapi, cha'ayi yataqta 'enauac da 'eeta'a't da lhuennataxac na mayipi, qaq yoqo'oyi iuen da 'enauac na shiyaxauapi yotta'a't na l'aqtac n'aaxata 'a't, yaqto' i 'oonolec na mayipi hua'otaq na nocittagui ca l'onataxanaxac, ishit da nachi 'eetai' tatapigui lauel damayi, qataq ishit da huelec da I'ot, chigoqchigui naq'en ca paxaguenaxac, qataq da na paxaguenataxanaxac, qataq ipacchigui naq'en damayi, da ishit da nquigaxattashiguem ca I'ot cam qanayiuta'a 'alhua, qataq naua lya 't 'ale'u, da yaqtohuo'o da nuattonaguec qataq da qaipacchigui da qai'ot ivida'alo naua lya't 'ale'u mayi nataq'en nanettau'a de'eda, qataq naua lya't 'ale'u qanayiitalguete mayi hueto'oto da lamaxasoxonaxac ne'ena nta'alpi.
01-00	ARTICULO 1
01-01	'Enauac na naaxat shiyaxauapi na mayipi huesochiguii qataq 'eeta'a't da l'amaqchic qataq da 'enec qataq yataqta yayate'n naua lataxaco qataq nua no'o'n nvilyaxaco, qaq yoqo'oyi iuen da i 'oonolec yataqta itauan ichoxoden ca lya
02-00	ARTICULO 2
02-01	'Enauac na shiyaxauapi yalectau'a 'enauac ne'ena lataxaguesat qataq da 'eetec da huesochiguii qanqoyin namayipi mayi mashi qanasachigui qataq qoyidelec ana'ana nede, qaica da huo'o ca qaiyotauga 'enauac na shiyaxauasat na'aictaga ca 'eetec ca l'ogueyaxac yale qataq 'alo, qataq naua l'aqtaqa nataq 'en da l'amqajnataxanaxac huo'otaq da 'eetec cam layaanec huo'otaq da 'eetec ca lya nayaanataxanaxac, qataq cam chigoqta'a 'alhua, huo'otaq cam chigoxoigui, sallaxanec huo'otaq choxodaq huo'otaq cam lya lataxac.
02-02	Nataq'en sa ishit da huo'o ca qaiyotauga huasoilec da llic ca layaanataxanaxac huo'otaq na yotta 'a't llic na lataxaguesat cam 'alhua mayi netaa ca shiyaxaua, nachi 'en 'am da huo'otaq netaa ca 'alhua mayi nalamaxat qoyittalec na alaqpi huo'otaq da chochi qaipataxalec da ilotague', qalaxayi sa ishit da yaqauga huo'otaq da 'ico ' noxonecpi hueto 'ot da lamaxasoxonaxac ca nta'a mayi ilotague que'eca 'alhua.
03-00	ARTICULO 3
03-01	'Enauac i 'oonolec na shiyaxauasat nhuanau'a da ntaunaguec da nachaalataxac, qataq yataqta huesochiguii, qataq yataqta qantela'a da nachaalataxac.
04-00	ARTICULO 4
04-01	Qaica da huo'o ca 'ico' nlatac huo'otaq da chochi qayamaqtac cha'ayi de'eda 'eetec ca nlatac huo'otaq da llic da chochi qayamaqtaq damayi nagui sa ishit da qayashiita da qai'ot.
05-00	ARTICULO 5
