00-00	manita urimaikal parriya ulakap pirakadnam
00-01	manitak kudumpattinaic ceernta yaavaratum ullaarnta mariyaataiyaiyum, avarkal yaavaratum camamaana, maarrattirkudpadutta mudiyaata urimaikalaiyum angkiikarittalee ulakattil cutantiram, niiti, amaiti enpavarrukku adippadaiyaakavullataatalaalum,
00-02	manita urimaikalai avamatittalum ikaltalum, manitakulattin manacaadciyai ciirrattirkullaakkiyulla kaaddumiraandittanamaana ceyalkalukku idmalittullataatalaalum, peeccuc cutantiram, nampikkaic cutantiram, accattiliruntum varumaiyiliruntum vidutalai aakiyanavarrai manitan mulumaiyaaka anupavikkattakka oru ulakin varukaiyee caataarana makkalin mikavuyarnta kurikkoolaaka eduttuc caarrappaddullataatalaalum,
00-03	kodungkoonmaikkum, adkkumuraikkum etiraana irutit tiirvaaka etirelucci ceyvatarku manitan kaddaayappaduttappadaamalirukka veendumenil caddttin aadciyaal manitavurimaikal paatukaakkappaduvatu inriyamaiyaatataaka ullataatalaalum,
00-04	naadukalidaiyeeyaana nadpuravai meempaduttuvatu inriyamaiyaatataaka ullataatalaalum,
00-05	aikkiya naadukal capaiyir kuudiya ellaa makkalum, paddyattil adippadai manita urimaikal parriya, ovvoru manitap piraviyinatum cuyamariyaatai marrum perumati parriya, aan pennin cama urimai parriya tamatu nampikkaiyai miindum valiyurutti aticutantirac cuulalil, camuuka munneerram, uyarnta vaalkkait taram aakiyavarrai meempaduttat tunintullaarkalaatalaalum,
00-06	manita urimaikal, adippadaic cutantirangkalukkaana ulaka matippaiyum, avarraip pinparrutalai meempaduttalaiyum, aikkiya naadukal niruvanattin kuudduravudn murru mulutaakac ceyal nilaippadutta angkattuva naadukal urutimoli kondullanavaatalaalum,
00-07	ivvurutimoli mulumaiyaaka nadaimuraippaduttuvatarku, ivvurimaikal cutantirangkal parriya potup purital mukkiyamudaiyataatalaalum, ippolutu:
00-08	potuccapaiyaanatu
00-09	camuukattin ovvoru tani manitanum ovvoru uruppum, ippaddyattai idaiyaraatu manattilirutti, ivvurimaikal cutantirangkalukkaana matippinai meempaduttuvatarkuk karpittal muulamum, kalvi muulamum, teeciya, carvateeca murpookku nadvadikkaikal muulamum muyalum nookkirkaakavum, angkattuva naadukal ovvonrum, tattam makkalidaiyeeyum, attudn tangkal niyaayaatikkattin kiil varum aalpulattu makkalidaiyeeyum, ivvurimaikal, cutantirangkal mulumaiyaaka valivum payanurutippaadumudaiya muraiyil eerkapperru pinparrappaduvatai nilainiruttuvatarkaakavum payanpadttakka, ellaa makkalum naaddinangkalum tattam caatanaiyilakkin potu alavaakak kollattakka inta manita urimai ulakap potup pirakadnattai eduttuc caarrukinratu.
01-00	uruppurai 1
