00-00	DEKLARATA E PERGJITHSHME MBI TE DREJTAT E NJERIUT
00-01	Mbasi njohja e dinjitetit te lindur te te drejtave te barabarta dhe te patjetersueshme te te gjithe anetareve te familjes njerezore eshte themeli i lirise, drejtesise dhe paqes ne bote;
00-02	mbasi mosrespektimi dhe perbuzja e te drejtave te njeriut ka suar drejt akteve barbare, te cilat kane ofenduar ndergjegjen e njerezimit, dhe mbasi krijimi i botes ne te cilen njerezit do te gezojne lirine e fjales, te besimit dhe lirine nga frika e skamja eshte proklamuar si deshira me e larte e sdo njeriu;
00-03	mbasi eshte e nevojshme qe te drejtat e njeriut te mbrohen me dispozita juridike, keshtu qe njeriu te mos jete i shtrenguar qe ne piken e fundit t'i pervishet kryengritjes kunder tiranise dhe shtypjes;
00-04	mbasi eshte e nevojshme qe te nxitet zhvillimi i marredhenieve miqesore midis kombeve;
00-05	mbasi popujt e Kombeve te Bashkuara vertetuan perseri ne Karte besimin e tyre ne te drejtat themelore te njeriut, ne dinjitetin dhe vleren e personit te njeriut dhe barazine midis burrave dhe grave dhe mbasi vendosen qe te nxitin perparimin shoqeror dhe te permiresojne nivelin e jetes ne liri te plote;
00-06	mbasi shtetet anetare u detyruan qe, ne bashkepunim me Kombet e Bashkuara, te sigurojne respektimin e pergjithshem dhe zbatimin e te drejtave te njeriut dhe te lirive themelore;
00-07	mbasi kuptimi i perbashket i ketyre te drejtave dhe lirive eshte me i rendesishem per realizimin e plote te ketij detyrimi;
00-08	ASAMBLEJA E PERGJITHSHME shpall Kete DEKLARATE TE PERGJITHSHME MBI TE DREJTAT E NJERIUT si ideal te pergjithshem te cilin duhet ta arrijne te gjithe popujt dhe te gjitha kombet, ne menyre qe sdo njeri dhe sdo organizem shoqeror, duke pasur parasysh gjithmone kete Deklarate, te perpiqet qe, me ane te mesimit dhe edukimit, te ndihmonte ne respektimin e ketyre te drejtave dhe lirive dhe qe, me ane te masave progresive kombetare dhe nderkombetare, te sigurohej njohja dhe zbatimi i tyre i pergjithshem dhe i vertete, si midis popujve te vete shteteve anetare, ashtu edhe midis popujve te atyre territoreve qe jane nen administrimin e tyre.
01-00	Neni 1.
01-01	Te gjithe njerezit lindin te lire dhe te barabarte ne dinjitet dhe ne te drejta. Ata kane arsye dhe ndergjegje dhe duhet te sillen ndaj njeri tjetrit me fryme vellazerimi.
02-00	Neni 2.
02-01	Secili gezon te gjitha te drejtat dhe lirite e parashtruara ne kete Deklarate pa kurrfare kufizimesh persa i perket races, ngjyres, gjinise, gjuhes, besimit fetar, mendimit politik ose tjeter, origjines kombetare a shoqerore, pasurise, lindjes ose tjeter.
02-02	Asnje dallim nuk do te behet ne baze te statusit politik, juridik ose nderkombetar te shtetit ose vendit te cilit i perket sdo njeri, qofte kur shteti ose vendi eshte i pavarur, qofte nen kujdestari, qofte jo veteqeverises ose qe gjindet ne sfaredo kushtesh te tjera te kufizimit te sovranitetit.
03-00	Neni 3.
03-01	Gjithkush ka te drejte te jetoje, te jete i lire dhe te kete sigurimin vetjak.
04-00	Neni 4.
04-01	Asnjeri nuk duhet te mbahet si skllav ose sifsi; skllaveria dhe tregtia e sklleverve jane te ndaluara ne te gjitha format.
05-00	Neni 5.
05-01	Asnjeri nuk duhet t'i nenshtrohet mundimit, veprimit ose denimit te eger, jonjerezor ose poshterues.
06-00	Neni 6.
06-01	Gjithkush ka te drejte qe t'i njihet kudo personaliteti juridik.
07-00	Neni 7.
07-01	Te gjithe jane te barabarte para ligjit dhe kane te drejte pa asnje diskriminim te mbrohen barabar nga ligji. Te gjithe kane te drejten per t'u mbrojtur barabar kunder sdo diskriminimi qe cenon kete Deklarate, si dhe kunder sdo nxitje per nje diskriminim te tille.
08-00	Neni 8.
08-01	Gjithkush ka te drejte per mjete juridike te frytshme para gjykatave kompetente kombetare per veprimet me te cilat shkelen te drejtat themelore te garantuara nga kushtetuta ose ligjet.
09-00	Neni 9.
09-01	Asnjeri nuk duhet t'i nenshtrohet arbitrarisht arrestimit, ndalimit ose internimit.
10-00	Neni 10.
10-01	Gjithkush gezon njelloj te drejten per nje proces gjyqesor objektiv e publik para nje gjykate te pavarur e te paanshme, ne percaktimin e te drejtave dhe detyrimeve te veta dhe per vendimin mbi sfaredo lloj akuze penale.
11-00	Neni 11.
11-00	Kushdo qe eshte i akuzuar per nje veper penale ka te drejte te konsiderohet i pafajshem deri sa te vertetohet fajsia ne baze te ligjit dhe ne nje proces publik ne te cilin ka pasur te gjitha garancite e duhura per mbrojtjen e vet.
11-01	Asnjeri nuk duhet te denohet per veprime ose mosveprime te cilat nuk perbejne nje veper penale, sipas ligjeve kombetare dhe nderkombetare, ne kohen kur jane kryer. Gjithashtu nuk mund te vendoset nje denim me i rende nga ai qe ka qene zbatuar ne kohen kur eshte kryer vepra penale.
12-00	Neni 12.
12-01	Asnjeri nuk duhet t'i nenshtrohet nderhyrjes arbitrare ne jeten, familjen, banesen ose korrespondencen vetjake, si dhe sulmeve kunder nderit dhe prestigjit personal. Gjithkush ka te drejten te mbrohet nga ligji kunder nderhyrjeve ose sulmeve te tilla.
13-00	Neni 13.
13-00	Gjithkush ka te drejten e lirise se qarkullimit dhe banimit brenda kufijve te sdo shteti.
13-01	Gjithkush ka te drejte te largohet nga cilido vend qofte, perfshire ketu edhe te vetin, si dhe te kthehet ne vendin e vet.
14-00	Neni 14.
14-00	Gjithkush ka te drejte te kerkoje dhe gezoje ne vende te tjera azil nga ndjekjet.
14-01	Kete te drejte nuk mund ta gezoje askush ne rast se ndiqet per krime jopolitike ose per vepra ne kundershtim me qellimet dhe parimet e Kombeve te Bashkuara.
15-00	Neni 15.
15-00	Gjithkush ka te drejten e nje shtetesie.
15-01	Asnjeri nuk duhet te privohet arbitrarisht nga shtetesia e tij si dhe as nga e drejta qe te nderroje shtetesine.
16-00	Neni 16.
16-00	Burrat dhe grate ne moshe te pjekur kane te drejte te lidhin martese dhe formojne familje, pa kurrfare kufizimi per sa i perket races, shtetesise ose besimit. Ata kane te drejta te barabarta si ne rastin e lidhjes se marteses, gjate marteses si dhe ne rast shkurorezimi.
16-01	Martesa duhet te lidhet vetem me pelqimin plotesisht te lire te personave qe do te martohen.
16-02	Familja eshte berthama e natyrshme dhe themelore e shoqerise dhe ka te drejten e mbrojtjes nga shoqeria dhe shteti.
17-00	Neni 17.
