00-00	PERISYTIHARAN HAK ASASI MANUSIA SEJAGAT
00-01	Bahawasanya pengiktirafan keutuhan kemuliaan dan hak samarata serta asasi yang tak terpisah bagi seluruh umat manusia adalah asas kebebasan,keadilan dan kedamaian dunia.
00-02	Bahawasanya pengabaian serta penghinaan terhadap hak asasi manusia telah pun mengakibatkan tindakan terkutuk yang telah melanggari perasaan hati umat manusia, dan munculnya sebuah dunia di mana manusia akan menikmati kebebasan berucap dan menganut kepercayaan serta kebebasan dari rasatakut dan citarasa telah pun diisytiharkan sebagai aspirasi toragung seluruh umat manusia.
00-03	Sekiranya kita tidak mahu mendorong manusia dalam keadaan terdesak, sebagai pilihan terakhir, memberontak mementang kezaliman serta penindasan, maka adalah penting bagi hak asasi manusia dipertahankan oleh kedaulatan undang-undang.
00-04	Bahawasanya adalah penting bagi memajukan perkembangan perhubungan persahabatan di antara negara-negara.
00-05	Bahawasanya rakyat Bangsa-Bangsa Bersatu, dalam Piagamnya telah sekali lagi menegaskan kepercayaan mereka terhadap hak asasi manusia, terhadap kemuliaan serta nilaidiri manusia dan terhadap hak samarata lelaki dan perempuan dan telah menetapkan keazaman untuk memajukan perkembangan sosial dan taraf hidup yang lebih sempurna dalam suasana kebebasan yang lebih luas.
00-06	Bahawasanya Negara-Negara Anggota telah berikrar untuk masing-masing mencapai, dengan kerjasama Bangsa-Bangsa Bersatu, pengutaraan kehormatan sejagat terhadap, serta pematuhan, hak asasi manusia dan kebebasan asasi.
00-07	Bahawasanya satu fahaman bersama terhadap hak serta kebebasan ini seluruhnya adalah terpenting demi menjadikan ikrar ini kenyataan sepenuhnya. MAKA DENGAN INI
00-08	Perhimpunan agung mengisytiharkan
00-09	Perisytiharan sejagat hak asasi manusia ini sebagai suatu ukuran bersama terhadap pencapaian oleh seluruh umat manusia dan kesemua negara dengan tujuan supaya setiap individu dan setiap badan masyarakat, dengan senantiasa mengingati Perisytiharan ini, hendaklah berazam melalui pengajaran dan pendidikan bagi memajukan sanjungan terhadap seluruh hak-hak dan kebebasan ini dan secara langkah-langkah berperingkat-peringkat, di bidang negara dan antarabangsa, bagi menjaminkan pengkitirafan dan pematuhan sejagatnya yang berkesan, kedua-duanya di antara negara-negara anggota masing-masing dan rakyat wilayah-wilayah di bawah bidangkuasa mereka.
01-00	Perkara 1.
01-01	Semua manusia dilahirkan bebas dan samarata dari segi kemuliaan dan hak-hak. Mereka mempunyai pemikiran dan perasaan hati dan hendaklah bertindak di antara satu sama lain dengan semangat persaudaraan.
02-00	Perkara 2.
02-01	Setiap orang adalah berhak kepada semua hak-hak dan kebebasan yang termaktub dalam Perisytiharan ini, tanpa sebarang apa jua pembezaan, seperti bangsa, warna kulit, jantina, bahasa, ugama, faham politik atau lain-lain fahaman, asal-usul bangsa keturunan atau sosial harta-benda, kelahiran atau apa-apa taraf lain.
02-02	Seterusnya, tiada sebarang pembezaan boleh dibuat berasaskan pada taraf politik atau bidangkuasa ataupun antarabangsa sesebuah negara atau wilayah datangnya seseorang itu, sama ianya merdeka, berauanah, tanpa pemerintahan sendiri atau berada di bawah apa-apa sekatan kedaulatan lainnya.
03-00	Perkara 3.
03-01	Setiap orang adalah berhak kepada nyawa, kebebasan dan keselamatan diri.
04-00	Perkara 4.
04-01	Tiada sesiapa pun boleh diperhamba atau diperabdikan; keabdian dan dagangan hamba abdi hendaklah dilarang dalam semua bentuknya.
05-00	Perkara 5.
05-01	Tiada sesiapa pun boleh dikenakan seksaan atau layanan atau hukuman yang zalim, tidak berperikemanusiaan atau menghinakan.
06-00	Perkara 6.
06-01	Setiap orang adalah berhak kepada pengiktirafan di mana jua sebagai seorang insan di sisi undang-undang.
07-00	Perkara 7.
07-01	Semua orang adalah samarata di sisi undang-undang dan berhak tanpa apa-apa pembezaan kepada perlindungan yang samarata di sisi undang-undang. Semua orang adalah berhak kepada perlindungan yang samarata daripada sebarang pembazaan yang melanggar Perisytiharan ini dan daripada sebarang hasutan terhadap pembezaan sedemikian.
08-00	Perkara 8.
08-01	Setiap orang adalah berhak kepada pemulihan yang berkesan oleh tribunal-tribunal kebangsaan yang kompeten terhadap tindakan-tindakan yang melanggar hak-hak asasi yang diberikannya oleh perlembagaan atau oleh undang-undang.
09-00	Perkara 9.
09-01	Tiada sesiapa pun boleh dikenakan tangkapan, tahanan atau pembuangan negeri secara sewenang-wenangnya.
10-00	Perkara 10.
10-01	Setiap orang adalah berhak dengan samarata sepenuhnya kepada pembicaraan adil dan terbuka oleh suatu tribunal bebas dan saksama, dalam penetapan hak-hak dan tanggungannya dan sebarang tuduhan jenayah terhadapnya.
11-00	Perkara 11.
11-01	Setiap orang yang dituduh dengan kesalahan keseksaan adalah berhak dianggap tidak salah sehingga dibuktikan salah menurut undang-undang di dalam perbicaraan terbuka di mana dia telah diberikan segala jaminan yang perlu untuk pembelaannya.
11-02	Tiada sesiapa pun boleh diputuskan bersalah atas sebarang kesalahan keseksaan oleh kerana sebarang tindakan atau ketinggalan yang tidak merupakan suatu kesalahan kesiksaan, di sisi undang-undang kebangsaan atau antarabangsa, pada masa ianya dilakukan. Tiada pula boleh dikenakan sebarang hukuman yang lebih berat dari hukuman yang terpakai ketika kesalahan keseksaan itu dilakukan.
12-00	Perkara 12.
12-01	Tiada sesiapa pun yang boleh dikenakan kepada sebarang gangguan sewenang-wenangnya terhadap keadaan peribadi, keluarga, rumahtangga atau surat-menyuratnya, atau percerobohan ke atas maruah dan nama baiknya. Setiap orang berhak kepada perlindungan undang-undang terhadap gangguan atau percerobohan sedemikian.
13-00	Perkara 13.
13-01	Setiap orang adalah berhak kepada kebebasan bergerak dan bermastautin di dalam sempadan sesebuah negara.
13-02	Setiap orang berhak meninggalkan mana-mana negara, termasuk negaranya sendiri,dan kembali semula ke negaranya.
14-00	Perkara 14.
14-01	Setiap orang berhak memohon dan menikmati perlindungan politik dalam negara lain daripada sebarang aniaya.
14-02	Hak ini tidak boleh dituntut bagi pendakwaan yang benar-benar timbul daripada kesalahan bukan politik atau daripada tindakan yang bertentangan dengan tujuan-tujuan dan prinsip-prinsip Bangsa-Bangsa Bersatu.
15-00	Perkara 15.
15-01	Setiap orang adalah berhak kepada suatu kewarganegaraan.
15-02	Tiada sesiapa pun boleh dilucutkan kewarganegaraannya secara sewenangwenangnya atau dinafikan hak menukar kewarganegaraanya.
16-00	Perkara 16.
16-01	Lelaki dan perempuan dewasa, tanpa mengira bangsa, kewarganegaraan atau ugama, berhak berkahwin dan menubuhkan keluarga. Mereka adalah berhak kepada hak-hak samarata berhubung dengan perkahwinan, dalam tempoh masa perkahwinan dan pada pembubarannya.
16-02	Perkahwinan hanya boleh dilaksanakan dengan persetujuan bebas dan sepenuhnya oleh pihak-pihak yang bercadang untuk berkahwin.
16-03	Keluarga adalah yunit kumpulan semulajadi dan asasi dalam masyarakat dan adalah berhak kepada perlindungan oleh masyarakat dan Negara.
17-00	Perkara 17.
17-01	Setiap orang berhak memiliki harta secara bersendirian serta secara berkongsi dengan orang lain.
17-02	Tiada sesiapa pun boleh dilucutkan harta-bendanya secara sewenang-wenangnya.
18-00	Perkara 18.
18-01	Setiap orang adalah berhak kepada kebebasan berfikir, perasaan hati dan ugama; hak ini termasuklah kebebasan menukar ugama atau kepercayaannya, dan kebebasan, samada secara bersendirian atau secara bersama-sama dengan orang-orang lain dan secara terbuka atau bersendiri, menganuti ugama atau kepercayaannya melalui pengajaran, amalan, pemujaan dan pematuhan.
19-00	Perkara 19.
19-01	Setiap orang adalah berhak kepada kebebasan pendapat dan mengeluarkan fikiran; hak ini termasuklah kebebasan memegang pendapat tanpa gangguan dan menuntut, menerima dan menyebarkan maklumat dan buah fikiran melalui sebarang media dan tanpa mengira sempadan.
20-00	Perkara 20.
20-01	Setiap orang adalah berhak kepada kebebasan berhimpun secara aman dan menubuhkan persatuan.
20-02	Tiada sesiapa pun boleh dipaksa menjadi ahli mana-mana pertubuhan.
21-00	Perkara 21.
21-01	Setiap orang berhak mengambil bahagian dalam kerajaan negaranya, secara langsung atau melalui wakil-wakil yang dipilih dengan bebas.
21-02	Setiap orang adalah berhak kepada peluang samarata kepada perkhidmatan awam dalam negaranya.
21-03	Kemahuan rakyat hendaklah menjadi asas kewibawaan kerajaan; kemahuan ini hendaklah dibuktikan melalui pilihanraya berkala yang sejati yang mana hendaklah diadakan secara sejagat dan samarata dan hendaklah diadakan secara undi sulit atau melalui acara pengundian bebas yang ketara.
22-00	Perkara 22.
22-01	Setiap orang, sebagai anggota masyarakat, adalah berhak kepada keselamatan sosial dans berhak menjadikan suatu kenyataan, melalui usaha negara dan kerjasama antara-bangsa dan menurut organisai dan sumber-sumber dalam negara masing-masing, hak-hak ekonomi, sosial dan kebudayaan yang termesti bagi kemuliaannya dan perkembangan bebas keperibadiannya.
23-00	Perkara 23.
23-01	Setiap orang adalah berhak kepada pekerjaan, kepada pemilihan pekerjaannya secara bebas, kepada keadaan-keadaan pekerjaan yang adil dan berfaedah baginya dan kepada perlindungan daripada pengangguran.
23-02	Setiap orang, tanpa sebarang pembezaan, adalah berhak kepada penggajian yang sama bagi kerja yang sama.
23-03	Setiap orang yang bekerja adalah berhak kepada pembayaran saraan yang adil dan berfaedah baginya yang mana mempastikan buat diri dan keluarganya suatu kehidupan sesuai dengan kemuliaan manusia, dan yang mana ditambah, jika pertu, oleh cara-cara perlindungan sosial yang lainnya.
23-04	Setiap orang berhak menubuh dan menjadi ahli kesatuan sekerja bagi memperlindungi kepentingan-kepentingannya.
24-00	Perkara 24
24-01	Setiap orang adalah berhak kepada rihat dan masa lapang, termasuk batasan munasabah keatas masa bekerja dan cuti bergaji yang berkala.
25-00	Perkara 25
25-01	Setiap orang adalah berhak kepada suatu taraf hidup yang memadai bagi kesihatan dan kebajikan diri dan keluarganya, termasuklah makanan, pakaian, perumahan dan pengawasan perubatan serta perkhidmatan sosial yang perlu, dan berhak kepada perlindungan ketika berlakunya pengangguran, kesakitan, ketidakupayaan, diperjandaan, keuzuran atau lain-lain kekurangan kehidupan dalam keadaan di luar kawalannya.
25-02	Ibu dan anak adalah berhak kepada jagaan serta bantuan khas. Semua kanak-kanak, samada dilahirkan di dalam maupun di luar nikah, hendaklah menikmati perlindungan sosial yang sama.
26-00	Perkara 26.
