00-00	En Xi Tikon Ngasandie Xi Fijendajo Xuta
00-01	Xi ijnia ko katsenda kui naxinanda xikamatikoxtin kiania ijnia xki jo ocham tjionjo,ngojo jan.nga tiesa nga kjafet’a no ngomi nijam ocham yichan jin.
00-02	Nixitjon Tjindo
00-03	Ngo.-
00-04	Ngaxkotse, tsiee nga ndakuindo ngandindie xuta xitjindo ngasandie,tjinkjua nga ngandindie xuta ngondsejen xikotse xchandikon.
00-05	Jo.-
00-06	Xkotse nganianjin xki,kui en xi fijendajo xuta tikuini ni xitsja ngandie ngatatseen kotseen xuta,ko kuikjua nga kisijknia kui en,tsieenga kama kondakjua ko kama sian nixi mejena sian,ngojin xitjinkjua nga kuinchan dicona.
00-07	Jan.-
00-08	Xkotse tjinkjua nga kuindo xi skotsijen niximatsen xuta,tsiee nga ngojin xi tsjanie tsjafe.
00-09	Nijun.-
00-10	Ko titjinkjua nga sianganojo tsiee nda kua ko ndaskue xkjin ngandidie naxinanda xi tjindo ngasandie.
00-11	Un.-
00-12	Ngadindie nangi xi,xkotse ndsexa xtin xi it’a en ngiya kui xujun,xkotse bakitso nga ngo ndsejen xo sian xki xi chjon ngojo xi xi’in;kobaxotsen nga xkotse xtjo nik’ani yijo tsiee nga nda kuindo.
00-13	Jun.-
00-14	Ko baxokitso nga skue ndikon ngandindie naxinanda ko ngatjatason nixi tsjatso kui xujun.
00-15	Yito.-
00-16	Ko xkotse,tse kjuatason ndindie xo,nixi kjit’a kui xujun kjiaxo nga ndakue ko xchanga tjinia chjini kui en.
00-17	Jin.-
00-18	Kui xuta xi kamatikokoxtin askoya ko ijnia kui kuak jintokon tsiee nga ngayijexo naxinanda xi seengano, ngojotse jaxaa kiaxo skibeni nga xkotse skuendikon ngandindie nixindsen xuta xi ijnia kui en,ngojo nanji xi y’ajandi kui naxinanda xi inda kuini.
01-00	Xki ngo.- 1
01-01	Nga ndindie xuta ngatsen de’e ko ngondsejen ngatjin-kjua nga xchandinkon nt’a ngondsejen ngatjin kokjin-tokon,kotjinkjua nga takie engajan skuendinkon xkjin.
02-00	Xki jo.- 2
02-01	- Nga ndindie xuta xi fijendajo kui nixi kjit’a kui xujun ko batjitso nga sianxo xki tay’a xutani,jminda-sen tajmi isieni xichay’a, tse xi’in ngojotse chjon-ndatse tajmin eni ximaa, tsebe nena ngojotse bejin, tse kie chjia ngojo tse kiejin chjia,tse tjinton ngojo tse jmijin,tse kie katsen ngojo tse kiejin katsen tikuixi basikojo tay’ani kui en xi kjit’a kui xujun.
02-02	- Koti kamajin tse sianjin xki ngo xuta xi batixuma ngo nangi xi besobaa jin yijo ngojotse k’aa nangi kjinoo,xkotse kuijin batixuma sobaa yijo,nt’a kio mi’a ton tsexkojo mini xi machjeen.
03-00	Xki jan.- 3
03-01	Ngadindie xuta tjinrikjua ngakuee isieen nixtin nga kuii tsamandee ngojo jmikjuajin ngatjien kama nga kuindo,xkotse tsakjon kama nga kuindo.
04-00	Xki nijun.- 4
04-01	Nojin xi taxkiya sianxajo xkotse ngo cho,ngojotse-taxkiya seenkjiena, nt’a tanisie tjichjari kuini.
05-00	Xki un.- 5
05-01	Ngojin xi tasianjo kosianjo,tse taxkiya kueeri ngo jee,ngojotse ngonixi tanisie chjokjingase nixi sianjo.
06-00	Nixi jun.- 6
06-01	Tay’ani tjinrikjua nga xchandikon,tajnia ngidieni.
07-00	Nixi yito.- 7
07-01	Ngandindie xuta nga fijendajo kjuakiti,nt’a ngo ndsejen nga tibakit’onia.ko ngandindienia xkotse tsakotsijena ko fijendajo tsiee nga ngojin xi taseenjo koseenjona.kotsen jeri kjuakiti tsetjin xi faatjon kui en.
08-00	Xki jin.- 8
08-01	Ngandindie xuta tjinkjua nga kuijnia ngonditon tjitsjie,tsiee nga kosikojo yijo ko jminijin ndatse skue tay’a jaxani,nt’a tasakui kosikojo tsexkojo-ngoni xi ndajin kjii kjamateen.
09-00	Xki nijan.- 9
09-01	Tay’ajin xi taxkiya kondaba,ko see konangisieen ndobaya,ngojotse taxkiya kuiyo tjingiri,majin nian kuini.
10-00	Xki tie.- 10
10-01	Ngayije xuta tjinkjua nga ngondsejen kuintiee tse ngo ndaxaa,tsienga kotsaya kokjiini xi matseen ngojo tsienga skue kokjii jexi kasako tse ngoni katsen.
11-00	Xki tiengo.- 11
11-00	- Ngadindie xuta xi kjifinie ngo je tjinkjua nga tj enyma sianjee,tjienga kjiyachichan kokjiini nixi katsen,nt’a batsen tsaya’a kjuakiti nga majinma taxkiya majeri ngo xuta.
11-01	- Majin taxkiya maje tay;a xutani tse jmije jinma kotimajin tse tsieton je koe ngije kasko ngoje.
12-00	Xki tiejo.- 12
12-01	Tay’ajin xi taxkiya kama ch’okatsona tse ngiya ngichona ngojotse ngo xujun nchinangiya xingi kamajin tse tjinxi ta xkiya skixa’a kui xujun ngojotse taxkiya ndajiji xuta tse katsona.jmin kjuajin nga tjin xi taxkiya seenxtina nt’a ngandi ndindie xuta xi fijendajo kjuakiti.
13-00	Xki tiejan.- 13
13-00	- Ngandindie xuta tjinrijua nga kuitsama chichan ngiya nangi niachjia,kotima b’atsiee ngojotse tsenda ndiy’a,tajnia nga mejenri kuijnia.
13-01	- Tay’a xutani ma fatjo nangi,kotima faengani tse xkojo mejen nga k’osien ngani nangi.
14-00	Xki tienijon.- 14
14-00	- Tse xkojo tjin xi tjinma tjinjina,ma mindise ko ngindie tsie nga jmmiijinxi tsabana,jmi ndasenjin tajnia nangini.
14-01	- Kokui kjuakixi xi tsay’a kui kjuakiti,kamajin tse kuitjatjon nt’a batse ijnia ngayije naxinanda xi katsenda kui xujun.
15-00	Xki tjion.- 15
15-00	- Nga yije xuta tjinrikjua nga kuee ngo nangi.
15-01	- Tay’ajin xima miyotjingi ngindie,kotima jin tsexin t’en kinchen tse kuin ngo xuta.
16-00	Xki tjion ngo.- 16
16-00	- Kui ja xi’in ngojo inchjin,ngeje facho no’o tjinkjua ngakama kuixan ko kama kuee ndi,taxi kaskori nga kuindojo mijinibejin kjua kuini ko ngondsejen ngachjen nganda kuindo,kotse xikojo kuiindo xkjin ndajo nga, sian xki.
16-01	- Kjiamatsi tse bakjii xi xichjon ngojo xi’in kjiatsi nga manian ngo kjua bixan.
16-02	- Kui xuta xi binda ngo ngindie,ko kuikjua nga chjenga ndaxchon, ko tjinkjua nga skon xtitjon.
17-00	Xki tjion jo.- 17
17-00	- Ngadindie xuta chjenga kuee ngo ngandie,tse kijnia ngojo tajminini,tse tsiee sobaa ngojotse seenxa xtin.
17-01	- Ngo jinxi taxkiya kama kjuaaxin ngonixi tikon ngo xuta.
18-00	Xki tjion jan.- 18
18-01	Ngayije xuta tjinkjua nga koxiee kokjintokon ngamatsen niximejen seen,tse skuenjin nena, ko ti baeri kjuanga tse kosikjo kokjintokon taxkotsen mejenri nga skue ndikon nen.tse kjotsobaa sobaa ngojo tse xuta kjotsobajin, taxkotsen mejenri seen matsen nixi makjiin.
19-00	Xki tjion nijan.- 19
19-01	Tjinkjua nga seenkjo ko kuichjaa ngayije xuta ko tikieni tsatsanga tay’ajin xima tsenxtina tangat’a tse kondakjua nixi makjina ngojo tse ngoxaa xi kiniaan koma naxiee kuini tsiee nga ngatomabe tay’a naxidandani, kota jnia ngatjachoo.
20-00	Xki kan.- 20
20-00	- Ngandindie xuta tjinriiiikjuakixi nga skoya ko kuiitiko xkjin nga tanga jmin kjuaxti kuejin.
20-01	- Ngojin xi manian kjuanoo tse kie tintjejine tsekuin.
21-00	Xki kan ngo.- 21
21-00	- Tay’a xutani tjinkjua nga seen tajmin xani xichjia xtition.
21-01	- Ngayije xuta tjinkjua nga kosienjin yije xamasien xitjiin xtitjon xichjia nangii.
21-02	- Kui nanxinanda xi batixumaa xuta xitjinxaa ko ngatsie ngatsie tjinkjua nga kosikjoo ngayije xuta xaa.
22-00	Xki kan jo.- 22
22-01	Ngayije xuta,xkotse ngakia batixuma ngaya ngo nangi tjikjua nga kosienijon xtitjon ngatsaa tse mindini xi machjen,xkotse ndiki, naxkiya,ngojo tajminini xi machjena nga tinchon tsienga ma xutana yijona.
23-00	Xki kan jan.- 23
23-00	- Ngayije xuta chjenga kuee ngo xa’a xiseen kokui xibe mixaa ximejen seen.
23-01	- Tjin kjua ngondsejen kama chjii xuta tse tangotokoya xa’xi ndsen,jmijinxi nk’a ko ngindie kamachii.
23-02	- Chjenga nda kama chjii ngayije xutaxi ndsenxa,tsiee nga kamaxcha xuta tsiee ko tse minixi kjamaa tjinkjua nga kosikojo.
23-03	- Tjinrikua ngayije xuta nga kuiitiko xkjin tsiee nga skantjejo xtinyijo tsemini xindajin kjii kjamateen.
24-00	Xki kan nijun.- 24
24-01	Tjinkjua nga seen kjay’a xuta nga kuitsama tsabe nga’a ko chiba ngatjabee nga seenxa ko xki nga koe nga seen kjay’a ngatamachjii.
25-00	Xki kan un.- 25
25-00	- Ngayije xuta chjen nga nda kuindo,nga nda ngaskochi nixi skinie,ngatjaabe jniun xi kojaa,ngatjaabe ndiy’a,ngatama ndikii. Ko ti tjinkjua nga sian ndikii,tsexikojo jmixajin, ngojotse kamanima,tse kamaxian,tse kamaxcha ngojotse ngindi majin tsenxki soba’a yijo.
25-01	- Ngadindie inchjin xi naa ngo jakjandi,chjenga ndasian xki,tikuinii tse kia katsen t’a na’mii ngojo naa,ngojotse katsen sobaa, chjenga ngo ndsen sian xki.
26-00	Xki kan jun.- 26
26-00	- Ngandindie xuta chjenga kuitsama naxkiya ko jmikjuajin nga kamachjitjee kui naxkiya xitjon mintjaa.ko tanisie tjinri kjuano nga koje kui naxkiya ngayije xuta ngayije ximafi naxkiyaxi nk’a tanga machjitjee.
