00-00	NUKAN MAAMENI YENEYII BO PELE HU
00-01	A ke kaalonna da tooi gaa nukan nei yene yiihu die legbooba laa, telinmo laa da lilaa di nwundooi.
00-02	A ke lenee nukan dooi gaa maane yene nuan die peli kweiwoo boi, die laa di maameni la, yi di hwa ke neimaanon da mono di hu, be kele yenenuan kaa boi.
00-03	A ke tooi gaa nukan nei yeneyii hu be maane maa e konwo, hoge nukan hwepa pene hwe gwei tege hemei ioi hu neitowonuan die.
00-04	A ke loingaa kele yepuo gehu be maane gu hwanga tege boi.
00-05	A ke loi kele hu nuan bowoo ba, tooi lele gaa hinaa di woo Kaalonnaa hu, yai a di woo tetowo yii lele neikulo, ye pene ye di woo yii naane legbooba laa hui.
00-06	A ke yene loi kele da ngoo kpon genei be di liimu e hege negbooba lelei da tooi gaa nei yene yii hu maa meni bai.
00-07	A ke gilinahie tonoi ti hwilen nukan dooi da ngoo legbooba laa be ge, ele yabe ke a di liimu hegee a gbookpo, yili be a ge loi kele diwoo naakpon gene e bo yene.
00-08	Maane nuteitei, e make a kpoma yingaa di gol die, maakweli, da huto be da negbooba, da tooi gaa nukan nei yeneyii hu di hee di kpanna kenaa kele be, e make beyi e wo naawoobo kaa lai, yili kele be gei yene bilibili gemei ngo naakpon genei nei zea kaa Amelik loi hui, e don ngaa nei laa a polo kpalaa ngo holo pou (10) gwelan nwaatono pulu ngun meinan yenan kou meihaaba (1948).
01-00	Don ngoo toloo 1
01-01	Nukan gele kaa pele kaa tanon, yiliba nu kele maawiye pele da tooi gaa nei yeneyii hu kepele kaalo tanon; di kemeni a nukan ngaa be gee hwekeli welikemaa e lo di luwai.
02-00	Don ngoo veele 2
02-01	Don nei huwoo kaa nukele ba tanon, guloju hwe ma ye e ke a huwu meni, gu kolo kepele, gu lawoo, naala meni kena bele, kilinahie huwu lope, nei hu yii bo pele ba, hen jolobo pele po da nukaapele da zegei, ye e ke a hulonu da nenu yilipulu, ye e ke loi gaa gbooba ju mun, ye e ke a loi yi gaa nii melan noi yemu a ju mun don nei huwoo kaa nukele ba tanon.
03-00	Don ngoo zaaba 3
03-01	Maala kaa nukele yei e yeneke, e legbooba laa holobo, ele gbinimaa ye kongo.
04-00	Don ngoo naan 4
04-01	Nuta hwa peli leei lualaa hu da tolaalaa hu, luolaa da luoyou hugu lope da kpe.
05-00	Don ngoo nooli 5
05-01	Di hwe kia pai nuta monoboi, di hwe kia pai meni naanwana laai nuta ba, yi a nu kulo nulaa hu ele eye melekpe ma.
06-00	Don ngoo meida 6
06-01	Kene lope gele, maane nu kele ngo kaa lonna, e ke a golon ngaa ma.
07-00	Don ngoo meihwele 7
07-01	Nu kele peliai a ge ton niila ne tono mei. Nu kele hon bele kaa tanon nukan maaton nei liila.
08-00	Don ngoo meihaaba 8
08-01	Maala kaa nukele yei e li kititege pele la; a gaa ye maameni ye e piliju.
09-00	Don ngoo meinaan 9
09-01	Di hwa nu too gahwe na, yi ngun ve mai. A wwalaketi di maakwiya ngoo loiba gahwa meni ngoo pelehu.
10-00	Don ngoo bou 10
10-01	Maala ka nukele yei, e ngoo tian makongo kitite ge pelela, ele dian ti e ke a kolon ngaa e make meni lopee daa zenwuon.
11-00	Don ngoo boukoutanon 11
11-00	Nui lopee da meninongoo laahe nguo, meniti hwa peli kei a jon, yi jon ti hwe kolon ni ponona kitikepele la, maakongonuaan nei ba.
11-01	Ton hwa peli nui lope honji menita ba yiyai meni ti kei lowai, don ti hwe ke laali; yilipulu menikei lowai ton me a laa nui ti mei, e make a kwia.
12-00	Don ngoo boukou hweele 12
12-01	Nuta hwa naa lo melan nii pele hu, lo kpeli-kpeli, nei belen meni hu, da gbiniba meni tamaa hu, naa kala pele po.
13-00	Don ngoo boukou haaba 13
13-00	Maala kaa nukele yei e hie a niibapele, ele e he niiba kenaa ngo loi hu.
13-01	Maala kaa nukele yei ye peli kuloi loi lope hu, e make gboo loi, ele e pene e na gboo loi ti hu.
14-00	Don ngoo boukou naan 14
14-00	Nui lope da neikou kpolu jeei, maala kaa nei e maakile loi takpeli hu, yiyan noiti a peli nee hee mu.
14-01	Maakilelaa ti hwa peli tegei meni nongon kemun gbookpo po yi hwe ba loi ngun ma meninongon da kaala.
15-00	Don ngoo boukou looli 15
15-00	Maala kaa nukele yei e loi lonna holobo.
15-01	Di hwa peli loilonna kuloi nu yei hulu meni hu ele maala hwe ngono nu yei hwe ngo loilonna maahwalin.
16-00	Don ngoo boukoumeida 16
