00-00	a'lamih jhani hqwq bshr
00-01	az anja kh shnasayei hithit thati klih' a'dai khanwadh bshri w hqwq iksan w antqal napthir anan asas azadi w 'dalt w slh ra dr jhan tshkil midhd,
00-02	az anja kh 'dm shnasayei w thqir hqwq bshr mnjr bh a'mal whshianhii grdidh ast kh rwh bshrit ra bh 'sian wadashth w zhwr dniaii kh dr an afrad bshr dr bian w 'qidh azad w az trs w fqr fargh bashnd b'nwan balatrin amal bshr a'lam shdh ast,
00-03	az anja kh asasan hqwq ansani ra baid ba ajrai qanwn hmait krd ta bshr bh 'nwan akhrin 'laj bh qiam br dd zlm w fshar mjbwr ngrdd,
00-04	az anja kh asasan lazm ast tws'h rwabt dwstanh bin mll ra mwrd tshwiq qrar dad,
00-05	az anja kh mrdm mll mthd bawr khwd ra bhqwq asasi bshr w mqam w arzsh frd ansani w tsawi hqwq mrd w zn mjddan dr mnshwr a'lam krdhand w tsmim raskh grfthand kh bh pishrft ajtma'i kmk knnd w dr mhit azad wd' zndgi bhtri bwjwd awrnd,
00-06	az anja kh dwl 'dw mt'hd shdhand kh ahtram jhani w r'ait waq'i hqwq bshr w azadihai asasi ra ba hmkari sazman mll mthd ta'min knnd,
00-07	az anja kh hsn tfahm mshtrk nsbt bh in hqwq w azadiha brai ajrai kaml in t'hd kmal ahmit ra dard,
00-08	mjm' 'mwmi, in a'lamih jhani hqwq bshr ra arman mshtrki brai tmam mrdm w klih mll a'lam miknd ta jmi' afrad w hmh arkan ajtma' in a'lamih ra piwsth md nzr dashth bashnd w tlash knnd kh bwsilh' t'lim w trbit ahtram in hqwq w azadiha gstrsh iabd w ba tdabir tdriji mli w binalmlli, shnasaii w ajrai waq'i w hiati anha tchh dr mian khwd mll 'dw w tchh dr bin mrdm kshwrhayei kh dr qlmrw anha mibashnd, ta'min grdd.
01-00	madh awl:
01-01	tmam afrad bshr azad bh dnia miaind w az lhaz hithit w hqwq ba hm brabrnd. hmh darai 'ql w wjdan hstnd w baid nsbt bh ikdigr ba rwh bradri rftar knnd.
02-00	madh dwm:
02-01	1 - hr ks mitwand bdwn hitchgwnh tmaiz mkhswsan az hith njad, rng, jns, zban, mthhb, 'qidh siasi ia hr 'qidh' digr w hmtchnin mlit, wd' ajtma'i, thrwt, wladt ia hr mwq'it digr, az tmam hqwq w klih' azadihaii kh dr a'lamih hadr thkr shdh ast, bhrhmnd grdd.
02-02	2 - b'lawh hitch tb'idi b'ml nkhwahd amd kh mbtni br wd' siasi, adari w qdayei ia binalmlli kshwr ia srzmini bashd kh shkhs bh an t'lq dard, khwah in kshwr mstql, tht qiwmit ia ghir khwdmkhtar bwdh ia hakmit an bh shkli mhdwd shdh bashd.
03-00	madh swm:
03-01	hr ks hq zndgi, azadi w amnit shkhsi dard.
04-00	madh tchharm:
04-01	hitchksi ra nmitwan dr brdgi ngh dasht w dadwstd brdgan bh hr shkli kh bashd, mmnw' ast.
05-00	madh pnjm:
05-01	hitchksi ra nmitwan zir shknjh, mjazat ia rftari qrar dad kh zalmanh, br khlaf ansanit w shyewn bshri ia ahantamiz bashd.
06-00	madh shshm:
06-01	hr ks hq dard kh shkhsit hqwqi aw dr hmhja b'nwan ik ansan dr mqabl qanwn shnakhth shwd.
07-00	madh hftm:
07-01	hmh dr brabr qanwn msawi astnd w hq darnd bdwn tb'id w msawianh az hmait qanwn brkhwrdar shwnd. hmh hq darnd dr mqabl hr tb'idi kh naqd a'lamih hadr bashd w dr brabr hr thriki kh brai tchnin tb'idi bh 'ml aid, bh gwnh msawi az hmait qanwn bhrhmnd shwnd.
08-00	madh hshtm:
08-01	dr brabr a'mali kh hqwq asasi hr frd ra mwrd tjawz qrar dhd w an hqwq bh wsilh qanwn asasi ia qanwn digri brai aw shnakhth shdh bashd, hr ks hq rjw' mwthr bh mhakm mli salhh dard.
09-00	madh nhm:
09-01	hitchksi nbaid khwdsranh twqif, hbs ia tb'id bshwd.
10-00	madh dhm:
10-01	hr ks ba msawat kaml hq dard kh d'waish bh wsilh dadgah mstql w bitrf, mnsfanh w 'lnan rsidgi shwd w tchnin dadgahi drbarh hqwq w alzamat aw ia hr atham jzaii kh bh aw twjh pida krdh bashd, tsmim bgird.
11-00	madh iazdhm:
11-00	hr ks kh bh jrmi mthm shdh bashd, bignah shmrdh khwahd shd, ta wqtikh dr jrian ik d'wai 'mwmi kh dr an klih tdminhai lazm brai dfa' aw ta'min shdh bashd, tqsir aw qanwnan mhrz grdd.
11-01	hitchks brai anjam ia 'dm anjam 'mli kh dr mwq' artkab an 'ml bh mwjb hqwq mli ia binalmlli jrm shnakhth nshwd, mhkwm nkhwahd shd. bh hmin triq hitch mjazati shdidtr az antchh kh dr mwq' artkab jrm bh an t'lq migrft drbarh ksi a'mal nkhwahd shd.
12-00	madh dwazdhm:
12-01	hitchksi dr zndgi khswsi, amwr khanwadgi, aqamtgah w ia mkatbat khwd nbaid mwrd mdakhlhhai khwdsranh waq' shwd w shraft w asm w rsmsh nbaid mwrd hmlh qrar gird. hr ks hq dard kh dr brabr ingwnh mdakhlat w hmlat mwrd hmait qanwn qrar gird.
13-00	madh sizdhm:
13-00	hr ks hq dard kh dr dakhl hr kshwri azadanh 'bwr w mrwr knd w mhl aqamt khwd ra antkhab nmaid.
13-01	hr ks hq dard hr kshwri w az jmlh kshwr khwd ra trk knd w ia bh kshwr khwd baz grdd.
14-00	madh tchhardhm:
14-00	hr ks hq dard dr brabr t'qib, shknjh w azar pnahgahi jstjw knd w dr kshwrhai digr pnah akhtiar nmaid.
14-01	dr mwrdi kh t'qib waq'an mbtni br jrm 'mwmi w ghirsiasi ia rftarhayei mkhalf ba aswl w mqasd mll mthd bashd, nmitwan az in hq astfadh nmwd.
15-00	madh panzdhm:
15-00	hr ks hq dard kh darai tab'it bashd.
15-01	hitchksi ra nmitwan khwdsranh az tab'it khwd ia az hq tghiir tab'it mhrwm krd.
16-00	madh shanzdhm:
