00-00	SIFGAIF RENRQIANR XIANXYANR
00-01	Novdiex nier cov nier cenryanrdiex hufniv xief niexxir zunxyanr niex qianrlir pinrdenv buryir cenrrenf, Sifgaif zifyour, zenfyif niex horpinr nier jixcuv,
00-02	Renrqianr wursif niex wuvmier baofxinr yevmanr zif liex, gaif baofxinrdiex novdiex nier lixkoxlof dianfwux liex, novdiex hufniv yanrlunf niex xinfyanv zifyour xief, gev tav, taif tav niexxir Sifgaif enrjier, puvtongx nier novdiex nier yanfwanf gaox xix taif lirlu.
00-03	Novdiex per bur deryiv, tinv er zouvxianv baofzenf niex yafper huanvpanf tav, aivliermor renrqianr huarzif gof baovhuf dor.
00-04	Guirjiaxdiex guanxxif caf huarzanv cufjinf dor,
00-05	Lianrhor Guir guirjiaxdiex nier novdiex Lianrhor Guir Xianfzanx wortuv gixzex renrqianr jixbenv, renrger zunxyanr niex jiafzir, novbar norgarnir davzer niexxir qianrlir bor xief niexxir xinfnianf lirlu, zifyour nafbiex civ workuv nier sefhuif jinfbuf niex senxhor suivpinr caf zif diex xir lirlur,
00-06	Huifyanr guirdiex lirlur: Lianrhor Guir dav sar riv bor, renrqianr niex zifyour jixbenv puvbianf zunxzongf niex zunxxinr dor,
00-07	Gaif qianrlirdiex niex zifyourdiex puvbianf haxrir gaif sifyanf congxhunf sirxianf bor zongfyaof liex zongfyaof,
00-08	Aixliermor muflanx,
00-09	Dafhuif,
00-10	Gaif Sifgaif Renrqianr Xianxyanr huarbuf, novdiex niex guirjiaxdiex hufniv xierqif siv bor sirxianf niexxir biaoxzunv gongftongr riv, hofnief, novdiex niex sefhuif jixgoufdiex jinxdor gaif xianxyanr minrnianf, xierqif siv bor jiaofhuiv niex jiaofyir gof qianrlir niex zifyour tix xix curjinf, guirjiax nier guirjif nier jianfjinf corsix gof, gaif qianrlirdiex niex zifyourdiex liex huifyanrguirdiex nier novdiex, gixzex guanvxiar nier liv garhaf nier novdiex wortuv cenrrenf niex zunxxinr puvbianf niex youvxiaof tir dor.
01-00	Nav
01-01	Novdiex nongv liex hufniv dav zer nier, zunxyanr niex qianrlir garhaf hufniv dav zer nier. Gixzex livxinf niex lianrxinx xief, xiongxdif guanxxif nier jinxsenr gof dav duifdaif dor.
02-00	Niev
02-01	Novdiex hufniv zixger xief gaif xianxyanr gof hxaf niexxir qianrlirdiex niex zifyourdiex xief, zongvzur, huxser, xinfbier, yivyanr, zongxjiaof, zenfzif sox tovlenv jianfgaiv, guirjir sox sefhuif cursenx, caircanv, cursenx sox tovlenv senxhunf denv qixbierdiex axpix tax dor.
02-02	Nov naof nier guirjiax sox liv nier zenfzifnier, xinrzenfnier sox guirjifnier difweif dav zer tav bor qixbier xief tav dor, liv ta dor: Gaif liv durlirnier, torguanvnier, zifzif tav sox tovlenv zuvqianr xianfzif niexxir qinrkuanf partir gaoflar.
03-00	Sov
03-01	Novdiex hufniv senxminf, zifyour niex renrsenx nganxqianr xief niexxir qianrlir xief.
04-00	Rev
04-01	Novdiex nurdif zif tav dor, nov gof nuryif tav dor; qiev xinrsif nier nurdif zifduf niex nurdif maivmaif hufniv riv tav dor.
05-00	Ongv
05-01	Novdiex bor kufxinr riv tav dor, daifyif sox xinrhuar canrrenv, renrdaof tav sox wuvruvxinf riv tav dor.
06-00	Wor
06-01	Novdiex keifdux hufniv huarlir zixgex nier renrqianr cenrrenf niexxir qianrlir xief.
07-00	Nier
07-01	Huarlir zixgex novdiex hufniv dav zer, huarlir gof pinrdenv baovhuf niexxir qianrlir xief, qirsif tav dor. Novdiex hufniv pinrdenv baovhuf xianvsouf niexxir qianrlir xief, hofnief, gaif xianxyanr weirhuanv niexxir qirsif xinrweirdiex niex gaif qirsifdiex sanxdongf niexxir xinrweir gof weirhaif tav.
08-00	Yer
08-01	Xianfhuar sox huarlir gof liex niexxir jixbenv qianrlir qinxhaif zaoxsouf bor, novdiex guirjiax huartinr horger gaif qinxhaif xinrweir bor xiaofgov xief niexxir buvjiuf riv niexxir qianrlir xief.
09-00	Ger
09-01	Novdiex renfyif daifbuv, jixjinf sox huanfzur tav dor.
10-00	Hif
10-01	Novdiex hufniv dav zer bor youf durlir youf pianxyiv taif nier huartinr naf daf gof gongxzenf gongxkaix senvxinf niexxir qianrlir xief, hofnief, goxniex qianrlif niex yifwuf qiordinf daivxir, gof bor zuf niexxir xinrsif zivkongfdiex panfdinf daivxir.
11-00	Nav hif Nav
11-01	Xinrsif kongfgaof xief maxdiex, bianfhuf garhaf div niexxir gongxkaix senvpanf tir, huarlir yixzaof bor zuif xief xix zenfsir daf, zuif taif dav zer bor bav niexxir qianrlir xief.
11-02	Novdiex nier xinrweirdiex sox bur xinrweirdiex, gixzex zuf bor guirjiax huar sox guirjif huar gof hufniv xinrsif zuif zif daf, xinrsif zuif xief xix panf tav dor. Xinrhuar gof zuif huanf zuf siv nier huarlir guixdinf duv nier tav dor.
12-00	Nav hif niev
12-01	Novdiex guanfdor nier niexkax, cov, ongr nier cov nier tongxxinf renfyif ganxser tav dor, goxniex rongryif niex minryif gongxjir tav dor. Novdiex huarlir gof baovhuf, gaif ganxser sox gongxjir zaoxsouf tav niexxir qianrlir xief.
13-00	Nav hif sov
13-01	Novdiex guirjiaxdiex wortuv zifyour qianxxir niex ongr nier qianrlif xief.
13-02	Novdiex renfhor guirjiax zuf niexxir qianrlif xief, gixzex wortuv guanfdor nier guirjiax xief, goxniex guirjiax bor songxkox niexxir qianrlif xief.
14-00	Nav hif rev
14-01	Novdiex wortav nier guirjiax bifhuf div nier xief niexxir qianrlif xief, hofnief, gixzex perhaif bifmianv daivxir.
14-02	Zenfzifxinf taif niexxir zuifxinr sox Lianrhor Guir nier zongxziv niex yanrzer weirbeif niexxir xinrweir liex qivsuf bor, gaif qianrlif siv tav dor.
15-00	Nav hif ongv
15-01	Novdiex guirjir xief niexxir qianrlif xief.
15-02	Novdiex nier guirjir renfyif bordor tav dor, guanfdor nier guirjir gaivbianf niexxir qianrlif houvrenf tav dor.
16-00	Nav hif wor
16-01	Novbardiex norgarnirdiex, zongvzur, guirjir sox zongxjiaof nier renfhor xianfzif xief tav dor, hunxjiaf niex cov zif niexxir qianrlif xief. Gixzex hunxyinx garhaf, hunx jier zuf niex hunxyor gaivcur zuf, qianrlif dav zer dor.
16-02	Novbar naof niex norgarnir naof zifyouf niex hufniv tongryif liex, hunx jier daivxir.
