00-00	GAIRM CHOITCHEANN AIR COIRICHEAN A' CHINNE-DAONNA
00-01	Do bhrigh 's gu bheil e air aideachadh gu bheil dualchas nadarra agus coirichean neo-sgaraichte uile bhuill a' chinne-daonna na steidh airson saorsa, ceartas agus sith an t-saoghail,
00-02	Do bhrigh 's gun do dh' adhbharaich a bhith a' cur coirichean dhaoine ann an suarachas gniomhan borba a sharaich cogaisean, a bhith air an cleachdadh, agus gum bheil an latha air teachd anns am bi saor-labhartas, saor chreideamh agus saorsa bho eagal agus dith air a ghairm mar ard-mhiann an t-sluaigh choitcheann,
00-03	Do bhrigh 's gu bheil e uile do-sheachanta feumail - mas e nach bi an duine air a cho-eigneachadh mu dheireadh gu ceannairc a dheanamh an aghaidh ain-tighearnas agus foirneart gum bi coirichean an duine air an dion tro riaghladh an lagha,
00-04	Do bhrigh 's gu bheil e do-sheachanta feumail cleamhnasan cairdeil a steidheachadh eadar duthchannan,
00-05	Do bhrigh 's gun do chuir sluagh nan Duthchannan Aonaichte an creideamh as ur ann an coirichean fhear is mhnathan agus mar an ceudna gun do chuir iad romhpa adhartas soisealta agus irean beatha nas fhearr ann am barrachd saorsa a dhaingneachadh,
00-06	Do bhrigh 's gun do gheall gach Ball Staite, ann an co-luib ris na Duthchannan Aonaichte, gum brosnaicheadh iad uile-speis agus aire do choirichean agus saorsa an t-sluaigh,
00-07	Do bhrigh 's gu bheil tuigse choitcheann a thaobh coirichean agus saorsaidhean uile gu leir do-sheachanta airson an gealladh seo a thoirt gu buil,
00-08	Mar sin, a nis,
00-09	Tha A' CHOMHDHAIL CHOITCHEANN
00-10	a' cur an ceill
00-11	NA GAIRM CHOITCHEANN AIR COIRICHEAN A' CHINNE-DAONNA seo na bhun-tomhais do gach sluagh is duthaich a chum na criche gun dean gach neach is gach duthaich (a' cumail na Gairm seo nan sealladh) stri gu bhith a' brosnachadh nan coirichean agus nan saorsaidhean sin tro theagasg is tro fhoghlam agus tro cheuman adhartach - naiseanta agus eadar-naiseanta - a' daingneachadh an cleachdaidhean am measg nan duthaich dem bheil iad fhein nam buill agus cuideachd anns na tirean a tha fon ughdarras.
01-00	Bonn 1.
01-01	Tha gach uile dhuine air a bhreth saor agus co-ionnan ann an urram 's ann an coirichean. Tha iad air am breth le reusan is le cogais agus mar sin bu choir dhaibh a bhith beo nam measg fhein ann an spiorad brathaireil,
02-00	Bonn 2.
02-01	Tha gach neach fa leth airidh air gach coir is saorsa a tha sgriobhte anns A' Ghairm seo a dh' aindeoin gne sam bith, mar tha cinneadh, dath craicinn, gne-cinneil, canan, creideamh, beachdan poiliticeach, tusachd naiseanta neo soisealta, sealbhachd, gin neo inbhe air bith eile.
02-02	A thuilleadh, chan fhaod deifir a bhith air a dheanamh air bonn inbhe phoiliticeach, uachdaranail neo eadar-naiseanta a tha ceangailte ri duthaich dom buin neach co-dhiu tha an duthaich sin neo-eiseimeileach, fo urras, fon riaghladh neo fo bhacadh duthcha eile.
03-00	Bonn 3.
03-01	Tha coir aig gach neach air beatha, saorsa agus tearainteachd.
04-00	Bonn 4.
