00-00	Prai tiksi kizilerde tjreler (pravolar) deklaratsiyazy
00-01	Sangha alyp, postyn sinin pilingenin sanazarynyn, khaizy  prai kizilerde chonnar tjlinde par, olarnyn tin paza pylastyrbas tjree (pravo) pos churtastyn, pos ondai churtastyn, syn paza prai tiksi amyr churtas tjstigi (osnova) polcha; paza
00-02	sangha  alyp,  nimee salbanyn paza khyrt kjrirgenin kizi tjreelerine (pravolargha) nimee salbas ondai chabal aktargha aghylghannar,  khaizy chonnardyn akh saghysty erektircheler, paza andagh chir charykhty pedirgeni khaida kiziler sjs paza kirtinis (ubezhdenie) pos ondaiy par polar paza khorghys chokh  paza khyzylghany chokh churtirlar paza, kizilerni pjzik kesteniske iskirilgen; paza
00-03	sangha alyp,  kizi tjreeleri (pravo) elge arachylirgha kirek toldyraryn echen,  kizi irik chokh , khalghanchy kirek nime chili, tiraniya paza pazynys toghyra kjdirilebezin; paza
00-04	sangha alyp, chonnarnyn ynarkhas palghalys jzizine polyzargha kirek; paza sangha  alyp,  Pirikken Natsiyalarnyn chonnary Ustavta postarynyn kirtinisterin  jjn kizi tjreeleri,  postyn sinin pilingenin paza kizinin aarliine paza ir paza ipchi kizilernin tin pravalaryn kirechilibiskenner paza pjginge alghannar  sotsialnai progresske paza churtas sinine khabazargha paza churtas ondailaryn artykh pos ondaida chakhsylandyrargha; paza
00-05	sangha alyp,  khaznalar-chlennar Pirikken Natsiyalarnyn Organizatsiyanyn khada, prai chonnar arazynda kizi tjreeleri paza jjn pos ondailarny ulughlanyskha  paza khabazargha paza khoostyra polargha sjs pirgenner; paza
00-06	sangha alyp, pu kizi tjreleri paza pos ondailarny  prai tiksi onarghany ulugh pildiriglig pu sjs pirgenge toldyra pjginge,
00-07	Jjn  Assambleya,
00-08	Iskirche pu Prai tiksi kizilerni tjreeler deklaratsiyazyn Pjginge khaizyn prai chonnar paza  khaznalar  pjgerge  kestenerge kirekter andagh polzyn polghan na kizi paza polghan na jmenin organy, khachan-da sangha alyp, pu Deklaratsiyany,  kestengenner  egredig paza charytkhany  khoostyra pu tjreleerni paza pos ondailarny ulughlanyskha khabazargha paza chitkiche pirerge,  natsionalnai paza  chonnar arazyndaghy progressivnai meropriyatiyalar khoostyra , prai tiksi paza  effektivnai  sanaskhany paza olarnyn toldyrylghanyn khaidi khaznalar Organizatsiya chlenneri chonnar arazynda,  idjk  chonnar arazynda kemni territoriyalary olarnyn yurisdiktsiya altynda.
01-00	1 Statya
01-01	Polghan na kizi pos paza tin tjripche paza tin postyn sinin pilingenin paza tjrelerininde polcha. Olardyn saghynghany paza arygh saghys  par paza kharyndastar chili tudynargha kirekter.
02-00	2 Statya
02-01	Polghan na kizinin pu Deklaratsiyada iskirilgen prai kizi tjreleri paza  prai pos churtas ondailary (svobodalary) polargha kirek, pir paskhalanys daa chokh, rasovai, teernin jj, ir alai ipchi kizi, til, religiya, politicheskai alai paskha daa kirtinis,  natsionalnai alai sotsialnai chongha kirchetken khoostyra,  nime-noo (imushchestvennai),  soslovnai alai paskha da polozhenielig.
02-02	Aghaa khoza, charabincha politicheskai, pravovoi alai chonnar arazynday khaznany statuzyzy tjstegi khoostyra  khaidygh da paskhazy iderge alai territoriya khaidar kizi kirche, sanaspin pos alynacha territoriya alai chokh, pos ustaghlygh alai ba piree khaidi khyzyrylghan suverenitettig.
03-00	3 Statya
03-01	Polghan na kizinin par tjre churtaskha, pos ondailygh churtaskha paza teerge charabazyna (neprikosnovennost).
04-00	4 Statya
04-01	Pirdeene khulda polargha charadylbincha; khul paza khullarny  sadygh khaidygh daa ondailygh charadylbincha.
05-00	5 Statya
05-01	Pirdeezin ireelirge alai chabal, kizi nimes chili, pazynargha postyn sinin pilingenin tezirerge charadylbincha.
06-00	6 Statya
06-01	Polghan na kizinin ,khaida daa ol polchatsa, pravosubektnai sanaghlygh polargha tjre par.
07-00	7 Statya
07-01	Prai kiziler elge alnynda tinner paza pir daa paskhalanys chokh elge tin arachyliryna tjrelig. Prai  kiziler polghan na  diskriminatsiyanyn,  pu  Deklapatsiyany saibapchatkhan, tin arachyliryna tjrelerig, paza khaidygh da polghan chabal kirekke andygh diskriminatsiyagha tartkhany.
08-00	8 Statya
08-01	Polghan na kizinin par tjre tjreleri  kompetentnai natsionalnai charghylardyn effektivnai pravalaryn chazylghanyna khachan anyn jjn tjreleri, konstitutsiyanyn alai elgenin aghaa pirilgen, saibalchalar.
09-00	9 Statya
09-01	Pirdeezin poili arestovat polghanynake, tutkhanyskha alai sergenine charabincha.
10-00	10 Statya
10-01	Polghan na kizinin par tjre, pozynyn tjreeleri paza obyazannosttaryn charat salargha paza pilip alargha ugolovnai pyrolas tjsteni, tjrelig, tin polchatkhanynda tjstegi khoostyra, anyn charghy kiregi syn azygh kjrilgen paza prai kirekteeni sanaskha alylghan pos alyncha paza orta syn charghynyn.
11-00	11 Statya
11-01	Polghan na kizinin par tjre, khomai kirek echen  pyrolatchatkhan kizinin tjre par pyro chokh sanalargha anyn pyrozy zakonnai ondainyn tabylghan chitire syn azygh charghy ezerig khoostyra khaida aghaa prai arachylynys ondailar pirilcheler.
11-02	Pirdeezi charghylat salargha  charadylbincha saibagh echen khaizy khai piree saibagh itken tjstigde alai nime itpeeni echen, khaizy olardy itken tusta natsionalnai zakonnar alai chonnar arazyndaghy pravo khoostyra saibagha sanalbannar.  Idjk charadylbincha khatyghlas khaizy saibagh idilgen tusta kirilgen charapchatkhan khatyghlastyn aar.
12-00	12 Statya
12-01	Pirdeezine charadylbincha poili anyn pozynyn churtazyna paza sjbire churtazyna ara kirerge, poili kizi tenmezin saibirgha kharazargha, anyn churttynyn, anyn pichikterinin chazyt nimelerge kirerge alai anyn chezine paza reputatsiyazyna. Prai kizinin  andagh ara kirergenin elge arachyliryna tjre par.
13-00	13 Statya
13-01	Polghan na kizinin par tjre pos ondaicha chjriske syghargha paza churtachan chirge polghan na khazna istinde.
13-02	Polghan na kizinin par tjre polghan na khaznaza parybyzargha, ol sanda pozy churtapchatakhan khaznanyn, paza nandyra pozynyn khaznazynzar ailan kil turargha.
14-00	14 Statya
