00-00	Kizhini toolaghanynan uzhun deklaratsiyazy
00-01	Parchyn kizhini ten toolabazabys, posh, shyn, abyr chadyiybys par polbas tep, korup;
00-02	Kizhilerdi kystap-kel toolabanchyabysta, ulugh  kan togulup, kizhi saghyzhy kyryl turcha tep, korup;
00-03	Naa chadyiybys, ol parchyn kizhi aidaryn aidar, sananghanyn azhar chadyiy, anan aara kizhi korukpan, kereksinmen chorer chadyiy polzyn tep, korup;
00-04	Kizhilerdi ulugh toolap, ylargha chozak polushsyn tep,  kystaghan kizhiler kystapchyghan kizhilerden toghra turbazynnar, odurushpezinner tep, korup;
00-05	Ak charykta chatchyghan chon-kalyktar, ozere tartyshpan, arghyshtanysh polyp, chatsynnar tep, korup;
00-06	Piriktegen kalyktary parchyn kizhige ulugh toolaghanyngha, parchyn kizhini nchadyiynyn kyimadyngha, er kizhibe tizhi kizhinin ten polchyghanyngha putchadyp,   pozunyn Ustavka any pastyryp, kizhi arazyndaghy chadyiy chakshaarak pol-parzyn tep, sanaghanmyska korup;
00-07	Piriktegen  kalyktardyn kaannary parchyn kizhige ulugh toolaghanynyn  keregin, chadyiybys posh polarynyn keregin, kozha katysh-kelip ishterge sos pergenin korup;
00-08	Parchyn kizhige ulugh toolaghany, parchyn kizhinin posh chatchyghany kaida da, kemge da tyn kerek, anan aara pis po aitkan sosteribisten shykpaska tyn kerek polghanyn korup;
00-09	Generalnyi Assamblei
00-10	parchyn kizhige ulugh toolaghanynan, posh chadyiynan uzhun po Tekshi deklaratsiyazyn ughuza charlapcha; parchyn kaan, kalyk, kizhi po tekshi deklaratsiyada paskanyn ishtezinner tep, katka urgenip, kizhiler arazynda chorup, parchyn kizhige ulugh toolanghanynyn, posh chadyiybystyn kereginge polushsynnar,  ulugh pairamnarda, pashka  kalyktarba, eze, piriktegen kalyktarba ylardyn tunma kalyktarba chyylyzhyp, parchyn kizhige ulugh toolaghanyn, parchyn kizhi posh chatkanyn chaghdattyryp, ishtettirip etcha.
01-00	Statyazy 1
