00-00	Nai pravosalni Vseobshchai Deklaratsiyani
00-01	Geren gurun nuktenduechi baldi nai taoni gebuni, emutu, ui-de chiresini pravosal – khengel, mirnei biuri osnovani. Chava tedyuchimi, guchi
00-02	saori: nai pravosalbani bodovasi, chachi chiurisiuri – tei khem nai dovani tagdoandini. Nai khengel, mene murumbi umi mutemi, khaidi-da em n l mi, em khadiachiami bigueni angori mir – tei geren gurun chu uvui murundieri otolichaichi, saichaichi mir. Chava tedyuchimi, guchi
00-03	nai, singerembe, erumbe baridoi, chikhalasi-da, murumbi achapchi chu khamoroi erdenchi – sorinchi – iliasi osigoani, neani pravosalbani gian kusundieni kanderiva geleuri. Chava tedyuchimi, guchi
00-04	goi-goi golo naisal keveli baldivachi masiltomi pikpuri. Chava tedyuchimi, guchi
00-05	Obedinennai Natsiyasal golosalchi naisal pravosalbani, gebuveni, tsennostiveni, guchi khuseni, ekteni emutudi pravosalkovachi Ustavadu guchi modan ungukhechi, totara sotsialnai progress, khengel biuri badi ulen-ulen osigoachi pikpumeri derukhechi. Chava tedyuchimi, guchi
00-06	gosudarstvosal-chlensel, OONdi gese, nai pravosalbani, svobodasalbani gebuleurive, dakhalaoriva pikpumeri kheseve bukhembechi. Tedyuchimeri, guchi
00-07	ei pravosal, svobodasal kharakterbachi khemtu naisal otoliochiachi, neanchi bukhemberi kheseveri chopal tede opogoandidoachi, otolikhachi ten dai znachenieku osivani sami. Chava tedyuchimi,
00-08	Generalnai Assambleya
00-09	ei nai taoni pravosalni Vseobshchai Deklaratsiyava geren gurun sagoachi gisureini. Tei zadachava tede opovamboriva khemtu golosal, gosudarstvosal tedemengileichi.
00-10	Nai taoni, obshchestvo organni taoni, ei Deklaratsiyava tul-tul edechimeri, geren gurumbe alosimari, tachiochimari, ei pravosalba, svobodasalba kidurive tedemenguechi, vseobshchai, effektivnei priznanieva mene goloi guchi goi-goi golosal debonsaldiani opovamboriva, neambachi gosudarstvosal- chlensel golosaldoachi, tei gosudarstvosal dalachaichi nadu bi golosaldu tede opovamboriva obespechivalaoriva tedemendivechi gelei.
01-00	Dyului statya
01-01	Khemtu naisal gipalin, mene gebudieri, pravosaldiari emutu baldichi. Neanchi murunku, derelku, dia diavari a-neu-met bodomari tagilaichi.
02-00	Dyueechie statya
02-01	Nai taoni, goloni, kherekteni boikoni khoni bimiu, ekteni, khuseni bimiu, khai khesedieni khisangoamio, khai endurive, politikava guchi goi dyakasalba agdachamio, khavoi golo bimiu, bayan, sinedi bimiu, dyangian, baibi nai bimiu, guchi khadeni goi khai-da khangis-khangis bi-de, – chava em bodoami, ei Deklaratsiya savankini khemtu pravosalku, khemtu svobodasalku bigini.
02-02	Tei oyachiani, naiva, khai boadoani, nadoani bi-de, tei boa, na, strana khoni bi statusako bimiu: politicheskai, pravovoi, mezhdunarodnai-nu, mene enchekhendii-nu, goi strana dalaidiani bini-nu guchi khoni-da enchekhembeni kamalivachi alichaini-nu – gerbiesiukhen turgunduleni khangis-khangis bodovasi.
03-00	Iliachia statya
03-01	Nai taoni bimbe, svobodava, ui-de neambani tongalasivani gelemi mutei. Tei neani pravoni.
04-00	Duechie statya
04-01	Uive-de laodinchami achasi; laodinchaoriva, laodinsalba khachindi khodasioriva kamaliori.
05-00	Toingiachia statya
05-01	Uive-de eruleuri, kepsungedi, gebuveni tugbumi taori, kesuliuri achasi.
06-00	Nyungiechie statya
06-01	Nai taoni, khaido-da bichin-de, neani pravosubektnostidi pravokovani tedeurive gelei.
07-00	Nadachia statya
07-01	Khemtu naisal giando emutu, khangis-khangis bi anadiani, emutudi gian kandeivani gelemeri muteichi. Ei Deklaratsiyava em turgunchiemi, uive-de khoni-da tugburidu guchi khoni-da khem bi tugbunchi pikpuridu khemtu nai emutu kandemba gelemeri muteichi.
08-00	Dyakpochia statya
08-01	Nai taoni, neandoani Konstitutsiya, gian bukhechi osnovnoi pravosalbani boyaliori osini, giamba ulen sari mene goloi dedyani neani pravosalbani khem terek taogoivani gelemi mutei.
09-00	Khuyuechie statya
09-01	Uive-de baita anadiani dyapaori, kamaliori, punneuri achasi.
10-00	Deayachia statya
10-01	Nai taoni, mene pravosalbi guchi tai dyakasalba terek osigoangoachi, m pibaitaltoivachigiankonomsagoachi,gerengurundiemutudi,khemtunaisal saridiachi, giandola terek mene enchekhendii deboi dedyan dedyaivani gelemi mutei.
11-00	Dean emunchie statya
11-00	Nai taombani, neambani baitaltoridu, chava giandola dedyami sagori- chia, baita anadi bodori; tei oyachiani neambani, khoni-da khem m pi kandemi mutegueni, khachindi belechiuri.
11-01	Uive-de, khaiva-da takhandolani-nu, tachindolani-nu, chava takhani erindu neani goloni giandolani, mezhdunarodnai pravolani tei baita biechini osini, baitakoam baitaltomi achasi. Guchi baitagoi bakhani erindu bichin kesulindui mangadi kesulimi achasi.
12-00	Dean dyueechie statya
12-01	Ui-de goi nai ergembeni, degbani, gebuveni, denkani baldimbani tongalami mutesi. Nai taombani gian kandeini.
13-00	Dean iliachia statya
13-00	Nai taoni mene murundulei khengeldi pulsimi, mene gosudarstvoi dolani bigui boava bami mutei.
13-01	Nai taoni goi stranava, mene stranai nalami, mene stranachii mochogomi mutei.
14-00	Dean duechie statya
14-00	Nai taoni, neambani goi nai khasasidoani, mene beungui goi boadu gelemi, bakhambi beumbi takorami mutei.
14-01	Nai mene orkindolai khai-da baitava taini osini, Obedinennai Natsiyasal Organizatsiyani printsipeveni khangis-khangis taini osini, neani ei pravova takorami mutesi.
15-00	Dean toingiachia statya
15-00	Nai taoni grazhdanstvoku bimi mutei.
15-01	Ui-de grazhdanstvovani bai tui abanavami achasi, grazhdanstvoi mene murundulei kalami muteini pravova chigumi achasi .
16-00	Dean nyunguchie statya
16-00	Khuse, ekte nai, dean dyakpon s ve isipari, goi-goi goloko, religiyaku-da, edi-asi osimari muteichi. Neanchi, edi-asi osidoari, gese baldidoari, padilagoidoari, khem emutu pravokul.
16-01	Nai khengeldi mene murundulei, ee-taya chikhalaidoani, edi-asi osimari muteichi.
16-02	Nukten – obshchestvo bongo yacheikani; obshchestvodi, gosudarstvodi nuktembe kandeichi. Tei nukten pravoni
17-00	Dean nadiachia statya
17-00	Nai taoni mene khadembi emuchen, goi naidi-da gese edelechemi muteini.
17-01	Ui-de goi nai khadembani chimi mut si.
18-00	Dean dyakpochia statya
18-01	Nai taoni mene khengeldi murunku, derelku, religiyaku bimi mutei; ei pravola nai mene chikhalami religiyai, murumbi kalami mutei. Nai taoni mene tedyuchii murumbi, religiyai emuchen, goi gurundi gese-de goloi kolilani tami mutei.
19-00	Dean khuyuechie statya
