00-00	Pangawedar indik Hak-Hak Azasi Manusia
00-01	Manimbang riantukan pangangken ring subhakarma lan hak-hak sane pateh tur pastika saking paguyuban kulawarga manusa sami inggih punika dasar kemerdekaan, keadilan lan perdamaian ring jagat.
00-02	Manimbang riantukan ngelempasang lan ngandapang hak azasi manusia janten ngawinang parilaksana-parilaksana sane kaon sane ngawinang rasa kroda sajeroning herdaya (unteng pekayunan) manusapada, tur kamanggehang jagat genah manusa pacang muponin bebas mawicara lan maagama tur luput saking rasa ajrih miwah kakirangan, punika sampun kajantenang pinaka tatujon pilih utama saking para jana.
00-03	Manimbang riantukan hak-hak manusa patut kaayomin malarapan peraturan hukum mangda para jana nenten kadulumuk milih pamargi andaga utsaha penguntat maka panungkas kaduratmakan miwah penjajahan.
00-04	Manimbang riantukan ngupapira paiketan pasawitran ring sajeroning negara-negara patut kautsahayang.
00-05	Manimbang riantukan wangsa-wangsa saking Perserikatan Bangsa-Bangsa sajeroning Piagem Perserikatan Bangsa-Bangsa sampun mategesang malih kepercayaannyane ngenenin hak-hak dasar manusa, tur hak-hak sane pateh, ring sang lanang miwah istri, miwah sampun mutusang pacang nuwekang kasuketan jagat lan kahuripane sane utama sajeroning kemerdekaan sane ngalimbak.
00-06	Manimbang riantukan paguyuban negara-negara sampun masemaya pacang nyujur kemajuan sajeroning pangargan miwah pangubaktian marep ring hak azasi manusia lan kebebasan sane ngarojong sareng Perserikatan Bangsa-Bangsa.
00-07	Manimbang riantukan pahaning wirasa sane pateh ngenenin indik hak-hak lan kebebasan-kebebasan punika mabuat pisan maka panglaksana sane sumeken pisan saking semaya punika, mawinan,
00-08	MAJELIS UMUM
00-09	Malarapan punika nyobiahang
00-10	Pangawedar Indik Hak-Hak Azasi Manusia
00-11	Pinaka anceng sane katah maka sidaning wangsa sami lan panegara sami, maka tatujon mangda saluiring janma lan saluiring paguyuban sajeroning pakraman nityakala eling ring pangawedar puniki, pacang ngutsahayang majalaran tata cara ngajahin lan ngicenin pendidikan ngapti nincapang pangargan marepe ring hak-hak lan kebebesan-kebebasan punika, tur pamargi sane gancang gelitik urati sane manggeh nasional wiadin internasional, nyamin pangangken lan pangabaktianipun sane luih tur sumeken, inggilan olih wangsa-wangsa saking swanegara anggota wiadin olih wangsa-wangsa saking wawidangan sane wenten ring sajeroning wawengkon hukumipun.
01-00	Paos 1
01-01	Sami manusane sane nyruwadi wantah merdeka tur maduwe kautamaan lan hak-hak sane pateh. Sami kalugrain papineh lan idep tur mangdane pada masawitra melarapan semangat pakulawargaan.
02-00	Paos 2
02-01	Satunggil para janma wenang ring hak-hakipun sami lan kebebasan-kebebasan sane mungguh ring jeroning pangawedar puniki, makadi pabinaan ring ras, warnan carma, lanang-wadon, basa, agama, politik utawi pamarnan maseosan, witning kewangsaan utawi pakraman (kemasyarakat), hak, padruwean, palekadan wiadin linggih seosan.
02-02	Selantur ipun nenten pacang kawentenang pabinayan sangkaning linggih (kedudukan) politik, hukum, utawi kedudukan internasional saking negara utawi daerah saking dija ugi kawit nyane manusa, inggian saking negara sane merdeka sane merupa wewidangan-wewidangan perwalian, jajahan, utawi sane wenten ring sajeroning wates kedaulatan sane seosan.
03-00	Paos 3
03-01	Saluiring manusa wenang ring hak hidup, kebebasan lan kerahayuan suwang-suwang.
04-00	Paos 4
04-01	Sapasira ugi nenten kayogya kadadosang budak utawi parekan, perbudakan lan pedagangan budak, yadian marupa napi ja musti kalarang.
05-00	Paos 5
05-01	Sapasira ugi nenten dados kasiksa utawi kabayang-bayang utawi katiwakin danda sane tan nganutin sulur kamanusan utawi kanistayang.
06-00	Paos 6
06-01	Saluiring janma kawenang ring pangangken sajeroning hukum pinaka manusa niri ring dija ugi magenah.
07-00	Paos 7
07-01	Samian manusane pateh ring sajeroning hukum lan pateh maduwe hak ring pangayoman hukum tanpa pabinayan. Sami manusane maduwe hak ring pangayoman marep saluiring bentuk pabinayan sane tungkas ring pangawedar puniki tur marep saluir hasutan sane nyujur pabinayan inucap.
08-00	Paos 8
08-01	Saluiring janma maduwe hak ring pemulihan saking pengadilan nasional sane maduwe kawenangan marep saparisolah sane ngelanggar hak-hak dasar sane kapaica olih undang-undang dasar wiadin hukum.
09-00	Paos 9
09-01	Sapasira ugi nenten dados ketangkep, ketahan wiadin kakutang sakita arep.
10-00	Paos 10
