00-00	UNIVERZALNA DEKLARACIJA O LJUDSKIM PRAVIMA
00-01	Posto je priznavanje urodenog dostojanstva i jednakih i neotudivih prava svih clanova ljudske porodice temelj slobode, pravde i mira u svijetu;
00-02	Posto je nepostovanje i preziranje ljudskih prava vodilo varvarskim postupcima, koji su vrijedali savjest covjecanstva, i posto je stvaranje svijeta u kojem ce ljudska bica uzivati slobodu govora i uvjerenja i slobodu od straha i zelje proglaseno kao najvisa teznja;
00-03	Posto je od krucijalne vaznosti da ljudska prava budu zasticena pravnim poretkom kako covjek ne bi bio primoran da kao krajnjem izlazu pribjegne pobuni protiv tiranije i ugnjetavanja;
00-04	Posto je bitno da se podstice razvoj prijateljskih odnosa medu nacijama;
00-05	Posto su narodi Ujedinjenih nacija u Povelji ponovo proglasili svoju vjeru u osnovna ljudska prava, dostojanstvo i vrijednost covjekove licnosti i ravnopravnost muskaraca i zena i posto su odlucili da podsticu drustveni napredak i poboljsaju uslove zivota u vecoj slobodi;
00-06	Posto su se drzave clanice obavezale da u saradnji s Ujedinjenim nacijama obezbijede opste postovanje i primjenu ljudskih prava i osnovnih sloboda;
00-07	Posto je opste razumijevanje ovih prava i sloboda od najvece vaznosti za puno ostvarenje ove obaveze;
00-08	Generalna Skupstina proglasava
00-09	Univerzalnu deklaraciju o ljudskim pravima kao zajednicki standard koji treba da postignu svi narodi i sve nacije da bi svaki pojedinac i svaki organ drustva, imajuci ovu Deklaraciju stalno na umu, tezio da ucenjem i vaspitavanjem doprinese postovanju ovih prava i sloboda i da progresivnim unutrasnjim i medunarodnim mjerama obezbijedi njihovo opste i stvarno priznanje i postovanje kako medu narodima samih drzava clanica, tako i medu narodima onih teritorija koje su pod njihovom upravom.
01-00	Clan 1.
01-01	Sva ljudska bica radaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i savjescu i jedni prema drugima treba da postupaju u duhu bratstva.
02-00	Clan 2.
02-01	Svakom pripadaju sva prava i slobode proglasene u ovoj Deklaraciji bez ikakvih razlika u pogledu rase, boje, pola, jezika, vjeroispovijesti, politickog ili drugog misljenja, nacionalnog ili drustvenog porijekla, imovine, rodenja ili drugih okolnosti.
02-02	Dalje, nece se praviti nikakva razlika na osnovu politickog, pravnog ili medunarodnog statusa zemlje ili teritorije kojoj neko lice pripada, bilo da je ona nezavisna, pod starateljstvom, nesamoupravna, ili da joj je suverenost na ma koji drugi nacin ogranicena.
03-00	Clan 3.
03-01	Svako ima pravo na zivot, slobodu i bezbjednost licnosti.
04-00	Clan 4.
04-01	Niko se ne smije drzati u ropstvu ili potcinjenom polozaju: ropstvo i trgovina robljem zabranjeni su u svim oblicima.
05-00	Clan 5.
05-01	Niko ne smije biti podvrgnut mucenju ili okrutnom, necovjecnom ili ponizavajucem postupku ili kaznjavanju.
06-00	Clan 6.
06-01	Svako ima pravo da bude priznat kao osoba pred zakonom.
07-00	Clan 7.
07-01	Svi su pred zakonom jednaki i imaju pravo na podjednaku zastitu zakona bez ikakve razlike. Svi imaju pravo na jednaku zastitu protiv bilo kakve diskriminacije kojom se krsi ova Deklaracija i protiv svakog podsticanja na ovakvu diskriminaciju.
08-00	Clan 8.
08-01	Svako ima pravo na djelotvorni pravni lijek pred nadleznim nacionalnim sudovima protiv djela kojima se krse osnovna prava koja su mu priznata ustavom ili zakonima.
09-00	Clan 9.
09-01	Niko ne smije biti proizvoljno uhapsen, pritvoren, niti protjeran.
10-00	Clan 10.
10-01	Svako ima potpuno jednako pravo na pravicno i javno sudenje pred nezavisnim i nepristrasnim sudom koji ce odluciti o njegovim pravima i obavezama, i o osnovanosti svake krivicne optuzbe protiv njega.
11-00	Clan 11.
11-01	Svako ko je optuzen za krivicno djelo ima pravo da se smatra nevinim dok se na osnovu zakona krivica ne dokaze na javnom pretresu na kojem su mu obezbijedena sva jamstva potrebna za njegovu odbranu.
11-02	Niko se ne smije osuditi za djela ili propustanja koja nijesu predstavljala krivicno djelo po unutrasnjem ili medunarodnom pravu u vrijeme kada su izvrsena. Isto tako ne smije se izricati teza kazna od one koja se mogla primijeniti u vrijeme kada je krivicno djelo izvrseno.
12-00	Clan 12.
12-01	Niko se ne smije izloziti proizvoljnom mijesanju u privatni zivot, porodicu, stan ili prepisku, niti napadima na cast i ugled. Svako ima pravo na zastitu pred zakonom protiv ovakvog mijesanja ili napada.
13-00	Clan 13.
13-01	Svako ima pravo na slobodu kretanja i izbora stanovanja u granicama pojedine drzave.
13-02	Svako ima pravo da napusti svaku zemlju, ukljucujuci svoju vlastitu, i da se vrati u svoju zemlju.
14-00	Clan 14.
14-01	Svako ima pravo da trazi i uziva u drugim zemljama azil od progona.
14-02	Na ovo pravo se ne moze pozvati u slucaju gonjenja koje se istinski odnosi na krivicna djela nepoliticke prirode ili na postupke protivne ciljevima i nacelima Ujedinjenih nacija.
15-00	Clan 15.
15-01	Svako ima pravo na drzavljanstvo.
15-02	Niko ne smije samovoljno biti lisen svog drzavljanstva niti prava da promijeni drzavljanstvo.
16-00	Clan 16.
16-01	Punoljetni muskarci i zene, bez ikakvih ogranicenja u pogledu rase, drzavljanstva ili vjeroispovijesti, imaju pravo da sklope brak i da zasnuju porodicu. Oni su ravnopravni prilikom sklapanja braka, za vrijeme njegovog trajanja i prilikom njegovog razvoda.
16-02	Brak se moze sklopiti samo uz slobodan i potpun pristanak lica koja stupaju u brak.
16-03	Porodica je prirodna i osnovna celija drustva i ima pravo na zastitu drzave i drustva.
17-00	Clan 17.
17-01	Svako ima pravo da posjeduje imovinu, sam i u zajednici s drugima.
17-02	Niko ne smije biti samovoljno lisen svoje imovine.
18-00	Clan 18.
18-01	Svako ima pravo na slobodu misli, savjesti i vjeroispovijesti; ovo pravo ukljucuje slobodu promjene vjeroispovijesti ili uvjerenja i slobodu da covjek sam ili u zajednici s drugima, javno ili privatno, ispoljava svoju vjeru ili uvjerenje poducavanjem, obicajima, molitvom i obredom.
19-00	Clan 19.
19-01	Svako ima pravo na slobodu misljenja i izrazavanja, sto obuhvata i pravo da ne bude uznemiravan zbog svog misljenja, kao i pravo da trazi, prima i siri informacije i ideje bilo kojim sredstvima i bez obzira na granice.
20-00	Clan 20.
20-01	Svako ima pravo na slobodu mirnog okupljanja i udruzivanja.
20-02	Niko se ne moze primorati da pripada nekom udruzenju.
21-00	Clan 21.
21-01	Svako ima pravo da ucestvuje u upravljanju svojom zemljom, neposredno ili preko slobodno izabranih predstavnika.
21-02	Svako ima pravo na jednak pristup javnoj sluzbi u svojoj zemlji.
21-03	Volja naroda je osnova drzavne vlasti: ova volja treba da se izrazava na povremenim i slobodnim izborima, koji ce se sprovoditi opstim i jednakim pravom glasa, tajnim glasanjem ili odgovarajucim postupkom kojim se obezbjeduje sloboda glasanja.
22-00	Clan 22.
22-01	Svako, kao clan drustva, ima pravo na socijalno osiguranje i pravo da ostvaruje privredna, drustvena i kulturna prava neophodna za svoje dostojanstvo i za slobodan razvoj svoje licnosti, uz pomoc drzave i putem medunarodne saradnje, a u skladu sa organizacijom i sredstvima svake drzave.
23-00	Clan 23.
23-01	Svako ima pravo na rad, na slobodan izbor zaposljenja, na pravicne i zadovoljavajuce uslove rada i na zastitu od nezaposljenosti.
23-02	Svako, bez ikakve razlike, ima pravo na jednaku platu za jednaki rad.
23-03	Svako ko radi ima pravo na pravednu i zadovoljavajucu naknadu koja njemu i njegovoj familiji obezbjeduje egzistenciju koja odgovara ljudskom dostojanstvu i koja ce, ako bude potrebno, biti upotpunjena drugim sredstvima socijalne zastite.
23-04	Svako ima pravo da osniva sindikat i uclanjuje se u njega radi zastite svojih interesa.
24-00	Clan 24.
24-01	Svako ima pravo na odmor i dokolicu, ukljucujuci razumno ogranicenje radnog vremena i povremeno placeni odmor.
25-00	Clan 25.
25-01	Svako ima pravo na standard zivota koji obezbjeduje zdravlje i blagostanje, njegovo i njegove familije, ukljucujuci hranu, odjecu, stan i ljekarsku njegu i potrebne socijalne sluzbe, kao i pravo na osiguranje u slucaju nezaposljenosti, bolesti, onesposobljenja, udovistva, starosti ili drugih slucajeva gubljenja sredstava za izdrzavanje usljed okolnosti nezavisnih od njegove volje.
25-02	Majke i djeca imaju pravo na narocito staranje i pomoc. Sva djeca, rodena u braku ili van njega, uzivaju jednaku socijalnu zastitu.
26-00	Clan 26.
26-01	Svako ima pravo na obrazovanje. Obrazovanje treba da bude besplatno bar u osnovnim i nizim skolama. Osnovno obrazovanje je obavezno. Tehnicko i strucno obrazovanje treba da bude svima podjednako dostupno na osnovu njihove sposobnosti.
26-02	Obrazovanje treba da bude usmjereno ka punom razvitku ljudske licnosti i ucvrscivanju postovanja ljudskih prava i osnovnih sloboda. Ono treba da unaprjeduje razumijevanje, trpeljivost i prijateljstvo medu svim narodima, rasnim i vjerskim grupama, kao i djelatnost Ujedinjenih nacija za odrzanje mira.
26-03	Roditelji imaju prvenstveno pravo da biraju vrstu obrazovanja za svoju djecu.
27-00	Clan 27.
27-01	Svako ima pravo da slobodno ucestvuje u kulturnom zivotu zajednice, da uziva u umjetnosti i da ucestvuje u naucnom napretku i u dobrobiti koja otuda proistice.
27-02	Svako ima pravo na zastitu moralnih i materijalnih interesa koji proisticu iz svakog naucnog, knjizevnog ili umjetnickog djela ciji je on tvorac.
28-00	Clan 28.
28-01	Svako ima pravo na drustveni i medunarodni poredak u kojem prava i slobode objavljeni u ovoj Deklaraciji mogu biti potpuno ostvareni.
29-00	Clan 29.
29-01	Svako ima obaveze prema zajednici u kojoj je jedino moguc slobodan i pun razvitak njegove licnosti.
29-02	U vrsenju svojih prava i sloboda svako se moze podvrgnuti samo onim ogranicenjima koja su predvidena zakonom iskljucivo u cilju obezbjedenja potrebnog priznanja i postovanja prava i sloboda drugih, kao i zadovoljenja pravicnih zahtjeva morala, javnog poretka i opsteg blagostanja u demokratskom drustvu.
29-03	Ova prava i slobode se ni u kom slucaju ne mogu ostvarivati protivno ciljevima i nacelima Ujedinjenih nacija.
30-00	Clan 30.
30-01	Nijedna odredba ove Deklaracije ne moze se tumaciti kao pravo za ma koju drzavu, grupu ili lice da obavlja bilo koju djelatnost ili da vrsi bilo kakvu radnju usmjerenu na rusenje prava i sloboda koji su u njoj sadrzani.
