00-00	maanava ayitivaasikam pilibada visva prakaasanaya
00-01	lookayee pavatnaa nidahasa, yuktiya saha saamaya yannehi padanama minis pavulee siyalu denaagee ma sahaja garutvaya haa ansatu kalanohaeki vuu sama ayitivaasikam piligaeniima vana heyin da,
00-02	maanava ayitivaasikam notaekiima haa avagnaavatta lakkiriimee pratipalayak vasayen minis vargayaagee hrdaya saaksiya saahasika piiddanayatta baajanaya kerena mleecca krrrakam siduvii aeti heyin da, minis vargayaatta adahas prakaasa kiriimee haa visvaasa aedahili daeriimee nidahasat, biyen haa agahigakamin toraviimee nidahasat bukti vidiimatta haeki prajaavak aerabiima podu janataavagee sreesttatama apeeksaava lesa prakaasayatta pat vii aeti heyin da,
00-03	dustta paalakayantta haa paripiiddanayantta viruddava antima kriyaa maargayak vasayen kaerali koolaahala aeti kiriimatta minisaa pelabaviima vaelaekviimatta nam niiti magin maanava ayitivaasikam aaraksaa karadiima atyaavasya vana heyin da,
00-04	jaatiin atara mitra sambandataa tavadurattat vardanaya kiriima atyaavasya vana heyin da,
00-05	muulika maanava ayitivaasikam kerehit, minisaagee garutvaya haa agaya kerehit, strii purusa depaksayee samaana ayitivaasikam kerehit, tama viisvaasaya haa baktiya eksat jaatiingee saamaajika jaatiin visin pragnaptiyehi stira lesa naevata piligena aeti heyin da, samaaja pragatiya haa vaddaa yahapat jiivana tattvayak vaddaa pulul lesa vardanaya kiriimatta adisttaanaya kara aeti heyinda,
00-06	maanava ayitivaasikam haa muulika svaadiinatvayan kerehi visva garutvayat, eevaa raeka diimat eksat jaatiingee sanvidaanayee sahayoogitvayen vardanaya kiriimatta saamaajika raajya pratignaa dii aeti heyin da,
00-07	ee pratignaava paripuurnava saaksaat kara gaeniima sadahaa mema ayitivaasikam haa svaadiinataa pilibadava podu avaboodaya labaa gaeniima atisayin vaedagat vana heyin da,
00-08	eksat jaatiingee mahaa manddalaya mesee prakaasa kara sittii.
00-09	maanava ayitivaasikam pilibada mema visva prakaasanaya samaajaya, saema pudgalayeku haa sanvidaanayak visin nirantarayenma sihipat keremin sakala janataavantta haa siyalu jaatiintta saaksaat karagata yutu podu tattvayak vasayen adyaapanayen haa adyayanayen mema ayitivaasikam haa svaadiinatvayan garu kala yutuyayi da, jaatika vuut, jaatyantara vuut, pragatisiilii vidividaana magin mee himikam saamaajika rattavala menma eevaayee balayatta avanata sesu rattavala janataava atara da agaya kiriimatta salaesviimen lookaya mululleema ee pilibada garutvaya haa kriyaakaaritvaya saelasiya yutuyayi da prakaasa kara sittii.
01-00	1 vana vagantiya
01-01	siyalu manusyayoo nidahasva upata labaa aeta. garutvayen haa ayitivaasikamvalin samaana veti. yukti ayukti pilibada haegiimen haa hrdaya saaksiyen yut ovun, ovunovuntta saelakiya yuttee sahoodaratvaya pilibada haegiimeni.
02-00	2 vana vagantiya
02-01	jaati, vansa, varna, strii purusa baavaya, baasaava, aagam, deesapaalana aadii kavara beedayak hoo samaaja, jaatika, deepala, upata aadii kavara tattvayaka viseesayak hoo nomaetiva mee prakaasanayee sadahan siyalu himikamvalatta haa svaadiinatvayantta saema pudgalayakuma uruma vanneeya.
02-02	tavada yam pudgalayaku ayatvana rattee deesapaalana, niitimaya hoo jaatyantara tattvayan pilibada kisidu viseesayak da ee rattee svaadiina, baarakaara, asvaadiina aadii kavara tattvayak pilibada viseesayak da nomaetiva mee himikam ohu satu vanneeya.
03-00	3 vana vagantiya
03-01	saema pudgalayekuttama jiivatviimattat nidahasva sitiimattat paudgalika aaraksaavattat himikam aetteeya.
04-00	4 vana vagantiya
04-01	kisima pudgalayeku vahal kamehi hoo bandanayehi (daasatvayehi) noraedaviya yutuya. saema aakaarayakama vahal veladaama haa vahalkama tahanam vanneeya.
05-00	5 vana vagantiya
05-01	kisima pudgalayaku vada hinsaavatta hoo krrra, amaanusika pahat saelakillakatta hoo dadduvamakatta hoo baajanaya nokala yutuya.
06-00	6 vana vagantiya
06-01	saema avastaavakadii ma niitiya idiriyee pudgalayaku vasayen piliganu laebiimee ayitiya saema kenekuma satuya.
07-00	7 vana vagantiya
07-01	siyallanma niitiya idiriyehi ekinekaatta samaana vana atara, niitiiyee aaraksaava laebiimatta kisidu viseesayak nomaetiva, siyallooma himikam labati, mee prakaasanayatta pattahaeni lesa kerena oonaema asaadaaranayakin aaraksaa viimee ayitiyat ebadu asaadaaranayantta pelabaviimen aaraksaaviimee ayitiyat siyallanttama himi vee.
08-00	8 vana vagantiya
