00-00	OIKOYMENIKE DIAKERYXE GIA TA ANTHROPINA DIKAIOMATA
00-01	Epeide e anagnorise tes axioprepeias, pou einai sumfyte se ola ta mele tes anthropines oikogeneias, kathos kai ton ison kai anapallotrioton dikaiomaton tous apotelei to themelio tes eleutherias, tes dikaiosunes kai tes eirenes ston kosmo.
00-02	Epeide e paragnorise kai e perifronese ton dikaiomaton tou anthropou odegesan se praxeis barbarotetas, pou exegeiroun ten anthropine syneidese, kai e prooptike enos kosmou opou oi anthropoi tha einai eleutheroi na miloun kai na pisteuoun, lytromenoi apo ton tromo kai ten athlioteta, echei diakerychthei os e pio ypsele epidioxe tou anthropou.
00-03	Epeide echei ousiastike semasia na prostateuondai ta anthropina dikaiomata apo ena kathestos dikaiou, oste o anthropos na men anangazetai na prosfeugei, os eschato katafugio, sten exegerse kata tes tyrannias kai tes katapieses.
00-04	Epeide echei ousiastike semasia na entharrunetai e anaptyxe filikon scheseon anamesa sta ethne.
00-05	Epeide, me ton katastatiko Charte, oi laoi ton Enomenon Ethnon diakeryxan kai pali ten piste tous sta themeliaka dikaiomata tou anthropou, sten axioprepeia kai ten axia tes anthropines prosopikotetas, sten isoteta dikaiomaton andron kai gynaikon, kai diakeryxan pos einai apofasismenoi na syndelesoun sten koinonike proodo kai na demiourgesoun kaluteres synthekes zoes sta plaisia mias euruteres eleutherias.
00-06	Epeide ta krate mele anelaban ten ypochreose na exasfalisoun, se synergasia me ton Organismo ton Enomenon Ethnon, ton apotelesmatiko sebasmo ton dikaiomaton tou anthropou kai ton themeliakon eleutherion se olo ton kosmo.
00-07	Epeide e tautoteta andilepseon os pros ta dikaiomata kai tis eleutheries autes echei exairetike semasia gia na ekplerothei pera os pera aute e ypochreose,
00-08	E GENIKE SYNELEYSE
00-09	Diakerussei oti e parousa Oikoumenike Diakeryxe ton Dikaiomaton tou Anthropou apotelei to koino idaniko sto opoio prepei na katateinoun oloi oi laoi kai ola ta ethne, etsi oste kathe atomo kai kathe organo tes koinonias, me te Diakeryxe aute diarkos ste skepse, na kataballei, me te didaskalia kai ten paideia, kathe prospatheia gia na anaptychthei o sebasmos ton dikaiomaton kai ton eleutherion auton, kai na exasfalistei proodeutika, me esoterika kai diethne mesa, e pangosmia kai apotelesmatike efarmoge tous, toso anamesa stous laous ton idion ton kraton melon oso kai anamesa stous plethysmous choron pou briskondai ste dikaiodosia tous.
01-00	ARTHRO 1
01-01	Oloi oi anthropoi gennioundai eleutheroi kai isoi sten axioprepeia kai ta dikaiomata. Einai proikismenoi me logike kai syneidese, kai ofeiloun na symberiferondai metaxu tous me pneuma adelfosunes.
02-00	ARTHRO 2
02-01	Kathe anthropos dikaioutai na epikaleitai ola ta dikaiomata kai oles tis eleutheries pou prokerussei e parousa Diakeryxe, choris kamia apolutos diakrise, eidikotera os pros te fyle, to chroma, to fulo, te glossa, tis threskeies, tis politikes e opoiesdepote alles pepoitheseis, ten ethnike e koinonike katagoge, ten periousia, te gennese e opoiadepote alle katastase.
02-02	Den tha borei akoma na ginetai kamia diakrise exaitias tou politikou, nomikou e diethnous kathestotos tes choras apo ten opoia proerchetai kaneis, eite prokeitai gia chora e edafike perioche anexartete, ypo kedemonia e ypexousia, e pou brisketai ypo opoiondepote allon periorismo kyriarchias.
03-00	ARTHRO 3
03-01	Kathe atomo echei dikaioma ste zoe, ten eleutheria kai ten prosopike tou asfaleia.
04-00	ARTHRO 4
04-01	Kaneis den epitrepetai na zei ypo kathestos douleias, olikes e merikes. E douleia kai to doulemborio ypo opoiadepote morfe apagoreuondai.
05-00	ARTHRO 5
05-01	Kaneis den epitrepetai na ypoballetai se basanisteria oute se poine e metacheirise sklere, apanthrope e tapeinotike.
06-00	ARTHRO 6
06-01	Kathenas, opou kai an brisketai, echei dikaioma sten anagnorise tes nomikes tou prosopikotetas.
07-00	ARTHRO 7
07-01	Oloi einai isoi apenandi ston nomo kai echoun dikaioma se ise prostasia tou nomou, choris kamia apolutos diakrise. Oloi echoun dikaioma se ise prostasia apo kathe diakrise pou tha parabiaze ten parousa Diakeryxe kai apo kathe proklese gia mia tetoia dysmene diakrise.
08-00	ARTHRO 8
08-01	Kathenas echei dikaioma na askei apotelesmatika endika mesa sta armodia ethnika dikasteria kata ton praxeon pou parabiazoun ta themeliaka dikaiomata ta opoia tou anagnorizoun to Sundagma kai o nomos.
09-00	ARTHRO 9
09-01	Kaneis den borei na syllambanetai, na krateitai e na exorizetai authaireta.
10-00	ARTHRO 10
10-01	Kathenas echei dikaioma, me plere isoteta, na ekdikazetai e ypothese tou dikaia kai demosia, apo dikasterio anexarteto kai amerolepto, pou tha apofasisei eite gia ta dikaiomata kai tis ypochreoseis tou eite, se periptose poinikes diadikasias, gia to basimo tes kategorias pou strefetai enandion tou.
11-00	ARTHRO 11
11-01	Kathe kategoroumenos gia poiniko adikema prepei na theoreitai athoos, osotou diapistothei e enoche tou sumfona me ton nomo, se poinike dike, kata ten opoia tha tou echoun exasfalistei oles oi aparaitetes gia ten yperaspise tou engyeseis.
11-02	Kaneis den tha katadikazetai gia praxeis e paraleipseis pou, kata ton chrono pou telestekan, den synistousan axiopoino adikema kata to esoteriko e to diethnes dikaio. Epises, den epiballetai poine barutere apo ekeine pou ischye kata ton chrono pou telesteke e axiopoine praxe.
12-00	ARTHRO 12
12-01	Kaneis den epitrepetai na ypostei authairetes epembaseis sten idiotike tou zoe, ten oikogeneia, ten katoikia e ten allelografia tou, oute prosboles tes times kai tes ypolepses tou. Kathenas echei to dikaioma na ton prostateuoun oi nomoi apo epembaseis kai prosboles autou tou eidous.
13-00	ARTHRO 13
13-01	Kathenas echei to dikaioma na kykloforei eleuthera kai na eklegei ton topo tes diamones tou sto esoteriko enos kratous.
13-02	Kathenas echei to dikaioma na engataleipei opoiadepote chora, akoma kai te dike tou, kai na epistrefei se auten.
14-00	ARTHRO 14
14-01	Kathe atomo pou katadioketai echei to dikaioma na zeta asylo kai tou parechetai asylo se alles chores.
14-02	To dikaioma auto den borei kaneis na to epikalestei, se periptose dioxes gia pragmatiko adikema tou koinou poinikou dikaiou e gia energeies andithetes pros tous skopous kai tis arches tou OEE.
15-00	ARTHRO 15
15-01	Kathenas echei to dikaioma mias ithageneias.
15-02	Kaneis den borei na sterethei authaireta ten ithageneia tou oute to dikaioma na allaxei ithageneia.
16-00	ARTHRO 16
16-01	Apo te stigme pou tha fthasoun se elikia gamou, o andras kai e gynaika, choris kanena periorismo exaitias tes fyles, tes ethnikotetas e tes threskeias, echoun to dikaioma na pandreuondai kai na idruoun oikogeneia. Kai oi duo echoun isa dikaiomata os pros ton gamo, kata te diarkeia tou gamou kai kata te dialyse tou.
16-02	Gamos den borei na synafthei para mono me eleuthere kai plere synainese ton mellonumfon.
16-03	E oikogeneia einai to fysiko kai to basiko stoicheio tes koinonias kai echei to dikaioma prostasias apo ten koinonia kai to kratos.
17-00	ARTHRO 17
17-01	Kathe atomo, mono tou e me allous mazi, echei to dikaioma tes idioktesias.
17-02	Kaneis den borei na sterethei authaireta ten idioktesia tou.
18-00	ARTHRO 18
18-01	Kathe atomo echei to dikaioma tes eleutherias tes skepses, tes syneideses kai tes threskeias. Sto dikaioma auto perilambanetai e eleutheria gia ten allage tes threskeias e pepoitheseon, opos kai e eleutheria na ekdelonei kaneis te threskeia tou e tis threskeutikes tou pepoitheseis, monos e mazi me allous, demosia e idiotika, me te didaskalia, ten askese, te latreia kai me ten telese threskeutikon teleton.
19-00	ARTHRO 19
19-01	Kathenas echei to dikaioma tes eleutherias tes gnomes kai tes ekfrases, pou semainei to dikaioma na men yfistatai dysmeneis synepeies gia tis gnomes tou, kai to dikaioma na anazetei, na pairnei kai na diadidei plerofories kai idees, me opoiodepote meso ekfrases, kai apo olo ton kosmo.
20-00	ARTHRO 20
20-01	Kathenas echei to dikaioma na synerchetai kai na synetairizetai eleuthera kai gia eirenikous skopous.
20-02	Kaneis den borei na ypochreothei na symmetechei se orismeno somateio.
21-00	ARTHRO 21
21-01	Kathenas echei to dikaioma na symmetechei ste diakybernese tes choras tou, amesa e emmesa, me andiprosopous eleuthera eklegmenous.
21-02	Kathenas echei to dikaioma na ginetai dektos, ypo isous orous, stis demosies yperesies tes choras tou.
21-03	E laike thelese einai to themelio tes kratikes exousias. E thelese aute prepei na ekfrazetai me timies ekloges, oi opoies prepei na diexagondai periodika, me katholike, ise kai mystike psefoforia, e me andistoiche diadikasia pou na exasfalizei ten eleutheria tes ekloges.
22-00	ARTHRO 22
22-01	Kathe atomo, os melos tou koinonikou synolou, echei dikaioma koinonikes prostasias. E koinonia, me ten ethnike protoboulia kai te diethne synergasia, analoga panda me ten organose kai tis oikonomikes dynatotetes kathe kratous, echei chreos na tou exasfalisei ten ikanopoiese ton oikonomikon, koinonikon kai politistikon dikaiomaton pou einai aparaiteta gia ten axioprepeia kai ten eleuthere anaptyxe tes prosopikotetas tou.
23-00	ARTHRO 23
23-01	Kathenas echei to dikaioma na ergazetai kai na epilegei eleuthera to epangelma tou, na echei dikaies kai ikanopoietikes synthekes douleias kai na prostateuetai apo ten anergia.
23-02	Oloi, choris kamia diakrise, echoun to dikaioma ises amoibes gia ise ergasia.
23-03	Kathe ergazomenos echei dikaioma dikaies kai ikanopoietikes amoibes, pou na exasfalizei se auton kai ten oikogeneia tou synthekes zoes axies sten anthropine axioprepeia. E amoibe tes ergasias, an yparchei, prepei na symbleronetai me alla mesa koinonikes prostasias.
23-04	Kathenas echei to dikaioma na idruei mazi me allous syndikata kai na symmetechei se syndikata gia ten proaspise ton symferondon tou.
24-00	ARTHRO 24
24-01	Kathenas echei to dikaioma sten anapause, se eleuthero chrono, kai idiaitera, se logiko periorismo tou chronou ergasias kai se periodikes adeies me plereis apodoches.
25-00	ARTHRO 25
25-01	Kathenas echei dikaioma se ena biotiko epipedo ikano na exasfalisei ston idio kai sten oikogeneia tou ygeia kai euemeria, kai eidikotera trofe, rouchismo, katoikia, iatrike perithalpse opos kai tis aparaitetes koinonikes yperesies. Echei akoma dikaioma se asfalise gia ten anergia, ten arrostia, ten anaperia, te chereia, te gerondike elikia, opos kai gia oles tis alles periptoseis pou stereitai ta mesa tes syndereses tou, exaitias peristaseon anexarteton tes theleses tou.
25-02	E metroteta kai e paidike elikia echoun dikaioma eidikes merimnas kai perithalpses. Ola ta paidia, anexarteta an einai nomima e exogama, apolambanoun ten idia koinonike prostasia.
26-00	ARTHRO 26
26-01	Kathenas echei dikaioma sten ekpaideuse. E ekpaideuse prepei na parechetai dorean, toulachiston ste stoicheiode kai basike bathmida tes. E stoicheiodes ekpaideuse einai ypochreotike. E technike kai epangelmatike ekpaideuse prepei na exasfalizetai gia olous. E prosbase sten anotate paideia prepei na einai anoikte se olous, ypo isous orous, analoga me tis ikanotetes tous.
26-02	E ekpaideuse prepei na apoblepei sten plere anaptyxe tes anthropines prosopikotetas kai sten enischyse tou sebasmou ton anthropinon dikaiomaton kai ton themeliakon eleutherion. Prepei na proagei ten katanoese, ten anektikoteta kai te filia anamesa se ola ta ethne kai se oles tis fyles kai tis threskeutikes omades, kai na eunoei ten anaptyxe ton drasterioteton ton Enomenon Ethnon gia te diaterese tes eirenes.
26-03	Oi goneis echoun, kata proteraioteta, to dikaioma na epilegoun to eidos tes paideias pou tha dothei sta paidia tous.
27-00	ARTHRO 27
27-01	Kathenas echei to dikaioma na symmetechei eleuthera sten pneumatike zoe tes koinotetas, na chairetai tis kales technes kai na metechei sten epistemonike proodo kai sta agatha tes.
27-02	Kathenas echei to dikaioma na prostateuondai ta ethika kai ylika symferonda tou pou aporreoun apo kathe eidous epistemonike, logotechnike e kallitechnike paragoge tou.
28-00	ARTHRO 28
28-01	Kathenas echei to dikaioma na epikratei mia koinonike kai diethnes taxe, mesa sten opoia ta dikaiomata kai oi eleutheries pou prokerussei e parousa Diakeryxe na boroun na pragmatonondai se ole tous ten ektase.
29-00	ARTHRO 29
29-01	To atomo echei kathekonda apenandi sten koinoteta, mesa sta plaisia tes opoias kai mono einai dynate e eleuthere kai olokleromene anaptyxe tes prosopikotetas tou.
29-02	Sten askese ton dikaiomaton tou kai sten apolause ton eleutherion tou kaneis den ypokeitai para mono stous periorismous pou orizondai apo tous nomous, me apokleistiko skopo na exasfalizetai e anagnorise kai o sebasmos ton dikaiomaton kai ton eleutherion ton allon, kai na ikanopoioundai oi dikaies apaiteseis tes ethikes, tes demosias taxes kai tou genikou kalou, se mia demokratike koinonia.
29-03	Ta dikaiomata auta kai oi eleutheries den boroun, se kamia periptose, na askoundai anditheta pros tous skopous kai tis arches ton Enomenon Ethnon.
30-00	ARTHRO 30
30-01	Kamia diataxe tes parousas Diakeryxes den borei na ermeneuthei oti parechei se ena kratos, se mia omada e se ena atomo opoiodepote dikaioma na epididetai se energeies e na ektelei praxeis pou apoblepoun sten arnese ton dikaiomaton kai ton eleutherion pou exangellondai se auten.
