00-00	UNIVERZALNA DEKLARATSIJA ZA ChOVEKOVITE PRAVA
00-01	Bidejkji priznavanjeto na vrodenoto dostoinstvo, i na ednakvite i neotugjivi prava na site chlenovi na choveshtvoto se temelite na slobodata, pravdata i mirot vo svetot;
00-02	Bidejkji nepochituvanjeto i omalovazhuvanjeto na chovekovite prava rezultiraa so varvarski postapki shto pretstavuvaat navreda na chovekovata sovest i bidejkji sozdavanjeto na svet vo koj lugjeto kje ja uzhivaat slobodata na govor i ubeduvanje i kje bidat oslobodeni od stravot od vojna i siromashtija, se proglasuva kako najgolem ideal na site lugje;
00-03	Bidejkji e sushtestveno chovekovite prava da bidat zashtiteni so zakon, a chovekot da ne bide prinuden posleden izlez da bara vo pobunata protiv tiranijata i ugnetuvanjeto;
00-04	Bidejkji e sushtestveno da se unapreduva razvojot na prijatelskite odnosi megju narodite;
00-05	Bidejkji narodite na Obedinetite natsii so povelbata ja potvrdija nivnata verba vo osnovnite chovekovi prava, vo dostoinstvoto i vrednosta na chovekovata lichnost i vo ednakvite prava na mazhite i zhenite i se odluchija da go potpomagaat opshtestveniot napredok i podobrite zhivotni standardi vo uslovi na pogolema sloboda;
00-06	Bidejkji zemjite – chlenki se obvrzaa da go izdignuvaat univerzalnoto pochituvanje i sledenje na chovekovite prava i slobodi, vo sorabotka so Obedinetite natsii;
00-07	Bidejkji opshtoto razbiranje na ovie prava i slobodi e od najgolemo znachenje za tselosno sproveduvanje na nivnata zalozhba;
00-08	Sega, zatoa,
00-09	Generalnoto sobranie
00-10	Ja proglasuva ovaa Univerzalna deklaratsija na chovekovite prava kako opsht standard, shto treba da go dostignat site lugje i natsii, i za taa tsel sekoj poedinets i sekoj organ na opshtestvoto sekogash, imajkji ja na um ovaa Deklaratsija, kje se stremat preku poduchuvanje i obrazovanie da go promoviraat pochituvanjeto na ovie prava i slobodi i preku progresivni natsionalni i megjunarodni merki kje obezbeduvaat nivno opshto i efikasno priznavanje i pochituvanje i megju narodite na zemjite – chlenki i megju narodite na teritoriite pod nivna jurisdiktsija.
01-00	Chlen 1
01-01	Site chovechki sushtestva se ragjaat slobodni i ednakvi po dostoinstvo i prava. Tie se obdareni so razum i sovest i treba da se odnesuvaat eden kon drug vo dukhot na opshto chovechkata pripadnost.
02-00	Chlen 2
02-01	Site prava i slobodi navedeni vo ovaa Deklaratsija im pripagjaat na site lugje, bez ogled na nivnite razliki, kako shto se: rasa, boja, pol, jazik, religija, politichko ili drugo ubeduvanje, natsionalno ili opshtestveno poteklo, sopstvenost, ragjanje, ili drug status.
02-02	Natamu, nema da se zema predvid politichkiot, pravniot ili megjunarodniot status na zemjata ili teritorijata na koja i pripagja litseto, bez razlika dali zemjata e nezavisna, pod staratelstvo, bez samoupravna vlast ili pod kakov i da e drug oblik na ogranichuvanje na nejziniot suverenitet.
03-00	Chlen 3
03-01	Sekoj ima pravo na zhivot, sloboda i sigurnost.
04-00	Chlen 4
04-01	Nikoj nema da bide rob ili potchinet; ropstvoto i trgovijata so robovi kje bidat zabraneti vo site nivni formi.
05-00	Chlen 5
05-01	Nikoj nema da bide podlozhen na tortura ili na surov, nekhuman ili ponizhuvachki tretman ili kazna.
06-00	Chlen 6
06-01	Sekoj ima pravo nasekade da bide priznaen kako lichnost pred zakonot.
07-00	Chlen 7
07-01	Site lugje se ednakvi pred zakonot i na site im pripagja, bez nikakva diskriminatsija, ednakva zashtita so zakon. Na site im pripagja ednakva zashtita od kakva i da e diskriminatsija, shto e vo sprotivnost na ovaa Deklaratsija i od kakvo i da e pottiknuvanje na takva diskrimantsija.
08-00	Chlen 8
08-01	Sekoj ima pravo na efikasni pravni lekovi pred nadlezhnite natsionalni sudovi za dela shto gi krshat osnovnite prava shto mu pripagjaat spored ustavot ili zakonot.
09-00	Chlen 9
09-01	Nikoj chovek nema da bide podlozhen na proizvolno apsenje, pritvor ili progonuvanje.
10-00	Chlen 10
10-01	Sekoj ima potpolno ednakvo pravo na pravedno i javno sudenje pred nezavisen i nepristrasen sud, pri odreduvanjeto na negovite prava i obvrski i vo uslovi na kakvo i da e krivichno obvinenie protiv nego.
11-00	Chlen 11
11-01	Sekoj obvinet za krivichno delo ima pravo da se pretpostavuva deka e nevin se dodeka ne se dokazhe negovata vina vo soglasnsot so zakon i na javno sudenje, na koe toj gi ima site garantsii neopkhodni za negovata odbrana.
11-02	Nikoj nema da se smeta za vinoven za koe i da e krivichno delo poradi dejstvo ili propust, shto ne pretstavuvale krivichno delo spored natsionalnoto ili megjunarodnoto pravo vo vremeto koga toa bilo storeno. Isto taka, ne smee da se izreche kazna pogolema od onaa shto se primenuvala vo vremeto koga bilo storeno krivichnoto delo.
12-00	Chlen 12
12-01	Nikoj nema da bide izlozhen na proizvolno vmeshuvanje vo negoviot privaten i semeen zhivot, domot ili prepiskata, nitu pak na napadi vrz negovata chest i ugled. Sekoj ima pravo na pravna zashtita od takvoto vmeshuvanje ili napadi.
13-00	Chlen 13
13-01	Sekoj ima pravo na sloboda na dvizhenje i zhivealishte vo ramkite na granitsite na sekoja drzhava.
13-02	Sekoj ima pravo da ja napushti zemjata, vkluchuvajkji ja i negovata sopstvena zemja, kako i da se vrati vo svojata zemja.
14-00	Chlen 14
14-01	Sekoj ima pravo vo druga drzhava da bara i da uzhiva azil poradi progonuvanje.
14-02	Lugjeto ne mozhat da se povikaat na ova pravo vo sluchaj na progonuvanje shto proizleguva od nepolitichki zlostorstva ili od dejstvija shto se sprotivni na tselite i nachelata na Obedinetite natsii.
15-00	Chlen 15
15-01	Sekoj ima pravo na drzhavjanstvo.
15-02	Nikomu ne smee proizvolno da mu bide odzemeno negovoto drzhavjanstvo, nitu pak kje mu se porekne pravoto da go promeni drzhavjanstvoto.
16-00	Chlen 16
16-01	Polnoletnite mazhi i zheni, bez nikakvi ogranichuvanja vrz osnova na rasata, natsionalnosta ili religijata, imaat pravo da stapat vo brak i da osnovaat semejstvo. Nim im pripagjaat ednakvi prava pred brakot, za vreme na brakot i po negovoto raskinuvanje.
16-02	Brakot kje se skluchi samo so slobodna i tselosna soglasnost na idnite brachni drugari.
16-03	Semejstvoto e prirodna i osnovna kjelija na opshtestvoto i ima pravo na zashtita od strana na opshtestvoto i drzhavata.
17-00	Chlen 17
17-01	Sekoj chovek ima pravo na sopstvenost, kako samostojno, taka i zaedno so drugi.
17-02	Nikoj nema da bide proizvolno lishen od negovata sopstvenost.
18-00	Chlen 18
18-01	Sekoj ima pravo na sloboda na mislata, sovesta i religija. Ova pravo ja vkluchuva i slobodata – chovekot da ja promeni svojata religija ili ubeduvanje, kako i slobodata – chovekot, individualno ili vo zaednitsa so drugi lugje, privatno ili javno, da ja manifestira svojata religija ili ubeduvanje preku poduchuvanje, praktikuvanje, odrzhuvanje sluzhbi ili obredi.
19-00	Chlen 19
19-01	Sekoj ima pravo na sloboda na mislenje i izrazuvanje. Ova pravo ja vkluchuva i slobodata da se zastapuva odredeno mislenje bez nikakvo vmeshuvanje i da se baraat, da se primaat i da se davaat informatsii i idei preku mediumite i bez ogled na granitsite.
20-00	Chlen 20
20-01	Sekoj ima pravo na sloboda na mirni sobiri i zdruzhuvanje.
20-02	Nikoj ne mozhe da bide prinuden da chlenuva vo nekoe zdruzhenie.
21-00	Chlen 21
21-01	Sekoj ima pravo da uchestvuva vo upravuvanjeto so negovata zemja, neposredno ili preku slobodno izbrani pretstavnitsi.
21-02	Sekoj ima pravo na ednakov pristap kon javnite sluzhbi vo negovata zemja.
