00-00	IHMISOIKKEUSDEKLARASJUUNI
00-01	Ko oon tunnustettu ette kaikila ihmissuvun jaeseniilae oon syntymaessae saatu sama arvo ja yhenlaiset oikkeuet, joista ei saata luoppuut, ja ko taemae oon vaphauen, oikkeuenmyoetaeisyyen ja rauhan pohja mailmassa,
00-02	ko se, ette ihmisoikkeuet oon olheet vaehemaen taerkkeet ja ette niitae oon ylikattottu, oon saanu aikhaan barbaarissii toimii mikkae oon kauhistuttanheet mailman ihmisten ommaatunttoo, ja ko elaeminen mailmassa missae oon puhheen- ja uskonvaphaus ja vaphaus poeloestae ja haeaestae, oon ilmoitettu kanssoin korkkeimaksi tahoksi,
00-03	ko oon vaelttaemaetoen ette laki suojaa ihmisoikkeuksii, niin ette ihmissii ei pakoiteta viimisennae konstina nousemhaan tyrannii ja alaspainamista vasthaan,
00-04	ko oon taehelistae eesauttaat sitae ette kanssoinvaeliset ystaevaelliset suhtheet eistythaeaen,
00-05	ko Yhistynheitten Kanssoin kansat oon sopinheet Pohjasopimuksessa ette het uskothaan perusoikkeukshiin, ihmisarvhoon ja siihen ette miehilae ja vaimoila oon samat oikkeuet, ja ette het oon paeaettaenheet tyoetelae sosiaalisen eistymisen ja pareman elaemaestandardin etheen vaphaamissa oloissa,
00-06	ko jaesenstaatit oon luvanheet tyoetelae yhessae Yhistynheitten Kanssoin kans sen etheen ette tehhae ihmisoikkeuksii ja perusvaphauksii lujemiksi, ja ette kunnioittaat ja eesauttaat niitae.
00-07	ko oon taerkkee ette kaikila oon yhtheinen ymmaerys naeistae oikkeuksista ja vaphauksista, niin ette taestae deklarasjuunista tullee tosi,
00-08	Sen taehen
00-09	Keneraalikokkous
00-10	anttaa nyt taemaen IHMISOIKKEUSDEKLARASJUUNIN kanssoin ja kaikkiin nasjuuniitten yhtheiseksi mooliksi, niin ette jokhainen indiviidi ja jokhainen samfynnin esivalta pittaeae jammisti ajatella taemaen julistuksen paeaele, ja auttaat tehhae naemaet oikkeuet ja vaphauet lujemaksi opetuksen ja yloeskassuuttamisen kautta, ja niin ette nasjunaalit ja internasjunaalit toimet turvathaan sen ette naemaet oikkeuet ja vaphauet tunnustethaan ja kuorathaan ylheisesti ja effektiivisesti sekae jaesenmaissa ja aloissa jokka oon naeitten maitten suvereniteetin alla.
01-00	Artikkeli 1.
01-01	Kaikki ihmiset synnythaeaen vaphaina, ja heilae kaikila oon sama ihmisarvo ja samat ihmisoikkeuet. Het oon saanheet jaerjen ja omatunnon, ja het piethaeaen ellaeaet toinen toisen kans niin ko veljet keskenhaeaen.
02-00	Artikkeli 2.
02-01	Kaikile ihmisille oon annettu oikkeus kaikkhiin taemaen julistuksen oikkeukshiin ja vaphaukshiin ilman mithaeaen eroitusta, niinko ko raasan, ihonfaerin, sukupuolen, uskonon, poliittisen tahi muun mielipitheen taehen, nasjunaalisen tahi sosiaalisen alkupoeraen, omaisuuen, syntymaen tahi muun statuksen taehen.
02-02	Lisaeksi, ei piae tehae eroitusta sen maan tahi alan poliittisen, hallinollisen tahi internasjunaalin statuksen taehen, mihin ihminen kuuluu, vaikka taemae ala oon ittenaeinen, tahi sitae valvothaan, eli se ei ole autonoominen tahi jos sillae oon muula tavala rajoitettu suvereniteetti.
03-00	Artikkeli 3.
03-01	Kaikila oon oikkeus elaemhaeaen, vaphautheen ja persoonaalisheen turvalisuutheen.
04-00	Artikkeli 4.
04-01	Ei ole lupa pittaeaet kethaeaen orjana tahi pakkotyoessae. Kaikensorttinen orjuus ja orjankauppa oon kieletty.
05-00	Artikkel 5.
05-01	Ei ole lupa piinata tahi kohela kethaeaen julmala, ei-humaanilla, alaspainaavalla ja rangaistaavala tavala.
06-00	Artikkeli 6.
06-01	Kaikila oon oikkeus joka paikassa vaattiit, ette tuomiotoolit hyvaeksythaeaen haenen oikkeussubjektinna.
07-00	Artikkeli 7.
07-01	Kaikki ihmiset oon samanarvoiset lain eessae, ja kaikila oon oikkeus samhaan lakisuojhaan. Kaikile oon annettu oikkeus samhaan suojhaan niin ette se ei kaey laihin diskrimineerata kethaeaen taetae julistusta vasthaan eli ette se ei kaey laihin kehoittaat kenenkhaeaen diskrimineeraamisheen.
08-00	Artikkeli 8.
08-01	Kaikila oon oikkeus kelppaavhaan aphuun nasjunaalisilta tuomiotooliilta ko oon kysymys tevoista, jokka loukathaan niitae oikkeuksii, mikkae kaikin oon saanheet peruslaissa ja muissa laissa.
09-00	Artikkeli 9.
09-01	Kethaeaen ei piae panna arresthiin tahi fankilhaan eli ajjaat pois maasta ilman eellytystae.
10-00	Artikkel 10.
10-01	Jokhaisella oon taeysin tasa-arvoisesti oikkeus siihen ette haentae oikkeuenmukaisesti ja julkisesti kuulhaan ittenaeisessae ja ei-partisessa tuomioistuimessa, ko maeaeraethaeaen haenen oikkeuksista ja velvolisuuksista ja kans sillon, ko haentae vasthaan oon tehty rangaistuskaunet.
11-00	Artikkeli 11.
11-00	Jokhaisella, ketae oon syytetty rangaistettaavasta tevosta, oon oikkeus ette haenen raeknaethaeaen syyttoemaeksi siksi ko julkinen tuomiotooli, missae haenelae oon ollu maholisuuet puolustaat haentae itteensae, oon toistannu ette haen oon syylinen lain jaelkhiin.
11-01	Kethaeaen ei piae tuomita tevosta joka nasjunaalin lain tahi kansanoikkeuen jaelkhiin ei ollu laiton silloin ko sen tehthiin. Kethaeaen ei piae tuomita ankaramphaan rangaistuksheen ko laki maeaeraes silloin ko rangaistaavan tevon tehthiin.
12-00	Artikkeli 12.
12-01	Yhenkhaeaen privaattielaemaeae, perettae, kottii eli preivinvaihettamista ei ole lupa haeiritae ilman eelytystae, ja haenen kunniaa vasthaan ei ole lupa hyoekaetae. Jokhaisella oon oikkeus ette laki suojaa haenen taellaista sekkaintumista ja hyoekkaeaemistae vasthaan.
13-00	Artikkeli 13.
13-00	Kaikila ihmisillae oon oikkeus liikkuut vaphaasti ja valita asumapaikan oman maan rajjoin sisaelae.
13-01	Jokhaisela oon oikkeus jaettaeaet minkae maan tahansa, kans oman maan, ja haenelae oon kans oikkeus palata takaisin omhaan maahan. Kaikila oon oikkeus jaettaeaet minkae maan tahansa.
14-00	Artikkeli 14.
14-00	Jokhaisella oon oikkeus hakkeet eli ottaat vasthaan asyylin muissa maissa jos heitae kyytaethaeaen.
14-01	Taemae oikkeus ei jaellaeae sillon ko ihminen oon tehny toelisen ei-poliittisen rikoksen eli tevon joka sottii Yhistynheitten Kanssoin moolii ja prinsiippii vasthaan.
15-00	Artikkeli 15.
15-00	Kaikila oon oikkeus kansalaisuutheen.
15-01	Keneltaekhaeaen ei ole lupa ottaat haenen kansalaisuutta ilman eelytystae, tahi kielttaeaet haentae vaihettamasta sen.
16-00	Artikkeli 16.
16-00	Taeysilae miehilae ja vaimoila oon oikkeus naija ja perustaat perheen kattomatta siihen ette mikae heaen raasa, nasjunaliteetti eli uskonto oon. Heile oon annettu samat oikkeuet ko het naijhaan, ko het oon naimisissa ja ko het erkkaanuthaan.
16-01	Avioliitthoon kaeyaeaen sisaele tyhae ko kumpiki tahtoo sitae vaphaasti ja kokonhansa.
16-02	Peret oon samfynnin luonolinen ja perustaava osa, ja sillae oon samfynnin ja staatin suoja.
