00-00	ansani hqwq ka 'almi mnshwr
00-01	tchwnkh hr ansan ki thati 'zt awr hrmt awr ansanwn kye msawi awr naqabli antqal hqwq kw tslim krna dnia min azadi, ansaf awr amn ki bniad hye,
00-02	tchwnkh ansani hqwq sye laprwayei awr an ki bye hrmti akthr isye whshianh af'al ki shkl min zahr hwyei hye jn sye ansanit kye dmir kw skht sdmye phntchye hin awr 'am ansanwn ki blnd trin arzw ih rhi hye kh isi dnia wjwd min ayeye js min tmam ansanwn kw apni bat khnye awr apnye 'qidye pr qayem rhnye ki azadi hasl hw awr khwf awr ahtiaj sye mhfwz rhin,
00-03	tchwnkh ih bht drwri hye kh ansani hqwq kw qanwn ki 'mldari kye thri'ye mhfwz rkha jayeye. agr hm ih nhin tchahtye kh ansan 'ajz a kr jbr awr astbdad kye khlaf bghawt krnye pr mjbwr hwn,
00-04	tchwnkh ih drwri hye kh qwmwn kye drmian dwstanh t'lqat kw brrhaia jayeye,
00-05	tchwnkh aqwami mthdh ki mmbr qwmwn nye apnye tcharttr min bniadi ansani hqwq, ansani shkhsit ki hrmt awr qdr awr mrdwn awr 'wrtwn kye msawi hqwq kye barye min apnye 'qidye ki dwbarh tsdiq kr di hye awr wsi' tr azadi ki fda min m'ashrti trqi kw tqwit dinye awr m'iari zndgi kw blnd krnye ka aradh kr lia hye,
00-06	tchwnkh mmbr mlkwn nye ih 'hd kr lia hye kh wh aqwami mthdh kye ashtraki 'ml sye sari dnia min aswlan awr 'mlan ansani hqwq awr bniadi azadiwn ka ziadh sye ziadh ahtram krin gye awr krayein gye,
00-07	tchwnkh as 'hd ki tkmil kye liye bht hi ahm hye kh an hqwq awr azadiwn ki nw'it kw sb smjh skin, lhatha
00-08	aqwam mthdh ki jnrl asmbli a'lan krti hye kh
00-09	ansani hqwq ka ih 'almi mnshwr tmam aqwam kye wastye hswli mqsd ka mshtrk m'iar hw ga takh hr frd awr m'ashrye ka hr adarh as mnshwr kw hmishh pish nzr rkhtye hwyeye t'lim w tbligh kye thri'h an hqwq awr azadiwn ka ahtram pida krye awr anhin qwmi awr bin alaqwami karrwayeiwn kye thri'ye mmbr mlkwn min awr aun qwmwn min jw mmbr mlkwn kye matht hwn, mnwanye kye lyeye btdrij kwshsh kr skye.
01-00	df'h 1.
01-01	tmam ansan azad awr hqwq w 'zt kye a'tbar sye brabr pida hwyeye hin. anhin dmir awr 'ql wdi't hwyei hye. as lyeye anhin ik dwsrye kye sath bhayei tcharye ka slwk krna tchahiyeye.
02-00	df'h 2.
02-01	hr shkhs an tmam azadiwn awr hqwq ka msthq hye jw as a'lan min bian kyeye gyeye hin, awr as hq pr nsl, rng, jns, zban, mthhb awr siasi tfriq ka ia ksi qsm kye 'qidye, qwm, m'ashrye, dwlt ia khandani hithit wghirh ka kwyei athr nh prrye ga.
02-02	as kye 'lawh js 'laqye ia mlk sye jw shkhs t'lq rkhta hye as ki siasi kifit dayerh akhtiar ia bin alaqwami hithit ki bna pr as sye kwyei amtiazi slwk nhin kia jayeye ga. tchahye wh mlk ia 'laqh azad hw ia twliti hw ia ghir mkhtar hw ia siasi aqtdar kye lhaz sye ksi dwsri bndsh ka pabnd hw.
03-00	df'h 3.
03-01	hr shkhs kw apni jan, azadi awr thati thfz ka hq hye.
04-00	df'h 4.
04-01	kwyei shkhs ghlam ia lwnddi bna kr nh rkha ja skye ga. ghlami awr bardh frwshi, tchahye as ki kwyei shkl bhi hw, mmnw' qrar di jayeye gi.
05-00	df'h 5.
05-01	ksi shkhs kw jsmani athit ia zalmanh, ansait swz, ia thlil slwk ia sza nhin di jayeye gi.
06-00	df'h 6.
06-01	hr shkhs ka hq hye kh hr mqam pr qanwn as ki shkhsit kw tslim krye.
07-00	df'h 7.
07-01	qanwn ki nzr min sb brabr hin awr sb bghir ksi tfriq kye qanwn kye andr aman panye kye brabr kye hqdar hin. as a'lan kye khlaf jw tfriq ki jayeye ia js tfriq kye lyeye trghib di jayeye, as sye sb brabr kye btchaw kye hqdar hin.
08-00	df'h 8.
08-01	hr shkhs kw an af'al kye khlaf jw as dstwr ia qanwn min dyeye hwyeye bniadi hqwq kw tlf krtye hwn, baakhtiar qwmi 'daltwn sye mwthr triqye pr tcharh jwyei krnye ka pwra hq hye.
09-00	df'h 9.
09-01	ksi shkhs kw mhd hakm ki mrdi pr grftar, nzrbnd, ia jlawtn nhin kia jayeye ga.
10-00	df'h 10.
10-01	hr ik shkhs kw iksan twr pr hq hasl hye kh as kye hqwq w frayed ka t'in ia as kye khlaf ksi 'ayed krdh jrm kye barye min mqdmh ki sma't azad awr ghir janb dar 'dalt kye khlye ajlas min mnsfanh triqye pr hw.
11-00	df'h 11.
11-00	isye hr shkhs kw js pr kwyei fwjdari ka alzam 'ayed kia jayeye, bye gnah shmar kyeye janye ka hq hye tawqtikh as pr khli 'dalt min qanwn kye mtabq jrm thabt nh hw jayeye awr asye apni sfayei pish krnye ka pwra mwq' nh dia ja tchka hw.
11-01	ksi shkhs kw ksi isye f'l ia frwgthasht ki bna pr jw artkab kye wqt qwmi ia bin alaqwami qanwn kye andr t'ziri jrm shmar nhin kia jata tha, ksi t'ziri jrm min makhwth nhin kia jayeye ga.
12-00	df'h 12.
12-01	ksi shkhs ki nji zndgi, khangi zndgi, ghrbar, kht w ktabt min mn manye triqye pr mdakhlt nh ki jayeye gi awr nh hi as ki 'zt awr nik nami pr hmlye kyeye jayein gye. hr shkhs ka hq hye kh qanwn asye hmlye ia mdakhlt sye mhfwz rkhye.
13-00	df'h 13.
13-00	hr shkhs ka hq hye kh asye hr riast ki hdwd kye andr nql w hrkt krnye awr skwnt akhtiar krnye ki azadi hw.
13-01	hr shkhs kw as bat ka hq hye kh wh mlk sye tchla jayeye tchahye ih mlk as ka apna hw. awr asi trh asye mlk min waps a janye ka bhi hq hye.
14-00	df'h 14.
14-00	hr shkhs kw itha rsani sye dwsrye mlkwn min pnah ddhwnddnye, awr pnah ml jayeye tw as sye fayedh atthanye ka hq hye.
14-01	ih hq an 'dalti karrwayeiwn sye btchnye kye lyeye ast'mal min nhin laia ja skta jw khalsan ghir siasi jrayem ia isye af'al ki wjh sye 'ml min ati hin jw aqwami mthdh kye mqasd awr auswl kye khlaf hin.
15-00	df'h 15.
15-00	hr shkhs kw qwmit ka hq hye.
15-01	kwyei shkhs mhd hakm ki mrdi pr apni qwmit sye mhrwm nhin kia jayeye ga awr as kw qwmit tbdil krnye ka hq dinye sye ankar nh kia jayeye ga.
16-00	df'h 16.
16-00	balgh mrdwn awr 'wrtwn kw bghir ksi isi pabndi kye jw nsl qwmit ia mthhb ki bna pr lgayei jayeye shadi biah krnye awr ghr bsanye ka hq hye. mrdwn awr 'wrtwn kw nkah, azdwaji zndgi awr nkah kw fskh krnye kye m'amlh min brabr kye hqwq hasl hin.
16-01	nkah friqin ki pwri awr azad rdamndi sye hw ga.
16-02	khandan, m'ashrye ki ftri awr bniadi akayei hye. awr wh m'ashrye awr riast dwnwn ki trf sye hfazt ka hqdar hye.
17-00	df'h 17.
17-00	hr ansan kw tnha ia dwsrwn sye ml kr jayedad rkhnye ka hq hye.
17-01	ksi shkhs kw zbrdsti as ki jayedad sye mhrwm nhin kia jayeye ga.
18-00	df'h 18 .
18-01	hr ansan kw azadi' fkr, azadi' dmir awr azadi' mthhb ka pwra hq hye. as hq min mthhb ia 'qidye kw tbdil krnye awr pblk min ia nji twr pr, tnha ia dwsrwn kye sath mil jl kr 'qidye ki tbligh, 'ml, 'badt awr mthhbi rsmin pwri krnye ki azadi bhi shaml hye.
19-00	df'h 19.
19-01	hr shkhs kw apni rayeye rkhnye awr azhari rayeye ki azadi ka hq hasl hye. as hq min ih amr bhi shaml hye kh wh azadi kye sath apni rayeye qayem krye awr js thri'ye sye tchahye bghir mlki srhdwn ka khial kyeye 'lm awr khialat ki tlash krye. anhin hasl krye awr an ki tbligh krye.
20-00	df'h 20.
20-00	hr shkhs kw puramn triqye pr milnye julnye, awr anjmnin qayem krnye ki azadi ka hq hye.
20-01	ksi shkhs kw ksi anjmn min shaml hwnye lyeye mjbwr nhin kia ja skta.
21-00	df'h 21.
21-00	hr shkhs kw apnye mlk ki hkwmt min brahi rast ia azadanh twr pr mntkhb kyeye hwyeye nmayendwn kye thri'ye hsh linye ka hq hye.
21-01	hr shkhs kw apnye mlk min srkari mlazmt hasl krnye ka brabr ka hq hye.
21-02	'wam ki mrdi hkwmt kye aqtdar ki bniad hw gi. ih mrdi wqtan fwqtan isye hqiqi antkhabat kye thri'ye zahr ki jayeye gi jw 'am awr msawi rayeye dhndgi sye hwn gye awr jw khfih wwtt ia as kye msawi ksi dwsrye azadanh triqi rayeye dhndgi kye mtabq 'ml min ayein gye.
22-00	df'h 22.
22-01	m'ashrye kye rkn ki hithit sye hr shkhs kw m'ashrti thfz ka hq hasl hye awr ih hq bhi kh wh mlk kye nzam awr wsayel kye mtabq qwmi kwshsh awr bin alaqwami t'awn sye isye aqtsadi, m'ashrti awr thqafti hqwq kw hasl krye, jw as ki 'zt awr shkhsit ki azadanh nshwwnma kye lyeye lazm hin.
23-00	df'h 23.
23-00	hr shkhs kw kam kaj, rwzgar kye azadanh antkhab, kam kaj ki mnasb w m'qwl shrayet awr bye rwzgari kye khlaf thfz ka hq hye.
23-01	hr shkhs kw ksi tfriq kye bghir msawi kam kye lyeye msawi m'awdye ka hq hye.
23-02	hr shkhs jw kam krta hye wh isye mnasb w m'qwl mshahrye ka hq rkhta hye jw khwd as kye awr as kye ahl w 'ial kye lyeye ba'zt zndgi ka damn hw. awr js min agr drwri hw tw m'ashrti thfz kye dwsrye thri'wn sye adafh kia ja skye.
23-03	hr shkhs kw apnye mfad kye btchaw kye lyeye tjarti anjmnin qayem krnye awr as min shrik hwnye ka hq hasl hye.
24-00	df'h 24.
24-01	hr shkhs kw aram awr frst ka hq hye js min kam kye ghnttwn ki hdbndi awr tnkhwah kye 'lawh mqrrh wqfwn kye sath t'tilat bhi shaml hin.
25-00	df'h 25.
25-00	hr shkhs kw apni awr apnye ahl w 'ial ki sht awr flah w bhbwd kye lyeye mnasb m'iar zndgi ka hq hye js min khwrak, pwshak, mkan awr 'laj ki shwltin awr dwsri drwri m'ashrti mra'at shaml hin awr bye rwzgari bimari, m'thwri, biwgi, brrhapa ia an halat min rwzgar sye mhrwmi jw as kye qbdh qdrt sye bahr hwn, kye khlaf thfz ka hq hasl hye.
25-01	ztchh awr btchh khas twjh awr amdad kye hqdar hin. tmam btchye khwah wh shadi sye phlye pida hwyeye hwn ia shadi kye b'd m'ashrti thfz sye iksan twr pr mstfid hwn gye.
26-00	df'h 26.
