00-00	HAKKEEJI BII-ADAMA TABITINAADI NDER DUUNIYAARU
00-01	Nde laati tabitinki manngu e fotuki hakke neddaaku ngu wosintaako ngu bibbiaadam fuu mabbe hanjum joddinanaadum rimduki, adilaaku e joonde jam nder duuniyaaru, nde laati rellere faalaaki be yawaaki hake bii-aadama laatake sababu kabe yaggaare laatiide sanadu jiibaaki hakkiilooji bibbe-aadama, be nyaamki yeeso Duniyaaru wadi nder maaru bii-aadama tammii nanki beldum ndimaaku wolwa no yidi rewa diinamum no yidi hisa kulol be cooyndam di’I fuu tabitinaama kanji ngoni ko ummaatoore duniyaaru fuu darni dow dum huunde nde talaka buri tiinanki e haajeego, laatiinde haajaama masin, to dum yidaa billanki neddo haa laato doole o sela, o laato o walaa laawol sey tuurtuki e saldorki toskaare e billaneeki, hakke nedaaku maako dum ko haani reenire sari’a, nde laati doole nyaamki yeeso wallite
00-02	Nde laati memba’en lesde duuniyaaru kooyii alkawal e hoore mabbe be kuubina, bee ballal Majlis Kautal Hoore Duniyaaru, nyaaminki yeeso hokkuki mangu e reentaaki hakkeeji e ndimaaku bii-aadama, Nde llaati ko koomoye andi di’i hakkeeji e ndimaaku di mawdi haro dii alkawalji, Jooni, ngam non, Majlisa Mawdum wolwii dow du’um nder duuniyaaru ngam yimbe lesde duuniyaaru fuu, regere ni koomoye, koongale kawtal don sigii ngo’ol derewol koondeye nder ngaandi, be don wallita jannginki ngol ngam de’i hakkeeji e ndimaaku e nyaamki yeeso seese-seese, nder lesdiiji e maa duniyaaru ndun fuu, dum anda dum tabitina hakunde ummaatooje wonbe nder lesde dimdinaade e lesde gonde les godde lesde
01-00	Yebre Ire
01-01	Bi-aadama fuu dimo danyete/jibinte o fotan be koomoye e neddaaku be hakkeeji. be ndokkaabe hakkiilo ngaandi nden bo be kuutindiray hakkunde mabbe nder yidyiddirki mbandiraagu.
02-00	Yebre 2re
02-01	Bii-aadama fuu ewoodani hake e dow baawde fuu be ndimaaku tabitinaangu nder derewol ngo’ol walaa burburtiki ko iri kiye bano asli, tagdi, laataaki debbo maa bo debbo, wolde, dina, siyaasa, maa bo ko nandi e maajum, lesdi maako ko ummatore maako, mardi, danyeeki, mangu.
02-02	Besdaari dow du’m, walaa feerootirki wadetee ngam mangu siyaasa, keerol, mangu duniyaaru dum maako maa bo lesdi maako, lesdi ndin rimdii na rimdaayi, , lesdi ndin laami maa bo jogaade ngondi lesdi, maa bo nder goddi keeraadi laamu.
03-00	Yebre 3re
03-01	Komoye woodi hake wuurugo, bawde be joonde jam.
04-00	Yebre 4re
04-01	Walaa koomoye wuurinte nder maccungaaku maa bo kuude torra, resuki macube e coggu maccube e horbe koo iri nguye hadaama
05-00	Yebre 5re
05-01	Walaa bii-aadana naadete torra, nyaametee jarfu, nyaametee hersa, yangitee.
06-00	Yebre 6re
06-01	Koomoye hokkaama baawde e hake daraago kootoye yeeso sari’a e hoore maako.
07-00	Yebre 7re
07-01	Bii-aadama fuu fotay yeeso sari’a, nden boo woodi baawde walaa yawaare, o woodi deenal potoowal ngal sari’a. Moye fuu woodi deenal potoowal ngam yawaare e nyaakeeki neddaaku.
08-00	Yebre 8re
08-01	Koomoye woodi baawde e hakke maagooje naftirooje hukuumaaje de nder lesdi ngam sari’aaji torrooje hakke bii-aadama di siri laamu tabitanimo ma abo sarii’a.
09-00	Yebre 9re
09-01	Walaa bii-aadama gooto nanngetee, habbee maa bo riiwee diga lesdi muudum dow gidaadi bernde goddo feere.
10-00	Yebre 10re
10-01	Koomoye woodi baawde naneeki no woodi yeeso ummaatoore no haani yeeso alkaaliijo daraniido goonga e darnuki hake maako e wosinki ko o takkana fuu.
11-00	Yebre 11re
