00-00	NSA‘ NGA NJU TE PA MFEE KET MUN NYUTU
00-01	Lo’ te ka kumshe nga wume, yue a njit ne gu puen te nguet puen nyutu pua pa mfee ker’ap nguenengue sebe, pe na yire mbe map(ureyue’ne) ku ghet ngam pua sappe ne fueshe te nju na, lo’ te ka fet kwen pua tane pa mfee ket mun nyutu kpa’ nkiere gu ngetne nga pare yue a mfiebe
00-02	Wupme pa te nju na, pua ka tuo tuo nju mfe ira yue puen nyutu ntuo pe ne ku shuket pua ku wushe te tum tume puo pua ngue’, shi na mbe po yi nsa’ me pum yu sha’ mum nyutu na,
00-03	Lo’ te ka a nta’ mi pa mfeeket mun nyutu kpa’ mbe yu shi te nsa’ngu mfeeket me shi’ mi a me yetne yi njit mun nyutu me ndini ne pi’ tu te nsa’kpen pua yit mun te ngu na,
00-04	Lo’ te ka a nta suo nshi’ shane sun ma fane tum tum ma,
00-05	Lo’ te ka, te ma ken, tum tum te nda shut ngu ngu mbone kpa’ mbit nfeere pemtu yap te map map mfeeket mun nyutu, lo’te wume pua nga’ket mbe mun nyutu, te nguenengue pa mfeeket pemba pua pemgbie mbi pit nsa’ ndishut te yi nduere tam kut te wume la’ pua yi mfeere fuomket fuomket mmanje wume te nda lone ku ghet ngam ma.
00-06	Lo’ te ka gu nsa’ ngu ngu kpa’ nsen te pamme mbuo pua nda nshut ngumbone, yi mbe ngum nshin pa mfeeket mun nyutu pua map map ku ghet ngam ma,
00-07	Lo’ te ka yi nyete mbuomshe shire shire pa mfeeket pua pa ku gheket ngam pe na po nga ngure te yi ngure yire yi gbet ken nsebe na,
00-08	Puomshe Mbadem mun
00-09	na tupshe yire yi nsa’ nga nju, ti pa mfeeket mun nyutu, po yue wupme ndi nshur’ue a nta’mi gu tum tum pua ngu ngu yetne yi ngum po nshin na, me shi’mi gu puen ne gu pe kpuere puen te la’, yue pe nshushu’ yire yi nsa’ ngam me wupme na, pe ne ma’si’ te yu lere puo kuu wupme, a yetne fa pe, lo’te ndi ngam membete, tum te ngu ngu pua fane ngu ngu, lo’ te kumshe pua shette te ngetne nga mbone mun nsebe ngue ngue me ru pa te ngu ngu nda shut puonepuo pua fane nsie ngu ngu shue pe nsa’na.
01-00	Pum mgbeti 1
01-01	Pe na mve gu puen nyutu po te mbe ku ghet ngam pua nguenengue mbe te wume nsebe pua pa mfeeket. Pen a ntum te mbe ku rem ngam pua fabshe ngam, a nshi njir’ap ne yi nshane ngetne nga shap po te wupme ponta.
02-00	Mgbeti mbete 2
02-01	Nshie mun yetne yi nget ku nwet te gu pa mfeeket pua ku ghet ngam tum te yire yi nsa’ nga nju, shi mshie nsente me tum, me ngup, me su, me shuket, me nga nyinyi, me nda ntan, ke mo’ nshie wupme tum lo’te la’ ke lo’ te fane puen’e, lo’ te nkap, lo’ te ve ke lo’ te mo’ nshie mbe.
02-02	Mo’nke nshie nsente ntap ndo’ ter’i mo’ nga shi te mgbete ntan, mgbete ken ke mgbete fane tum tum ngu ke sa ngu mum nyutu, pa yue yire ngu ke sa ngu mbe ne shutu na, nshin nsa’ mo’ ngu na, shi pe ne ku ghet ngam ke mbe po ne pashe shutu na.
03-00	Mgbeti mbete 3
03-01	Nshie mun nyutu ghet mfee ket wume, mfee ket ku ghet ngam pua mfee ket tenntuum wume te mbe mi.
04-00	Mgbeti mbete 4
04-01	Mo’ nshie mun ntap ndo’ pe’i mkpen ke te mbe fa’kpen ne, me nga ka kpen pua nten kpen ka kpa’ njie ken te gu mbe map menten na.
05-00	Mgbeti mbete 5
05-01	Mo’ nshie mum nyutu ntap ndo’ pi’ kwete’i ngue’ menduwan.
06-00	Mgbeti mbete 6
06-01	Nshie mun ghet mfee ket wume ntu nte ni pue nken te gu li’ menten.
07-00	Mgbeti mbete 7
07-01	Gu puen kpa’ na mbe po ngue ngue mesu ken mbi pit ngeket mfee ket shi nsente mbe te ka ken ntue’she wap nguenengue na. Gu yap gheket nguenengue mfee ket ntue’she me shi’ yi nku’ ranami yue a nte pe nsuene yire nsa’ ngam ma, mo’ nke yetne yi nen nshie rone yue a nsushe rane-mi na.
08-00	Mgbeti mbete 8
08-01	Nshie mun pua ne mfee ket yi mfa nwer’i tu gu nda sa’ ngu yue a yetne yi mfer’i te map map pa mfee ker’i tum te ma ken ke ken ngu.
09-00	Mgbeti mbete 9
09-01	Nshie mun ma njetne’ i yi mbe yu ve te ku tu mo’ mun, ke yi mshushu’ i, ke yi ntume’i te ngu.
10-00	Mgbeti mbete 10
10-01	Nshie mun nyutu ghet mfee ket, nguenengue nsebe, ne ka pe njetne yi nju’ mbie’ne sa’ shi me ndo nguere te nda sa’ shutu shi nga rane-mi ntuum na yue pe ntuo li sa, tupshe pa mfee ker’i pua ker’i na, ke yi ntupshe mgbu sa’ shi yue a ntuo suo’i ne sa’ na.
11-00	Mgbeti mbete 11
