00-00	OPCA DEKLARACIJA O PRAVIMA COVJEKA
00-01	BUDUCI da su priznavanje urodenog dostojanstva i jednakih i neotudivih prava svih clanova ljudske obitelji temelj slobode, pravde i mira u svijetu,
00-02	BUDUCI da su nepostivanje i preziranje prava covjeka imali za posljedicu akte, koji su grubo vrijedali savjest covjecanstva, i buduci da je stvaranje svijeta u kojem ce ljudska bica uzivati slobodu govora i vjerovanja i slobodu od straha i nestasice bilo proglaseno kao najvisa teznja obicnih ljudi,
00-03	BUDUCI da je bitno da prava covjeka budu zasticena vladavinom prava, da covjek ne bude primoran da kao posljednjem sredstvu pribjegne pobuni protiv tiranije i ugnjetavanja,
00-04	BUDUCI da je bitno da se unapreduje razvoj prijateljskih odnosa izmedu naroda,
00-05	BUDUCI da su narodi Ujedinjenih nacija ponovo potvrdili u Povelji svoju vjeru u osnovna prava covjeka, u dostojanstvo i vrijednost covjekove osobe i u ravnopravnost muskaraca i zena i posto su odlucili da unapreduju drustveni napredak i bolji zivotni standard u siroj slobodi,
00-06	BUDUCI da su se Drzave Clanice obavezale da, u suradnji s Ujedinjenim nacijama, postignu unapredenje opceg postivanja covjekovih prava i osnovnih sloboda i njihovo odrzavanje,
00-07	BUDUCI da je zajednicko razumijevanje tih prava i sloboda od najvece vaznosti za puno ostvarenje te obaveze,
00-08	GENERALNA SKUPSTINA PROGLASAVA
00-09	OVU OPCU DEKLARACIJU O PRAVIMA COVJEKA kao zajednicko mjerilo postizanja za sve narode i sve drzave radi toga da bi svaki organ drustva, imajuci Deklaraciju stalno na umu, tezili da ucenjem i odgojem doprinesu postivanju ovih prava i sloboda i da bi progresivnim nacionalnim i medunarodnim mjerama osigurali njihovo opce i djelotvorno priznavanje i odrzavanje, kako medu narodima samih Drzava Clanica, tako i medu narodima onih podrucja koja su pod njihovom ingerencijom.
01-00	Clan 1.
01-01	Sva ljudska bica radaju se slobodna i jednaka u dostojanstvu i pravima. Ona su obdarena razumom i svijescu i treba da jedno prema drugome postupaju u duhu bratstva.
02-00	Clan 2.
02-01	Svakome su dostupna sva prava i slobode navedene u ovoj Deklaraciji bez razlike bilo koje vrste, kao sto su rasa, boja, spol, jezik, vjera, politicko ili drugo misljenje, narodonosno ili drustveno porijeklo, imovina, rodenje ili drugi pravni polozaj.
02-02	Nadalje, ne smije se ciniti bilo kakva razlika na osnovu politickog, pravnog ili medunarodnog polozaja zemlje ili podrucja kojima neka osoba pripada, bilo da je ovo podrucje nezavisno, pod starateljstvom, nesamoupravno, ili da se nalazi ma pod kojim drugim ogranicenjima suverenosti.
03-00	Clan 3.
03-01	Svako ima pravo na zivot, slobodu i osobnu sigurnost.
04-00	Clan 4.
04-01	Niko ne smije biti drzan u ropstvu ili ropskom odnosu; ropstvo i trgovina robljem zabranjuje se u svim njihovim oblicima.
05-00	Clan 5.
05-01	Niko ne smije biti podvrgnut mucenju ili okrutnom, necovjecnom ili ponizavajucem postupku ili kaznjavanju.
06-00	Clan 6.
06-01	Svako ima pravo da se svagdje pred zakonom priznaje kao osoba.
07-00	Clan 7.
07-01	Svi su pred zakonom jednaki i imaju pravo, bez ikakve diskriminacije, na jednaku zastitu zakona. Svi imaju pravo na jednaku zastitu protiv bilo kakve diskriminacije kojom se krsi ova Deklaracija i protiv svakog podsticanja na takvu diskriminaciju.
08-00	Clan 8.
08-01	Svako ima pravo na djelotvorna pravna sredstva putem nadleznih nacionalnih sudova zbog djela kojima se krse osnovna prava koja su mu dodijeljena u Ustavu ili zakonu.
09-00	Clan 9.
09-01	Niko ne smije biti podvrgnut samovoljnom hapsenju, zatvoru ili izgonu.
10-00	Clan 10.
10-01	Svako ima pravo da ga u punoj jednakosti posteno i javno saslusa nezavisan i nepristran sud radi utvrdivanja njegovih prava i obaveza i bilo kakve krivicne optuzbe protiv njega.
