00-00	OJE KA K’ELA KODAH NOCE LE AA
00-01	Higbegͻ ma, oje ͻda ni w’ ͻkpͻci meml oj’ojinle kͻdah nͻce le abͻ keinu lipu kipͻnu unu w’okwaje ko labͻ lei nu meml’epͻ ͻkpakpa aa, tik ͻgbͻtu lipu kece nya duu ma, higbegͻ ma, akwula n meml’ okpo dͻdah gͻce iby’ͻda ni wei kunu n memy’ olukpafyu ikpo waje, ege ni labͻ b’ocaiela jͻce kipu k’ͻtu ͻce baje. Ohigbace ni la lece nya ki labahi kolabͻ lei wa ipu gͻkͻ okela-uwa, meml’okpohilice meml’odjmataje hukpo oya ta ti k’oyͻda tei kabͻ new’ace idͻka djwule, higb’egͻ ma ͻcegba nenehi kokwͻce baje meml’o yͻce tͻha kͻma ko yͻ. O wei gunu kojegͻbu koyͻ ip’ͻine oya meml’ͻmpa kunu. hibi kͻha ne, United Nations lohili ni tu ohibi k’ͻgbͻtu ko yͻ lei aje duu je taje fye ikwei ͻdah nͻce le aa, hibi ko jegͻbu, meml’ojima tig oyei ͻlam k’ͻce go yͻ ipu olabͻ lei nu. Igwu igwu kace lelewa ce ko bͻha yukͻlͻ meml’United Nations ohigb ojegͻbu kͻdah ab’ͻce ti k’adj leidj ma kͻce ni wͻda agbanjala.
00-02	Baba nya, higbegͻ ma, igwu kace leb General Assembly, kͻdah ni kl’abͻ kͻce nya kl’ece pee ohigb’ͻce duu ne kͻ je ͻda ni wikwei kͻdah ni yip’abͻ ͻce duu ip’ece nya ma, ti gege ni jiko oby’ͻ yukͻlͻ lei kaje eikaje. Higbͻ ma ͻwudjkpe kͻce duu lei kaje duu gͻ bi by’ela kͻdah kabͻ gͻce ne ip’ͻtu gunu, ela nya hͻi kͻ yei ip’ͻtu ͻce de nebͻ ki yͻ meml’ogbͻtu ip’ece ne ma.
01-00	OKA 1
01-01	Ege ni modudu ace kece nya bece ehehi aa ,hibi egͻ ma ace duu jonjile ipu kocegba nͻce cegba meml’ojonjile ipu ͻdah ni yabͻ ͻce nya. Odudu ace kwu djwule ml’ohili otu meml’ocai kela jͻce ͻha ni yipu ͻtu ͻce aa, higbͻ ma ͻce higbo yͻda meml’ ͻmpa gunu le bͻine nu ma.
02-00	OKA 2
02-01	Odudu ace ciko wei ko lͻdah k’abͻ ei wa meml’olabͻ lei wa ipu ko jela gͻdah kͻce aa kla klece, g’okͻ eyeyi le b’edͻ gace ma , ina gͻkp’iye kͻce, ͻcenya aman k’ͻcenyilͻ, ichi ichi oka, ogb’Owoico egba aman utu utu kace, ebe ni m’ͻce ta kwee ͻda ege nya duu ne kͻ ma ko yͻ.
02-02	ͻha kunu, okͻ eyeyi duu kͻ yͻ ikwei abͻ nikpei ͻce wa kwee olufyu meml’ ojegͻbu kei aje nͻce djma aa, gͻcokwu wei aje ni labͻ lei wa, ni kpͻtu ce wa, eiaje ni labͻ lei wa n, kwee ipu gͻda eyeyi ege nya.
03-00	OKA 3
03-01	Ododu ace lͻdah ko yei ege duu, meml’odjmat’aje h’o bl’baje ta meml’ogbikwei ͻce dodu ege duu jojinle.
04-00	OKA4
04-01	Ododu ace cika yipu ͻfye oya n, aw’ͻfye meml’ͻyi gͻfye ota wei ko yͻ ip’ace kece nya n, ege duu nͻ cokwu le.
05-00	OKA5
05-01	ϽlOhi ki ml’ͻce duu ta j’owe aman be k’ogbobaje, aman be k’alachi, aman be k’ocai kela lͻce fy’ege nela ͻma le n.
06-00	OKA6
06-01	Odudu ace wei ko jͻkwͻkwei gele nya kaini ege duu nͻce yͻ, ͻyͻ ip’abͻ k’ͻdah ni yO gbaje ege nͻ yͻ aa.
07-00	OKA7
07-01	Odudu ace j’onjile ikpei k’ͻdah,egO ma nͻdah ciko gb’ikwei ͻce duu ne j ‘onjile aa. Odah ciko wikwei ͻce ohigb’ͻda nOce ya ni wei kOda nͻdah ka n aman ko y’ͻda ni yO bu tela k’ͻdah, aman be k’oyOda bei kͻdah ni yab’ͻce nya .
08-00	OKA8
08-01	Ohigb’iko nͻce duu ibei k’ͻdah ni yip’abͻ-nu nͻdah kei aje-nu je ta lO aa , aw’okepͻ k’ͻdah cika cai kela jOce egO ma.
09-00	OKA9
09-01	Odudu ace duu iciko bei kipu kinu-agba aman be okw’ͻce dudu igbihi kefye ohe n, cai eci nͻce Oma iye bei k’ͻdah.
10-00	OKA 10
10-01	Odudu ace cika j’ojinle lebe k’aw okepͻ ipu k’ebͻ ͻkpakpa meml’ebͻ ni lojeikpei n oka tig ko kepͻ k’ͻce duu kl’ece pee, Ohigb’ͻdah ni yabͻ kunu nO je hai tig k’epͻ gͻda bObi ege dudu ni kwͻce epͻ kunu.
11-00	OKA 11
11-00	Oce duu ni kwepͻ hibi gͻda olukpafyu ikpo ege duu ne, ilep’mbi eci naw’ͻkepͻ lepͻ kunu ka ei pee ip’ͻkpakpa meml’ege duu nͻdah le, nace okepO kunu kw’ega je lO kO-nu ka ip’Oda nOce Oma ya.
11-01	Oce duu I ciko lep’embi ohigb’ͻda duu nͻdah kei gaje nͻ la aa ma ma ta tͻ n liko nͻce ͻma yͻda lͻ. aman be kofy’ efye fyowu kine nͻce kpo aa janu fy’ege abO nͻdah myla ta go fajanu liko nͻce kpine aa.
12-00	OKA 12
12-01	Odudu ace cika w’ohyl’eta jace ͻmpa kuwa ki labͻ lͻda ot’otu nOce iya n, aman be k’ip’ͻnu kuwa n, ͻl’uwa n, aman be k’okpo dͻce ikwei gojima-nu meml’ojima n. Odah cika gbei ͻce duu kͻce ͻha kͻ ma ko labͻ ip’ͻda ototu gͻc’ͻmpa-nu ege duu.
13-00	OKA 13
13-00	Odudu ace lͻdah kabͻ kei nͻ ki yau gebe duu nya ni y’ͻtu-nu, nͻ ke la ege duu ni h’ͻtu ip’ei aje nͻ la Oma.
13-01	Odudu ace lͻdah ko nye djmei gaje duu nͻ la gei aje Ompa, gͻ cokwu wei gaje ni m’ͻ ta, egͻ ma nO lͻdah ko chigbihu wa iko duu ni yOtu-nu ge.
14-00	OKA14
14-00	Oce duu lͻdah go dͻka ti go mabahi lei gaje ͻha, ipu gowe oma n ti gokpodͻce n.
14-01	[missing]
15-00	OKA 15
15-00	Odudu ace lͻdah ko wͻi kaje.
15-01	Oce duu cika gw’ͻwe kopyͻi kaje tͻce ͻmpa kunu n, aman be ko gw’ͻwe t’opyͻdah kͻi kaje kunu abͻ djmei gaje eye gͻmpa n.
16-00	OKA 16
16-00	Acenyilͻ meml’Achenya ni jejinkpa me, edͻ kace, ei kaje, aman be k’edͻ gowoico nigblegba icika gwͻwe to lei wa ͻba meml’ͻnya n aman be ko h’ipͻnu kuwa n. Iciko lͻdah jojinle ipu okpei-wa bͻha meml’okͻ hͻha ta kuwa.
16-01	Oba meml’Onya ole cika wͻda nͻce duu ibei gipu gunu ipu gotila n cai ipu ko mͻtu gei wa cici ti go lekwu kei wa.
16-02	Ipͻnu kOce w’okwaje go he igwu igwu gace ma. Hibi egO ma ͻwOda ni celegba kei kaje odudu kO kwula meml’ipͻnu.
17-00	OKA 17
17-00	Oce duu ne lͻdah abͻ kei nu lͻdah ko labenu gei-nu amaa be nͻ ke lOfyu ba tͻha yͻda kagbenu-nu meml’ͻce ͻmpa.
17-01	Okwͻce baje ebe ko lͻda kagbenu ole nya, kO yͻ n.
18-00	OKA 18
18-01	Odudu ace lͻdah ko lohili kͻda ege ni h’ͻtu, aman be k’Ocaikela jͻce ni la lipu kͻtu kͻce, ti kedͻ kOwiocco nͻ igbegba aa; ipu kͻdah nͻce le nya, ͻce lͻfyu nye djmipu gegba nͻ yO gb’oco eye gipu g’ege duu nͻce ma, nO ke h’ͻtu, meml’ojowoico ogbegba kunu kl’ece pee ege duu ne.
19-00	OKA 19
19-01	Oce duu lͻdah gͻmͻwe gͻda abͻ ni yͻtu gunu ti go jͻwe gela ka abͻ ni yͻtu gunu kpakpa; ͻmewe gela abͻ ni h’ͻce ͻtu, gͻce ͻha gͻlabͻ lͻ n kwee ja gei nu bͻ n, ti go j’ͻwe gela lͻ ka tece pee jace lipu ginu ebe okela tece abͻ duu nͻce lͻ cokwu le.
20-00	OKA 20
20-00	Odudu ace lͻdah gojlei meml’ace duu ipu kͻgbͻtu tig ko by’atͻha memyl’ace ͻha duu.
20-01	Oce duu gͻ yͻce ͻmpa otila k’ͻwe lOwa Owa aman be k’opyatͻha kace duu ne n.
21-00	OKA 21
21-00	Odudu ace lͻdah ko labͻ lipu gigͻmenti kei gaje-nu, ͻlͻfyu nyega kͻkwei kace kunu aman be k’ofͻce ni kwei gunu lipu gigͻmenti.
21-01	Odudu ace lͻdah jojinle ko yekwu meml’ͻda geniye duu.
21-02	Oda ni wokwaje kͻdah gigͻmenti cika wͻda newa kace iyO dͻka; enya ka itei pee fye lipu kabͻ obͻkpa nicaka yͻ iko iko gunu, ohigb’ewa gace gͻ f’ͻce ni kwei kuwa lipu gigͻmenti ipu kabͻ obͻkpa ni l’uji n.
22-00	OKA 22
22-01	Odudu ace ni wOi kaje ege nͻ la, lͻdah ko gbei-wa ip’ola kuwa meml’ obebe kakanya nei kaje ei-aje ti k’igwu igwu kace cika ya ohigb’ͻce ko je ͻkpͻci kͻdah kunu nͻ le ipu koya je gͻbu kͻce meml’abͻ nͻce yO yoyei le ni ki lͻce py’ͻce kejiji n, kenebece kͻce gͻ yO je tip’ejinkpa.
23-00	OKA 23
23-00	Odudu ace lͻdah ko y’ukͻlͻ duu, aman be oj’edͻ kukͻlͻ ni h’ͻtu, nͻ iya ni ke gbiye nee gila de kͻ ya ti gͻdah ni gbͻce holukͻlͻ no ta.
23-01	Odudu ace duu ni yukͻlͻ igwu eyekponu lͻdah ko my’ule ege ekponu cai oyoyͻ gukͻlͻ guwa kO yͻ gbͻbu de nule kuwa y’oyͻ duu ma.
23-02	Odudu ace ni yukͻlͻ,lͻdah hibi kͻ lͻda ni lͻfyu bͻya meml’ipͻnu kunu ce janu aman be k’ipͻnu kunu hai tei gabͻ nipͻnu gͻce ciko le ipu gojima.
23-03	Odudu ace lͻdah ko h’utu kͻyi ota aman ko we lipu kopyatͻha ga w’otͻyi ohigb’ile nͻ gi le aa.
24-00	OKA 24
24-01	Odudu ace lͻdah ko lͻmlenyͻ ip’ukͻlͻ duu nͻ iya, aman be k’ukͻlͻ duu nͻce iya cika liko gunu aman be k’auwa nͻce iyukͻlͻ duu nya ciko leji. Iko Iko omenyͻ yͻ ipu gukͻlͻ duu meml’ule oca.
25-00	OKA 25
