00-00	shijierenquanxuanyan
00-01	renleishehuinosubetenogouchengyuannoguyounozunyantopingdengderangrehen quanlitoochengrensurukotoha, shijieniokeruziyou, zhengyijibipinghenojichu yasakai, 
00-02	renquannowushijibizhiwuga, renleinoliangxinotaminijittayemanxingweiomotarashi, yanlunjibixinyangnoziyougashoukerare, kongbujibiqianfa gaarahen shijienodaolaiga, 1bannoren²nozuigaonoyuanwangtoshitexuanyansareta sakai , 
00-03	renjiangazhuanzhitoyapotoniduisuruzuihounoshouduantoshitefanninisuerukotogaarahen younisurutameniha, fanozhipeiniyotterenquanobaohusurukotogaganyao yasakai , 
00-04	zhuguojiannoyouhaoguanxinofazhanocujinsurukotogaganyaoyasaka i , 
00-05	guojilianhenozhuguominha, guolianxianzhangnioite, jibenderenquan, renjiannozunyanjibisizhibingbininannunotongquannitsuitenoxinnianozaiquerenshi, katsu, 1cengdakinaziyounouchideshehuidejinbutoshenghuoshuizhunnoxiangshangtoocujinsurukotoojueyishitasakai, 
00-06	jiamengguoha, guojilianhetoxielishite, renquanjibijibendeziyounopubiandenazunzhongjibizunshounocujinodachengsurukotooshiyueshita sakai , 
00-07	koreranoquanlijibiziyouniduisurugongtongnolijieha, konoshiyueowanquannisurutamenimecha zhongyao yasakai , 
00-08	yotte, kokoni, guolianzonghuiha, 
00-09	shehuinogegerenjibigejiguanga, konoshijierenquanxuanyanochangniniantounizhikinagara, jiamengguozishennorenminnojiannimo, mata, jiamengguonoguanxiaxianiarudeyunorenminnojiannimo, koreranoquanlitoziyoutonozunzhongozhidaojibijiaoyuniyottecujinsurukotobingbinisoreranopubiandecuozhiniyottequebaosurukotoninulisuruyouni, subetenorenmintosubetenoguotogadachengsubekigongtongnojizhuntoshite, konorenquanxuanyanogongbusuru. 
01-00	di1tiao
01-01	subetenorenjianha, shengmarenagaranishiteziyouyashi, katsu, zunyantoquanlitonitsuitepingdengya. renjianha, lixingtoliangxintooshoukerareteori, huinitongbaonojingshenomottexingdongshina. 
02-00	di2tiao
02-01	subeterenha, renzhong, pifunose, xing, yanyu, zongjiao, zhengzhishangsonotanoyijian, guomindemoshikuhashehuidechushen, caichan, mendesonotanodeweiyouhakorenileisuruikanaruziyouniyoruchabieomoshoukehen, konoxuanyannijiegerusubetenoquanlitoziyoutooxiangyousurukotogadekiru. 
02-02	sarani, gerennoshusuruguoyouhadeyugaduliguoyato, xintuotongzhideyuyato, feizizhideyuyato, youhatanonanrakanozhuquanzhixiannoxianiarutoowenwahen, sonoguoyouhadeyunozhengzhishang, guanxiashangyouhaguojishangnodeweinijizukuikanaruchabiemoshitehanarahen. 
03-00	di3tiao
03-01	subetenorenha, shengming, ziyoujibishentinoanquanniduisuruquanlioyousuru. 
04-00	di4tiao
04-01	herenmo, nulinisare, youhakuyinifushihen. nulizhidujibinulimaimaiha, ikanaruxingnioitemojinzhisuru. 
05-00	di5tiao
05-01	herenmo, kaowenyouhacannuena, feirendaodenamoshikuhaqurudenaquximoshikuhaxingfaoshoukehen. 
06-00	di6tiao
06-01	subetenorenha, ikanaruchangsuonioitemo, fanoxianioite, rentoshiterenmerareruquanlioyousuru. 
07-00	di7tiao
