00-00	INSAN HUeQUQLARI HAQQINDA UeMUMI BEYANNAME
00-01	Besher ailesinin buetuen uezvlerine xas olan leyaqet hissinin ve onlarin beraber ve ayrilmaz huequqlarinin taninmasinin azadliq, edalet ve uemumi suelhuen esasi oldugunu nezere alaraq,
00-02	insan huequqlarina etinasizliq ve nifretin besheriyyeti dehshete getiren barbarizm hereketlerine sebeb oldugunu ve insanlarin soez ve etiqad azadligina malik, qorxu ve ehtiyacdan azad olduqlari duenyanin yaradilmasinin besheriyyetin en ali isteyi oldugunu nezere alaraq,
00-03	insanin son vasite kimi istibdad ve zuelme qarshi qiyama qalxmaga mecbur olmamasini temin etmek uesuen insan huequqlarinin qanunun hakimiyyeti ile muedafie olunmasinin zeruriliyini nezere alaraq,
00-04	xalqlar arasinda mehriban muenasibetlerin inkishafini desteklemeyin vacibliyini nezere alaraq,
00-05	Birleshmish Milletlerin xalqlarinin BMT Nizamnamesinde esas insan huequqlarina, insan shexsiyyetinin leyaqet ve deyerine, kishi ve qadinlarin huequq beraberliyine inamlarini tesdiq etdiklerini ve daha genish azadliq sheraitinde sosial tereqqi ve heyat sheraitinin yaxshilashdirilmasina yardim etmeyi qet etdiklerini nezere alaraq,
00-06	uezv doevletlerin BMT ile emekdashliq sheraitinde insan huequqlarina ve esas azadliqlara uemumi hoermet ve onlara emel olunmasina yardim etmeyi oehdelerine goetuerdueklerini nezere alaraq,
00-07	bu huequq ve azadliqlarin xarakterinin tam shekilde derk olunmasinin hemin oehdeliyin herterefli yerine yetirilmesi uesuen boeyuek ehemiyyet kesb etdiyini nezere alaraq,
00-08	BMT Bash Assambleyasi
00-09	Insan huequqlari Haqqinda Uemumi Beyannameni, her bir kesin ve cemiyyetin her bir orqaninin bu Beyannameni rehber tutaraq maarifsilik ve tedris yolu ile hemin huequq ve azadliqlara hoermet olunmasina yardim etmesi ve milli ve beynelxalq seviyyede tereqqiperver tedbirler yolu ile, hem teshkilatin uezvue olan xalqlari, hem de onlarin yurisdiksiyasi altinda olan erazilerin xalqlari arasinda uemumilikde ve effektiv taninmasi ve heyata kesirilmesine sey goestermeleri meqsedile buetuen xalqlar ve buetuen doevletlerin yerine yetirmeye can atmali olduqlari vezife kimi beyan edir.
01-00	Madde 1
01-01	Buetuen insanlar leyaqet ve huequqlarina goere azad ve beraber dogulurlar. Onlarin shueurlari ve vicdanlari var ve bir-birlerine muenasibetde qardashliq ruhunda davranmalidirlar.
02-00	Madde 2
02-01	Her bir shexs irqinden, derisinin renginden, cinsinden, dilinden, dininden, siyasi ve diger eqidesinden, milli ve ya sosial mensheyinden, emlak, sosial moevqe ve diger veziyyetinden asili olmayaraq bu Beyannamede elan olunmush buetuen huequq ve azadliqlara malik olmalidir.
02-02	Bundan elave, hemin shexsin mensub oldugu oelkenin ve ya erazinin, hemin erazinin muesteqil, qeyyumluq altinda olan, oezueidareolunmayan ve ya suverenliyi her hansi shekilde mehdudlashmish olmasindan asili olmayaraq, siyasi, huequqi ve beynelxalq statusundan asili olaraq hes bir ayri-seskilik qoyulmamalidir.
03-00	Madde 3
03-01	Her bir shexsin yashamaq, azadliq ve shexsi toxunulmazliq hueququ var.
04-00	Madde 4
04-01	Hes kim koele ve ya asili veziyyetde saxlanila bilmez; quldarliq ve qul ticareti buetuen formalarda qadagan edilir.
05-00	Madde 5
05-01	Hes kim ishgenceye ve ya qeddar, qeyri-insani ve ya onun leyaqetini alsaldan muenasibete ve cezaya meruz qalmamalidir.
06-00	Madde 6
06-01	Her bir shexs harada olmasindan asili olmayaraq oezuenuen huequq subyektltiliyinin taninmasi hueququna malikdir.
07-00	Madde 7
07-01	Buetuen insanlar qanun qarshisinda beraberdirler ve qanun terefinden beraber muedafie hueququna malikdirler. Buetuen insanlar bu Beyannameni pozan her hansi ayri-seskilikden ve bele ayri-seskiliye her hansi cehdden beraber muedafie olunma hueququna malikdirler.
08-00	Madde 8
08-01	Her bir shexs Konstitusiyanin ve ya qanunun ona verdiyi huequqlarin pozulmasi zamani seleahiyyetli milli mehkemeler terefinden huequqlarinin berpa olunmasi hueququna malikdir.
09-00	Madde 9
09-01	Hes kim oezbashina hebse, tutulmaya ve ya suerguene meruz qala bilmez.
10-00	Madde 10
10-01	Her bir shexs onun huequq ve vezifelerinin teyini ve ona qarshi ireli sueruelmuesh cinayet ittihaminin esasliliginin mueeyyenleshdirilmesi uesuen onun ishinin muesteqil ve biteref mehkemede, tam beraberlik esasinda, ashkarliq ve edaletin buetuen teleblerinin goezlenilmesi sheraitinde baxilmasi hueququna malikdir.
11-00	Madde 11
11-00	Cinayet toeretmekde ittiham olunan her bir shexs guenahi ona muedafie uesuen buetuen imkanlarin temin olundugu asiq mehkeme istintaqinda qanuni shekilde suebut olunanadek guenahsiz hesab edilmek huequna malikdir.
11-01	Hes bir kes milli qanunvericilik ve ya beynelxalq huequqa esasen toeredildiyi zaman cinayet hesab edilmeyen hereket ve ya hereketsizlik uesuen cinayetde ittiham oluna bilmez. Eyni zamanda cinayetin toeredildiyi zaman tetbiq oluna bilecek cezadan daha agiri tetbiq oluna bilmez.
12-00	Madde 12
12-01	Hes kim shexsi ve aile heyatina muedaxileye, evinin toxunulmazligina, mektublashmasinin gizliliyine, sheref ve nuefuzuna oezbashina qesde meruz qala bilmez. Her bir shexsin bele muedaxile ve qesden qanun terefinden muedafie olunmaq hueququ var.
13-00	Madde 13
13-00	Her bir shexs her bir oelke huedudunda serbest hereket etmek ve yashayish yeri sesmek hueququna malikdir.
13-01	Her bir shexs oez oelkesi de daxil olmaqla istenilen oelkeni terk etmek ve oez oelkesine qayitmaq hueququna malikdir.
14-00	Madde 14
14-00	Her bir shexs diger oelkelerde teqibden siginacaq axtarmaq ve bu siginacaqdan istifade etmek hueququna malikdir.
14-01	Bu huequq heqiqeten de qeyri-siyasi cinayet ve ya Birleshmish Milletler Teshkilatinin meqsed ve prinsiplerine zidd hereket toeredilmesine esaslanan teqibler zamani istifade oluna bilmez.
15-00	Madde 15
15-00	Her bir shexs vetendashliq hueququna malikdir.
15-01	Hes kim oezbashina olaraq vetendashliqdan ve vetendashligini deyishmek hueququndan mehrum edile bilmez.
16-00	Madde 16
16-00	Yetkinlik yashina satmish kishiler ve qadinlar irqi, milli ve dini elametlerine goere hes bir mehdudiyyet qoyulmadan nikaha daxil olmaq ve aile qurmaq hueququna malikdirler. Onlar nikaha daxil olarken, nikah mueddetinde ve onun pozulmasi zamani eyni huequqlardan istifade edirler.
16-01	Nikah, nikaha daxil olan her iki terefin azad ve tam raziligi olarsa baglana biler.
16-02	Aile cemiyyetin tebii ve bashlica qrup vahididir ve cemiyyet ve doevlet terefinden muedafie olunma hueququna malikdir.
17-00	Madde 17
17-00	Her bir shexsin hem tekbashina, hem de digerleri ile birlikde muelkiyyete sahib olma hueququ var.
17-01	Hes kim oezbashina olaraq muelkiyyetden mehrum edile bilmez.
18-00	Madde 18
18-01	Her bir shexs dueshuence, vicdan ve din azadligi hueququna malikdir; bu huequqa oez dinini ve etiqadini deyishmek azadligi ve oez dinine ve inanclarina tehsil, dua ve dini ve ritual ayinler zamani teklikde ve ya bashqalari ile birlikde, ashkar ve ya ferdi shekilde etiqad etmek azadligi daxildir.
19-00	Madde 19
19-01	Her bir shexs eqide ve onu serbest ifade etmek azadligi hueququna malikdir; bu huequqa maneesiz olaraq eqideye malik olmaq ve informasiya ve ideyalari doevlet serhedlerinden asili olmayaraq istenilen vasitelerle axtarmaq, elde etmek ve yaymaq azadligi daxildir.
20-00	Madde 20
20-00	Her bir shexs dinc yigincaqlar ve assosiasiyalar azadligi hueququna malikdir.
20-01	Hes bir shexs her hansi bir assosiasiyaya qoshulmaga mecbur edile bilmez.
21-00	Madde 21
21-00	Her bir shexs doevletin idare olunmasinda bilavasite ve ya azad shekilde sesilmish nuemayendeler vasitesile ishtirak etmek hueququna malikdir.
21-01	Her bir shexs oez oelkesinde doevlet xidmetinde qulluq etmek uesuen beraber imkana malik olmaq hueququna malikdir.
21-02	Xalqin iradesi iqtidar hakimiyyetinin esasi olmalidir; bu irade oez ifadesini gizli sesverme yolu ile, uemumi ve beraber seski hueququ ve ya sesvermenin azadligini temin eden diger eynimenali formalar esasinda kesirilen muetamadi ve saxtalashdirilmamish seskilerde tapmalidir.
22-00	Madde 22
22-01	Her bir shexs cemiyyetin uezvue kimi sosial muedafie hueququna ve milli seyler ve beynelxalq emekdashliq yolu ile ve her bir doevletin strukturu ve resurslarina uygun olaraq onun leyaqetinin muedafiesi ve shexsiyyetinin azad inkishafi uesuen iqtisadi, sosial ve medeni sahelerde huequqlara malikdir.
23-00	Madde 23
23-00	Her bir shexsin emek, serbest ish yeri sesmek, edaletli ve yaxshi ish sheraiti ve ishsizlikden muedafie hueququ var.
23-01	Her bir shexs hes bir ayri-seskilik olmadan eyni ish uesuen eyni emek haqqi almaq hueququna malikdir.
23-02	Her bir ishleyen shexs, emeyinin lazim gelerse diger sosial muedafie vasitelerile tamamlanan, onun oezuenuen ve ailesinin layiqli dolanishigini temin ede bilen edaletli ve qenaetbexsh oedenilmesi hueququna malikdir.
23-03	Her bir shexsin hemkarlar ittifaqi yaratmaq ve oez sosial maraqlarini muedafie etmek uesuen hemkarlar ittifaqlarina daxil olmaq hueququ var.
24-00	Madde 24
24-01	Her bir shexsin istirahet ve asude vaxt, o cuemleden ish guenuenuen aglabatan huedudu ve oedenilen muetamadi mezuniyyet hueququ var.
25-00	Madde 25
