00-00	FASWIRI HA LUGHA YA SHIMAORE YA MUTEKELEZEO WA SHI ULEMENGU WA ZIHAKI ZA MWANADAMU (HAKI-L-ADAMI)
00-01	Ha uwafiki amba mukubalio wa sheo wahuswiana na watru piya wapanga udjama wa shi binadamu, na wa zihaki zao zilio sawa wala kazitriliha rahani, urendreha de musingi wa unafasi,na wa haki, na wa amani hari mwa lidunia ;
00-02	Ha uwafiki amba muharalio na mupuzisio wa zihaki za mwanadamu zitsongesha mufanyishio wa zitrendrwa za shi ukatili zikao amba zitsotso fikira ya unadamu, arudi mujilio wa ulemengu ukao amba ziumbe binadamu watsokana nafasi ya ulagua na ya uamini, amba wapukamana na trisidzo na usikini, basi mujilio uwo utrangiziwa mauri de mataradjio mabole kabisa ya mwanadamu ;
00-03	Ha uwafiki amba irendreha muhimu zihaki za mwanadamu zihafadhwiwe na sirikali ya haki ile pare mwanadamu asulazimishihe, ha udzidailia, arumie shombo ndziro ya uwana kinyume na upeu, na unyonyozi ;
00-04	Ha uwafiki amba irendreha muhimu mutrilio-shime wa mwendreleombeli wa mingiliano ya shi uwandzani baina ya matwaifa ;
00-05	Ha uwafiki amba hari mwa sharia-musingi, umati wa Uvhumoja wa Matwaifa watrangaza ha mara yangina iimani yao hari mwa zihaki musingi za mwanadamu, hari mwa usheo na uutru wa ubinadamu,hari mwa usawa wa zihaki za watrubaba na watrumama, esa wadzitayarisha ha uvhendzelea maendreleo ya shi udjama, esa wadzitayarisha wajau ha utria ndziani masharutwi mema ya ueshi hari mwa unafasi mbole kabisa ;
00-06	Ha uwafiki amba zi Daula Wanashama zirenge wahadi ya utria ndziani, mastaha ya shi ulemengu na ya kweli ya zihaki za ubinadamu na zinafasi musingi ; na zinu, ha mushirikiano na Kungumanyo ya Uvhumoja wa Matwaifa ;
00-07	Ha uwafiki amba fikira ya shi udjama ya zihaki zinu na zinafasi zinu ya muhimu kabisa ha urenga miadi inu namna yastahiki ;
00-08	Libaraza djimla lisutrangaza Mutekelezeo wa shi Ulemengu uhusu Zihaki za Mwanadamu (Haki-l-Adami) mauri de mataradjio ya djama yakusudiwa na umati piya na matwaifa piya, ile pare watru piya na zidjanibu zotsi za imudjitamaa, walio amba wana mutekelezeo unu fikirani, wafanye djitihadi, ha ndzia za musomo na za malezi, ya uendresa mbeli mastaha ya zihaki zinu na zinafasi zinu, na ha utria ndziani, ha urenga satua zendrao na uengedzeha hari mwa mukabala wa shi tsiju au wa shi ulemengu, mukubalio na mutrilio-ndziani wa shi ulemengu tsena wa kweli, neka mengoni mwa wakazi wa ziDaula Wanashama wawo ha wawo, au mengoni mwa wakazi wa ziardwi zilio utsini mwa imahakama yao.
01-00	Kanuni ya handra
01-01	Wanadamu piya udzalwa huru tsena sawa ha ufahari na ha haki. Na wawo wana akili na hisi, esa ilazimu wadzivhinge na wanyao ha fikira ya unanya.
