00-00	Sran mmla mun be men nun jo bole
00-01	Ke o fin ke sran kwlakwa i sran bule o fin blolo'n ti, ke i sran-mmla o nin sran kwlakwla lie'n se'n ti, ke iso nin ye o nin foundi, nanwle atin, aklunjoe ba men nun'n ti
00-02	Ke o fin ke se be si'a sran-mmla mun, nan se be bu'a be like fi, i so nin ye o fa sa tete yewa'n ba'nti, sange ke o fin ke be seli ke men nga mo i nun sran mun be di be foundi, mo be kwla be kan be klunklo nde, be kwla be so be klunklo like, mo sekunle o nin yale b'a jaso su, i so men mo be wan sran kunde i dan'n ti
00-03	Ke o fin ke i dan lika nin ye le ke o fata ke mmla su awa ye o nian sran-mmla mun be suo, ke o ko yo nan b'a mianmian-man sran nan w'a faman ya w'a jaso-man be nga be fa kwlale nin sran tete yole be fa be tintin i su be wun'n ti
00-04	Ke o fin ke like nga o ti kpa dan yele men mun b'afien janvue kekle diwa'n ti
00-05	Ke o fin ke men unmuan nun nvle mun be yali be wan be kan be sie su yekun ke be te lafi sran-mmla su dan, sran o ti like dan, o le'a gua, bla nin yasua be se. Be wan i so'n ti, like nga ba ko yo nan sran mun b'a nyan alaje, nan aklunjoe w'a ba be wun, foundi nun, i so like nin ye be wa yo'n ti
00-06	Ke o fin ke nvle nga be wo anyia so nun, be wan be nin like nga be fle, ke "Men mun be Bo Yekun Anyia" be bo yekun be bo mandren nan sran i fondi o nin i sranmmla be kaci ninge mo sran kwlakwla i ti wo be bo'n ti
00-07	Ke o fin ke nga o ti kpa dan yele ke sran mun be ngba be fa be ti be wle sran-mmla o nin sran-foundi be bo'n ti
00-08	Anyia Dan wan ke Nde nga be ken ye'n, o fata ke o kaci ke like mo i denman ye sran kwalkwla nian; men kwlakwla be kunde be ken; o ye so nan men kwlakwula su sran o, men kun i siesiele ninge mun, be bu Nde Dan nga i akundan cen kwlakwla, be bo mandren o nin sran mun be fluwaklele, o nin ngwlele klele, be yo man sran mun be dan lika si sran-mmla o nin fondi; ke be ko si be kpokun be yo bleble, men kun nun o, men ngba nun o, man sran mun be ngba be si i so nde: men nga be trannin annuanze dan i ase be nun sran mun o, be nga be wo i sofue mun be bo'no, o fata ke i so sran mun be ngba be si sran-mmla o nin sran-foundi.
01-00	Tikle kikli
01-01	Sran mun be ngba, ke be wu be o, be ngba be se, fondi nun, sran-mmala nun. Be si akundanbu, be si su o fata ke sran mun be tran'n, be tran aniaan nun tranle.
02-00	Tikle 2
02-01	Sran-mmla o nin sran-foundi nga o wo Nde dan nun, sran kwlakwla kwla fa ye ilie; o le'a ke e ti sran nvle ngunmin, ke e wunnen ti'a kun, e anien ti'a kun, e bo lika ti'a kun, e like sowa o ti i ngunmin, e politiki angundan ti'a kun, e fin'a lika kun, o le'a ke wie ti sikafue, wie ti yalefue, ke wie mun be osu ti wlengbi, wie mun be osu ti kanga.
02-02	I kungba yekun, be kwla'a kpaman sran mun be nun be se'ake nga ti bue nga su sran, nga be wun'en i lie wle'n kpa, be wun'an men nga su o fin o: be kwla'a be se'a so, kanze sran fin nvle ufle suo, se nvle so o le i foundio, kanze i ti wo men ufle i bo o, o nunmen i ti bo nun tile o.
03-00	Tikle 3
03-01	Sran kwalakwla, o fata ke be sese i nguan, be wuke i o di i foundi, be sese ibobo ba unmuan.
04-00	Tikle 4
04-01	Be kwla'a be fa-man sran be kaci'a kanga. Sran kanga yole nin i fato o nin i ninge i fa so mun be yowa, ba tanninnin be ngba be atin.
05-00	Tikle5
05-01	Be kwla'a be ye'a sran fi like tete mun, be wle-men i bisva, be kwla'a be yo-men i ninge nga mo o ye sran finfin, mo o kaci sran ke blo nnen mun be sa.
06-00	Tikle 6
06-01	Lika kwlakwla nga sran kun wo, o fata ke be bu i sran, o fin i mmla su.
07-00	Tikle 7
07-01	Sran mun be ngba be se mmla mu be nyrun; i so'n ti, o fata ke mmla mun be wutu be su, be ngba. sran kwlakwla, o fata ke be wuke i nan sran nun kpakpawa w'a nyen-men; sran nun kpakpawa o ti ke Nde nga i gblu towa sa.
08-00	Tikle 8
08-01	Sran kwmakwla le atin o ko to iboboinvle su jole difuemun, se o fin nan be bu i anunnflin i foundi-mmla su, foundi-mmla nga be kleli i fluwa nga be fle i ke "men i takawa i bo fluwa".
09-00	Tikle 9
09-01	Be kwla'a be tra-man sran ngben sa, be kwla'a be wle-men i bisua, be kwla'a be tu-men i men kun su ngben sa.
10-00	Tikle 10
10-01	Se be sanman sran, nan ndrumun tran nun, nde nga ti ye be sanman i, o fata ke nzraa nun, nanwle nun, jole difue mun, be nga be ti nun-man sran fi bo'n, mo be ti nanwle sran, be ye o fata ke be ken i so nde lie nion: be ye be kwla se ke se o wo i nde fe su o, se kusuman, nzanman mo be sanmanin i, o ti atin su o.
11-00	Tikle 11
11-01	Sran kwla nga b'a senmen i nde kun ti, ke be nian kan nde mo be nian bu-man, i so fue'n be kwla'a se'a ke i nde yo'a fe. A wun ke be kwla be se so, san b'a di jole, be ngba be ngba be nyrun, ato a wlu'a nun, be nga be ko jren i sin i ti kplile b'a jran.
11-02	Be kwla-man be bu-man nde be gue'e sran kun su; se nde ti ye be senmen i, i nun nga o fa ye sa son, mmla wie fi, i nvle lie su mmla o, men nun mmla o, be bu'e i so like lie'n ke o ti like te. I ng'o wuka su, yele ke alamandi nga be fu i, bisua nga be wle i, be nuan kwla'a tra-man nga be fa be yo i so titi'n
12-00	Tikle 12
12-01	Be kwla'a be wla-man be nuan sran kun i awlo nun nde mun be nun ngben, i awlo nun nde i tranwle, i fluwa nga o kle'n, i fluwa nga be kle i, be kwla'a be ken'en i wun nde ngben, be kwla'a be saci i dunman ngben. I so ninge lie mun be ti, o fata ke mmla mun be sasa sran kwlakwla.
13-00	Tikle 13
13-01	Sran kwlakwla o kwla wlanwlan sin, nvle kun nun, lika nga o klo ke o tran'n o kwla se ke wa ye n klo ke n tran.
13-02	Sran kwlakwla o le atin mo o jaso nvle kun su ko lika nfle; o kwla jaso ibobo nvle lie'n su, kpokun o kwla se i sin o ba i nvle lie'n nun yekun.
14-00	Tikle 14
14-01	Se nvle kun su be kle sran kun yale, sran so'n o le atin o ko mantan nvle ufue mo o kwla so i nun on.
14-02	Sange i so atin lie'n, wo nga a ye sa tete mo o ko-man Men b'Anyia be nde lie su'n, wo nga a ye i so sa te mo fata ke be sanman wo'n, sa kpa, a kwla'a a jren-meen i so atin su kan-man nde.
15-00	Tikle 15
15-01	Sran kwlakwla o le atin mo o nyen i aulie nvle
15-02	Be kwla-man be se-man sran kun ke, o fin ande a le'a aulie nvle wie kun, i sa so ngben; kusuman, se sran kun wan o kaci i aulie nvle, o le atin kaci.
16-00	Tikle 16
16-01	Ke be ko nyin yasua kun o nin bla kun, be le atin be ja be wun, be taka be awlo; o fata ke nde ke nvle ufle nun sran, men ufle nun sran, like sowa wafa ufle sran, o fata ke i so angundan wlu nun. Be aja nun, be nyon be se; be nun kun se'a ke o tin kun su: i ble nga be ja o, ke be titi aja nun o.
16-02	A wun ke be ja'n, uun be nyon be nuan w'a yekun, be klun klo su.
16-03	Awlo bo o ti ke ananganman like sa, ye o ti nvle kun su sa i olui nion; o fata ke nvle o nian su ke i nyima sa, ke awa wuke i.
17-00	Tikle 17
17-01	Sran kwlakwla, i kungba anze, o nin sran ufle mun anze, o kwla le i ti bo nun like.
17-02	Be kwla'a le'a sran fi i ti bo nun like i sanun.
18-00	Tikle 18
18-01	Sran kwlakwla o le atin mo o bu i ti bo nun angundan, o nyen i klun nde, o kwla so i like wafa nga o klo i'n; ke o fin i le kusuman, se i wan o kaci nan o so like ufle'n, se i wan o bu akundan ufle'n, o le atin o kaci. Se i wan i klun akundan lie'n, i like sowa lie'n, se i wan o bo be jo, i ba kungba o, o nin sran ufle mun o, o le atin o bo be jo; se kusu i wan o ye i like aswre nun, o le atin yo. I kwlaa ngo'le, o kwla kle i fluwa nun, o kwla yo like kwlakwla nga fata ke o yo; sran fi kwla'a tannin i atin.
19-00	Tikle 19
19-01	Sran kwlakwla o le atin o bu i bobo ti bo nun akundan, o ken i klun nde nga i wan o kan'n. I so i sin yele ke se o ken i klun nde'n, be kwla-man be kle'e i yale; i sin nin yele ke o le atin kunde nde mun be tile; i kusuman kwla bo nde o nin nzebua mun be jo kle sran mun; like kwlakwla nga o kwla fa bo i so jole lie, o fa bo; o nun-man i ti nun kaan ke awe wo nvle mun b'afien.
20-00	Tikle 20
20-01	Sran kwlakwla o le atin o nin sran ufue mun be ya anyia; o kwla wlu anuanze nga o ti'a nzaje anuanze nun.
20-02	Be kwla'a be mianmian-man sran kun o wlu-man anuanze kun nun.
21-00	Tikle 21
21-01	Sran kwlakwla o le atin mo, i bobo i nvle lie'n su, o tran awa i juman be ti, se nen i bobo trele sa, o kwla yo i janunfue.
21-02	Sran kwlakwla o le atin, nan ndrunmun kan tran nun, mo di i bobo i nvle'n su awa juman.
21-03	Nvle kun su i sran unmwah mun, be ye be man nvle so i su gbengben be fangan. I so'n ti, o fata ke be yo manwle nun vote, nan sran mun be nde nga o wo be klun, b'afe i so b'a kan vote'n le nuan; ke i nuan ko ju'n, o fata ke o sen i wun; sran ngba vote o, aswre vote o; i kwlaa nga o yo o, vote i yowa, nan mianmianle tran nun, sran kun i klun vote ye o vote o.
22-00	Tikle 22
22-01	Sran kwlakwla, ke mo o ti nvle kun su sran'n, o fata ke o nyan awa sran anwukalelike, o le awunnyanmblusue atin, awasranwukale atin, be nyin su yiyile ninge atin; i so ninge mun ye be ti sran kwlaa cinjin, be ye be yi sran i sran lika nglo o, be yo i foundi-mmla be dan; i so'n fin nvle kun i mandren bowa nun, o fin men mun be wun wukawa nun, o fin nvle kun i siesiewa nun, o fin nvle kun i nun anyanbewun ninge mun nun.
23-00	Tikle 23
23-01	Sran kwla o le atin mo o di i bobo i klunklo juman, juman i fa diwa o nin i akatua be ti i klunsu; o fata ke be nian i su, nan man o tran sa ngben ke o nyan-man juman
23-02	Sran kwlakwla i juman nga o di, i su sika ce ye o fata ke be men i o, o le'a ke sran kun o le i akatua, sran kun o le i akatua
23-03	Sran kwlakwla, ke o di juman'a o fata ke i akatua nga be tue i'n, o ju i bobo, i yi o nin i mma mun be wun siesiele ke o fata ke sran fa siesie i wun sa. Se akatua so'n ju-man, awa wuka suo o yo ye.
23-04	Sran kwlakwla o nin i wiengu mun be kwla be taka jumandile anuanze, sran kwlakwla o kwla wlu i so anuanze lie nun o fa kpli i like nga o lo i i ti.
24-00	Tikle 24
24-01	Sran kwlakwla, ke o di juman'n, o le atin o lo unmien, o le ble wie o o yiyi i nyisu o. o fata ke do nga mo o fa di juman, nan o ce ngboko; ye afue kun nun i ble mo o di'a juman, o fata ke be tue i kale.
25-00	Tikle 25
25-01	Sran kwlakwla o fata ke i sa nun yo fe nan w'a kwla w'a ye i wun ayre, w'a kwla w'a siesie i wun, i bobo nin i yi nin i mma mun, ke o ti ke alie dile lie'n, trale wlawa'n, lawle'n, be wun ayre yele'n, ble mo o di'a juman'n, mo o to tukpakie'n, se o kwla'a nun'n, se o wo angbeti nun'n, se w'a yo oke'n; sa yale kwlakwla nga o to i su mo i sa nun a wie'n, o fata ke awa wuke i.
25-02	Blata o nin ba kangan mun, o le be wukale lie'n mo awa wuka be o. Ba kangan kwlakwla, kanze be wu be gua su o, kanze be wu be aja nun o, be kwlakwla o fata ke awa sasa be.
26-00	Tikle 26
26-01	Sran kwlakwla ola atin mo be kle i fluwa. Sran fluwa klele'n, ke o fa ju ke sua blu su'n, sika tuale nun-man nun. o fata ke ba kangan mun be ngba be ko suklu, be nun kun le'e ti ke o ko-man. Sukln nga be kle blale juman nin juman dile nun, i so suklu'n, o fata ke o tru; suklu dandan mun be nun wlule i atin, o fata ke be tike man sran kwlakwla; be kpa'a sran mun be nun, sran kun o nin i like lie mo o kwla yo o.
26-02	o fata ke fluwa klele o yi sran i sran lika i nglo, o yo man sran mun be bo nyan, o yo man be nyin yi sran-mmla mun o nin foundi-mmla nga o ti foundi-mmla be bo'n. Fluwa klele o fata ke o yo man ndidie ba sran mun b'afien, o yo man sran mun be yaci sran kun nun o yo i klunklo ninge, man janvue dile o ba men mun b'afien, sran nvle mun b'afien, like sofue mun be wafa b'afien. Fluwa klele i kungba yekun, o fata ke o man "Men mun be Bo Yekun Anyia" be ninge nga mo be yo mo alaje ko co mon nun.
26-03	Sie mun o nin nien mun, be ye o fata ke be kunde fluwa i klele wafa nga o nin be mma mun fata o.
27-00	Tikle 27
27-01	Sran kwlakwla o le atin mo, i nvle lie'n su ninge mo o ti ke be nyin su yiyiwa ninge, be sa ti ninge, aguin ninge, o le atin o ye i so ninge wie, o le atin o di su wie; o le atin o wuka be yo be nyrun kole ninge mun; afin se mblusue fite su, o le atin di wie.
27-02	Sran kun, se o di i be nyrun, kole aguin juman, o klei fluwa, o di aguin nan se i duman fite su o, i mblnsne fite suo o ti ilie.
28-00	Tikle 28
28-01	Sran kwla o le atin o kunde ke sran mun b'afie, men mun b'afien o ye floloo, i so nan sran-mmla o nin foundi nga be kan be nde Nde nga nun, b'a su mma.
29-00	Tikle 29
29-01	Sran kun, o fata ke o yo like men i nvle mo i nun ye i bobo o kwla di i foundi, o kwla bo nyan.
29-02	Sran i sran-mmla nin i foundi su dile o le'a awielie ufle, san awielie nga i nve su mmla mun be sieli ke o fata'a ke sran kun i sran-mmla nin i foundi su dile o tannin sran ufle mun be lie atin. I so nin ye man be kwla fa atin ndenman kpa su, aunjoe o ba nvle nga mo i su kpen siele o wo sran kwlakwla sa nun nun.
29-03	Sran-mmla nin foundi ng'ole be kwla'a fa-man be yo'a like fi mo o kaci i sin si Men mun be Bo Yekun Anyia be atin lie'n
30-00	Tikle 30
30-01	Awa kun, sran akpasua, sran kun, be kwla'a be jran-man de nga i nun tre ba kun su be se'a ke be le atin mo be di juman wie, be yo ninge wie mo o ti sran-mmla nin fondi nga be wo ye be sakiwa.
