00-00	ansani hqwq ka 'almi mnshwr
00-01	tchwnkh hr ansan ki thati 'zt awr hrmt awr ansanwn kye msawi awr naqabli antqal hqwq kw tslim krna dnia min azadi, ansaf, awr amn ki bniad hye,
00-02	tchwnkh ansani hqwq sye laprwayei awr an ki bye hrmti akthr isye whshianh af'al ki shkl min zahr hwyei hye jn sye ansanit kye dmir kw skht sdmye phntchye hin, awr 'am ansanwn ki blnd trin arzw ih rhi hye kh isi dnia wjwd min ayeye js min tmam ansanwn kw apni bat khnye awr apnye 'qidye pr qayem rhnye ki azadi hasl hw awr jhan wh khwf awr ahtiaj sye mhfwz rhin,
00-03	tchwnkh ih drwri hye, agr hm ih nhin tchahtye kh ansan 'ajz a kr jbr awr astbdad kye khlaf bghawt krnye pr mjbwr hw, kh ansani hqwq kw qanwn ki 'mldari kye thri'ye mhfwz rkha jayeye,
00-04	tchwnkh ih drwri hye kh qwmwn kye drmian dwstanh t'lqat kw brrhaia jayeye,
00-05	tchwnkh aqwami mthdh ki mmbr qwmwn nye apnye tcharttr min bniadi ansani hqwq, ansani shkhsit ki hrmt awr qdr, awr mrdwn awr 'wrtwn kye msawi hqwq kye barye min apnye iqin ki dwbarh tsdiq kr di hye awr wsi' tr azadi ki fda min m'ashrti trqi kw tqwit dinye awr m'iari zndgi kw blnd krnye ka aradh kr lia hye,
00-06	tchwnkh mmbr mlkwn nye ih 'hd kr lia hye kh wh aqwami mthdh kye ashtraki 'ml sye sari dnia min aswlan awr 'mlan ansani hqwq awr bniadi azadiwn ka ziadh sye ziadh ahtram krin gye awr krayein gye,
00-07	tchwnkh as 'hd ki tkmil kye liye bht hi ahm hye kh an hqwq awr azadiwn ki nw'it kw sb smjh skin,
00-08	lhatha,
00-09	aqwami mthdh ki jnrl asmbli
00-10	a'lan krti hye kh ansani hqwq ka ih 'almi mnshwr tmam aqwam kye wastye hswli mqsd ka mshtrk m'iar hw ga takh hr frd awr m'ashrye ka hr adarh as mnshwr kw hmishh pish nzr rkhtye hwyeye t'lim w tbligh kye thri'ye an hqwq awr azadiwn ka ahtram pida krye awr anhin qwmi awr bin alaqwami karrwayeiwn kye thri'ye mmbr mlkwn min awr aun qwmwn min jw mmbr mlkwn kye matht hwn, mnwanye kye liye btdrij kwshsh kr skye.
01-00	df'h 1
01-01	tmam ansan azad awr hqwq w 'zt kye a'tbar sye brabr pida hwyeye hin. anhin dmir awr 'ql wdi't hwyei hye. as liye anhin ik dwsrye kye sath bhayei tcharye ka slwk krna tchahiye.
02-00	df'h 2
