00-00	NONSIAMEN DEU DRET DEU Z-OMEI PA LA TARA TENTEIRA
00-01	En peza que couveni de la dineto lijada bei ta la proussouna de la familha ome e de lhu dret parer moe dezeutruver sola la libiarto, la jutissa moe la poe pa la tara,
00-02	En izamena que meicouneisse v-ou meipreza leu dret deu z-omei eucaziune na barbaio que seulouva ta la cousiensa e qu'en moude ente toutei son lieurei de parla moe crei, deilieurad de l'eijiau moe de la mezira z-ei engueitad mo le dezei le pu fuo(rt) deu z-omei,
00-03	En gardia que fau ta fuorsa para leu dret deu z-omei pa na relha de dreit, de tau biae que sidiesson pa eublejad, fauta de mier, de s'arvira coutre la tiranio moe la cachazou,
00-04	En gardia que fau ta fuorsa eivalenta le deivourpamen d'arlasieu d'amitio entremei la nasieu,
00-05	En izamena que din la charta leu publei de la Nasieu-Junida z-on tournad feurti lhu fe din leu dret de sola deu z-omei, din la dinessa e la valou de la proussouna ome, din la pariressa deu dret deu z-omei moe de la fenna, peu que se nonsion deitarmenad pa favouriza le pourgrei seusiau moe pa gambi de la condesieu d'eitansa melhu bei na libiarto pu grenda,
00-06	En peza que n'enjinamen quemun z-ei de pourmeira valou pa coumpi quela engata, [feurtisson]
00-07	le Nonsiamen prizent deu dret deu z-omei pa la tara tenteira;
00-08	eideiada de quemun deza pa ta leu publei moe ta la nasieu; pa que ta leu partitueler moe ta leu z-alachou de la seusieto, en vi queu Nonsiamen tejou din l'eime, se fanon d'ensenha, d'endueca, de deivourpa le raspe de queu dret; de nen feurti l'arcouneissensa moe l'aplecazou ente que sio mai pa de vrei, pa le biae de disizieu segada nasiunera moe entrenasiunera, to entremei leu publei deu z-Eita parsouner mo entremei queu de la z-eirada rejentada pa ilh.
01-00	Articlhe vun (1)
01-01	Ta la proussouna neisson lieura moe parira pa dinessa mai dret. Son charjada de razou moe de cousiensa mai lhu fau arji entremei lha bei n'eime de freiressa.
02-00	Articlhe dou (2)
