00-00	Upkatni  ilel  Bugadu biderityn
00-01	Erever ichetchene,  upkattu ileldu sarichan bisin,  nunarnityn teger ty nmukityn, tedetyn, ayaraldyntyn;
00-02	erever ichetchene, selden, altyssadyan ichetmein ile tedendu emevre erupchulve o nilva, avgul upkatva ilelve, biderilve Buga dunnedut, tykunnivkendere, o vkanmi ayaraldynma, emadu ilel tedeve turenme, dyaldalva, degorduk, nelevsiduk tynmukit bidenetyn, tar ilel turentyn so shhegdy;
00-03	erever ichetchene, gelevke, ile tedevetyn zakonit dysutcheden, ile eden ilmi shh uski bolgichandu, kesegivundu;
00-04	erever ichetchene, Obedinennail Natsiyal tegeltyn Ustavdu menni tedederivet dukura, iletykin shhegdyven, sotkuven, beel, asil-da uretyvetyn gune, ilgere-de belegemi sotsialnai progresstu, ayatmarit omi ilel bidevetyn;
00-05	erever ichetchene, gosudarstval – chlenil Obedinennai Natsiyal Organitsatsiyanun beleger shhavalildydever, upkattu ayavriven, ile tedeven, tynmuven gelevdere;
00-06	erever ichetchene, upkat tegel ilel tedentyn tylderiveten er ganava dyarin  so shh egdy bisin.
00-07	Generalnyi Assambleya er upkatni ilel Bugadu bideriten gunderen omachin dyarin, ekuntyki upkat gosudarstval avadytykin tegel,  odyana nityn, avadytykin ile, avadytykin obshchestva organin, er Deklaratsiyava dyavuchadyana, elededetyn ayavrit, upkat ilel, upkat tegel progressivnai shhava dyarityn.
01-00	Umukegi  statyan
01-01	Upkat ilel tynmukirdi, ureldi menni sarichadi baldydyara. Nunartyn dyalitvi, shhaldyandyvi bisi, memegilver ayaraldydyana tedet omamachityn.
02-00	Ge statyan
02-01	Iletykin upkachin tynmukityt,  tederi bisimechin,  on er Deklaratsiyadu dukuvcha, gunmuvcha, evuntyki-vel, nitki-vel, ema deren, shhuntu ityn, bee-vel, asi-vel, turen-mel, Bugatki icheden, bai-vel, dyadan-mel, shhegdyketcheri-vel  – upkat tar ilel uret bisi.
02-02	Ilel uret-te upkat Burgadut, emadu dunnedu-vel bideril, avady-vel suverenitet bisindun.
03-00	Ili statyan
03-01	Iletykin indevi, menni ilechevrevi tedet bimechin.
04-00	Dygi statyan
04-01	Ni-vel bolgichavdyana eden bidemi; bolgichan, bolgichan uniekit-da itymnadyaran.
05-00	Tunni statyan
05-01	Ni-vel kesegichivundu, sarichanindu evki bidemechin.
06-00	Nyuni statyan
06-01	Iletykin, idu-vel nunan bidene, tedet bidemechin.
07-00	Nady statyan
07-01	Upkat ilel ity dyuledun uretchere, umuntegir dysuchindi bisi. Upkat ilel dysuchinme, er Deklaratsiya dukuvnadu, dyavuchadyara, ni-vel supkumechin edan.
08-00	Dyapki statyan
08-01	Iletykin shhegdygu unkildymetkityldu tedet ayusmachin, okin nunanni itylvan sukchadyanatyn.
09-00	Egi statyan
09-01	Ni-vel dyavamachin, turinmumachin, eresmechin esin oda.
