00-00	Keshe khokuklarynyn gomuni deklaratsiyase
00-01	Keshelek gailesenen boten egzalaryna khas bulgan tigez shhem aerylgysyz khokuklarny shhem keshe derezhesen tanunyn gadellek shhem gomuni tynychlyknyn nigeze ikenen iste totyp,
00-02	keshe khokuklaryna kimsetep shhem zhirenep karunyn vekhshilekke kiteruen, keshelek namusyn uyatuyn, keshelernen uz karashlaryna shhem suz iregene iya bulgan, kurkudan, mokhtazhlyktan azat bulgan tormysh tozunen keshelernen bosk omtylyshy ikenen iglan itune iste totyp,
00-03	zheberleuge shhem izsluge karshy songy chara iten keshe bash kutererge mezhbur bulmasyn ochen anyn khokuklaryn zakon koche belen saklau zarurlygyn iste totyp,
00-04	Keshenen top khokuklaryna, shekhesnen abruena shhem kyimmetene, khatyn kyzlarnyn shhem irlernen tigez khokuklylygyna, Berleshken Milletler khalyklary uzlerenen yshanychyn Ustavta raslavyn shhem tagyn da zurrak irekke ireshep, izhtumagyi useshke, tormysh shartlaryn yakhshyrtuga yardem iterge niyatleven iste totyp,
00-05	Berleshken Milletler Oeshmasy egzasy bulgan deuletlernen keshe khokuklaryn, top ireklerne urtak khormet itude shhem saklauda bulyshlyk kursetune uz burychlary itep alularyn iste totyp,
00-06	elege khokuklarny shhem ireklerne anlau bu ioklemelerne tulysyncha uteude bik zur eshhemiyatke iya buluyn iste totyp,
00-07	General Assambleya
00-08	elege Keshe khokuklarynyn gomuni deklaratsiyasen boten deuletler shhem khalyklar uterge omtylyrga tieshle burych syifatynda iglan ite. Bu Deklaratsiyane shhervakyt kuz aldynda totyp, zhemgyyatnen shher egzasy, shher keshe an-belem taratu, belem alu yuly belen bu khokuklarny shhem ireklerne khormet iterge tiesh, bu khokuklar shhem irekler Oeshma egzasy bulgan deuletler khalky shhem alar yurisdikniyassne kere torgan territoriyalerdege khalyklar arasynda tanylyp tormyshka ashyrylyrga tiesh.
01-00	1 statya.
01-01	Barlyk kesheler de azat shhem uz abruilary shhem khokuklary yagynnan tin bulyp tualar. Alarga akyl shhem vozhdan birelgen shhem ber-bersene karata tuganarcha [tugannarcha] monesebette bulyrga tieshler.
02-00	2 statya.
02-01	SHHer keshe uzenen milli yaise izhtimagyi chygyshyna, molketene, nindi katlaudan buluyna, rasasyna, ten tosene, zhenesene, telene, dinene, seyasi yaise bashka inanularyna karamastan, bernindi aermasyz, Deklaratsiyade igdan itelgen barlyk khokuklarga, boten ireklerge ia bulyrga tiesh.
02-02	Monnan tysh, keshenen torgan zhirenen mostekyil yaise uzidaresez, berer il karamagynda buluyna yaise mostekyillege bashka berer torle chiklenusne karamastan, ilenen seyasi, khalykara, khokukyi khelene karamastan, ana bernindi de aerymlau utkerelerge [utkerelerge] tiesh tugel.
03-00	3 statya.
03-01	SHHer keshenen tormyshka, irekke shhem shekhsi kagylgysyzlykka khokuky bar.
04-00	4 statya.
04-01	Ber keshe de kollykta yaise ireksez khelde totylyrga tiesh tugel; kollyknyn shhem kollar satunyn boten torlers tysla.
05-00	5 statya.
05-01	Berkem de gazaplanyrga, yausyz, kesheleksez yaise anyn derezhesen toshere torgan monesebetke duchar itelerge shhem zhezaga tartylyrga tiesh tugel.
06-00	6 statya.
06-01	SHHer keshenen, ul kaida gyna bulsa da, uzenen khokuk iyase ikenen tanudaryn talep iterge khaky bar.
07-00	7 statya.
07-01	Zakon aldynda boten kesheler le tin, bernindi aerymlanusyz shherkemnen zakon belen tigez yaklanyrga khokuky bar. Barlyk keshelernen de bu Deklaratsiyane bozuchy nindi de bulsa khokuklardan mekhrum iteludenm shundyn khokuklardan mekhrum ituge kotyrtudan tigez yaklanyrga khokuklary bar.
08-00	8 statya.
08-01	Konstitutsiya yaki zakon birgen ton khokuklardan mekhrum itelgen ochrakta, shher keshenen ul khokuklaryn kompetently milli sudlar asha kire kaitarylyp bireluen talep iterge khokuky bar.
09-00	9 statya.
09-01	Berkem de nigezsez reveshte kulga alynuga, totkarlanuga, kuyluga duchar itelerge tiesh tugel.
10-00	10 statya.
10-01	SHHer keshenen uz khokuklaryn shhem burychlaryn bilgeler ochen shhem any zhinayat zhavaplylygyna tartunyn nigezle buluyn achyklar ochen, tudy titezlelek nigezende uz eshenen achyk reveshte, mostekyil, gadel shhem beisez sud asha karaluyn talep iterge khokuky bar.
11-00	11 statya.
11-01	ZHinayat kyluda gaeplepuche [p..p ?] shher keshe, anyn gaebe achyk sud tikshereue netizhesende zakonly reveshte raslanganchy gaepsez dip sapalyrga khaky bar. Ana sud tiksherue vakytynda yaklanu ochen boten shartlar tudyrlyrga tiesh.
11-02	Berer esh eshlegen ochen, yaki eshlemegen ochen gaepleu, ul eshlerne kylu vakytynda milli zakonnar aldynda yaki khalykara khokuk aldynda zhiniayat itep sanalmasa, alar osen ber keshe de zhavapka tartyda almyi. Berkemge de zhinayat eshlegen ochen tieshle zhezalan da katyrak zheza birelerge tiesh tugel.
12-00	12 statya.
12-01	Ber keshe de shekhsi shhem gaile tormyshyna, torak iminlegene kagyluga, yazyshu, kheberleshu serene, abruena shhem namusyna nigezsez katiashuga duchar itelerge tiesh tugel.  Shundyi kysulardan, yaise duchar itelulerden shher keshenen zakon belen yaklanyrga khokuky bar.
13-00	13 statya.
13-01	SHHer keshenen shher deulet chiklere echende irekle kuchenen iorerge shhem uzepe toru uryny sailarga khokuky bar.
13-02	SHHer keshenen telese kaisy ilne, yaise uz ilen tashlap kiterge shhem uz ilene kire eilenep kaityrga khokuky bar.
14-00	14 statya.
14-01	SHHer keshenen zheberlenuden bashka illerde syenu uryny ezlerge shhem ul urynnan faidalanyrga khaky bar.
14-02	Seyaset belen beile bulmagan zhinayat kylgan ochrakta yaise Berleshken Milletler Oeshmasynyn prininibyna, maksatyna karshy kile torgan zhinayat kylsa, keshe bu khokuktan faidalana almyi.
15-00	15 statya.
15-01	SHHer keshenen grazhdanlykka khokuky bar.
15-02	Bereu de ireksezden uz grazhdanlygynnan yaise grazhdanlygyn uzgertu khokukynnan mekhrum itelerge tiesh tugel.
16-00	16 statya.
16-01	Yashe zhitep balig bulgan irlernen shhem khatyn-kyzlarnyn, milletene, dinene yaise rasanyna karamastan, bernindi chikleulersez, oileneshuge shhem taile koryrga khokuklary bar. Alar oileneshkende de, berge torganda da, aerylyshu vakytynda da ber uk torle khokuklardan faidalanalar.
16-02	Oileneshuchslernen yazylyshuy ike yaknyn da irekle shhem tuly rizalygy bulganda gyna tormyshka ashyryla.
16-03	Gaile zhemgyyatnen tabigyi shhem top kuzenege bulyp tora, anyn zhemgyyat shhem deulet yagynnan yaklanyrga khokuky bar.
17-00	17 statya.
17-01	SHHer keshe uze gepe de, bashka kesheler belen bergelep te, malmolketke iya bulu khokukyna iya.
17-02	Berkem de uz molketennen nigezsez mekhrum itelerge tiesh tugel.
18-00	18 statya.
18-01	SHHer keshenen fiker, vozhdan shhem din iregene khokuky bar; bu khokuk Allaga tabynuny, iola kusha torgan dini tertiplerne ugeune echene ala, shher keshenen ber uze gene yaise bashkalar belen bergelen aerym reveshte yaki achyktan-achyk uz karashlaryn, uz dinen alyshtyryrga aki totarga khokuky bar.
19-00	19 statya.
19-01	SHHer keshenen irekle fiker iorterge shhem karashlaryn irekle reveshte eiterge khokuky bar; bu khokukka uz karashlarynda urekle bulu, uzene kirekle meglumatny shhei ideyalerne ezleu, tabyp alu, torle yullar belen deulet chiklerene beisez reveshte taraty da kere.
20-00	20 statya.
20-01	SHHer keshe tynych reveshte zhyelyshlar shhem assotsiatsiyaler iregene khokukly.
20-02	Bereu de nindi de bulsa assotsiatsiyage kererge mezhbur itele almy.
21-00	21 statya.
21-01	SHHer keshenen turydan-tury yaise irekle sailangan vekiller asha uz ile belen idare iterge khokuky bar.
21-02	SHHer keshenen uz ilende bertigez reveshte deulet khezmetene keru khokuky bar.
21-03	Khalyk ikhtyyary khokumet khakimlegenen nigeze bylrga tiesh; elege ikhtyyar uzenen chagylyshyn uz vakytynda utkerele torgan gadel sailaularda tayrga tiesh. Tavysh biru yasheren, gomuni shhem tigez sailaular asha, yaise shuna tin bulgan bashka formalarda teemin itelerge tiesh.
22-00	22 statya.
22-01	SHHer keshe, zhemgyyat egzasy bularak, sotsial teemin iteluge shhem deulet strukturasyna shhem tabigyi bailyklaryna karan, khalykara khezmetteshlek shhem milli tyryshlyklar asha sotsial, iktisadi shhem medeni yaktan uz shekhesenen iprekle useshe ochen, derezhese toshmeslek kirekle yardemrge khokukly.
23-00	23 statya.
23-01	SHHer keshenen khezmetke, eshne irekle reveshte sailap aluga, gadel shhem unaily esh shartlaryna shhem eshsezlekten yaklanuta khokuky bar.
23-02	SHHer keshe, bernindi kimseteludersez, tigez esh ochen tigez khezmet khaky alyrga khokukly.
23-03	SHHer khezmet keshese uzene shhem gailessne keshege laskly kon kurelek gadel shhem kanegatlenerlek tuleu alyrga, kirek ochraklarda osteme reveshte bashka charalar belen de sotsial teemin itelerge khokuky.
23-04	SHHer keshenen shhoneri berleshmeler osshtyryrga shhem uzenen menfagatleren yaklar ochen shhoneri berleshmelerge kererge khokuky bar.
24-00	24 statya.
24-01	SHHer keshe yalga khokukly shhem esh konen tieshle chiklerde kyskartuny da kerten, el sasi tuleule yal alyrga, eshten bush vakytka khokuky bar.
25-00	25 statya.
