00-00	SA THEMENQI DEKLARACIA E MANUSIKANE HAKAJENQIRI
00-01	Dikhindor so o prinzaripen e manusenqe somandrune demnimnasqoro thaj e barabar aj bixasaraver hakaja savorre zenenqere and-i manusikani famelia si i baza e mestimnasqi, e cace krisaqi aj e achomnasqi and-i lumia,
00-02	Dikhindor so o bango prinzaripen thaj o ustavipen e manusikane hakajenqo ligarde zi nesave zuklimata, save dukhaven o ilo ta o vogi e manusikanimnasqo,
00-03	Dikhindor so o avipen jekhe lumiaqo, anda savi e manusa saj vakeren aj pacan mestes so mangen thaj anda savi nanaj te ovel dar aj cororipen, si i maj opruni aspirrcia e manusesqiri,
00-04	Dikhindor so si trebutno te ovel jekh kanon rakhimnasqe e hakaja manusikane, te na ovel o manus ligardo, sar maj palutni zor, and-o maripen mamuj- tirrnia thaj o ustavipen,
00-05	Dikhindor so si trebutno te luludon amalikane relacie maskar-e nacie e lumiaqe,
00-06	Dikhindor so e sela e Unisarde Themenqoro palem afirmisarde and-o Baro Lil so pacan and-e manusikane bazutne hakaja, and-o demnipen aj molipen sarkole manusikane zenesqo aj and-o barabaripen maskar-e mursa aj zuvla thaj so akala sela caces mangen te spiden o socirlo zamavipen aj te resen lacheder standrrda zivimnasqe and-jekh bareder mestipen.
00-07	Dikhindor so e Thema-somdasne xale sovli te ristaren, and-o sombutipen e Unisarde Themencar, i sathemenqi aj cacutni pativ thaj i realizrcia e manusikane hakajenqi aj e bazutne mestimatenqi,
00-08	Dikhindor so jekh khetano xacaripen akala hakajenqo aj mestimatenqo si zorales importrnto te realisavel akaja sovli,
00-09	Akana, akalaoar
00-10	o Generalo Kidipen
00-11	del avri akaja sathemenqi deklaracia e manusikane hakajenqiri, sar jekh khetano standard savorre selenqe, nacienqe aj Themenqe, zi kaj te savorre zene aj organizacie e dostimnasqe, dikarindor godaoe akaja Deklaracia, keren buti, siklarimnaca thaj edukaciaca, te vazden i pativ karing akala aj mestimata thaj, themutne aj maskarthemutne progresivone akciencar, te ristaren lenqo sathemenqo aj caco prinzaripen aj realizrcia, vi maskar-e manusa e Themenqe-somdasnenqe, vi maskar-e manusa, save ziven and-e phuva tela lenqo vast.
01-00	1
01-01	Savorre manusa biandon meste thaj barabar k-o demnipen aj k-e hakaja. Si len godi aj somzanipen thaj si len te traden pen jekh karing o aver and-o vogi e phralimnasqoro.
02-00	2
02-01	Sarkon saj te rndel pesqe ja averenqe savorre hakaja aj mestimata, save si mothovde anda akaja Deklaracia, biumblavdes kotar-i rasa, i rang e morthaqi, o sekso, i chib, i religia, i politikani ja aver opinia, i socialo ja aver origina, o barvalipen, o biandipen ja aver status.
02-02	Avridoles nanaj te kerdol ulavipen p-i baza e politikane, krisikane ja maskarthemutne statusqiri e phuvaqesqiri ja e teritoruqesqiri, kaj perel o zeno, sar te ovel akava status : and-o umblavipen ja na, tel-o vast averesqo ja na, avtonomo ja na thaj limitisardo ja na k-o suvrenipen.
03-00	3
03-01	Sarkas si les hakaj te zivel thaj te zivel sar mesto ta sarbar zeno.
04-00	4
04-01	Nikon nanaj te astardol ja dikardol and-o sklavipen ta robipen: o sklavipen thaj o kinipen ta bikinipen e robonenqo si rokhlo tela savorre forme.
05-00	5
05-01	Nikon nanaj te dukhavdol torturaca ja punimatencar ta tradimatencar, save si zuklane, bimanusikane ja telaren les sar manus.
06-00	6
06-01	Sarkas si les hakaj te prinzardol sakaj ta sakate sar jurikano zeno.
07-00	7
07-01	Savorre si barabar angl-o kanon thaj si len hakaj bi diskriminaciaqo te rakhlon barabar tar-o kanon. Savorren si len hakaj te rakhlon barabar mamuj savorri diskrilinacia, savi phagel akaja Deklaracia, thaj mamuj savorri akharipen asave diskriminaciaqe.
08-00	8
08-01	Sarkas si les hakaj te rodel efektivo mazutipen k-e kompetento krisa e Themesqe kana kerdol vareso, so phagel e bazutne hakaja, save si prinzarde lesqe and-i konstitucia ja and-o kanon.
09-00	9
09-01	Nikon nanaj te astardol, dikardol phandlimnasoe je nasardol arbitrar.
10-00	10
10-01	Sarkas si les hakaj, and-o sasto barabaripen, te sundol publik thaj bixoxavnes tar-jekh kris biumblavdi aj birigutni, savi lel decizia vasa lesqe hakaja ta duta ja vasa varesave kriminrlo akuzacie mamuj lesoe.
11-00	11
11-00	Sarkas, savo akuzisavel so kerdas nasulipen, si les hakaj te bucjol bidosalo, zikaj lesqi dos ni arakhlol prufisardi and-jekh publgko kris, anda savi si ov grantisardo pa savorre riga te saj rakhel pes.
11-01	Nikon nasti te punisavel kerimatenqe ja bikerimatenqe, save, odovaxt kana ondile, na mangen sas punisarde. Vipalchande nikon nanaj te punisavel maj but kobor sas i puni odovaxt kana i dos sas kerdini.
12-00	12
12-01	Nikasqe nasti te kerdon arbitraro hamimata and-o zenutno zivipen lesqo, and-i familia lesqi, and-o kher lesqo ja and-i korespondencia lesqi; nasti te kuslon lesqi pativ aj lesqi reputacia. Sarkas si les hakaj te ovel rakhlo mamuj asave hamimata ja asave kusimata.
13-00	13
13-00	Sarkas si les hakaj te phirel thaj besel mestes and-o Them kaj zivel.
13-01	Sarkas si les hakaj te zal tar savorre Themesoar, vi pesqeresoar, thaj te irinel pes palpalem and-o po Them.
14-00	14
