00-00	DECLARAZION UNIVERSAL DAI DERITS DAL OM
00-01	Tignut cont che il ricognossi la dignitat di ducj i membris de gjernazie umane, i lor derits, compagns e inalienabii, e je la fonde de libertat, de justizie e de pas tal mont;
00-02	Tignut cont che il dinea e il spresea i derits dal om a an puartat a barbaretats ch’a ufindin la cussience de umanitat e che al e stat proclamat che il divigni di un mont dula che i oms a gjoldin la libertat di peraule e di fede e la liberazion de pore e de miserie e je la plui grande braure dal om;
00-03	Tignut cont che i derits dal om bisugne ch’a sein garantits des less, se si intint di fa in mut che l’om, come ultin ricors, nol scugni voltasi cu la fuarce cuintri la tiranie e la sclavitut;
00-04	Tignut cont che bisugne promovi il svilup di bogns rapuarts tra lis Nazions;
00-05	Tignut cont che tal Statut i popui des Nazions Unidis a an tornat a declara la lor fede tai derits fondamentai dal om, te dignitat e tal valor de persone umane, te paritat dai derits dal om e de femine, e ch’a an decidut di promovi il progres social e un mior sistem di vite tune plui grande libertat;
00-06	Tignut cont che i Stats membris a an cjapat l’impegn di otigni, in cooperazion cu lis Nazions Unidis, il rispiet e l’osservance universal dai derits dal om e des libertats fondamentals;
00-07	Tignut cont che une convinzion gjeneral sun chescj derits e sun cheste libertat e je de massime impuartance par une complete realizazion di chescj impegns;
00-08	la Samblee Gjeneral des Nazions Unidis
00-09	e proclame cheste Declarazion Universal dai Derits dal Om come ideal comugnal ch’a an di riva a velu ducj i popui e dutis lis Nazions par che ogni individui e ogni strument de societat, tignint cont simpri di cheste Declarazion, a cirin di promovi, cu la instruzion e la educazion, il rispiet di chescj derits e di chestis libertats e di garantiur, midiant proviodiments progressifs di stamp nazional e internazional, il ricognossiment universal e efetif e il rispiet tant de bande dai popui dai Stats membris, che de bande dai popui dai teritoris ch’a son sot de lor jurisdizion.
01-00	Articul 1
01-01	Ducj i oms a nassin libars e compagns come dignitat e derits. A an sintiment e cussience e bisugne che si tratin un culaltri come fradis.
02-00	Articul 2
