00-00	[Missing]
00-01	Nuexue tacuaxgue rue guxuema i duuexuegue rue nawuexigu i Tupanapexewa rue tataxuma ya texe i toguearue yexera ixixe. Rue name nixi na nataaeguexue i guxuema i duuexuegue. Rue ngemacax tama tanaxwaxe i texe nuexue tarueporamae i togue i duuexuegue rue exna chixri namaa tachopetue.
00-02	Nuexue tacuaxgue rue nuxguacue rue togue i aexgacuegue rue chixri nuexna nadau i norue duuexuegue rue chixri namaa nachopetue. Rue wuexi i taxue i chixexue nixi i ngema i guxue i duuexueguepexewa. Rue nuxma tanaxwaxe i guxue i duuexuegue i guxue i naanewa rue mea namaxe. Rue tama name na texe nachuxuxue i ngema nuexue yaxuxchauexue i duuexuegue. Rue tama name na texe nachuxuxue i ngema nuexue yaxogueaxue i duuexuegue. Rue tama name i toguexue na namuueexue i duuexuegue.
00-03	Rue tanaxuematuegue i naa oregue erue tanaxwaxe i aexgacuegue mea nuexna nadauguexue i norue duuexuegue. Erue tama tanaxwaxe i yixcuera tacue rue chixexuecax norue aexgacuemaa nanue i duuexuegue rue namaa nuegue nadai.
00-04	Tama name i wuexi i nachiueane rue to i nachiueanemaa nuegue na nadaixue.
00-05	Poperawa tanaxuematuegue rue guxuema i nachiueanecueaxgue i duuexuegue rue nawuexigu i Tupanapexewa rue tataxuma ya texe ta toguearue yexera ixixe. Rue yatuegue rue ngexuegue rue nawuexigu, rue wuexichigue rue name. Rue name nixi na naxaxchiruxue i guxue i duuexuegue rue name nixi na naxawemuexue. Rue name nixi i mea nueguemaa na namaxexue i duuexuegue rue tama nuegue na nadaixue.
00-06	Rue guxama i yixemague i ngutaquexeguexue rue tapuracueechaue na nuexue nanguexeeguexuecax i guxuema i duuexuegue na aixcuema mea namaxexuecax rue nataaeguexuecax.
00-07	Rue nuxma tanaxwaxe i guxuema i duuexuegue nuexue nacuaxgue i ngema uneta. Rue ngemacax name nixi na mea naxuematueguexue na nuexue nacuaxguexuecax i guxuema i duuexuegue.
00-08	GUXAMA I YIXEMA I GUXUe I NACHIUeANEWA NE IXE
00-09	Rue nuexue tixu rue natarueguegue:
00-10	Rue nangexma i maxue i mexue i guxue i duuexueguecax ixixue, rue taxucueruewa i texe tanachuxu i ngema. Rue tanaxwaxegue i guxue i nachiueanecueax i duuexuegue nuexue nacuaxgue i ngemachiga. Rue ngemacax rue name nixi na guxuewama duuexuegue nanaguexeeguexue i ngemachiga, na guxuema i duuexuegue nuexue nacuaxguexuecax.
01-00	ARTICULO 1.
01-01	Ngexguma nabuxgu i duuexuegue rue guxuema nawuexigu, rue tataxuma ya texe ya toguearue yexera ixise. Rue guxuema naxaaegue rue ngemacax rue name nixi na nueguemaa namecuemaxue i guxuema i duuexuegue.
02-00	ARTICULO 2.
02-01	Rue name nixi na wuexichigue i duuexue mea namaxuexue ngexgumarueue i naa popera nuexue ixuxuerueue. Rue taxucueruewa i texe tanachuxu i ngema. Rue nueeta i ngexta nabuxgu i wuexi i duuexue, rue exna tacu rue duuexue yixixgu. Rue nueeta ega yatue yixixgu rue exna ngexue yixixgu. Rue nueeta i tacue i nagawa yadexaxgu rue exna nuxacue Tupanaaxue yaxoogu. Rue nueeta ega tacue rue aexgacuetanuexue yixixgu rue exna tacuegu naxinuegu. Rue nueeta ega namuarue dieruaxgu rue exna tama. Erue guxue i duuexueguecax nixi i naa maxue i mexue.
02-02	Rue nueeta ega tacue rue nachiueanecueax yixixgu i wuexi i duuexue, erue guxue i nachiueax i duuexueguecax nixi i naa maxue i mexue.
