00-00	Iyen Emwen Etin ne O Kheke Omwan na ya wewe Vbe Uhunmwun oto-agbon hia
00-01	Vbene a na mie wee ayere ero wee etin ne o kheke emwan hia fere oro re eyato oghe arhiegbe, emwanta kevbe ofunmwengbe vbe agbon.
00-02	Vbene a na mie wee etin emwin ne o kheke ne omwan ne a ma ka yo, ne o si uyinmwen obuluku-obuluza, ne o rhu emwan aro ekhoe, kevbe agbon node ne emwan nagbon gha na ghao rhie orhienrhien arriegbe ne omwan ya ta emwen ne o ho ne o ta vbe uwu amuentinyan kevbe arhiegbe hin obo ohan ke aimwen rre, ne a ya wewe zeevbe ida-eho oghe emwan kekan hia,
00-03	Vbene a ne mie wee emwin ne o kere ne o wee na ghe ye atua tua emwan, ne iran ghe ya gha gbodan ghe uyinmwen ne o wegbe kevbe oderhu emwan ne i mween ase serrio wee ne ilele, oghe uhi ru gue etin omwan ne o khekee,
00-04	Vbene a na mie wee okere na ru alaghodaro oghe ayin-kugbe vbe ose vbe adese uhunmwun evbo hia,
00-05	Vbene a na mie wee Akugbe Uhunmwun Evbo hia tae guobo vbe Ebe Emwanmwan Emwe Iruemwin ne iran gben wee iran mween amuentin yan etin nii ne o kheke omwan we ne ikpia kevbe ikhuo gha re umwonmwen vbe ilele etin ne o kheke iran, kevbe ikhua gha re umwonmwen vbe ilele etin ne o kheke iran, kevbe wee iran vbe muegbe ne iran ya ru alaghodaro ne o nase ye aro oghe omwan vbe uwu ayan-egbe-omwan ne o kpolo se,
00-06	Vbene a mie, wee otu arrioba hia yanren ne iran ya ku iro-kugbe yaba Akugbe Uhunmwun Evbo hia, ne atonmu gha re uyi kevbe agbarokoto ne a rhie ne etin emwin ne o kheke ne emwan vbe uwu arriegbe,
00-07	Vbene a mie wee agbon hia renren wee etin nii hia ne o kheke ne omwan gha mween kevbe arriegbe oro re emwin ne o kpolo se kpataki na ya ru amuse ye eyan na,
00-08	Rhunmwunda ona, nia
00-09	IKO OKULUGBE
00-10	Da kha wee
00-11	IYEN EMWEN NA RRANREN OGHE
00-12	ETIN HIA NE O KHEKE NE EMWAN GHA MWEEN
00-13	Ze vbe uhunmwun emwi kpataki ne emwan hia, ke uhunmwun evbo hia mie, vbe iyeke ona wee domwande omwan, ke domwande otu vbe uwu evbo, ghi gha ka iyen emwen oghe etin nii ye ekhoe, ne iran hia vbodekode ya gha ma emwan emwin, na mie ehe na mie wee aru alaghodaro ye emwen na hia, okade-okade, vbe uwu Uhunmwun Evbo Kevbe adese okpevbo, na mie wee iran mween atamu ayerero kevbe agbaro-koto vbe ebu emwan arrioba hia kevbe ebu emwan ne o rre ikinkin ni ne rre ototo arrioba.
01-00	Emwen Nokaro.
01-01	Emwan ne agbon hia ne a biere, a bie iran noyan-egbe iran kevbe wee, umwon-mwen o ree etin hia ne o kheke iran khin. A ye ewaen kevbe ekhoe ne o maa wu iran, ne iran gha yin da egbe vbe orhion oghe eten-okpa.
02-00	Emwen nogieva
02-01	Dowande –omwan ore o mween etin ne o khekee kevbe a yaan-egbe omwan ovbehe. Iyen emwen na, vbe ne alughaen ke-alughaen i na rro, ne o dekaen ovbi evbo ne omwan khin, omwan fuofua ra okhui-khui okpia ra okhuo, ra ovbi evbo na ze, ugamwen, otu aze, ra otu eghaevbo, uhunmwun evbo ra oto evbo ne omwan ke rre, ukhu ne omwan mween, ubiemwe, ra emwin ovbehe hia. Levba-sevba, alughaen-ke alughaen ni khian gha rro vbekpa otu aze ne omwan ye, ototo evbo ne omwan ke rre, ra arrioba evbo ne o yaan egbe ere, arrioba edayi ra arrioba ne i mween ekhae ne egbe ere, ra evbo ne o rre ototo arrioba ovbehe.
02-02	Emwen nogieha
03-00	Domwande-omwan mween etin ne o ya gha rro, ne o gbare ne o yaan egbe ere ke ugue omwan.
03-01	Emwen Nogiene
04-00	Ai khian mu omwaikomwan ovien, ra ne o gha ga vbe uwu ovien; ovien kevbe eki ovien ore awa-abore rua vbe ode hia fere.
04-01	Emwen Nogie-Isen.
05-00	Ai khian ye etin mu omwankomwan gba na rii ore oya ne uden ne evbi; ra na ya oya ne o ma ke na ya ne omwan ne agbon re.
05-01	Emwen Nogie-ehan.
06-00	Domwande-omwan mween etin na ya ye ero vbe odaro uhi vbe eheikeihe ne o rhirhi gha ye.
06-01	Emwen Nogie-ihinron
07-00	Umwonmwen ore emwan hia khin vbe odaro uhi,kevbe wee iran vbe mween oghae umwonmwen vbe uwu agbaroghe oghe uhi vbe na i na ru ne eso aghi se esu rae. Emwan hia ore o kheke na ya ru asa umwonmwen gue hin na ya ru ne eso rae ne o rra uhi iyen emwen etin ne o kheke omwan na, kevbe emwikemwin ne o gha si omwan la okpa emwen nii.
07-01	Emwen Nogie-erenren.
08-00	Domwande-omwan mween etin vbe uwu atamu na ya gualo adolo vbe obo iko ezo nosekpe, vbe emwen ra uhi oghe eyoto etin na rhie ne vbe uwu ebe uhi.
08-01	Emwen Nogie-ihinrin
09-00	Ai khian de obo mu omwanikomwan, na ya etin mu ren khui, ra ne mu ren ye ewedo, ra na khu ere hin oto evbo ere rre.
09-01	Emwen Nogie-igbe
10-00	Domwande-omwan mween oghae umwonmwen ne o ya ye owa ezo na danmwen eho ezo ere vbene o kheke,vbe iko ekhaemwen ne o ta emwata, vbe a gha gualo oto emwin ne o ru, kevbe uhi ne o rra re.
10-01	Emwen Nogie-oworo
11-00	1.Domwande-omwan ne a tie ere ezo wee o rra uhi emwin eso, o kheke ne wee na ye aro oma rrie abe ghe ere rhinrin ate do mien wee a lele uhi gui ezo nii vbe idagbo vbe uwu owa ezo; kevbe we emwanmwan rro na ya mudia ne ne o gui ezo nii.
11-01	Aikhian mu omwaikomwan wee o rriabe rhunmwunda o ru emwin eso rria abakunu eso, ne o ma se na bu abe orukho gbe omwan ba, vbe ilele uhi oghe uhunmwun evbo, vbe eghe ne o rra uhi nii. Ai khian vbe bu abe irra uhi ne o kpolo gbe ne o ma kheke gbe omwan; sokpan na ye omwan abe ne o kheke vbe eghe ne o na rra uhi nii bu-ohien.
11-02	Emwen Nogie-Iweva
12-00	Ai khian mu omwanikomwan mudia vbe ne i na mween oto ere, na gha ta etafia emwin ekhokho ere, ye egbee ere, owa ere, ra ebe na gben gie ere, ra na vbe la uwu igbodan sa orho ye uyi ere kevbe ihe ukpo ere. Domwande-omwan mween etin oghae na ya rhie asa kevbe ugue uhi ne vbobo iran ni ta etafia, ra ni gbe odan ghe omwan.
12-01	Emwen Nogie- Iwera
13-00	1.Domwande-omwan mween etin ne o gha ya gha rro zee vbe ne o yaan-egbe ere, ne o ya gha khian yo khian ree, kevbe etin ne o ya gha mween ehe ne o dia, vbe uwu odin oghe uhunmwun evboi ke uhunmwun evbo.
13-01	Domwande-omwan mween etin ne o gha ya kpa vbe evbo-ike-evbo ne o rhirhi gha ye, ke evbo ere, gha rrie evbo ovbehe; kevbe ne o ya vbe werriegbe gha dee evbo ere
13-02	Emwen Nogie-Iwene
14-00	1.Domwande-omwan mween etin vbe evbo ovbehe ne o ye, ne o ya gualo ugue ne egbe ere, hin obo ukpokpo kevbe oyanghan.
14-01	Etin na i ra setin mien yi vbe ekpa ezo na tiere, ne o ma kaen irra uhi iwina otu aze, ra ne etin na mien yi, vbe uyinmwen ne o ma la uro emwanmwan iruemwin oghe Akugbe Uhunmwun Evbo hia.
14-02	Emwen Nogie-Ekesugie
15-00	1.Domwande-omwa mween etin ne o gha ya gha re ovbievbo okpa.
15-01	Ai khian lo etin ne o ma ke yan omwan ikomwan ya kha wee e ghi re ovbi evbo ne o wee iren khin; ra na vbe kha wee e i mween etin ne o ya fi ovbi evbo ne o wee iren khin werrie.
15-02	Emwen Nogie-Eneirrovbugie
16-00	1.Ikpia-oba kevbe ikhuo-oba hia mween etin ne iran ya ye oronmwen, ne iran suen egbee oghe iran, vbe na i na mu idogban-dogban ne o kaen ehe na ke rre, ovbi evbo ne a khin, ra ugamwen na ye, gue iran ode. Iran mween etin umwon-mwen vbe oronmwen rre.
16-01	Iran te la oronmwen, a ghi mien wee okpia nii kevbe okhuo nii kue yo esese ne iran ronmwen egbe.
