00-00	Dehyarahyon univerthele di dre de l’Omo
00-01	Konchiderin ke la rekonyechanthe de la dinyita ke baye dre a ti le minbro de la famiye umena e de ti lou dre pare e inkontechtabyo, l’e le fondemin de la liberta, de la djuchtiche e de la pe din le mondo,
00-02	Konchiderin ke la mekonyechanthe e le mepri di dre de l’Omo l’an mena a di j’akchyon pindabye de barbari ke rebrekon la konhyinthe de l’umanita, e ke l’arouvaye d’on mondo yo le dzin cheron libro de deveja e de krere, etsapo de la pouere e de la mijere, l’e j’ou proklama kemin le pye hota echperanthe de l’Omo,
00-03	Konchiderin ke l’e fermo inportin ke le dre de l’Omo cheyan inpara par on dre po ke l’omo chi pa d’obedji par on deri rekoua de che rebreka kontre la tirani e la choudzihyon
00-04	Konchiderin ke fo chuto inkoradji la tsevanthe di rapoua d’amihya intre nachyon.
00-05	Konchiderin ke, din la « Charte » le poupyo di Nachyon-j’Unye l’an a re proklama lou fe din le dre de fon de l’omo, din la dinyita e la vaya de la perchena umena, din l’egalita di dre di j’omo e di female, e ke ch’e chon prome de ch’ ingadji a inkoradji le pourgre por ti, e a inchtala di meyou kondihyon de ya din la liberta la pye granta,
00-06	Konchiderin ke le j’Etha Minbro che chon ingadji a achura, in boun’akoua avui l’Organijachyon di Nachyon j’Unye, le rechpe univerthele e vertabyo di dre de l’Omo e di liberta fondamintale,
00-07	Konchiderin k’on ide kemouna de hou dre e liberta l’e de la pye hota inporthinthe por inpya tot’a fe adre chi l’ingadzemin,
00-08	L’Achinbyaye generale
00-09	Di bin fermo ke laDehyarahyon univerthele di dre de l’Omo l’e kemin la meyou tsouja a ave pe ti le poupyo e tote le nachyon po ke tote le dzin e ti le minbro de la chochyeta ke l’an ha Dehyarachyon a l’echpri, l’ochan a ka, pe l’inchenyemin e l’edukachyon, de tsevanhyi le rechpe de hou dre e liberta, e d’in achura, pe di mejere de tsevanthe d’oadre nachyonal e internachyonal, la rekonyechanthe e l’aplikachyon univerthele e vertabya, atan parmi le populachyon di j’Etha Minbro lou-mimo tye parmi hou di teritero in pyathe, a lou choudzihyon.
01-00	Artike yon (1)
01-01	Tote le dzin vinyon ou mondo libro e pare in dinyita e in dre. Chon dota de rejon e de konhyinthe e devon che konporta le j’on-le j’otro din on echpri de fraternita.
02-00	Artikle dou (2)
02-01	Tsakon pou che prevaye de ti le dre e de tote le liberta prohyama din la prejinte Dehyarahyon, chin rejerva, ke cheye de rache, omo ou femala, de kola, de linvoua, de relidzyon, d’ide politike e de tot’otro j’ide, d’orijine nachyonale ou « sociale », de fortena, de vinyete ou mondo e de to’t’otra chituachyon.
02-02	In depye, che fare rin de yite fondaye chu le chtatu politike, juridike ou bin internachyonal dou payi ou bin dou teritero du yo la perchena i cho, ke chi payi ou chi teritero chi indepindin, dejo tutela, pa libro de che j’akchyon ou bin choudze a kotye j’inkupiyo a cha libra volonta.
03-00	Artikle tre (3)
03-01	Tota dzin l’a dre a la ya, a la liberta e a la chureta de cha perchena.
04-00	Artikle katro (4)
04-01	Nyon chere tunyu in ehyavadzo ne a choudzihyon, l’ehyavadzo e l’ingadzemin di j’ehyavo chon interdi din tote le fouarme.
05-00	Artikle thin (5)
05-01	Nyon chere beta a la tortura, ne a di pene ou di krouyo tretemin , pa umin ou degradin.
06-00	Artikle che (6)
06-01	Tsakon l’a dre a la rekonyechanthe din ti le yu de cha perchenalita juridike.
07-00	Artikle chate (7)
07-01	Ti chon pare devan la le e l’an dre chin rejerva a tota la protekchyon de la le. Ti l’an dre a ithre inpara kontre tote le tsouje ke tindron pa dou konto de ha Dehyarahyon e kontre tote provokachyon.
08-00	Artikle vouete (8)
08-01	Tota dzin l’a dre a on rekoua vayabyo devan le reprejintin di djuchtiche nachyonale konpetinte kontre di j’akte rechpektin pa le dre de fon ke l’i chon rekonyu, pe la konchtituchyon ou bin pe la le.
09-00	Artikle na (9)
09-01	Nyon pou ithre arbitrerermin aretha, detinye ne bani.
10-00	Artikle dji (10)
10-01	Tota dzin l’a dre, in pyena egalita, ke cha kouja chi intindya in tota djuchtiche e in publike pe on tribunal indepindin e neutre, ke dechidere, ke cheye de che dre e obligachyon, ke cheye de l’utilita de tot’akujachyon in djuchtiche diridjia kontre li.
11-00	Artikle ondze (11)
11-01	Tota dzin akujaye de n’akchyon kondanabya l’e chupojaye inochinta tantye ke cha kulpabilita cheye aprovaye pe la le din on prothe publike, yo tote le garanti nechechere a cha defincha l’i cheron achuraye.
11-02	Nyon chere kondana po di j’akchyon ou bin di mankemin adon ke chu le momin n’iran pa on akte ke mertave na punihyon. Pare, nyon chere pune fermo, tye ou momin yo la krouy’akchyon ire j’ou fete.
12-00	Artikle dodze (12)
12-01	Nyon pore ithre choudze a di j’intrefetsiche arbitrere din cha ya poupra, intye-li, cha famiye, chon tinyemin ou bin cha korechpondanthe, ne a di j’atinte a che n’ana e a chon renon. Tota dzin l’a le dre d’ithre inparaye pe la le kontre hou j’intrefetsiche e di j’afere dinche krouye.
13-00	Artikle tredze (13)
13-01	Tota dzin l’a le dre d’ala cheve e leva in tota liberta e de reyi chon tinyemin din on Etha , n’inpouarte le tyin.
13-02	Tota perchena l’a le dre de tyitha ti le payi, mimamin le chyo, pu de revinyi din chon payi.
14-00	Artikle katouardze (14)
14-01	Devan la perchekuchyon, tota dzin l’a le dre de tsertyi on a-chokre in chureta e de ithre eberdji din di j’otro payi.
14-02	Chi dre pou pa ithre vayabyo kan i chon in pourchuite, vertabyamin fondaye chu on krimo de dre kemon, ou bin di manere kontrere i reyemin di Nachyon j’Unye.
15-00	Artikle tyindze (15)
15-01	Tota dzin l’a dre a chon poupro payi.
15-02	Nyon pou ithre indjuchtamin deporvi de cha nachyonalita, ne dou dre de tsandji de nachyonalita.
16-00	Artikle chedze(16)
16-01	Achtou ke chon in adzo e kopabyo de prokrea, l’omo e la femala, chin limita ke cheye de rache, de nachyonalita ou bin de relidzyon, l’an le dre de lou marya e de fonda na famiye. L’an di dre pare din le maryadzo, dou tin dou maryadzo e achebin kan le maryadzo l’e abouli.
16-02	Le maryadzo pou ithre hyou rintye avui le libro konchintemin di j’epa ke chon ingadji.
16-03	La famiye l’e le fondemin naturele e chertin de la chochyeta, l’a dre a ithre inparaye pe la chochyeta e l’ Etha.
17-00	Artikle djij’e chate (17)
17-01	Tota dzin, atan choleta tye de binda, l’a dre d’ithre proprietero.
17-02	Nyon pou ithre indjuchtamin deporvi de cha proprieta.
18-00	Artikle djij’e vouete (18)
18-01	Tota dzin l’a dre a mouja kemin i va, in konhyinthe e in relidzyon; chi dre konpouarte l’epahyo de tsandji de relidzyon ou bin de fathon de mouja, l’a achebin la liberta de fere konyethre che j’ide in relidzyon ou bin achebin dre chin ke n’in mouje, li-mima ou avu di j’otro, atan in publiko tye intre-la, pe l’inchenyemin, le pratike, le kulte e la fathon de pratika.
19-00	Artikle djij’e na (19)
19-01	Tota dzin l’a dre libramin de mouja e de dre, chin l’i baye le dre d’e pa ithre inkupiyi a kouja de chin ke mouje e le dre de tsertchi, de rechuedre e reparti, chin konchiderachyon de frontere, le novi e le j’ide de tyinta fathon e avu tyin moyin ke cheye.
20-00	Artikle vin (20)
20-01	Tota dzin l’a dre a la liberta d’achinbyaye e de chochyeta ke volon travayi po la pe.
20-02	Nyon pou ithre d’obedji de fere partya de n’achochyachyon.
21-00	Artikle vint’yon (21)
21-01	Tota dzin l’a dre a prindre pa a la direkchyon di j’afere publike de chon payi, ke cheye direktamin, ou bin in pachin pe di reprejintin ke l’a libramin reyi.
21-02	Tota dzin l’a dre d’arouva, din di kondihyon d’egalita, y fonkchyon publike de chon payi.
21-03	La volonta dou poupyo l’e le fondemin de l’otorita di pove publiko ; chta volonta de che realija pe di j’elekchyon onithe ke devon avi yu din di tin preyu, ou vote chekre de ti, ou bin d’apri na prothataye a parere, achurin la liberta dou vote.
22-00	Artikle vint’e dou (22)
22-01	Tota dzin, in tin ke minbro de la chochyeta, l’a dre a vivre trantyilo din la chochyeta. L’e j’ou fondaye po chatifya le dre ekonomike, kulturele e nechechero a cha dinyita e po fere a tsevanhyi cha perchenalita, grathe a l’efoua dou payi e a la boun’intinta intre ti le payi, in kontin l’organijachyon e che moyin de vivre.
23-00	Artikle vint’e tre (23)
23-01	Tota dzin l’a dre ou travo , libro a li de reyi le tatso ke l’i konvin, a di rejenabye e djuchte kondihyon, a cha chatichfakchyon, l’a dre achebin a ithre inpara kontre le tsomyadzo.
23-02	Ti l’an dre, chin j’indjuchtiche, a on to kovin por on to travo.
23-03	Chi ke travaye l’a dre a on djuchto kovin, in tota djuchtiche e a che n’echyin, por achura, achebin a cha famiye ouna ya din la dinyita umena, e in depye, che fo, ti le j’otro moyin de protekchyon.
23-04	Tota dzin l’a dre de fonda di chindika avu di j’otro, achebin de ch’ingadji din di chindika po defindre che j’intere.
24-00	Artikle vint’e katro (24)
24-01	Tota dzin l’a dre ou repou e i dichtrakchyon de tote chouarte, bin chur din on tin rejenabyo intre le tin de travo e hou de kondji payi, preyu po chin.
25-00	Artikle vint’e thin (25)
25-01	Tota dzinl’a dre a on trin de ya chufijin a cha ya, por achura cha chinda, chon bin’ithre e chi de cha famiye, notamin po le medji, le vithire, le tinyemin, le chouin de medzo, achebin po le chervucho ke demande na famiye ke l’a dre a la chekurita , kan l’i a dou tsomadzo, la maladi, l’invalidita, le vevadzo, la viyethe, din le ka de perda de che moyin a kouja de krouye chyaye ; fro de cha volonta.
25-02	La maternita e l’infanthe l’an dre a on’ede e oun’achichtanthe reyie. Ti le j’infan, ke cheyan vinye ou mondo din le maryadzo ou bin in defro, l’an la dzoyechanthe de la mima protekchyon.
26-00	Artikle vint’e che (26)
26-01	Tota dzin l’a dre a l’edukachyon. L’edukachyon de ithre gratiche, ou minte po l’inchenyemin d’emoda. Le premi l’inchenyemin l’e obligatero. L’inchenyemin de la teknike, e l’aprintechadzo d’on mihyi, de ithre ouve a ti ; l’intraye i hote j’etude de ithre achebin ouverta in pyen’egalita a ti, d’apri lou merto.
26-02	L’edukachyon de vija a la pyena ravuchete de la perchenalita umena e achebin ou reinforhyemin dou rechpe di dre de l’omo e di liberta premire. I de favorija l’intindemin, la toleranthe e l’amihya intre tote le nachyon e tote le chouarte de rache ou de relidziyon, achebin po chyedre l’evoluchyon di j’aktivita di Nachyon j’Unye po le mantin de la pe.
26-03	Le parin l’an, pe priorita, le dre de reyi la chouarta de l’edukachyon a bayi a lou j’infan.
27-00	Artikle vint’e chate (27)
27-01	Tota dzin l’a le dre de prindre pa libramin a la ya kulturele de la chochyeta kemouna, de prindre pyieji di moude e kotheme e de partichipa ou pourgre de la hyinthe e a to le bin ke n’in retire.
27-02	Tsakon l’a dre a l’inparaye de ti le j’intere ke vinyon de chin ke l’a pu krea, tan po fere tsevanhyi la hyinthe ou che demora.
28-00	Artikle vint’e vouete (28)
28-01	Tota dzin l’a dre, ke che beta in pyathe in piti e in gro, on ouadre, po ke le liberta ekrite din ha Deklarahyon, puechan trova on efe vayin.
29-00	Artikle vint’e na (29)
29-01	L’individu l’a di deve a inpya po la chochyeta kemouna yo i che tin, ke cha perchenalita pueche che tsevanhyi on pye pri de che va.
29-02	Kan i fa a vaye che dre e din la dzoyichanthe de che liberta, tsakon l’e achtrin, ma tantye i limite kemandaye pe la le, rintye por achura la rekonyechanthe e le rechpe di dre e liberta di j’otro, pu achebin de chatifya i djuchte kondihyon de la chejinthe, de l’ouadre publiko e dou bin’ithre de ti, din na chochyeta demokratike.
29-03	Chtou dre e liberta ne poron djame che fere ou kontrero di prekchripchyon di Nachyon j’Unye.
30-00	Artikle trinta (30)
30-01	Pa ouna cheule dichkpojichyon de chta Dehyarahyon pore ithre konprecha e inpyeyia, por on Etha, on groupemin ou bin on individu, on dre ou on’otro, de che bayi a oun’aktivita ou bin de fere otye kontre l’avutraye di dre e liberta ke l’i chon inchkri.
