00-00	KIZhININ ERGELERININ BUGU-NIITI UGUULGAZY
00-01	Kizhi torelgeten aimaanyn bugu kezhigunnerinin  kizhi mozuzun, olarnyn den bolgash kazyp bolbas ergelerin khuleep kooru khostalganyn, choptug choruktun baza bugu-niiti taibynnyn undezini bolurun kicheengeige albyshaan; baza
00-02	kizhinin ergeleringe toomcha chok bolgash koor khoon chok choruktun kizhi torelgetennin sagyzhyn aartyp duvuretken derzii uulgediglerge chedirgenin baza kizhiler  sostun bolgash uzeldernin   khostalgazynga ergelig, korguushkun bolgash turegdelden khostug  delegeini turguzary kizhilernin bedik chutkulu kyldyr charlattynganyn  kicheengeige albyshaan; baza
00-03	kizhinin ergeleri khooiluga  kizhi  uzhur-durum chok chagyrgaga bolgash darlalgaga udur soolgu arga kyldyr  tura khalyyshkyn azhyglaar uzhurga tavaryshpas  kyldyr kamgalattyngan turarynyn ergezhok chugulazyn kicheengeige albyshaan; baza
00-04	chonnar arazynga ep-naiyraldyg kharylzaalarnyn saizyralyn detkiirinin ergezhok chugulazyn kicheengeige albyshaan; baza
00-05	Kattyshkan Natsiyalarnyn chonnarynyn kizhinin kol ergeleringe, kizhi mozuzunge bolgash unezinge baza er bolgash khereezhen kizhilernin den ergeliinge buzurelin Ustavta badytkaanyn baza  ulam khostug baidalga sotsial depshilgeni bolgash amydyraldyn baidaldaryn ekizhiderin   detkiirin shiitpirleenin   kicheengeige albyshaan; baza
00-06	kezhigun-kurunelernin Kattyshkan Natsiyalar Organizatsiyazy-bile kady azhyldavyshaan, kizhinin ergelerin bolgash  kol khostalgalaryn bugudenin khunduleerin baza sagyyryn chedip alyrynga detkimche beerin khuleengenin  kicheengeige albyshaan; baza
00-07	bo ergelernin bolgash khostalgalarnyn kharakterin bugudenin ugaap biliri ol khuleelgeni doluzu-bile kuusediringe ulug uzhur-duzalyg bolurun kicheengeige albyshaan,
00-08	Chingine Assambleya
00-09	Kizhinin ergelerinin bo bugu-niiti uguulgazyn bugu chonnarnyn bolgash kurunelernin kuusedir deesh kyzydar uzhurlug baza  kizhi buruzu bolgash  niitileldin organ buruzu uk Uguulgany  doktaamal kicheengeige albyshaan, chyrydylga bolgash ooredilge argalary-bile uk ergeler bile khostalgalarny khunduleerin detkiir, natsional  bolgash ulustar arazynyn depshilgelig khemcheglerin azhyglap turgash, Organizatsiyanyn  kezhigunu kurunelerinin baza ol kurunelernin yurisdiktsiyazynda turar deviskeerlernin chonnarynyn arazynga olarny bugudenin khuleep koorun baza ure-tunneldig bottanyryn detkiirinche uglangan  sorulga kyldyr charlap tur.
01-00	1 chuul
01-01	Bugu kizhiler khostug baza mozuzu bolgash ergeleri den kyldyr toruttuner. Olarga ugaansaryyl bolgash aryn-nuur berdingen bolur bolgash olar bot-bottarynga  aky-dunmalyshky khamaarylgany  korguzer uzhurlug.
02-00	2 chuul
02-01	Kizhi buruzu uk Uguulgada charlattyngan bugu ergelerge bolgash khostalgalarga  yazy-soogu, kezhinin onu, er-khereezheni, dyly, chudulgezi, politiktig bolgash oske-daa uzelderi, natsional bolgash sotsial yzyguuru, onchu-khorengizi, angy bolgash oske-daa  baidaldardan khamaan chokka  ergelig.
02-02	Oon angyda, kizhini oon khamaarzhyp turary kurunenin azy deviskeernin politiktig, khooilu-durum azy chonnar arazynda statuzun, uk deviskeernin khamaaryshpazyn, oskelernin kharagalzalynda turaryn, bot-bashkarylga chok azy bot-dogunnaashkynynda kandyg-bir kyzygaarlyg boop turaryn barymdaalap ylgaar choruk turbas uzhurlug.
03-00	3 chuul
03-01	Kizhi buruzu amydyrap-churttaar, khostug bolur bolgash deep bolbas ergelig.
04-00	4 chuul
04-01	Kym-daa kuldanygga azy khostug eves baidalga tuttunmas uzhurlug; kuldanygnyn bolgash kul sadarynyn bugu khevirleri khoruglug.
05-00	5 chuul
05-01	Kym-daa  erii-shaazhyga azy karzhy, kizhizig eves azy oon kizhi mozuzun  doramchylaan aazhylalga bolgash  shiitkelge  tavaryshpas uzhurlug.
06-00	6 chuul
06-01	Kizhi buruzu kayaa-daa choraash, oon tuskai subekt ergeliin  khuleep koorunge ergelig.
07-00	7 chuul
07-01	Bugu kizhiler khooilu murnunga den ergelig baza khooiluga kandyg-daa ylgal chokka, den kamgaladyr ergelig. Bugu kizhiler uk Uguulgany khazhydyp turar ylgai koruushkunden baza yndyg ylgai koruushkunnu kylyrynche  kutkulgeden  den  kamgaladyr ergelig.
08-00	8 chuul
08-01	Kizhi buruzu konstitutsiya azy khooilu ezugaar kordungen kol ergeleri khazhyttyngan tavarylgalarda dolu ergelig natsional shuugunun oon ergelerin katap ure-tunneldig turguzup beeringe ergelig.
09-00	9 chuul
09-01	Kym-daa barymdaa chok  khorugdalga, tudup khorugdaashkynga azy oiladyyshkynga tavaryshpas uzhurlug.
10-00	10 chuul
10-01	Kizhi buruzu oon ergelerin bolgash khuleelgelerin todaradyp beeringe baza anaa onaashtyryp turar kem-kherek buruudadyyshkynynyn barymdaalyyn  todaradyrynga baza oon khereen khamaaryshpas bolgash tala tyrtpas shuugunun azhyk bolgash choptug choruktun bugu negeldelerin sagyvyshaan,  saigaryp koorunge  ergelig.
11-00	11 chuul
11-00	Kem-kherek uulgetken dep buruudattyryp turar kizhi buruzu  kamgalaldyn bugu argalaryn khandyryp berip turar  azhyk shuugu saigarylgazynga oon buruuluu khooilu ezugaar todarattynmaan shaanda buruu chok dep sanadyr ergelig.
11-01	Kym-daa bolup turgan uezinde natsional khooilular azy chonnar arazynyn khooilu-durumu-bile kem-kherek uulgediishkini bolbain turgan kandyg-bir  kyldynyglardan azy chunu-daa kylbaanyndan ungen uulgedig deesh   shiittirbes uzhurlug. Ol yshkash uulgedignin bolgan uezinde berip bolur turgan kezemcheden aar kezemche beeri boldunmas.
12-00	12 chuul
12-01	Kym-daa oon amy-khuuda bolgash og-bule churttalgazynche turazynda kholgaarlaashkynga, bazhyn-balgadynga deep bolbazynga,  chagaalazhyyshkynynyn chazhyt choruunga azy at-aldary bolgash reputatsiyazynga shoglaashkynga tavaryshpas uzhurlug. Kizhi buruzu  khooiluga yndyg kholgaarlaashkyn azy shoglaashkynnardan  kamgaladyr  ergelig.
13-00	13 chuul
