00-00	DICHIARAZIOUN UNIVERSELA DI DIRET UMEN
00-01	Considered che u riconosciment dla dignita cla riguerda tot i membri dla fameia umena e di su diret, cumpagn e irrinunciabli, e costitues e' fundament dla liberta, dla giustizia e dla pesa te mand;
00-02	Considered che la negazioun e el disprez di diret umen i a port ma gist d'incivilta che i ufend la cuscinza dl'umanita, e che la cunquesta d'un mand duve che al persouni al goda dla liberta at parola e at credo (foida) e dla liberta da la paura e da e' bsagn, l'e ste proclamed cume la pio granda aspirazioun dl'om;
00-03	Considered che l'e indispensabli che i diret umen i sia difois da legi, se u s vo evite che l'om u sia custret a ricora, cume utma pusibilita, m'la ribelioun countra la tirania e l'opresioun;
00-04	Considered che l'e niciserii lavure pri u svilop ad relazioun d'amicizia tra toti al Nazioun;
00-05	Considered che i popli dli Nazioun Unidi ia ribadi tu Statut la su foida ti diret umen fondamentil, tla dignita e te valour dla persouna umena, tl'uguaglienza di diret dl'om e dla dona, e i a decis da lavure pri e' prugres suciel e pri un migliour tenour ad vita t'na liberta pio granda;
00-06	Considered che i Sted dli Nazioun Unidi i s'e impegne a lute, sla colaborazioun dli Nazioun Unidi stesi, pri u rispet e l'oservenza universela di diret umen e dli liberta fondamenteli;
00-07	Considered che una concezioun uniteria at sti diret e at sta liberta la e fondamentela pri la completa realizazioun at tot sti impegn;
00-08	L'ASEMBLEA GENERELA
00-09	la proclama
00-10	la presenta dichiarazioun universela di diret umen cume ideel comun da cunquiste da tot i popli e da tot al Nazioun,s'u scop che ogni individui e ogni urganismi dla societa, tnend sempra presenta sta Dichiarazioun, u s'impegna a lavure, s'l'insegnament e s'l'educazioun, pri u rispet at sti diret e at stli liberta e ad garantin, mitend in at iniziativi sempri pio numerousi at caratri naziunel e internaziunel, l'universel e concret riconosciment e rispet, tent tra i popli di stes Sted membri, quant tra quei di teritori che i e sotopost mla su giurisdizioun.
01-00	ARTICOLO 1 (Artecli 1)
01-01	Tot j esseri umen i nas lebri e cumpagn in dignita e diret. Lou i e dutid ad rasoun e ad cuscinza e i a da opere, ognun ti cunfrunt at ch'j ilt, sa sentimint ad fratelenza.
02-00	ARTICOLO 2
02-01	Ogni persouna la a da beneficie at tot i diret e at toti al liberta proclamid tla presenta Dichiarazioun, senza alcuna distinzioun pri rasoun ad raza, ad culour, ad sesso, ad lengua, ad religioun, ad idea puletica e upinioun diversi, ad nazionalita o suciela, ad richeza, ad nascita o ad qualsiasi elta cundizioun.
02-02	Nisuna distinzioun la sara stabilida tnend count du sted puletich, giuredich o internaziunel de paiois o del teritorii me quale una persouna l'aaparten, c'u sia quest indipendent, o c'l'epa una aministrazioun fiduceria, o c'un sia autonomo, o c'u sia suget ma qualsiasi tip ad limitazioun ad sovranita.
03-00	ARTICOLO 3
03-01	Ogni individuo l'a diret ma la vita, m'la liberta e m'la sicureza dla propia persouna.
04-00	ARTICOLO 4
04-01	Nisuna persouna la putra esa tnuda in sted ad schiavito o ad servito; la schiavito e la trata di s-cev al sara pruibidi sata qualsiasi fourma.
05-00	ARTICOLO 5
05-01	Nisuna persouna la putra esa sotoposta m'la tortura o ma un tratament o punizioun crudeli, disumeni o degradenti.
06-00	ARTICOLO 6
06-01	Ogni individuo l'a diret, at tot e' mand, m'u riconosciment dla su personalita giuredica.
07-00	ARTICOLO 7
07-01	Tot i e cumpagn daventi m'la legia e i a diret, senza discriminazioun, ma una uguela protezioun da perta dla legia. Tot i a diret ma una uguela protezioun countra ogni discriminazioun c'l'a sia cuntreria m'la presenta Dichiarazioun cume countra ogni incitament m'la discriminazioun stesa.
08-00	ARTICOLO 8
08-01	Ogni persouna la a diret ma una concreta pusibilita da fe ricours ma tribunil competint countra at che i neghes i diret fondamentil riconosciud ma esa stesa dala costituzioun o da la legia.
09-00	ARTICOLO 9
09-01	Nisuna persouna la putra esa aresteda, tnuda in prisoun o esilieda arbitrariament.
10-00	ARTICOLO 10
10-01	Ogni persouna la a diret, in pusizioun ad tutela uguaglienza, ma una giosta e poblica udienza daventi m'un tribunel indipendent e imparziel, s'u scop da determine i su diret e i su duvir, e in pio da determine la fundateza ad qualsiasi acusa penela c'la j venga rivolta.
11-00	ARTICOLO 11
11-01	Ogni persouna acuseda d'una colpa la e presunta inocenta fina a quand la su colpevoleza lan sia ste pruveda legalment t'un pruces poblich, te quale li la abia avu tot al garanzi niciserii pri la su difoisa.
11-02	Nisuna persouna la sara cundaneda pri azioun cumesi o pri azioun non cumesi al quali, t'e' mument c'agli e ste cumesi o non cumesi, lin fos prevesti cume reed sgand el diret interni o sgand el diret internaziunel. Tu stes temp un putra esa infleta alcuna poina pio granda ad quela prevesta te mument te quale la colpa la sia ste cumesa.
12-00	ARTICOLO 12
12-01	Nisuna persouna la putra esa sotoposta ma interferenzi arbitrerii tla su vita priveda, tla su fameia, tla su chesa, tla su corispondenza, ne ma lesioun du su unour e dla su reputazioun. Ogni persouna la a diret da esa difoisa dala legia countra al sudeti interferinzi o lesioun.
13-00	ARTICOLO 13
13-01	Ogni persouna la a diret m'la liberta ad muviment e ad residenza drointa i cunfoin ad ogni Sted.
13-02	Ogni persouna la a diret da lase qualsiasi paiois, cumprois e propii, e d'arturne tu su paiois.
14-00	ARTICOLO 14
14-01	Ogni persouna la a el diret da ciarche e da usufrui, at ch'j ilt pais, rifug' dal persecuzioun.
14-02	St'el diret un putra esa invuched te ches che la persouna la sia realment ricercheda pri colpi non puletichi o pri azioun cuntrerii m'al finalita e m'i principi dli Nazioun Unidi.
15-00	ARTICOLO 15
15-01	Ogni persouna la a diret ma una citadinenza.
15-02	Nisuna persouna la putra esa arbitrariament priveda dla su citadinenza, ne del diret ad cambie citadinenza.
16-00	ARTICOLO 16
16-01	Umni e doni in eta giosta i a el diret da spuses e da funde una fameia, senza alcuna limitazioun ad raza, citadinenza o religioun. Lou i a i stes diret riguerd e' matrimonii, durent e' matrimonii e t e' mument du su eventuel sciogliment.
16-02	E' matrimonii e putra esa celebred sna s'u lebri e tutel cunsens di futur spus.
16-03	La fameia l'e la cellula naturela e fondamentela dla societa e la i a el diret da esa difoisa dala societa e da u Sted.
17-00	ARTICOLO 17
17-01	Ogni persouna la a el diret da avoi una proprieta su persunela o insen sa elta genta.
17-02	Nisuna persouna la putra esa priveda ingiustament dla su proprieta.
18-00	ARTICOLO 18
18-01	Ogni persouna la a diret m'la liberta ad pensiir, ad cuscinza, e ad religioun; st'el diret e cumprend la liberta ad cambie religioun e ad cambie credo, e la liberta ad manifeste, singolarment o insen sa elta genta, e sia in poblich che in prived, la propia religioun o e' propii credo tl'insegnament, tli pratichi, ti gist religius e tl'oservenza di rituel.
19-00	ARTICOLO 19
19-01	Ogni persouna la a diret ma la liberta d'opinioun e d'espresioun cumprois el diret da no esa molesteda pri la propia upinioun e quel da ciarche, riceva e comuniche infurmazioun e idei usand tot i mezi e senza riguerd ma cunfoin.
20-00	ARTICOLO 20
