00-00	Mvshelo Ma Angfem nga Rvru Ta Vmari Ma Rvwuni Kepet
00-01	Owa ta salata kvsothne vyiki a komvne ang fem akepet, owa yi vmari methenvne a komvne nga-e, nga yi vnggbeth nga rvwankom, mvlompi, yi mvthofel ka noru.
00-02	Owa, kv kvlv agbvp yi kvsay vmari ma angfem akepet mv po kvrv kvdifethvne vke po leser tvtemp ta angfem akepet, owa ke po kvrv ka rvru vre, pe yi nangrv angfem akepet mangba nang rvwankom ra kvfof, kvtvng edina, kete ba renes kepa ye, vnge ngv tha yi mvfela ma angfem akepet thong be noru. Owa o fisa ti, kvmv a te gbondar angfem re tvy o tvy be me yo nga ang thvnthone te kefumper ange bet vngfoso me thvler nga-e, owa tvsoma, a yi teke bot etho mekunkela nga-e.
00-03	Owa a yi teke sakethi vkera vke der o der, teke yo tvthof ta rvru be temane. Owa tvsoma angfem nga tvthof be ang wopvne ka rvru, ang bot ka mvsekrvne mang teke beng kvmv ang gbasi ofu felen malane ma kvsong angfem akepet vmari akomvne nga, ka ayiki yi to wuni kepet o yi-e, kepa runingangi, yi bom ngang a thenane. Owa ang beng teke sekv ro di rvwankom yi mayi mvkolo mv angfem akepet.
00-04	Owa rokom kati be tvthof vte yi ka vngnenki ange, tesone kepa, tv te wopane rekin yi tvthof ta rvru tek sakethi yi kewop vmari a komvne angfem akepet yi tvwankom tvng.
00-05	Owa angpo beng te keyi kvsothne vmari vme yi rvwankom vre, yv yi angkolo nga mvsekrvne vme.
00-06	Tvsoma Vkamatho ka Angfem nga Rvru ke Thvsv
00-07	Vkera Vke kepa :
00-08	Mvshelo ma kvsong vmari a komvne angfem akepet vme, mv yi otemv wa wuni o wuni yi ka tvthof ta rvru be kvmv wuni o wuni, vgbvp o gbvp ka rvru, o yi teke bot mvsekrvne vme re merv vloko be, re kethekesv angfem akepet kvmv ang sekv kvyikis vmari a komane angfem akepet yi tvwankom tang ro di, ketong ka angc yi ka tvthof ro kor yi ange yi ka tvthof tebrang. Kvmv angfem be ka rvru ang wop mvsekrvne vme. Owa kvmv ang sothne, yi kewop mvsekrvne vme ketong ka angfem nga tvthof yi ka vngenki vnge yi ketong ka angfem be mang kaman-e :
01-00	1. Vngsekel vtotoko
01-01	A kom angfem akepet be nga athenvne yi rvwankom. Owa ang ba memari methenvne. Owa ang ba mefith yi techemp. Chiyang, ang yi teke gbasi angkos ngang mo kepa nga tekom.
02-00	2. Vngsekel bekv mvreng
02-01	Wuni o wuni o ba mari ma rvwankom, yi mvmari a bot ka mvsekrvne ame, kama a te say ko tv vbonsho, mvyi ma vngder ngong, kepa uwan duni thalom wunibom, sothlom vtent mvng fof, vngdina mvng tvng, thalom kepa vnggbvp vng yi, teke vte mo wop ka vmerv ngong, vngthof ngong, thalom vngbonsho o wur, te mone, ta ro a kom ko-o, yi metema o-e. Rodi kati so, a ye teke yo ko agbvy te kepa anggbvp vnge ro yi, vmari o temv, thalom mvtemv ma vngthof, thalom anggbvng owuni o yi-e, thalom kepa vngthof vnge po chiyv ka vngyethe ngati, thalom a tang ngi mvsheheke, angyi ro ratha ka vthof vlom, thalom vng baye vte ma yo ka vngyethe ngate.
03-00	3. Vngsekel bekv mesas
03-01	Wuni o wuni o ba vmari ta vngesem ngong, rvwankom rong yi kvfisos vngesem ngong.
04-00	4. Vngsekel bekv mvngle
04-01	A ye so teke wop wuni retar, thalom keyis ko mesheke. A ye so teke wop wuni, kethila atar de rong o rong. Kvthila angfem ka rvtar a yi teke gbinge ki.
05-00	5. Vngsekel bekv tamath
05-01	A ye teke thvler, kesompar, thalom kegbalo wuni ka vngfoso rekom.
06-00	6. Vngsekel bekv tamthurukin
06-01	Wuni o wuni o ba vmari mong a yi teke song ko ketanngvne ka angtho-e.
07-00	7. Vngsekel bekv tamthedereng
07-01	Angfem vkepet a thenvne teri ro der ka vngtho. Owa vng ba vmari ma kvmv vngtho vng gbeper nga. Owa vng ba vmari ma kvmv vngtho vng bum nga kewur ka vnge me yo nga vnggbvy; ta vnge meshim mvsekrane vme, thalo m teke yo angfem alom vng leser mvsekrane vme.
