00-00	Tuyen ngon toan the gioi ve nhan quyen của Lien Hop Quoc
00-01	Voi nhan thuc rang:
00-02	Viec thua nhan nhan phảm von co, cac quyen binh dảng va khong thẻ tach roi của moi thanh vien trong gia dinh nhan loai la co sỏ cho tu do, cong bang va hoa binh tren the gioi,
00-03	Su xam pham va coi thuong nhan quyen da dan den nhung hanh dong tan bao xam pham toi luong tam của nhan loai, va viec xay dung mot the gioi trong do con nguoi duoc tu do ngon luan va tin nguong, khong con phải chiu noi so hai va cung cuc duoc coi la nguyen vong cao cả nhat của loai nguoi,
00-04	Nhan quyen phải duoc phap luat bảo ve dẻ moi nguoi khong buoc phải nỏi loan nhu la bien phap cuoi cung dẻ chong lai che do cuong quyen va ap buc,
00-05	Can phải khuyen khich viec phat triẻn quan he bang huu giua cac dan toc,
00-06	Nhan dan cac nuoc thanh vien Lien Hop Quoc trong bản Hien chuong da mot lan nua khảng dinh niem tin của minh vao nhung quyen co bản của con nguoi, vao nhan phảm, vao gia tri của moi nguoi, vao quyen binh dảng nam nu, va da bay tỏ quyet tam thuc dảy tien bo xa hoi cung nhu xay dung cac dieu kien song tot hon, tu do hon.
00-07	Cac nuoc thanh vien da cam ket, cung voi tỏ chuc Lien Hop Quoc, phan dau thuc dảy moi nguoi ton trong va thuc hien cac quyen cung nhu nhung tu do co bản của con nguoi.
00-08	Nhan thuc thong nhat ve nhung quyen va tu do do của con nguoi la yeu to quan trong nhat cho viec thuc hien day dủ cam ket nay.
00-09	Nay, Dai hoi dong Lien Hop Quoc tuyen bo:
00-10	Bản tuyen ngon toan the gioi ve nhan quyen nay la thuoc do chung cho tat cả cac nuoc va tat cả cac dan toc danh gia viec thuc hien muc tieu ma moi ca nhan va moi tỏ chuc trong xa hoi, tren co sỏ luon ghi nho Bản tuyen ngon nay, se phan dau thuc dảy su ton trong cac quyen va tu do co bản của con nguoi thong qua truyen ba va giao duc, cung nhu se phan dau dảm bảo cho moi nguoi dan, ỏ chinh cac nuoc thanh vien của Lien Hop Quoc va ỏ cac lanh thỏ thuoc quyen quản ly của minh, cong nhan va thuc hien nhung quyen va tu do do mot cach co hieu quả thong qua nhung bien phap tich cuc, trong pham vi quoc gia hay quoc te.
01-00	Dieu 1:
01-01	Tat cả moi nguoi sinh ra deu duoc tu do va binh dảng ve nhan phảm va quyen. Moi con nguoi deu duoc tao hoa ban cho ly tri va luong tam va can phải doi xủ voi nhau trong tinh bang huu.
02-00	Dieu 2:
02-01	Moi nguoi deu duoc huỏng tat cả nhung quyen va tu do neu trong Bản tuyen ngon nay, khong phan biet chủng toc, mau da, gioi tinh, ngon ngu, ton giao, quan diẻm chinh tri hay cac quan diẻm khac, nguon goc quoc gia hay xa hoi, tai sản, thanh phan xuat than hay dia vi xa hoi.
