00-00	UNIVERSAL NA DECLARASION I DERECHO SIHA PARA I TAOTAO
00-01	Asi como i recognision pot i inherente (natural)na dignidad yan pot i pareho yan inahenable (tisina maamot) na derechon todo i membron i humano na familia guiya i fundacion i liberta, justicia yan pas gi todo i tano.
00-02	Asi como i dinisatende yan i denisprecia i derecho siha para i taotao manhuyon ti civilisao na finatinas siha ni esta hasen insulta i consencian i taotao yan i finato gi tano anai taotao siha umagosa i libertad kumentos, yan hinenge yan libertad gine minanao yan minalago esta maproclama como i mas takilo na aspirasion (tinanga) i comodo (regular) na taotao siha.
00-03	Asi como necesario, yangin i taotao ti para uenebliga na uespiha recurso (hinagon), como i utimo na fandiskansayan gi rebulasion contra i crueldad yan bahacion enao na i derecho siha para i taotao umaprotehe nui arreglon i lai.
00-04	Asi como necesario na umaadelanta i kinalanten i amestao (inamigo) na relasion siha entalo nasion siha. Asi como i taotao i Unidos Nasion siha guaha gi halom i Charter masasegura i hinegen niha gi fundamental na derecho siha para i taotao, gi dignidad yan chatbale ya i humano (taotao) na persona yan i pareho na derecho i lahe yan i palauan yan esta madetermina na umaadelanta progresson social yan mas prisocio na standard siha pot linala gi mas dankulo na libertad.
00-05	Asi como un comodo na kininprende pot este nana umaobtene, gi i cooperasion yan i Unidas Nasion siha, i maadelantan i universal na respecto para yan i maguadian i derechon taotao yan fundamental na libertad siha.
00-06	Asi como un comodo na kininprende pot este na derecho yan libertad siha i mas importante para i kabales na marealizasion este na linala.
00-07	Pago, Pot eso,
00-08	i Heneralna Assemblia
00-09	aproklama
00-10	este i Universal na Declarasion i Derecho siha para i Taotao, como un comodo na standard i obtenamenten para todo i taotao siha yan todo nasion siha, esta i utimo na kada individual yan kada organon i sociedad, ugagaige ha este na Declarasion todo i tiempo gi hinason niha, ya umafatinas mano i sina gi finanague yan educasion para uma adelanta i respeto para este na derecho yan libertad siha yan gi manera ni progresibo, nasional yan inter-nasional, para umaasegura i universal na maguadian niha, tanto i mangaige na taotao siha gi territorio ni gaige gi papa jurisdicksion niha.
01-00	Articulo 1.
01-01	Todo taotao siha man mafanago libertao yan pareho gi dignidad yan derecho siha, man manae siha hinaso yan consiencia yan debe de ufatinas contra uno yan otro gi un espiritun chumelo.
02-00	Articulo 2.
02-01	Todo man qualificao nu todo i derecho yan libertad siha ni manmalatnos gi halom este na Declarasion, sin nihafa na distingasiongi maseha hafa na klase, asi como rasa, kulor, sexso, linguahe, relihon, political pat otro opinion, nasional, pat original social, properdad, parto, pat otro statulo (estao).
02-02	Ademas, taya distinguasion sina umafatinas ni maapela gi i fundamenton political, i jurisdicksional pat i internasional na estao i tano pat i teritorio ni gaige un persona, maseha gui independensia, encargo, ti agobierbena gui pat papa maseha hafa otro na restriksion i minagas gobiernamentonna.
03-00	Articulo 3.
03-01	Todo mangai derecho pot linala, libertad yan seguridad i persona.
04-00	Articulo 4.
04-01	Taya sina mamantene como esclabo pat servidumbre; esclavitudu yan i commercion esclavo umapribe gi todo i klasen niha siha.
05-00	Articulo 5.
05-01	Taya sina masometido (manamerese) nui agoniado (na chatflik) na kastigo pat nui cruel, ti para taotao pat deshonrao na tratamento pat kastigo.
06-00	Articulo 6.
06-01	Todo man gai derecho na ufan marecognisa maseha mano como persona gi menan i lai.
07-00	Articulo 7.
07-01	Todo man pareho gi menan i lai yan man gai derecho sin nihafa na descriminasion nui pareho na proteksion i lai. Todo man gai derecho nui pareho na proteksion kontra kuatkuet discriminasion gi kinentran este na Declarasion yan kontra kuatkuet estimular nui eso na discriminasion.
08-00	Articulo 8.
08-01	Todo mangai derecho nui un effectibo na remedio ginen i man kaps na nasional na tribunal siha para finatinas siha ni acocontra i fundamental na derecho siha manae gui ginen i constitucion pot i lai.
09-00	Articulo 9.
09-01	Taya sina na sometido nu i arbitrario na inaresta, detension pat destierro.
10-00	Articulo 10.
10-01	Todo man gai derecho gi kabales na ekualidad nui un faborable yan mababa’para i publico nui un independente yan tai fabor na tribunal gi i madeterminasion i derechona yan obligasionna siha yan maseha hafa na acusasion ni criminal kontro guiya.
11-00	Articulo 11.
11-01	Hayi ma akusa gi penan chatmanhu'la mangai derecho para u fanma po'lo como inosenti asta-ki guaha ebidensia na umisao sigun gi lai ya u ma garantia na u mana guaha nisisariu na dinifendi.
11-02	Taya sina ma akusa na umisao gi kuatkuet pena pat finatinas yan sinangan como ti guiya umisague' gi papa nasional na lai, gi tiempo anai makumiti i isao. Desde sed ti debi di u mas makat i pena kontra uno ni mas aplikable gi tiempo anai gumuaha pena.
12-00	Articulo 12.
12-01	Taya sina masumetido nu i arbitrarion na inentalo gi i secretuna, familiana, gumana pat corespondenciana, oset para uataka i honrana yan reputasiona. Todo mangai derecho nui proteksion i lai kontra eso na inentalo pat inataka siha.
13-00	Articulo 13.
13-01	Todo man gai derecho nui libertad na movimiento yan residencia gi halom i rendelon kada stado.
13-02	Todo man gai derecho na udingo katkuet tano, incluso i tanona, yan para ubuetta gui guato ti tanona.
14-00	Articulo 14.
