00-00	[missing]
00-01	[missing]
01-00	Elille istachiyaa
01-01	Kodeng ten - nidite bande parawaanereng tude chungden nildilek ennulngin-meduolnuni. Kodeng enmun chunde me lei, taatler lukundii ninemdiyilpe dite ennuiuol-morawnengi.
02-00	Konmegische istachiyaa
02-01	Kode iawnar tung Deklaratsiyagha nideiuode parawaapelek ennuiuol-morawnei. Tangunghane el tungiet.
02-02	- tet omo, aruu, naachen sure, tadaate ereliigiye khuodede banulgi, tet keip uuri paaip ngolul;
02-03	- tet sotsialnei paruol (proiskhozhdenie) tadaate politicheskei chunde khuodede banulgi, tet idire tetchie uuri elnemeniiye ngolul;
02-04	- tet leweinburebe chamuolgi uuri iukuolgi, mordenilgi uuri elmordenilgi;
03-00	Ialmische istachiyaa
03-01	Kode iawnar ewie tude kedel edilek tadaate tude chungden nildilek ewrereng ennuiuol-morawnei. Edildagha kinuol lelk werwelek chaldele el paruol-morawne.
04-00	Ieleklesche istachiyaa
04-01	Kinuollelk khamul uuri khamriil dite el leiuol-morawne. Kodele khamriil ngoriil tadaate poghodeghan nidannul anmolghin ewleiuol-morawnei.
05-00	Imdaldische istachiyaa
05-01	Kinuollelk el liteguol-morawne, kinuollelk kinghaten el turieiuol-morawne.
06-00	Maalailische istachiyaa
06-01	Kode iawnar - eik khadaaneng lienulelk uuri ennulelk - mer oghoniiyuol-morawnei sokuonlek.
07-00	Puskiyische istachiyaa
07-01	Kfde iawnar sokuon kieiie nidite banngi tadaate diskriminatsiyaghat chongnulgha nidite bande parawaanengi.
08-00	Maalaileklesche istachiyaa
08-01	Konstitutsiyalek uuri sokuonlek tadiyuode parawaapedaghane chawnaangudagha, kode iawnar suut chambalek tude parawaapeghane me chongnuiuol-morawnei.
09-00	Walgharumkuruosche istachiyaa
09-01	Kinuollelk sukin el khaaiillaiuol-morawne, werwelek el mooiiuol uuri tude lukulghat el maarchiyuol-morawne.
10-00	Kunilische istachiyaa
10-01	Kfde iawnar tudeghane uguluowunai annerilgha sewrengudaghane, tangunghane nezavisimei suut amutneng ichuonuldagha tadiyuol-moraw parawaanei.
11-00	Kunil maarkha burische istachiyaa
11-01	Sokuonnei ewieliche suut tet nalle wieiuolghane el ooredagha gitnuo, tet nallende kfde dite el ichuoiuo-morawneiek. Tadaate lie nalle wielelghaneng tetkhane chongnuiuol-moraw suut me lei.
