00-00	ADAMA XAFE RAFALE SARIYEE DENTEGE
00-01	A kolon fera, ibunadama xa lasiriya nun axa adamaya xafe rafale non findixi yeteralui tigitigira, a bara masen won be, a tinxinyi nun bone sa bara senbe soto dunuya birin kui.
00-02	A kolon fera, adamaya xafe sariyee mu mabanbanxi han to i bunadama yira, nafe nanine xi funmalaya, gere, gbaloe nun misikine ya mu nonma. Kono xabirin bara na sariyee ratinme, gbaloe nonmane, gere non, funmalaya nun misikine ya non. I bunadamaya bara rasabati nate mui.
00-03	A kolon fera, adamaya xafe rafale sariyee rasabatife findixi fe fanyi nan na, alanma ibunadamaya xun xa magaga mange sanyi sariyela yira.
00-04	A kolon fera, a namanee xa xanunteya senbe sofe e bore tagi, sugandi fanyi nara.
00-05	A kolon fera, a O.N.U. xa masenyi, i bunadamaya sariyee tigitigi rasabati fe findixi xaxili fanyi nan na, alanmane: gine nun xame xa suxu laxale keren, a xa masen e be, nama xa yiriwe senbeteyafe sabui gbegbe lanxi e tan ma.
00-06	A kolon fera a namanee naxe birin manaxi O.N.U. kui e bara nete tongo adamaya xafe rafale sariyee ratinme fera, na niye mane ibunadamaya xa mabanban.
00-07	A kolon fera a birin lanmafe nara yi sariyee nun yi yetera lui tide gbofe, na nomane a niyede layidi ratinme.
00-08	Malanyi xungbe bara amasen
00-09	namanee xa yi masenyi adamadi suxukima nama nun namanee birin yira alako a lufera xun dee birin sondonyi ma xaranyinun lonni sabura, na binye nun sariyee rasabatifera namane kui nun a farima.
01-00	Sariye singe (1)
01-01	Adamadie birin barixine e lan yeteralui kui, yete kolonyi nun yete suxu kima. Fondoe nun faxamui na e be boresuxu kima bariboreya fanyi kui.
02-00	Sariye firinde (2)
02-01	Kankan noma a tukude yi sariyee ra, ana dangi nara fisamanteya yo man mu luma mixi be akelide sabura, axa boxi ranereki sabura yegeti keren mu naxan kui a sinoxoya kima, fate ningi kima, a xui kima, a fere kima, a dine kima na sa fatan namanee ra xanamu nama ndee ra, fere kima xanamu kigbete nana sa fatan dedera kono naxan noe nde bun xanamu dansaxi naxan xa yeteralui ma.
03-00	Sariye saxande (3)
03-01	Baloe wayibiya birin be, marafulunyi nun xaxilisa.
04-00	Sariye naninde (4)
04-01	Ndende mulan alu konyiya nun naxankate kui. Konyiya nun ibunadama sare bara raton akena birin ma.
05-00	Sariye sulinde (5)
