00-00	Declaracio Universal de Drets Humans
00-01	Considerant que el reconeixement de la dignitat inherent i dels drets iguals i inalienables de tots els membres de la familia humana es el fonament de la llibertat, la justicia i la pau en el mon,
00-02	Considerant que el desconeixement i el menyspreu dels drets humans han originat actes de barbarie que han ultratjat la consciencia de la humanitat; i que s’ha proclamat com l’aspiracio mes elevada de tothom l’adveniment d’un mon on els essers humans, deslliurats del temor i la miseria, puguin gaudir de llibertat d’expressio i de creensa,
00-03	Considerant que es essencial que els drets humans siguin protegits per un regim de dret per tal que les persones no es vegin forsades, com a ultim recurs, a la rebel·lio contra la tirania i l’opressio,
00-04	Considerant tambe que es essencial de promoure el desenvolupament de relacions amistoses entre les nacions,
00-05	Considerant que els pobles de les Nacions Unides han ratificat en la Carta llur fe en els drets humans fonamentals, en la dignitat i el valor de la persona humana i en la igualtat de dret d’homes i dones; i que han decidit de promoure el progres social i millorar el nivell de vida dins d’una llibertat mes amplia,
00-06	Considerant que els Estats membres s’han compromes a assegurar, en cooperacio amb l’Organitzacio de les Nacions Unides, el respecte universal i efectiu dels drets humans i les llibertats fonamentals,
00-07	Considerant que una concepcio comuna d’aquests drets i llibertats es de la mes gran importancia per al ple compliment d’aquest compromis,
00-08	L’Assemblea General
00-09	Proclama aquesta Declaracio Universal de Drets Humans com l’ideal comu a assolir per a tots els pobles i nacions amb el fi que cada persona i cada institucio, inspirant-se constantment en aquesta Declaracio, promoguin, mitjansant l’ensenyament i l’educacio, el respecte a aquests drets i llibertats i assegurin, amb mesures progressives nacionals i internacionals, el seu reconeixement i aplicacio universals i efectius, tant entre els pobles dels Estats membres com entre els dels territoris sota llur jurisdiccio.
01-00	Article 1
01-01	Tots els essers humans neixen lliures i iguals en dignitat i en drets. Son dotats de rao i de consciencia, i han de comportar-se fraternalment els uns amb els altres.
02-00	Article 2
02-01	Tothom te tots els drets i llibertats proclamats en aquesta Declaracio, sense cap distincio de rasa, color, sexe, llengua, religio, opinio politica o de qualsevol altra mena, origen nacional o social, fortuna, naixement o altra condicio.
02-02	A mes, no es fara cap distincio basada en l’estatut politic, juridic o internacional del pais o del territori al qual pertanyi una persona, tant si es independent com si esta sota administracio fiduciaria, si no es autonom, o esta sota qualsevol altra limitacio de sobirania.
03-00	Article 3
03-01	Tota persona te dret a la vida, a la llibertat i a la seva seguretat.
04-00	Article 4
04-01	Ningu no sera sotmes a esclavitud o servitud: l’esclavitud i el trafic d’esclaus son prohibits en totes llurs formes.
05-00	Article 5
05-01	Ningu no sera sotmes a tortures ni a penes o tractes cruels, inhumans o degradants.
06-00	Article 6
06-01	Tota persona te el dret arreu al reconeixement de la seva personalitat juridica.
07-00	Article 7
