00-00	Declarasao dos Direitos Humanos
00-01	Considerando que o reconhecimento da dignidade inerente a todos os membros da familia humana e de seus direitos iguais e inalienaveis e o fundamento da liberdade, da justisa e da paz no mundo,
00-02	Considerando que o desprezo e o desrespeito pelos direitos humanos resultaram em atos barbaros que ultrajaram a consciencia da Humanidade e que o advento de um mundo em que os todos gozem de liberdade de palavra, de crensa e da liberdade de viverem a salvo do temor e da necessidade foi proclamado como a mais alta aspirasao do ser humano comum,
00-03	Considerando ser essencial que os direitos humanos sejam protegidos pelo imperio da lei, para que o ser humano nao seja compelido, como ultimo recurso, a rebeliao contra a tirania e a opressao,
00-04	Considerando ser essencial promover o desenvolvimento de relasoes amistosas entre as nasoes,
00-05	Considerando que os povos das Nasoes Unidas reafirmaram, na Carta da ONU, sua fe nos direitos humanos fundamentais, na dignidade e no valor do ser humano e na igualdade de direitos entre homens e mulheres, e que decidiram promover o progresso social e melhores condisoes de vida em uma liberdade mais ampla,
00-06	Considerando que os Estados-Membros se comprometeram a promover, em cooperasao com as Nasoes Unidas, o respeito universal aos direitos e liberdades humanas fundamentais e a observancia desses direitos e liberdades,
00-07	Considerando que uma compreensao comum desses direitos e liberdades e da mais alta importancia para o pleno cumprimento desse compromisso,
00-08	agora portanto,
00-09	A Assembleia Geral proclama a presente Declarasao Universal dos Direitos Humanos
00-10	como o ideal comum a ser atingido por todos os povos e todas as nasoes, com o objetivo de que cada individuo e cada orgao da sociedade, tendo sempre em mente esta Declarasao, se esforce, atraves do ensino e da educasao, por promover o respeito a esses direitos e liberdades, e, pela adosao de medidas progressivas de carater nacional e internacional, por assegurar o seu reconhecimento e a sua observancia universal e efetiva, tanto entre os povos dos proprios Estados-Membros, quanto entre os povos dos territorios sob sua jurisdisao.
01-00	Artigo I.
01-01	Todos os seres humanos nascem livres e iguais em dignidade e direitos. Sao dotados de razao e consciencia e devem agir em relasao uns aos outros com espirito de fraternidade.
02-00	Artigo II.
02-01	Todo ser humano tem capacidade para gozar os direitos e as liberdades estabelecidos nesta Declarasao, sem distinsao de qualquer especie, seja de rasa, cor, sexo, idioma, religiao, opiniao politica ou de outra natureza, origem nacional ou social, riqueza, nascimento, ou qualquer outra condisao.
02-02	Nao sera tambem feita nenhuma distinsao fundada na condisao politica, juridica ou internacional do pais ou territorio a que pertensa uma pessoa, quer se trate de um territorio independente, sob tutela, sem governo proprio, quer sujeito a qualquer outra limitasao de soberania.
03-00	Artigo III.
03-01	Todo ser humano tem direito a vida, a liberdade e a seguransa pessoal.
04-00	Artigo IV.
04-01	Ninguem sera mantido em escravidao ou servidao; a escravidao e o trafico de escravos serao proibidos em todas as suas formas.
05-00	Artigo V.
05-01	Ninguem sera submetido a tortura nem a tratamento ou castigo cruel, desumano ou degradante.
06-00	Artigo VI.
06-01	Todo ser humano tem o direito de ser, em todos os lugares, reconhecido como pessoa perante a lei.
07-00	Artigo VII.
07-01	Todos sao iguais perante a lei e tem direito, sem qualquer distinsao, a igual protesao da lei. Todos tem direito a igual protesao contra qualquer discriminasao que viole a presente Declarasao e contra qualquer incitamento a tal discriminasao.
08-00	Artigo VIII.
08-01	Todo ser humano tem direito a receber dos tribunais nacionais competentes remedio efetivo para os atos que violem os direitos fundamentais que lhe sejam reconhecidos pela constituisao ou pela lei.
09-00	Artigo IX.
09-01	Ninguem sera arbitrariamente preso, detido ou exilado.
10-00	Artigo X.
10-01	Todo ser humano tem direito, em plena igualdade, a uma justa e publica audiencia por parte de um tribunal independente e imparcial, para decidir sobre seus direitos e deveres ou do fundamento de qualquer acusasao criminal contra ele.
11-00	Artigo XI.
11-00	Todo ser humano acusado de um ato delituoso tem o direito de ser presumido inocente ate que a sua culpabilidade tenha sido provada de acordo com a lei, em julgamento publico no qual lhe tenham sido asseguradas todas as garantias necessarias a sua defesa.
