00-00	DECLARATIONEM HOMINIS IURIUM UNIVERSAM
00-01	Omnium humanae gentis partium perspecto et cognito consensum fidemque propriae dignitatis atque iurium, quae omni tempore aequa et paria esse debent nec alienari possunt, totius terrae libertatis iustitiae pacis esse initium;
00-02	hominis iurium perspecto et cognito contemptum et neglegentiam ea facinora atrocia tulisse ut morum humanorum conscientiam religionemque minuerint, atque etiam aetatis initium, qua omnes homines loquendi libertate et credendi utantur, nihil terroris indigentiaeque timentes, maximum, quod homo expetiverit, renuntiatum;
00-03	hominis iura perspecto et cognito legum regimine defendi necesse, si cupiunt hominem, ultima ratione, ad nimiae vexationi ac crudeli dominationi reclamitandum non sollicitari;
00-04	Gentium coniunctionibus perspecto et cognito magis magisque in dies faveri necesse;
00-05	Gentium Coniunctarum perspecto et cognito nationes in Constitutione propria iuribus hominis praecipuis fidem se habere confirmavisse, ipsius hominis dignitati et virtuti, aequis inter homines, vel virum vel mulierem, iuribus, praeterea non modo progressioni generis humani communi se favere decrevisse, sed etiam rationibus vivendi in latiore facultate prosperioribus;
00-06	Civitates Socias perspecto et cognito, salva fide, de maxima verecundia et certa observantia hominis iurium et omnium praecipuarum libertatum firmandis, auxilio cum cunctis Gentibus Coniunctis conferendo, esse pollicitas;
00-07	ad eadem officia persolvenda perspecto et cognito communem formam rationemque, et eorundem iurium et libertatum, maximi esse momenti et ponderis;
00-08	itaque
00-09	PUBLICUS NATIONUM COETUS
00-10	HANC DECLARATIONEM HOMINIS IURIUM UNIVERSAM
00-11	PROMULGANT
00-12	Omnibus civibus et gentibus speciem perfectam et communem adipiscendam, ut omnes homines et omnes societatis partes, memoriam Declarationis tenentes, et docendo et instituendo, eorundem iurium et libertatum observantiam reverentiamque augeri conentur, atque, patriis consiliis et externis in dies progredientibus, communem omnium et certam probationem rationemque esse tuta, cum Sociarum Civitatum civium tum civium, quorum fines in iurisdictionis earundem potestate sint et dicione.
01-00	I
01-01	Omnes homines dignitate et iure liberi et pares nascuntur, rationis et conscientiae participes sunt, quibus inter se concordiae studio est agendum.
02-00	II
02-01	Omnium hominum propria sunt quae iura et libertates in hac DECLARATIONE enuntiantur: generis,vultus, sexus, linguae, religionis, opinionis civilis, nullo discrimine atque sine natione divitiis loco discretis.
02-02	Praeterea nullum discrimen statuetur civitatis forma et iuris aut gentium, regionis aut territorii cuius quidam est, sive ea regio aut territorium sui iuris est vel in administrationis fiduciariae dicione vel non liberum vel in cuiuslibet imperii modi potestate.
03-00	III
03-01	Suae quisque ipsius vitae, libertatis, incolumitatis potestatem habet.
04-00	IV
04-01	Homo nemo iugo et servitute oppressus teneri poterit; nullo pacto, servitus et mancipiorum commercium.
05-00	V
05-01	Homo nemo in cruciatum poterit dari, suppliciis atrocibus adhibendis.
06-00	VI
06-01	Suae quisque ipsius probationis potestatem habet, ubicumque gentium, personae rationalis et civilis.
07-00	VII
07-01	Omnes homines ea lege, qua aequo modo defendantur, sunt pares, sine ullo discrimine. Omnes homines lege aequa suae ipsorum defensionis ius habent ab omni discrimine quod eam DECLARATIONEM violet, atque ab omni incitamento ad id discrimen efficiendum.
08-00	VIII
08-01	Suae quisque ipsius appellationis ad idonea tribunalia patria de facinoribus quae maxima et iusta iura violent ei relata a rei publicae institutis vel legibus, potestatem habet.
09-00	IX
09-01	Homo nemo sine causa prehendi, custodia teneri, vel exilio poterit affici.
10-00	X
10-01	Sui quisque, pari iure, iudices aeque ac coram omnibus adeundi potestatem habet, qui non opinioni obnoxii sint sed integri, ut iura officiaque sua constituantur atque criminis contra se iustae causae.
11-00	XI
11-01	Suae quisque ipsius innocentiae coniectae, sceleris accusatus, omni de defendenda causa auctoritate comparata et fide accepta, dum culpa ex lege in publico iudicio ostenta erit, potestatem habet.
11-02	Homo nemo damnari poterit, si iussum, quod ipso hoc tempore aut ex domestico iure aut ex gentium non fuerit scelus, perpetraverit vel praetermiserit. Item nulla poena maior quam quae, scelere commisso, iure potest dici, irroganda.
12-00	XII
12-01	Homo nemo intercessiones, sine causa, adire in suae ipsius vitae genus,familiam, domum, mutuam corresponsionem neque in sui fama detrimenta capere poterit. Suae quisque ipsius tutelae, ex lege contra easdem intercessiones aut detrimenta, potestatem habet.
13-00	XIII
13-01	Suae quisque et motus et sedis domiciliique, in omnium civitatum finibus, libertatis potestatem habet.
13-02	Suam quisque potestatem habet quamlibet regionem atque suam relinquendi, in eandemque revertendi.
14-00	XIV
14-01	Suae quisque comparationis et usus, inter alias gentes, hospitii potestatem habet, vexationum causa.
14-02	Quod ius non appellari potest, cum homo criminibus non publicis perquiratur vel rebus adversis Gentium Coniunctarum consiliis et rationibus.
15-00	XV
15-01	Suae quisque ipsius civitatis potestatem habet.
15-02	Homo nemo sua civitate sine causa demi poterit nec civitatis iure mutandae.
16-00	XVI
