00-00	nigvndv digntslnvi anyvw unhv iyundvdi
00-01	gvnyuq ddnlvtsv nsg atlyasdsg atlvqdd al nsgn igt al udhyuhya unhv iyundvd nsgn ngd anl nsg anyvw sdnlv annlv nni dggsdi dh addi, dyugdv usdyohsd al nvwdhyadv nhn nsg elh,
00-02	gvgvnyuq agsstnvn al nglvqdvn nsgn anyvw unhv iyundvdi
00-03	unhvi wndlstnvg n unsgst nndvnnv nsgnn unhv glsvstnv atlwhsd nsg tsngddyi unddyi yvw, al nsg elh ults nhni nsgnn anyvw as alhlsd dh gwnhsd al unhyusv al dh addi nsgn ngnyehsdvn al kntsvg undlvd nvlstnvg nsg wglvldyv andlvtnv nsg nngvq yvw,
00-04	gvnyuq ni ulsgdv, nsgn asgya gvsdyedd ngsvn yig nsg ghsd ndntlvn, on udllv udntlyvd, yudyilv uwhyud nsg tsgtlvsd ndtstlvnq nndvnhvg al uyo iyaddvnh, nsg anyvw unhv yundvndi elsd alsnvdd yig nvi nsg tsnknwdvsdd dkhnwdvsd,
00-05	gvnyuq nsg ulsgdv ni gvngsv nnvnhv nsg udnvt uwldsdv ddlwdvhv udtstlvg ayel dndtlvsvi,
00-06	gvgvnyuq nsg anyvw nsgn undddwdv ayel dndtlvsv nnvhnnv nhn
00-07	aadlsglvdnh dlsdd dsdyidvi nsgnn unhyutnv dnlsdv anyvw unhv yundvdi, ni nsg atlvqdd al tsgvwld nsgn anyvw ansyvwh al ni etslhq unhv iyundvnd ni ansgya al angyv al dngtnvg gvngsv nnvnhv undtlvh alyilsv al dtstlv igthq n vlndhvg nhn eqhgsd dh addi,
00-08	gvgvnyuq anl sgdg uddlvnvh ni unvs untlngvndi, ni unlgsv-ulgh nsg undddwdv ayel dndtlvsv, nsg gvngsv nnvnhvg ngvndn ghyuh nsgn al agsstnvg n anyvw unhv yundvndi al dnlsdv dh tsnddi, gvnyuq utlyaq unltsvg nsg unhv iyundvdi al dh addi nsg wq ulsgd nsgn kli adlhsvh ha addlvd, nqn, nsg iyusd, nsg ngdq dnlwv dlstnvh ha ngvndv dgntslnvi anyvw unhv iyundvndi nsg utlyaq igthq alngvnlvg nsgn ngd anyvw al ngd undddwdv ayel dndtlvsv, ni nsg asqdvh nsgnn ngdyu asyvw al ngdyu ayelv nsg yvw, unsqngdd ha dgntslnv nghlvi andnvtsgi, asn anlvdd nsg dndyohvsgvg al tsndlqsdi ni gvngsv nnvnhv ghyuh nsgn ha unhv iyundvndi al dh tsnddi nvi alyilsvg wtllhh, ayel al ayel dndtlvsv, nnyehsdvnq nsg ngvndn al iyulsddyi dggdnlvtsvg al agsstnvg, itsln nndvnv nsg anyvw n anl sgdg unvs al nndvnv nsg anyvw nni dsgdg hwndtlv iyundvnldsd unhvi.
01-00	ayadlv 1
01-01	nigd anyvw undnvi unddld al etslhq ni atlvqdd al unhv iyundvdi. nasgnn ulsglvtnvg utlyasd nvyeldvg al adnvttldsd al elsd syvwh ndnddvndgvg n dndnvtl adnvd gvd.
02-00	ayadlv 2
02-01	nigdv anyvw undndl ni ngd unhv iyundvndi al dh addi ni dgknvg ha dgntslnvi, untsldv nntlyasdvn ni ngvq tsdlnvd, dknistnvh tsndlnvd anyvw, dgggnvdi, agya al asgya, gwnhsd, tsnnld, dndgyasg al si nnlsgvg, ayel undtlvh al yvw nddyundlnvg, nnvhnnv, udnv al si nsddnvi.
02-02	uddtlvigsdd, tl nntlyasdvn udhyusvn nsgn dndgyasg ndyulsdtnv nsg udtlvnvi, iyundvnldsd unhvg al ayel dndtlvsv nsddnv nsg ngvndvi al sgdg nsgn anyvw annlvg, iyunsq nsgni undtsld, gggnvt gsvi, gvngvgv-uwsv-ugssddg hwndtlv ngv si nvnyoisdnhvn ni unhv undtslgya.
03-00	ayadlv 3
03-01	nigdv anyvw unhv nsg dyugdv yundvdi vlndhvi, ogdtsl gsvi al nsg ugssd yvw.
04-00	ayadlv 4
04-01	udhyuh tlgli atsnyvd nsg dgtsntlv al gsdyasd atsntli yigssd; dgtsntlv al nsg dgtsntl dgndnvd udhyuhya gnvsdsgsd nsg ngv nsg iyusd.
05-00	ayadlv 5
05-01	udhyuh tlgli atslvsd yigssd al uyo iyaddvnh yigssd, anyvw ngsvn yigvd yigssd al udhhsd yigvd yigssd al asdvdsdd yigssd.
06-00	ayadlv 6
06-01	nigdv anyvw unhv nsg dyugdv iyundvndi ngvndv ggltsd nsg yvw igvyattl nsg dknwdvsd.
07-00	ayadlv 7
07-01	nigdv itslhq igvyattl nsg dkhnwdvsd al undndlnvi nvtlyasdvn ngv addvyutsd nsg itslhq gvwnsdlvdd nsg dkhnwdvsd. nigd undndlnvi itslhq gvwnsdlvdd dgvwntldsg ngv addvyutsd nsg asgnvgvi ha dgntslnvi al dgvwntldsg al ngv dddlgv nsg iyusd addvyutsd.
08-00	ayadlv 8
08-01	nigdv anyvw unhsd nsg dyugdv iyundvdi ni dggtnvg iyulsdd nsg yel ngvwndvd gsv ayel tsndyildsd nsgn dlntsvg asgnvtsvi nsg dnlsdv dnhvg ulsglvdnlvg nsgn ggsdvd al nsgn dkhnwdvsd.
09-00	ayadlv 9
09-01	udhyuh tlgli asqq tsggdnd yigssd ni atsnyvd yigssd, atssdd al ayel atsngwsd.
10-00	ayadlv 10
10-01	nigdv anyvw unh undndlnvi nsg ukltsvh itslhqn iyundvnd unh nsg dyugdv al ayel ggdvdsdd nsgn undtsld al unlgh ngsvn tsndyildsd, nhn nsg dnvgtndhvg nsg unhv utsl al undddlvhvsgv al ngv asgnvtsv aghsdv utldsg.
11-00	ayadlv 11
11-00	nigdv anyvw gghstnv utlyasd usdvdsg usgnvtsvi uhsd nsg unhv dyugdv dhyuhya nsgnvn gln anhyutnv usgnvtsvi ngvnv dkhnwdvsd nhni ayetl dndyeldhvg nsgn dndisdnlvg nsg uhvg ngd nsgn iyulsdd agdsvsdsgvg.
11-01	tlagli wdgndvi atsnyvd usgnvtsv ngv usdvdsg usgnvtsvi uni addlvd ngv ulntsv al gldstnv nsgn tl dlstnv usdvdsg usgnvtsvi, hwndtlv ayel undtlvsv al ayel dndtlvsv dkhnwdvsd, nsg nyui atlilssv udsgnvtslvg. vtln wdgndv ggdyuqn usdvdsg nsg tsdgdnd esgq nsg sq nsg ddlg nyui atlilssv usdvdsg usgnvtsvi nyugsv nvdvnlvg.
12-00	ayadlv 12
12-01	tlagli wdgndvi asqq tsggdnd alslnd ulgh nsg udld, sdnlv, uqnvsv al dnddvgdsgv, vtl dgtlvsd glvqdd gsv al agdnvtdyi. nigdv anyvw unhv dyugdv gvwnsdlvdd gssd nsg atldsg dkhnwdvsd ghsd alslnd al dgtlvsd.
13-00	ayadlv 13
13-00	nigdv anyvw unhv nsg dyugdv dh addi ni adnvsdsdi al dnnlvg hwndtlv nsg dtlhsdvi ni sqh sgdg.
13-01	nigdv anyvw unhv nsg dyugdv ungsd ngvq ayel ngvndvi, utlyasd uws utsl evi, al iglhsd uni uws utsl ayel ngvndvi.
14-00	ayadlv 14
14-00	nigdv anyvw unhv nsg dyugdv unyohvg al ulhlsdd nhn si ayetl ngvndvi ulsgsdtnlvh nsgn atssdvdsdsgvg.
14-01	hiini unhv dyugdv tl elq yigvnshsd nsg dlyildhv dyun dgtssdvhvsgvg nsgn ddlnsgv gvngvgv-adgyadv ugvwl usgnvtsvi al nsgn dkhnwdvsd alsgnsg ugvwl al asglyv nsg undddwdv ayel.
15-00	ayadlv 15
15-00	nigdv anyvw unhv nsg dyugdv ayel anh iyunlsddi.
15-01	tlagli wdgndvh asqq undyilvg utsl ayel iyulsdd vtln undyilvg nsg uhvg dyugdvi nsg untlyvsd ayel iyulsddi.
16-00	ayadlv 16
16-00	ansgya al angya kl agyvl, ntlyasdvn ngv nvnyoisdnhvn ndglsddsgv ni nvndl anyvw, ayel ndyunlsv al tsnnld, unhv nsg dyugdv yundvnd ni dggtsvsdsgv al sdnlv ndyundlnvi. nasgn unh undntlnv ni itslhqn iyundvnd unhv nsg dggtsvsddi, nyu dggtsvsdsgvg al nsgni dnglnsgvg.
16-01	diggtsvsdsgv udhyuh ayvlvg yulsdd nnh uws nsg utlyasd nddlvn al kli osyu uyelvnvh ni advnvisdsgv dnnl yulsddi.
16-02	nasgn sdnlv ngvwsdv nvsdv al dnlsdv undtlgv sq yvw al nsg undntlnv gvwnsdlvhdh nsgni yvw al nsg sgdg.
17-00	ayadlv 17
17-00	nigdv anyvw unhv nsg dyugdv uws tsgvwld untsl iyulsddi nsgyan ni tsnlgd ansi untlyasd.
17-01	tlagli wdgndvh asqq undyilvg nsg untsl yulsdd tsgvwld uhvi.
18-00	ayadlv 18
18-01	nigdv anyvw unhv nsg dyugdv ni dhq unddi, tsngddyi al tsnnld; ha unhv dyugdv atlyasd dh addi nsq gntlyvsd uhvi tsnld gsv al uwhyusvi, al dh addi, itslq uwsv al nhni dndsvg utlyasd si al nhni yvw undsdi al udld, dnlsdv unhv tsnnld al unhyusvg nhn dndyohvsgv, anlsnhsdsgv, anddlsdsgv al agsstnvg.
19-00	ayadlv 19
19-01	nigdv anyvw unhv nsg dyugdv dhq addi nsg gltsvi al utlntsvi; ha dyugdv unhv dyugdv atlyasd dh addi usvglsd nsdv glgvi nvtlyasdsgvn ndyosdnhvn al unyohvg, angsd al wdndyi gvngsv igvwnd al adnvtsgv agdvlstnv ngv knhd undglyasd al yinglsdq uni asdnvnv dtlldv.
20-00	ayadlv 20
20-00	nigdv anyvw unhv nsg dyugdv dhq addi dh addi nsg nvwdhyadvq dnlwgv al unlgsvi.
20-01	tlagli yelq uddlvd udtslvd nsg tslgdyi.
21-00	ayadlv 21
21-00	nigdv anyvw unhv nsg dyugdv untldsd nhn ayel udtlvsv nsg ayel ngvndvi hhvi, tsyudq al agdvlstnv nddlvnq ansyesgv dnlwg.
21-01	nigdv anyvw unhv nsg dyugdv itslhqn ayvsdd uni ayel iyunddvnd nhni utsl ayel ngvndvi.
21-02	nasgn advnvisdv nsg anyvw udhyuh nsg ayel udtlvsv usvglsd ayel udtlvsv; ha advnvisdv udhyusv utlntsv nhn iyudlh al dyun tsndsyesd nsgn udhyuh nsg ngvndv al itslhqn unvs iyundvnd unhvi al udhyuh unsvgtlv udldv unnisd gssd al nsg utlyiq nddlvn knisd ahlvsdyi.
22-00	ayadlv 22
22-01	nigdv anyvw, nsg anl gsv yvw, unhv nsg dyugdv nsg wtsn addlvd al undndlnvi nsg addtlsd, agdvlstnv ayel undtlvsv anlvdsgvg al ayel dndtlvsv unlgsv-ulgh al nsg ngvnv ulgh nsg tsndtlvnnvh al tsgvwld uni ngd sgdg, nsg alsnvdd, yvw al unhv iyundvnld dyugdvi iyulsdd nsgn uhv atlvqdd al nsg uhv udnvtdi nsg asq udlwdvhvg.
23-00	ayadlv 23
23-00	nigdv anyvw unhv nsg dyugdv dglvwsdnd, uddld usyesd dgtsntlvdi, ni osd al asyestnv dnlsdvg dglvwsdnd al dsdlsg nsgn dgtsntlvdi ngsvn.
23-01	nigdv anyvw, ngv addvyutsd ngsvn, unhv nsg dyugdv idgd aggyvehvi nsgn idgd dglvwsdnd.
23-02	nigdv anyvw nsgn tsnlvwsdnh unhv dyugdv nsg osd al asyestnv gggyvedyi gsvi asdwdvsd nsgn uwsvq al sdnlv ndwnvg nn anhvi tsgvwldya ni anyvw atlvqdd, al gnqd, yinglsdq, nsgn si unlsdlvwdd nsg yvw dnsdlsg.
23-03	nigdv anyvw unhv nsg dyugdv undtlvd al nsg untldsd dntsg sq unlgh nsgn dnsdlsg utsli knqg gsvi.
24-00	ayadlv 24
24-01	nigdv anyvw unhv nsg dyugdv utswslvsdd al di nvdvnvg dglvwsdnd, utlyasd nlsvsdvn aslvg iyutlld dnlvwsdnhv al iyudlq tsnlvwsdnd ngsvn ig nsg agqyvhhv utlyasd.
25-00	ayadlv 25
25-00	nigdv anyvw unhv nsg dyugdv ayelv ndvhndgv ulndhv elig utlyiq yulsdd al osdv-nvdvndgv uws al sdnlvi dwkhvg, utlyasd alsdyvt, dhnw, gltsd al gntlvgnvwt agssddi al yinglsd yvw dnsdlvhd atssdlvdi, al nsg unhsd ni atssdlvd nyui nsg nglstndhv nsg dgtsntlvdi ngsvn, utlvtsyesg, dgvwlvwsdnd ngsvn, agyvl, al si gllgvg nsg dglvwsdnd dglvwsdnd uhvg nyui nglstndhvi ulsvstnv agtdsd ngsvn.
25-01	udtsi al dnyol unhv undndlnvi utsldv gggssdd al gtssdlvdi. nigv dnyotl, iyun dggtsvstnvg al dggtsvstnvg ngsvn yig udnvg, wdgndv alhlsd nsg utlyi yvw dnsdlsg.
26-00	ayadlv 26
26-00	nigdv anyvw unhv nsg dyugdv tsndlqsd. tsundlqsd wdgndvh asqi, elsdn nsg adlnsgvg al ngvwyusv dlsdd wdstlvg. adlnsgvg tsndlqsd wdgndvh addlvd gssd. ahlvsdyi al agtni iyudvnd tsndlqsd wdgndvh yulsdd ngvq udtlvnvg advnvistnvg al wglvldyv tsndlqsd wdgndvh yulsdd idggt gvyvsd gsvi nsg ngd alnvtnv nsdv wdvndi.
26-01	tsundlqsd wdgndvh yulsdd adshlv nsg kli dntllwdvhv nsg anyvw uwsvhqn al nsg ndlngvgv ghyud nsgn anyvw unhv nsg dyugdv al ngvwyusv dlsdd dh addi. unhsd gvngsv ngvnvg glsdi, alsgldg al oli nndvnv ngd ayel dndtlvsv, tsndlnvd anyvw al tsnnlvd dndtlgv, al wddtlv wdgndv nsg alngvndi nsg undddwdv ayel nsgnn unsqngd nvwdhyadv.
26-02	tsundgyvlg unh tswgtnvsv dyugdv unhv unsyesd nsg iyusd tsndlqsd nsg wdgndvh yulsdd atsnd nsg ddtnvi.
27-00	ayadlv 27
27-00	nigdv anyvw unhv nsg dyugdv nddlvnq uwlddsd nhni unlndsd gsv anlndhi nsg undsvg, ni alhlsd nsg gtlvnvnv al adyoted nhni nsnsvg alyilgvg al nsg unlsdlvdd.
27-01	nigdv anyvw unhv nsg dyugdv gtssdlvd nsg agdnvtd al gvdndsd asdwdvsd nsgn ngv wnglstnhhvg nsnsvg, agthv gwl al untlvnvsg untlvnvnv nsg tswwlnvh.
28-00	ayadlv 28
28-01	nigdv anyvw unh undndlnvi nsg undtlshvg al ayel dndtlvsv dlsdd nhn nsgn dyugdvg al dh tsnddi gsdyv gknvg nhni ha dgntslnvi nqn kli adlhsvi.
29-00	ayadlv 29
29-00	nigdv anyvw iyudvnd unhvg nsg undsvg nhni nsgn uwsv nddlvn al akl dntllwdvhv uwsvhqn utsl nsg hlq yigvwlsdd.
29-01	nasgn anvdsgv unhv nsg dyugdv iyundvnd al dh tsnddi, ngdv anyvw unlsgsdv nsg dggtnv dkhndvsd unvsvhyu nsgn iyuyelvdv glshvsg uws iyusd dgnyvdd ndglsddsgv ddnlvtsvg al ghyud nsgn unhv nsg dyugdv al dh tsnddi nsg si al dntlsgvg nsq asi iyadvnd nsg dyugdv iyadvd, yvw adnvwsdsg al nsg ngdq unlsdlvtndsd nhni yvw untsldv undtlvh.
29-02	hia unhv nsg dyugdv al dh tsnddi elq nhn tl yunhsd adyildsd unvdsgvg alsgnsg nsg nvyelvdv al unlsglyv nsg uni undddwdv ayel dndtlvsv.
30-00	ayadlv 30
30-01	hia ngvnnv dgntslnvi elq yanntlvd nsg nnlsgvg nsgn ngv sgdg, undtlshv al glq ngv unhv nsg dyugdv dndntsd nhn ngv alngvndi al nsgn unhv nsg dyugdv iyadvnd al dh addi gknv ahnq ni ngv dgvgtnv iyadvnd nsg unyosddi.
