00-00	DEARBHU UILE-CHOITEANN CEARTA AN DUINE
00-01	De Bhri gurb e aithint dinte duchais agus chearta comhionanna do-shannta an uile dhuine den chine daonna is foras don tsaorise, don cheartas agus don tsiochain sa domhan,
00-02	De Bhri gur thionscain a neamhaird agus an mi-mheas ar chearta an duine gniomhartha barbartha a chuir uafas ar choinsias an chine daonna, agus go bhfuil forogartha gurb e meanmarc is uaisle ag an gcoitiantacht saol a thabhairt i reim a bhearfas don duine saoirse chainte agus chreidimh agus saoirse o eagla agus o amhgar,
00-03	De Bhri go ndearna pobail na Naisiuin Aontaithe sa Chairt dearbhu athuair ar a gcreideamh i gcearta bunusacha an duine, i ndinit agus i bhfiuntas pearsan an duine agus i gcearta comhionanna fear agus bean, agus gur chinneadar tacu leis an ascnamh soisalach agus reim maireachtana nios fearr a thabhairt i gcrich faoi shaoirse nios fairsinge,
00-04	De Bhri gur ghabhadar na Stat-Chomhaltai faoi chuing ghealltanais go ndeanfaid, i gcomhar leis na Naisiuin Aontaithe, urraim uile-choiteann eifeachtach d'airithiu do chearta agus do shaoirsi bunusacha an duine.
00-05	De Bhri go bhfuil se fior-thabhachtach, chun an gealltanas sin a chomhalladh ina iomlaine, go mbeifi ar aon-tuiscint maidir leis na cearta agus na saoirsi sin,
00-06	Anois ar an abhar sin forograinn an Tionol Gineralta an Dearbu Uile-choiteann seo ar Chearta an Duine mar chomhchaighdean le tabhairt i reim ag gach pobal agus gach naisiun ionas go ndeanfaidh gach uile dhuine agus gach uile organ den chomhdhaonnacht, agus iad de shior ag tabhairt an Dearbhuithe seo da n'aire agus da n-uidh, dichell, trid an teagasc agus an t-oideachas, chun urraim do na cearta agus do no saoirsi sin a chothu agus chun a airithiu trid bearta ascnaimh, naisiunta agus eadarnaisiunta, go mbeidh aithint agus feidm eifeathtach uile-choiteann acu, ni hamhain i measc pobal na Stat-Chomhaltai fein, ach fos i measc pobal na gcriocha ata faoina ndlinse sin.
01-00	Airteagal 1.
01-01	Saolaitear na daoine uile saor agus comhionann ina ndinit agus ina gcearta. Ta bauidh an reasuin agus an choinsiasa acu agus dlid iad fein d'iompar de mheon bhrthreachais i leith a cheile.
02-00	Airteagal 2.
02-01	Ta teideal ag gach uile dhuine chun na gceart agus na saoirsi go leir ata leagtha amach sa Dearthu seo, gan idirdhealu daon tsaghas, go hairithe maidir le cine, dath, gneas, teanga, creideamh, tuairim pholitiochta no tuarim eile, bunadh naisiunta no soisilach, maoin, breith no ceimiocht eile,
02-02	Fairis sin, ni deanfar aon idirdhealu ar fhoras no ceimiochta poiliticiula, dlinsiula no eadarnaisiunta ata ag an tir no an chrioch len mbaineann duine, pe acu crioch neamhspleach, crioch iontaobhais, no crioch gan rialtas duchais i, no crioch a bhfuil aon teoranta eile ar a ceannasacht.
03-00	Airteagal 3.
03-01	Ta ag gach uile dhuine, an ceart chun marthana, chun saoirse agus chun slandala a phearsan.
04-00	Airteagal 4.
04-01	Ni coimeadfar aon duine faoi mhoghsaine na faoi dhaoirse; toirmeasctar gach gne den mhoghsaine agus de thradail na mogha.
05-00	Airteagal 5.
05-01	Ni deanfar ceastoireacht ar bith na coir na pionos eadrocaireach, midhaonna na taircheimneach a chur air.
06-00	Airteagal 6.
06-01	Ta ag gach uile dhuine an ceart chun a aithinte i ngach uile ait mar phearsa i lathair an dli.
07-00	Airteagal 7.
07-01	Is comhionann na daoine uile i l'athair an dli agus is dligh dhoibh an dli do thabhairt coimirce dhoibh i gcomhionannas gan leithcheal ar aon neach. Dlitear do chach comhionannas coimirce i gcoinne aon leithcheal a sharodh an Dearbhu seo agus i gcoinne aon bhriogaireachta chun leithcheal den tsort sin a dheanamh.
08-00	Airteagal 8.
08-01	Ta ag gach uile dhuine an ceart chun foirithin eifeachtuil d'fhail o na binsi naisiunta inniula i gcoinne gniomhartha a sharaios na cearta bunusacha a bheir an bunreacht no an dli dho.
09-00	Airteagal 9.
09-01	Ni deanfar go forlamhach aon duine a ghabhail a choinneail na a chur ar deoraiocht.
10-00	Airteagal 10.
10-01	Dlionn an uile dhuine, i gcomhionannas iomlan lena cheile, eisteacht chothrom phoibli d'fhail o bhinse neamhspleach neamhchlaon chun a chearta agus a oblagaidi agus aon chuiseamh coiriuil ina aghaidh a chinneadh.
11-00	Airteagal 11.
11-01	Gach duine a cuiseofar i gcion inphionois is tuigthe e a bheith neamhchiontach go dti go gcruthaitear ciontach e do reir dli i dtrail phoibli, ina mbeidh ar fail aige gach coir is ga lena chosaint a rathu.
11-02	Ni daorfar duine ar bith in ngeall ar aon ghniomh na neamhghniomh nach cion in-phionois a bhi ann, trath a dheanta, faoin dli naisiunta no faoin dli eadarnaisiunta. Na ni gearrfar pionos is troime na mar dob in-ghearrtha an trath a rinneadh an cion.
12-00	Airteagal 12.
12-01	Ni deanfar cur isteach go forlamhach ar dunie ar bith maidir lena shaol priobhaideach, a theaghlach, a ionad conaithe, na a chomhfreagras na ni deanfar ionsai air i leith a onora na a chaile.
13-00	Airteagal 13.
13-01	Ta ag gach uile dhuine an ceart chun gluaiseacht agus conai ina rogha aite laistigh den Stat.
13-02	Ta ag gach uile dhuine an ceart chun imeacht as aon tir, lena n-airitear a thir fein, agus filleadh ar a thir fein
14-00	Airteagal 14.
14-01	Le linn gearleanuna, ta ag gach uile dhunie an ceart chun tearmann a lorg agus a bheith aige i dtiortha eile.
14-02	Ni feadfar feidhm a bhaint as an gceart seo i gcas inchuiseamh a leanas iarbhir as coirthe neampholaiticiula no as gniomhartha ata contrartha dochuspoiri agus do bhuntreora na Naisiun Aontaithe
15-00	Airteagal 15.
15-01	Ta ag gach uile dhuine an ceart chun naisiuntacht d'athru.
15-02	Ni deanfar go forlamach a naisiuntacht a bhanit d'aon duine, na fos an ceart chun a naisiuntacht d'athru.
16-00	Airteagal 16.
16-01	Ar aois in-nuachair a shlanu dhoibh ta ag fir agus mna, gan srian ar bith maidir le cine, naisiuntacht na creideamh, an ceart chun posadh agus teaghlach a bhunu. Is ionann na cearta ata acu maidir leis an bposadh, le linn an phostas agus ar scaoileadh a phosta.
16-02	Ni deanfar posadh gan saorthoil iomlan na beirte ata le posadh.
16-03	Is e an teaghlach is buion-aonad priomha bunaidh don chomhdhaonnacht do reir nadura agus dlionn an chomhdhaonnacht agus an Stat e a chaomhnadh.
17-00	Airteagal 17.
17-01	Ta ag gach uile dhuine an ceart chun maoin a shealbhu , ina anoar agus i gcomhar le daoine eile.
17-02	Ni feidir a mhaoin a bhaint go forlamhach de dhuine ar bith.
18-00	Airteagal 18.
18-01	Ta ag gach uile dhuine an ceart chun saoirse machnaimh, coinsiasa agus credimh; airitear sa sa cheart sin an tsaoirse chun a chreideamh no a dheimhne d'athru maraon leis an saoirse chun a chreideamh no a dheimhne d'fhiolsiu, ina aonar no a no in eineacht le daoine eile, go poibli no go priobhaideach, trid an teagasc, an cleachtadh, an adhradh agus na deas-ghnatha.
19-00	Airteagal 19.
19-01	Ta ag gach uile dhuine an ceaqrt chun saoirse tuairime agus chun saoirse nochtuithe tuairime; airitear sa cheart sin saoirse chun tuairimi a bheith aige gan aon bhac air, agus chun eolas agus smaointe a lorg, a ghlacadh agus a leathadh tri mheain ar bith, gan aird ar chrioch-theoranta.
20-00	Airteagal 20.
20-01	Ta ag gach uile dhuine an ceart go mbeidh saoirse aige teacht ar tionol agus gabhail le comhlachas go sitheoilte
20-02	Ni cead a chun d´fhiacha ar dhuine ar bith gabhail le haon chomhlachas airithe.
21-00	Airteagal 21
21-01	Ta ag gach uile dhuine an ceart chun pairt a ghlacadh i gcursai rialuithe a thire, go direach no tri ionadaithe a toghtar go saoralach.
21-02	Ta comhcheart ag gach uile dhuine rochtain a bheith aige ar an tseirbhis phoibli in thir fein.
21-03	Is e toil an phobail is foras don udaras rialuithe; leireofar an toil sin de thoradh toghchan ionraic a deanfar o aim go ham tri bhotail chomhchoiteann chomhionann agus tri tun-bhalloid no ar mhodh da shamhail sin a rathaios saoirse bhotala.
22-00	Airteagal 22.
22-01	Ta ag gach uile dhuine, mar chomhalta den chomhdhaonnacht, an ceart chun slandala soisialai; dlitear do go bhfeadfaidh se, de thoradh an tsaothair naisiunta agus an chomhair eadarnaisiunta agus do reir eagraiochta agus acmhainne gach Stait ar leith, na cearta a shasamh, i gcursai eacnamiochta agus comhdhaonnachta agus cultura, is dual da dhinit agus is riachtanach do shaor-fhorbairt a phearsantachta.
23-00	Airteagal 23.
23-01	Ta ag gach uile dhuine an ceart chun oibre, chun saoirse maidir le fostaiocht a thoghadh, chun coinniollacha cora sasula oibre agus chun a chosanta in aghaidh na difhostaiochta.
23-02	Ta ag gach uile dhuine, gan aon idirdhealu, an ceart chun na paighe ceanna le haghaidh na hoibre ceanna.
23-03	Ta ag gach duine a dheanas obair an ceart chun luach saothair choir shasuil a bhearfas go mbeidh aige fein, agus ag a theathlach, coir mhaireachtana mar is dir do dhniit an duine, agus ina theannta sin pe caomhaint shoisialach eile is ga.
23-04	Ta ag gach uile dhuine an ceart chun ceardchumainn a bhunu agus gabhail le ceardchumainn chun a leasa a chosaint.
24-00	Airteagal 24.
24-01	Ta ag gach uile dhuine an ceart chun sosa agus scithe, agus go hairithe chun teora reasunach lena uaireannta oibre agus chun saoirse le paigh d'fhail o thrath go cheile.
25-00	Airteagal 25.
25-01	Ta ag gach uile dhuine an ceart chun caghdeain mhaireachtana is leor do shlainte agus do shoileas an duine fein agus a theaghlaigh, ar a nairitear bia, eadach, ionad conaithe, freastal liachta, agus na seirbhisi soisialacha is ga; ta ceart aige chun slandala le linn difhostaiochta, breoiteachta, eagumais, baintreachais, sean-aoise no aon easpa eile sli mhaireachtana in imthosca nach bhfuil neart aige orthu.
25-02	Dlitear aire agus cunamh speisialta don mhathair agus don leanbh. Bhearfar an chaomhaint shoisialach cheanna don uile leanbh, pe acu faoi chuing an phosta no lasmuigh dhi a rugadh.
26-00	Airteagal 26.
