00-00	AT TU'MALAAL KOPIB'IL TWI'YALAAL KAAWB'IL B'IX NIINB'IL
00-01	Tuj kyaqiil twitz tx'ot', aj tipamaal tu'n teetzat t-xileen tuj kyaanmi kyaqiil winaq, tu'nj juunx kyokleen b'ix milaay b'aj sla'jat kyxileen kyaqiil xjaal;
00-02	At tumalaal tu'n miti' tu'n took tajlaal b'ix tu'n miti' tb'aj yaajat kyokleen qe kyaqiil winaq kyja'tzan nb'ant tnaachal b'ix at ta'wa tuj kyxiinb'atz xjaal, kyja'tzan n'ook jun twi'yalaal yool ti'j kyxiixb'il b'ix kyajb'il qe xjaal, tu'ntzan miti' tuj kyaqiil twitz tx'otx' tchiyalaal b'ix ta'w wa'iij noqtzan tu'n kyeetzan b'i tu'n kyaachan ti'j kyyool b'ix noq alkyeex kyb'ee tuj okslab'il txi' kyi'n;
00-03	Tuj tumalaal, aj kyokleen xjaal tu'n tkoolan aj twi'xaniil nintnam tu'n mi' kub' kyxi'man xjaal tu'n tjaaw kyjayo'n q'ooj ti'j b'eetx'b'il b'ix tnaachal wi'xan;
00-04	Aax iil ti'j tu'n tteen xtaalb'il kyxool kyaqiil nintnam;
00-05	At tumalaal tu'n txi b'incheet jun aq'uuntl kyxool qe tnam tuj kyaqiil twitz tx'otx' tu'n tjaaw kyiipan xjaal tuj yaaj b'ix tujxax tzalajb'il;
00-06	At tumalaal kyu'n tnam kychimo'n kyiib', b'ix ma' b'aj kychik'b'a'n' tuj tu'jal aj q'uqb'il k'u'j ti'j kyokleen xjaal, aj tiipan kychuwiinqalqe xjaal, qe winaq juunx kyponleen xiinaq xu'j, ma' b'aj chik'b'eet tu'n taq'uneet b'aanb'il kye xjaal tuj tu'malxix b'ix kopib'il;
00-07	At tumalaal aqej tanam kyq'oon kyiib' tuj chimob'il ma' kub' kytzii'yan tu'n kyoonan tu'nxax kyok juunan ti'j xaob'il kye winaq, tu'n telpan twitz tnimaal kyokleen xjaal tuj kopib'il;
00-08	Jun tumalaal tu'n kyeetzan kykyaqiil ti'j kyokleen tuj kopib'il kyaqiilqe xjaal, iilxax ti'j tu'n teel twitz ak tzi'yan maj;
00-09	Ajqe kyaqiil kychimo'n kyiib' b'ix tuj chimob'il nb'aj kynuk'u'n b'ix ma' tz'ex kychik'b'a'n aj kyokleenqe winaq, aatzan xiinb'il kye kyaqiil tnam, tk'u'j tnam, twi' tnam tuj kyaqiil twitz tx'otx', tu'n tok kyipamaan kyiib' tza'nx kyteenkaqe q'inool twitz b'ix teeyalax te juunjan xjaal tu'n tok tnimsa'n, b'ix tu'n t-eetzan ti'j, aax ikyx tu'n txi' t-xnaq'tza'n tuj jun xnaq'tzab'il ti'j aj xob'il ti'j kyokleen xjaal tuj kopib'il, tu'n txi' kylajo'n tu'n tjaaw nimseet tuj qtaanma b'ix twi' kytaanma aamaq', tu'n telpan twitz tuj kyaqiil twitz tx'otx', tuj kytaanma qe tajawiil twi' yool b'ixqe xjaal, qe tnam kynaqa'yal tuj kyaqiil twitz anq'ib'il.
01-00	Tneejal tiipaky' (1)
